original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score,top6_match,top6_score,top7_match,top7_score,top8_match,top8_score,top9_match,top9_score,top10_match,top10_score,top11_match,top11_score,top12_match,top12_score,top13_match,top13_score,top14_match,top14_score,top15_match,top15_score,top16_match,top16_score,top17_match,top17_score,top18_match,top18_score,top19_match,top19_score,top20_match,top20_score,updated_value,top1_accuracy,top3_accuracy,top5_accuracy
ACRAL,Acral Lentiginous Melanoma,3,2,Acral Nevus,0.7317,Acral Melanoma,0.7245,Acral Lentiginous Melanoma,0.5861,Astrocytoma,0.5796,Superficial Acral Fibromyxoma,0.5702,Adenoma,0.5528,Urachal Adenocarcinoma,0.5461,Cerebral Astrocytoma,0.5444,Anaplastic Lymphoma,0.5371,Primary Cutaneous Amyloidosis,0.5350,Epididymal Adenocarcinoma,0.5340,Advanced Adnexal Carcinoma,0.5317,AHL Amyloidosis,0.5291,ROSE Cluster 5,0.5276,Anal Lymphoma,0.5262,Anaplastic Astrocytoma,0.5262,Adenocarcinoma,0.5247,Atypical Adenoma,0.5237,ROSE Cluster 7,0.5187,Anal Melanoma,0.5186,ACRAL,False,True,True
ACRAL LENTIGINOUS,Acral Lentiginous Melanoma,1,2,Acral Lentiginous Melanoma,0.8197,Acral Nevus,0.7096,Lentiginous Nevus,0.7079,Metastatic Acral Lentiginous Melanoma,0.6915,Lentigo Maligna,0.6867,Acral Melanoma,0.6746,Recurrent Acral Lentiginous Melanoma,0.6519,Mucosal Lentiginous Melanoma,0.6459,Lentigo Maligna Melanoma,0.6248,Unresectable Acral Lentiginous Melanoma,0.6153,Stage II Acral Lentiginous Melanoma AJCC v6 and v7,0.5951,Inverted Follicular Keratosis,0.5916,Stage IV Acral Lentiginous Melanoma AJCC v6 and v7,0.5879,Stage I Acral Lentiginous Melanoma AJCC v7,0.5835,Stage III Acral Lentiginous Melanoma AJCC v7,0.5763,Skin Keratoacanthoma,0.5734,Skin Atypical Lipomatous Tumor,0.5649,Superficial Acral Fibromyxoma,0.5623,Lichen Planus-Like Keratosis,0.5600,Conjunctival Keratoacanthoma,0.5576,ACRAL LENTIGINOUS,True,True,True
ACRAL MELANOMA,Acral Lentiginous Melanoma,2,2,Acral Melanoma,1.0000,Acral Lentiginous Melanoma,0.8424,Acral Nevus,0.7821,Cutaneous Melanoma,0.7765,Metastatic Acral Lentiginous Melanoma,0.7363,Dermal Melanoma,0.7320,Melanoma,0.7175,Anal Melanoma,0.7154,Volar Melanoma,0.7059,Cutaneous Amelanotic Melanoma,0.7046,Amelanotic Melanoma,0.6976,Mucosal Melanoma,0.6966,Melanoacanthoma,0.6816,Superficial Acral Fibromyxoma,0.6781,Melanocytic Matricoma,0.6725,Cutaneous Melanoma of the Extremity,0.6704,Lentigo Maligna Melanoma,0.6688,Non-Cutaneous Melanoma,0.6683,Subungual Melanoma,0.6616,Eyelid Melanoma,0.6615,ACRAL MELANOMA,False,True,True
ACTIVATED B-CELL TYPE,Diffuse Large B-Cell Lymphoma Activated B-Cell Type,1,2,Diffuse Large B-Cell Lymphoma Activated B-Cell Type,0.6586,Advanced B-Cell Malignant Neoplasm,0.6495,Mature B-Cell Neoplasm,0.6196,Centroblastic Lymphoma,0.6177,B-Cell Neoplasm,0.6165,Aggressive B-Cell Non-Hodgkin Lymphoma,0.6063,B-Cell Malignant Neoplasm,0.6037,Centroblastic Lymphoma by Ann Arbor Stage,0.5940,Pre T-ALL,0.5919,Blastoma,0.5852,B-Cell Leukemia,0.5824,Mature T-ALL,0.5729,Cutaneous Mature B-Cell Neoplasm,0.5725,Adult B Lymphoblastic Lymphoma,0.5602,Anaplastic Lymphoma,0.5552,High Grade B-Cell Lymphoma,0.5540,Adult Immunoblastic Lymphoma,0.5515,Classical Burkitt Lymphoma,0.5515,Luminal A Breast Carcinoma,0.5505,Adult Acute Basophilic Leukemia,0.5485,ACTIVATED B-CELL TYPE,True,True,True
ACUTE BIPHENOTYPIC LEUKEMIA,Acute Biphenotypic Leukemia,1,2,Acute Biphenotypic Leukemia,1.0000,Infant Acute Biphenotypic Leukemia,0.8567,Recurrent Acute Biphenotypic Leukemia,0.7899,Acute Bilineal Leukemia,0.7685,Acute Basophilic Leukemia,0.7415,"Mixed Phenotype Acute Leukemia, B/Myeloid",0.7339,Acute Leukemia,0.7286,Acute Monoblastic Leukemia,0.7282,Refractory Acute Biphenotypic Leukemia,0.7274,Acute Monoblastic and Monocytic Leukemia,0.7232,Hyperdiploid B Acute Lymphoblastic Leukemia,0.7202,"Mixed Phenotype Acute Leukemia, B/T/Myeloid",0.7102,Acute Undifferentiated Leukemia,0.7099,Mixed Phenotype Acute Leukemia,0.7009,Acute Myeloid Leukemia,0.7006,Aleukemic Myeloid Leukemia,0.6992,Acute Monocytic Leukemia,0.6981,Aleukemic Acute Lymphoblastic Leukemia,0.6958,"Mixed Phenotype Acute Leukemia, B/T",0.6954,Aleukemic Leukemia,0.6937,ACUTE BIPHENOTYPIC LEUKEMIA,True,True,True
ACUTE ERYTHROID LEUKAEMIA,Acute Erythroid Leukemia,1,2,Acute Erythroid Leukemia,0.9836,Pure Erythroid Leukemia,0.8704,Childhood Acute Erythroid Leukemia,0.8681,Adult Acute Erythroid Leukemia,0.8618,Adult Pure Erythroid Leukemia,0.8164,Acute Eosinophilic Leukemia,0.8033,Acute Myeloid Leukemia,0.7709,Acute Leukemia,0.7667,Recurrent Acute Erythroid Leukemia,0.7508,Adult Erythroleukemia,0.7279,Adult Acute Eosinophilic Leukemia,0.7271,Childhood Acute Eosinophilic Leukemia,0.7234,Erythroleukemia,0.7231,Acute Undifferentiated Leukemia,0.7173,Myeloid Leukemia,0.7124,Acute Monocytic Leukemia,0.6945,Aleukemic Myeloid Leukemia,0.6815,Acute Megakaryoblastic Leukemia,0.6807,Acute Basophilic Leukemia,0.6768,Acute Myeloid Leukemia with EZH2 Mutation,0.6761,ACUTE ERYTHROID LEUKAEMIA,True,True,True
ACUTE ERYTHROID LEUKEMIA,Acute Erythroid Leukemia,1,2,Acute Erythroid Leukemia,1.0000,Pure Erythroid Leukemia,0.8829,Adult Acute Erythroid Leukemia,0.8791,Childhood Acute Erythroid Leukemia,0.8723,Adult Pure Erythroid Leukemia,0.8329,Acute Eosinophilic Leukemia,0.8098,Acute Leukemia,0.7898,Acute Myeloid Leukemia,0.7866,Recurrent Acute Erythroid Leukemia,0.7557,Adult Erythroleukemia,0.7373,Adult Acute Eosinophilic Leukemia,0.7369,Acute Undifferentiated Leukemia,0.7324,Erythroleukemia,0.7314,Childhood Acute Eosinophilic Leukemia,0.7251,Myeloid Leukemia,0.7237,Acute Monocytic Leukemia,0.7069,Acute Basophilic Leukemia,0.6933,Aleukemic Myeloid Leukemia,0.6912,Acute Megakaryoblastic Leukemia,0.6888,Aleukemic Acute Lymphoblastic Leukemia,0.6882,ACUTE ERYTHROID LEUKEMIA,True,True,True
ACUTE LEUKAEMIAS OF AMBIGUOUS LINEAGE,Acute Leukemia of Ambiguous Lineage,1,2,Acute Leukemia of Ambiguous Lineage,0.9763,"Acute Leukemia of Ambiguous Lineage, Not Otherwise Specified",0.9263,Acute Leukemia of Ambiguous Lineage with Defining Genetic Abnormalities,0.8532,Acute Undifferentiated Leukemia,0.8055,Acute Leukemia,0.7987,Recurrent Acute Leukemia of Ambiguous Lineage,0.7617,Aleukemic Acute Lymphoblastic Leukemia,0.7558,Refractory Acute Leukemia of Ambiguous Lineage,0.7506,Acute Lymphoblastic Leukemia,0.7407,"Acute Myeloid Leukemia, Not Otherwise Specified",0.7388,Acute Myeloid Leukemia,0.7359,Acute Leukemia of Ambiguous Lineage with BCL11B Rearrangement,0.7097,Aleukemic Lymphoid Leukemia,0.7057,Acute Bilineal Leukemia,0.7052,Acute Biphenotypic Leukemia,0.7010,Aleukemic Myeloid Leukemia,0.6894,Adult Acute Lymphoblastic Leukemia,0.6879,Infant Acute Undifferentiated Leukemia,0.6858,B Acute Lymphoblastic Leukemia,0.6838,Aleukemic Leukemia,0.6836,ACUTE LEUKAEMIAS OF AMBIGUOUS LINEAGE,True,True,True
ACUTE LEUKEMIAS OF AMBIGUOUS LINEAGE,Acute Leukemia of Ambiguous Lineage,1,2,Acute Leukemia of Ambiguous Lineage,0.9880,"Acute Leukemia of Ambiguous Lineage, Not Otherwise Specified",0.9330,Acute Leukemia of Ambiguous Lineage with Defining Genetic Abnormalities,0.8720,Acute Undifferentiated Leukemia,0.8066,Acute Leukemia,0.8044,Recurrent Acute Leukemia of Ambiguous Lineage,0.7743,Refractory Acute Leukemia of Ambiguous Lineage,0.7670,Aleukemic Acute Lymphoblastic Leukemia,0.7654,Acute Lymphoblastic Leukemia,0.7492,Acute Myeloid Leukemia,0.7315,"Acute Myeloid Leukemia, Not Otherwise Specified",0.7280,Acute Leukemia of Ambiguous Lineage with BCL11B Rearrangement,0.7275,Aleukemic Lymphoid Leukemia,0.7263,Adult Acute Lymphoblastic Leukemia,0.7020,Acute Bilineal Leukemia,0.7005,B Acute Lymphoblastic Leukemia,0.6968,Leukemia,0.6965,Acute Biphenotypic Leukemia,0.6954,Aleukemic Myeloid Leukemia,0.6953,Infant Acute Undifferentiated Leukemia,0.6902,ACUTE LEUKEMIAS OF AMBIGUOUS LINEAGE,True,True,True
ACUTE LYMPHOBLASTIC LEUKEMIA,Acute Lymphoblastic Leukemia,1,2,Acute Lymphoblastic Leukemia,1.0000,Common Acute Lymphoblastic Leukemia,0.8806,Childhood Acute Lymphoblastic Leukemia,0.8794,B Acute Lymphoblastic Leukemia,0.8579,Infant Acute Lymphoblastic Leukemia,0.8547,Acute Leukemia,0.8480,Aleukemic Acute Lymphoblastic Leukemia,0.8428,T Acute Lymphoblastic Leukemia,0.8360,Adult Acute Lymphoblastic Leukemia,0.8345,Lymphoblastic Lymphoma,0.8336,L1 Acute Lymphoblastic Leukemia,0.8279,Lymphoid Leukemia,0.8200,L2 Acute Lymphoblastic Leukemia,0.8146,Childhood B Acute Lymphoblastic Leukemia,0.7966,Childhood Lymphoblastic Lymphoma,0.7902,Adult Lymphoblastic Lymphoma,0.7861,"B Acute Lymphoblastic Leukemia, Not Otherwise Specified",0.7788,Childhood T Acute Lymphoblastic Leukemia,0.7770,B Lymphoblastic Leukemia/Lymphoma,0.7762,B Lymphoblastic Lymphoma,0.7708,ACUTE LYMPHOBLASTIC LEUKEMIA,True,True,True
"ACUTE LYMPHOBLASTIC LEUKEMIA ALL, B-CELL",B Acute Lymphoblastic Leukemia,1,2,B Acute Lymphoblastic Leukemia,0.9248,"B Acute Lymphoblastic Leukemia, Not Otherwise Specified",0.8764,Childhood B Acute Lymphoblastic Leukemia,0.8282,Acute Lymphoblastic Leukemia,0.8154,B Lymphoblastic Leukemia/Lymphoma,0.8129,B Lymphoblastic Lymphoma,0.8108,Adult B Acute Lymphoblastic Leukemia,0.7980,"B Acute Lymphoblastic Leukemia, BCR-ABL1-Like",0.7963,Pre-B Acute Lymphoblastic Leukemia,0.7903,"B Acute Lymphoblastic Leukemia, BCR-ABL1-Like, Not Otherwise Specified",0.7890,B-Cell Leukemia,0.7851,B Acute Lymphoblastic Leukemia Associated with Down Syndrome,0.7644,Common Acute Lymphoblastic Leukemia,0.7583,Near-Haploid B Acute Lymphoblastic Leukemia,0.7574,Burkitt Leukemia,0.7572,"B Lymphoblastic Leukemia/Lymphoma, Not Otherwise Specified",0.7553,Childhood B Lymphoblastic Lymphoma,0.7513,Adult B Lymphoblastic Lymphoma,0.7478,T Acute Lymphoblastic Leukemia,0.7427,Childhood B Lymphoblastic Leukemia/Lymphoma,0.7412,"ACUTE LYMPHOBLASTIC LEUKEMIA ALL, B-CELL",True,True,True
"ACUTE LYMPHOBLASTIC LEUKEMIA ALL, T-CELL",T Acute Lymphoblastic Leukemia,1,2,T Acute Lymphoblastic Leukemia,0.9212,"T Acute Lymphoblastic Leukemia, Not Otherwise Specified",0.8872,T Lymphoblastic Leukemia/Lymphoma,0.8163,Childhood T Acute Lymphoblastic Leukemia,0.8159,T Acute Lymphoblastic Leukemia with TAL1 Rearrangement,0.8158,T Lymphoblastic Lymphoma,0.8077,Adult T Acute Lymphoblastic Leukemia,0.7987,T Acute Lymphoblastic Leukemia with TLX1 Rearrangement,0.7957,Early T Precursor Acute Lymphoblastic Leukemia,0.7823,Acute Lymphoblastic Leukemia,0.7775,Infant T Acute Lymphoblastic Leukemia,0.7763,"Early T Precursor Acute Lymphoblastic Leukemia, Not Otherwise Specified",0.7725,"T Lymphoblastic Leukemia/Lymphoma, Not Otherwise Specified",0.7721,Acute Adult T-Cell Leukemia/Lymphoma,0.7673,T Acute Lymphoblastic Leukemia with LMO1 Rearrangement,0.7597,T Acute Lymphoblastic Leukemia with LMO2 Rearrangement,0.7587,Adult T Lymphoblastic Lymphoma,0.7576,Adult T-Cell Leukemia/Lymphoma,0.7568,Childhood T Lymphoblastic Leukemia/Lymphoma,0.7557,Mature T-ALL,0.7552,"ACUTE LYMPHOBLASTIC LEUKEMIA ALL, T-CELL",True,True,True
ACUTE LYMPHOID LEUKEMIA,Acute Lymphoblastic Leukemia,1,2,Acute Lymphoblastic Leukemia,0.9074,Acute Leukemia,0.8944,Lymphoid Leukemia,0.8937,Aleukemic Acute Lymphoblastic Leukemia,0.8273,Aleukemic Lymphoid Leukemia,0.8159,Acute Myeloid Leukemia,0.8112,Leukemia,0.8096,B Acute Lymphoblastic Leukemia,0.8068,Acute Leukemia of Ambiguous Lineage,0.7994,Common Acute Lymphoblastic Leukemia,0.7985,Adult Acute Lymphoblastic Leukemia,0.7930,T Acute Lymphoblastic Leukemia,0.7922,Myeloid Leukemia,0.7759,L1 Acute Lymphoblastic Leukemia,0.7731,L2 Acute Lymphoblastic Leukemia,0.7664,Childhood Acute Lymphoblastic Leukemia,0.7611,Acute Undifferentiated Leukemia,0.7570,"Acute Leukemia of Ambiguous Lineage, Not Otherwise Specified",0.7552,Infant Acute Lymphoblastic Leukemia,0.7458,"Acute Myeloid Leukemia, Not Otherwise Specified",0.7400,ACUTE LYMPHOID LEUKEMIA,True,True,True
ACUTE MEGAKARYOBLASTIC LEUKAEMIA,Acute Megakaryoblastic Leukemia,1,2,Acute Megakaryoblastic Leukemia,0.9901,Adult Acute Megakaryoblastic Leukemia,0.8938,Childhood Acute Megakaryoblastic Leukemia,0.8777,Acute Monocytic Leukemia,0.8261,Acute Myelomonocytic Leukemia,0.8195,Acute Myeloid Leukemia,0.7831,Aleukemic Myeloid Leukemia,0.7771,Megakaryocytic Neoplasm,0.7715,Acute Monoblastic and Monocytic Leukemia,0.7643,Recurrent Acute Megakaryoblastic Leukemia,0.7559,Acute Monoblastic Leukemia,0.7381,Acute Megakaryoblastic Leukemia with CBFA2T3-GLIS2,0.7379,Myeloid Leukemia,0.7364,"Mixed Phenotype Acute Leukemia, T/Megakaryocytic",0.7296,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0.7266,Adult Acute Monocytic Leukemia,0.7185,Acute Myelomonocytic Leukemia with Abnormal Eosinophils,0.7163,Adult Acute Myelomonocytic Leukemia,0.7101,Acute Myeloid Leukemia with Maturation,0.7077,"Acute Myeloid Leukemia, Not Otherwise Specified",0.7060,ACUTE MEGAKARYOBLASTIC LEUKAEMIA,True,True,True
ACUTE MEGAKARYOBLASTIC LEUKEMIA,Acute Megakaryoblastic Leukemia,1,2,Acute Megakaryoblastic Leukemia,1.0000,Adult Acute Megakaryoblastic Leukemia,0.9052,Childhood Acute Megakaryoblastic Leukemia,0.8813,Acute Monocytic Leukemia,0.8317,Acute Myelomonocytic Leukemia,0.8256,Acute Myeloid Leukemia,0.7897,Megakaryocytic Neoplasm,0.7752,Aleukemic Myeloid Leukemia,0.7728,Acute Monoblastic and Monocytic Leukemia,0.7653,Recurrent Acute Megakaryoblastic Leukemia,0.7573,Acute Megakaryoblastic Leukemia with CBFA2T3-GLIS2,0.7537,"Mixed Phenotype Acute Leukemia, T/Megakaryocytic",0.7484,Myeloid Leukemia,0.7405,Acute Monoblastic Leukemia,0.7363,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0.7301,Adult Acute Monocytic Leukemia,0.7250,Adult Acute Myelomonocytic Leukemia,0.7182,Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.1); RBM15-MKL1,0.7168,"Acute Myeloid Leukemia, Not Otherwise Specified",0.7112,Acute Myelomonocytic Leukemia with Abnormal Eosinophils,0.7106,ACUTE MEGAKARYOBLASTIC LEUKEMIA,True,True,True
