"ColName","ColClass","Description","original_field","original_field_num"
"cancer_type","String","A type(s) of cancer (relevant to the sample) which the patient has been diagnosed with","CANCER_TYPE;INCIDENTAL_PROSTATE_CANCER;CANCER.TYPE;PATHOLOGICAL_DIAGNOSIS;HISTOLOGY_DIAGNOSIS;PRIMARY_DIAGNOSIS;ORIGINAL_DIAGNOSIS_AT_IMPLANT;CANCER_IDENTIFICATION_IDC;CANCER_IDENTIFICATION_ILC;CANCER_IDENTIFICATION_MIDLC;DX_AT_INCLUSION;SPECIFIC_DX_AT_ACQUISITION_MDSMPN",12
"cancer_type_details","String","Detailed information which elaborates on the corresponding curated_cancer_type value","CANCER_TYPE_DETAILED;HISTOLOGICAL_DIAGNOSIS;HISTOLOGICAL_TYPE;INITIAL_DIAGNOSIS_OF_RECURRENT_TUMORS;DETAILED_CANCER_TYPE;SPECIAL_HISTOLOGY;GYN_DIAGNOSIS_HISTOLOGY;DX_ORG_INST",8
"country","String","Country where subject lives and/or data was collected","COUNTRY;TUMOR_SAMPLE_PROCUREMENT_COUNTRY;BIRTH_COUNTRY;COUNTRY_OF_ORIGIN;PARTICIPANT_COUNTRY;COUNTRY_OF_PROCUREMENT",6
"curation_id","String","Unique identifier",NA,NA
"disease","String","Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person. The disease(s) (relevant to the sample) which the patient has been diagnosed with","DIAGNOSIS;DIAGNOSIS_AT_INCLUSION;SPECIFIC_DIAGNOSIS_AT_ACQUISITION;SPECIFIC_DIAGNOSIS_AT_INCLUSION;MDSMPN_DIAGNOSIS_AT_ACQUISITION;NON_AML_MDSMPN_DIAGNOSIS_AT_ACQUISITION;DISEASE_CODE;CNS_DISEASE;INITIAL_DIAGNOSIS_TYPE;DISEASE_ONTOLOGY;WHO_CLASSIFICATION;HYPERTENSION_DIAGNOSIS;FATTY_LIVER_DISEASE;WHO_CLASS;MDS_TYPE;DISEASE;DIABETES_DIAGNOSIS_INDICATOR;DISEASE_EXTENT;RESIDUAL_NODAL_DISEASE;EXTRANODAL_DISEASE;SPECIFIC_DX_AT_INCLUSION",21
"location","String","Location (more specific than 'country') where subject lives and/or data was collected","COUNTRY;TUMOR_SAMPLE_PROCUREMENT_COUNTRY;BIRTH_COUNTRY;COUNTRY_OF_ORIGIN;PARTICIPANT_COUNTRY;COUNTRY_OF_PROCUREMENT",6
"oncotree_code","String","A unique identifier assigned to a specific cancer type within the open-source OncoTree classification system.",NA,NA
"patientId","String","Subject identifier",NA,NA
"sample_count","Numeric","The number of samples belong to a given study/dataset",NA,NA
"sample_type","String","Indicates if the sample is derived from a metastatic lesion","SAMPLE_TYPE;SAMPLE_CLASS;SPECIMEN_TYPE",3
"sampleId","String","Sample identifier",NA,NA
"sex","String","Biological sex of the subject as reported or inferred by sex-specific biological traits","SEX;TESTES_SITE_OF_RELAPSE;TESTICULAR_INVOLVEMENT;INCIDENTAL_PROSTATE_CANCER;CERVIX_SUV_RESULTS;curated_cancer_type;METS_SITES_AT_METS_ABST_OVARY;METS_SITES_AT_METS_DX_OVARY;PRD_PROSTATECTOMY;HISTORY_OF_UNDESCENDED_TESTIS;TESTIS_TUMOR_MACROEXTENT;FAMILY_HISTORY_TESTICULAR_CANCER;DIAGNOSIS_CANCER_LOC_OVARY;ANYTIME_CANCER_LOC_OVARY;DMETS_DX_OVARY;DMETS_DX_FEMALE_GENITAL;DMETS_DX_MALE_GENITAL;GENDER",18
"specimen_type","String","The type of a material sample taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes. This includes particular types of cellular molecules, cells, tissues, organs, body fluids, embryos, and body excretory substances. Origin of the specimen, including source of the cells, primary/metastatic/recurrent status, and anatomical location of derivation","SAMPLE_TYPE;SAMPLE_CLASS;SPECIMEN_TYPE",3
"study_design","String","A plan detailing how a study will be performed in order to represent the phenomenon under examination, to answer the research questions that have been asked, and defining the methods of data analysis. Study design is driven by research hypothesis being posed, study subject/population/sample available, logistics/resources: technology, support, networking, collaborative support, etc.",NA,NA
"studyId","String","Dataset name",NA,NA
"target_condition","String","The primary phenotype/condition of interest in the study from which the sample is derived",NA,NA
"treatment_dose","Numeric","A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time. Individual dose amount","CUMULATIVE_TREATMENT_REGIMENS;COMPLETED_TOTAL_RADIATION_DOSE;COMPLETED_RADIATION_DOSE;FORMULATION;ALPELISIB_DOSE;TREATMENT_GROUP;CHEMO_CONCURRENT_FRACTIONS_TOTAL;CHEMO_CONCURRENT_DOSE;RT_TX_TOTAL_DOSE_TO_PELVIS;BRACHYTHERAPY_TOTAL_DOSE_POINT_A;RADIATION_THERAPY_DOSE_PARAAORTIC_NODES;RADIATION_DOSE;CHEMO_OTHER_CYCLES;DOSE_OF_PEMBROLIZUMAB_PER_INJECTION (MG/KG);DOSE_MG_DAY_STEROID_DURING_PD1;DOSE_MG_DAY_STEROID_PD1_START;DOSE_OF_RE-IRRADIATION;INDUCTION;AGENT;THIRD_LINE;STEROIDS_GT_10MG_DAILY;PRIOR_TREATMENT;INITIAL_RX;SUBSEQUENT_RX;RADIATION_DOSE_PELVIC_NODES_PRIMARY_TUMOR.;UV_RATE",26
"treatment_duration","Numeric","The length of time a treatment session lasts. A session is defined as the period of time between when the patient enters the treatment room and when they leave it. Overall duration of treatment","MOST_RECENT_TREATMENT_DURATION;DURATION_OF_INDUCTION_TREATMENT;ANY_THERAPY_2YRS;X2YR_FULVESTRANT;X2YR_CAPECITABINE;X2YR_ANTIHER2;X2YR_AIS;X2YR_TAMOXIFEN;X2YR_ANTHRACYCLINE;X2YR_CDK46;X2YR_TAXANE;X2YR_ALKYLATING_AGENT;X2YR_VEGF_INHIBITOR;MONTHS_ON_TREATMENT;WEEKS_ON_STUDY;CHEMO_OTHER_CYCLES;TOTAL_TIME_PERIOD_MONTHS;SURGERY_DATE_RELATIVE_TO_DX_MONTHS;DOT_MONTHS;ORAL_CONTRACEPTION;ADMINISTRATION_OF_DRUG_WEEKS;WEEKS_ON_TREATMENT;PRIOR_TREATMENT;DURATION_OF_THERAPY_WEEKS;DURATION_OF_THERAPY_DAYS",25
"treatment_end","String","Treatment end date/time","CRDB_TREATMENT_END_DAYS;AGE_AT_RADIATION_START;AGE_AT_RADIATION_STOP;AGE_AT_CHEMOTHERAPY_STOP;AGE_AT_CHEMOTHERAPY_START;TIMING_OTHER_NOTES;DOSE_OF_RE-IRRADIATION;DRUG_LAST_ADMIN;DRUG_START",9
"treatment_frequency","String","The number of times a substance is administered within a specific time period. Frequency of treatment administration","TIMING_OTHER_NOTES;ALPELISIB_SCHEDULING;CHEMO_CONCURRENT_COURSE;DOSE_MG_DAY_STEROID_DURING_PD1;DOSE_MG_DAY_STEROID_PD1_START;STEROIDS_GT_10MG_DAILY;TREATMENT_SCHEDULE",7
"treatment_group","String","A study population that receives an intervention(s) within a trial. This could include the investigational product(s) or a comparator (e.g., placebo or an approved intervention).","FIRSTLINE_CHEMO_GROUP;PROTOCOL_AND_TREATMENT_ARM;TREATMENT_ARM;TREATMENT_GROUP;FIRST_LINE_THERAPY;DETAILS_FIRST_LINE_COMMENTS;CHEMO_REGIMEN_CATEGORY",7
"treatment_name","String","The literal identifier of a therapy. Specific name of drug/medication/treatment/surgical procedure","TYPE_OF_SURGERY;ADJUVANT_CHEMO;NEOADJUVANT_CHEMO;PHARM_TX_MITOTANE_INDICATOR;PHARM_TX_MITOTANE_FOR_MACRO_DISEASE;PHARM_TX_MITOTANE_ADJUVANT;ALTERNATE_THERAPY_OTHER;CUMULATIVE_TREATMENT_REGIMENS;CURRENT_REGIMEN;FIRSTLINE_CHEMO_GROUP;SURGERY;PRIMARY_SURGERY;NGS_PRIOR_THERAPY;CHEMOTHERAPY_PRIOR_SAMPLE_ACQUIRED;CHEMO_DETAILS;PRIOR_INTRAVESICAL_CHEMOTHERAPY;SURGERY_PROCEDURE;TREATMENT;NONINVASIVE_BLADDER_CA_TX_TYPE;RADADJUVANTRX;CHEMOTHERAPY_AGENTS;PROTOCOL_AND_TREATMENT_ARM;FORMULATION;TIMING_OTHER_NOTES;TX_REG;SURGERY_AT_DX;DX_TYPE;X2YR_FULVESTRANT;X2YR_CAPECITABINE;X2YR_ANTIHER2;X2YR_AIS;X2YR_TAMOXIFEN;X2YR_ANTHRACYCLINE;X2YR_CDK46;BREAST_SURGERY;THERAPY;SURGICAL_PROCEDURE_FIRST;SURGERY_FOR_POSITIVE_MARGINS;SURGERY_FOR_POSITIVE_MARGINS_OTHER;FIRST_SURGICAL_PROCEDURE_OTHER;ENDOCRINE_THERAPY;ALPELISIB_DOSE;ALPELISIB_SCHEDULING;DRUG;PRIOR_TREATMENT;CHEMO_CONCURRENT_TYPE;BRACHYTHERAPY_TYPE;HYSTERECTOMY_TYPE;CHEMO_CONCURRENT_TYPE_OTHER;OTHER_HYSTERECTOMY_TYPE;BRACHYTHERAPY_TYPE_OTHER;SYSTEMIC_TREATMENT;DEFINITIVE_SURGICAL_PROCEDURE;FIRST_LINE_MET_TX;METASTASECTOMY;METASTASECTOMY_SITE;TMZ_CYCLES;TMZ_TREATMENT;RADIATION_OTHER;CHEMO_OTHER;HISTORY_IMMUNOSUPPRESIVE_DX;HISTORY_IMMUNOSUPPRESSIVE_TX_OTHER;DETAILS_FIRST_LINE_COMMENTS;SURGERY_TYPE;TREATMENT_TYPE;PROCEDURE_TYPE;NUMBER_OF_CYCLES_PLATINUM;NUMBER_OF_CYCLES_PEMBROLIZUMAB;NUMBER_OF_CYCLES_FLUORO-PYRIMIDINE;NUMBER_OF_CYCLES_TRASTUZUMAB;2L_TREATMENT;3L_TREATMENT;CHEMO_FIRST_LINE;PD1_INHIBITOR;PD1_INHIBITOR_DRUG;DOSE_OF_PEMBROLIZUMAB_PER_INJECTION (MG/KG);PD1_INHIBITOR_CONCURRENTLY_WITH_NOVO-TTF;PD1_INHIBITOR_WITH_CELECOXIB;DRUG_AND_DOSE_STEROID_DURING_PD1;PD1_INHIBITOR_CONCURRENTLY_WITH_BEV;PD1_INHIBITOR_CONCURRENTLY_WITH_TEMODAR;PD1_INHIBITOR_WITH_IMATINIB;PD1_INHIBITOR_CONCURRENTLY_WITH_DC_VAX;PD1_INHIBITOR_CONCURRENTLY_WITH_BCNU/CCNU;TREATMENT_DETAIL_BEFORE_PDX;CHEMO_REGIMEN_CATEGORY;SORAFENIB_TREATMENT;INTERFERON_ALPHA;AGENT;IMMUNOSUPPRESSION;PREVIOUS_TREATMENT;HEPATECTOMY;INDUCTION;TRANSPLANT_TYPE;PRETREATMENT_HISTORY;IO_DRUG;SECOND_LINE_TC_OR_SURGERY;FIRST_LINE_THERAPY;FIFTH_LINE;FOURTH_LINE;THIRD_LINE;IO_THERAPY;STEROIDS_GT_10MG_DAILY;RADIATION_TREATMENT_ADJUVANT;PRD_PROSTATECTOMY;PLATINUM_TX;FOLIC_ACID_TX;CISPLATIN_TX;TERT_PLATINUM_TX;TERT_CISPLATIN_TX;CARBOPLATIN_TX;TERT_CARBOLATIN_TX;OXALIPLATIN_TX;TERT_OXALIPLATIN_TX;ANTHRACYCLINE_TX;TERT_ANTHRACYCLINE_TX;TERT_TOPO_II_INH_TX;TOPO_II_TX;TERT_TOPO_I_INH_TX;TOPO_I_TX;FIRST_LINE_TREATMENT;TREATMENT_DETAILS;ANY_LINE_IODINE;NUM_LINES_IODINE;INITIAL_RX;SUBSEQUENT_RX;EPINEPHRINE;NOREPINEPHRINE;DOPAMINE;TREATMENT_PRIOR_TO_SURGERY_INDICATOR;ICI;TX_SORAFENIB;TX_APLIDIN;TX_BORTEZOMIB;TX_GSK690693;TX_JNJ26481585;TX_JNJ26854165;TX_MLN4924;TX_RAPAMYCIN;TX_KPT-330;TX_MK-2206;TX_MK-8242;TX_SCH 727965;TX_BAL101553;TX_CISPLATIN;TX_19D12;TX_ABT-263;TX_AZD-2171;TX_AZD-6244;TX_BMS-354825;TX_BMS-754807;TX_CGC(PG)-11047;TX_HGS-ETR1;TX_LENOLIDAMIDE;TX_PCI-32765;TX_RO4929097;TX_SGI-1776;TX_AZD8055;TX_BI6727 (VOLASERTIB);TX_BMN-673;TX_CX-5461 (POL1);TX_PF-03084014;TX_VS-4718;TX_ABT-199;TX_GS-9820;TX_17-DMAG;TX_SAR3419;TX_SU11248;TX_CBL0137;TX_MLN8237;TX_SB-715992;TX_NSC750854;TX_CPX351;TX_PR-104;TX_TOPOTECAN;TX_VINCRISTINE;TX_ERIBULIN;TX_TL32711;TX_LAPATINIB;TX_SAHA;TX_CYCLOPHOSPHAMIDE;TX_RG7112;TX_XL147;TX_SGN-CD19A;TX_AZD1480;TX_INK128-1110-028;TX_GSK923295A;TX_LY 2606368;TX_SVV-001;TX_ACTINOMYCIN D;TX_IMC-A12;TX_FENRETINIDE;TX_CABOZANTINIB (XL-148);TX_STF-118804;TX_E7438/EPZ6438;TX_MM-141;TX_STA9090 (GANETESPIB);TX_PIXANTRONE;TX_CYTARABINE;TX_TRISENOX(ATO);TX_ABRAXANE;TX_GENZ-644282;TX_TAK-701;TX_RUXOLITINIB;TX_CDX-011 (GLEMBATUMUMAB);TX_TB-403;TX_EC1456;CHEMOTHERAPY;ANDROGEN_DEPRIVATION_THERAPY;TREATMENT_PROSTATECTOMY;ADJUVANT_HORMONE_THERAPY;THERAPY_PRIOR_TO_DERIVATION;CRT_CHEMOAGENT;NEOADJ_CHEMOAGENT;ADJUVANT_CHEMO_REGIMEN;MEDICATION;IMMUNE_TREATMENT;NEOADJ_CHEMO",218
"treatment_notes","String","miscellaneous treatment information that does not fit into the other categories","ALTERNATE_THERAPY_OTHER;CUMULATIVE_TREATMENT_REGIMEN_COUNT;CUMULATIVE_TREATMENT_STAGE_COUNT;CUMULATIVE_TREATMENT_TYPE_COUNT;CUMULATIVE_CHEMO;PRD_SURGERY;PRD_OTHER_CANCER_RADIATION;PRD_RADIATION;PRD_RADIATION_SURGERY;PRD_TREATED_AT_ENROLLMENT;NONINVASIVE_BLADDER_CA_TX_TYPE;CRDB_TREATMENT_END_DAYS;AGE_AT_RADIATION_START;AGE_AT_RADIATION_STOP;RADIATION_SITE;RADIATION_TYPE;CHEMOTHERAPY_TYPE;AGE_AT_CHEMOTHERAPY_START;AGE_AT_CHEMOTHERAPY_STOP;FORMULATION;TIMING_OTHER_NOTES;TX_LOCATION;DX_TYPE;CALC_TREATMENT_NAIVE;REASON_FOR_TX_DISCONTINUATION;PRIOR_TREATMENT;RADIATION_THERAPY_XRT_TYPE;BRACHYTHERAPY_TOTAL_DOSE_POINT_A;MARGINS_INVOLVED_HYSTERECTOMY;CHEMO_CONCURRENT_REASON_NOT_GIVEN;RT_TX_REASON_NOT_COMPLETED;RT_TX_REASON_NOT_COMPLETED_OTHER;CHEMO_CONCURRENT_REASON_NOT_OTHER;RADIATION_TYPE_OTHER;METASTASECTOMY_SITE;CHEMO_OTHER_CYCLES;DETAILS_FIRST_LINE_COMMENTS;HISTORY_REFLUX_DISEASE_TREATMENT;CRDB_PRIOR_RX;DOSE_OF_RE-IRRADIATION;CHEMO_REGIMEN_CATEGORY;SURGERY_DATE_RELATIVE_TO_DX_MONTHS;HISTORY_IONIZING_RT_TO_HEAD;CYCLES_ON_THERAPY;OTHER_CONCURRENT_THERAPY;PRD_CHEMOTHERAPY;PRD_HORMONE_THERAPY;PRD_OTHER_THERAPY;PRD_PROSTATECTOMY;ALL_TX_AT_MSK;OTHER_CYTOTOXIC_TX;TERT_OTHER_CYTOTOXIC_TX;GYN_DIAGNOSIS_CHEMO_INTENT_DESCRIPTION;PROCEDURE;NUM_LINES;TREATMENT_AT_MSK;SURGERY_TYPE;TOTAL_CYCLES_NUM_NEOADJUVANT_ADJUVANT;SURGICAL_APPROACH_AT_DIAGNOSIS",59
"treatment_number","Numeric","number of times individual treatment was administered; can be number of doses/cycles/lines","CUMULATIVE_TREATMENT_REGIMEN_COUNT;CUMULATIVE_TREATMENT_STAGE_COUNT;CUMULATIVE_TREATMENT_TYPE_COUNT;CHEMO_CONCURRENT_FRACTIONS_TOTAL;CHEMO_CONCURRENT_DOSE;SURGERY NUMBER;TMZ_CYCLES;RADIOTHERAPY_FRACTIONS;CHEMO_OTHER_CYCLES;NUMBER_OF_LINES_OF_TREATMENT_FOR_MET_DISEASE;NUMBER_OF_CYCLES_PLATINUM;NUMBER_OF_CYCLES_PEMBROLIZUMAB;NUMBER_OF_CYCLES_FLUORO-PYRIMIDINE;NUMBER_OF_CYCLES_TRASTUZUMAB;NUMBER_OF_PD1_INHIBITOR_INJECTIONS;DOSE_OF_RE-IRRADIATION;CHEMO_CYCLES;PRIOR_LINES_OF_THERAPY;LINES_OF_TX_PRIOR_IMPACT;SECOND_LINE_TC_OR_SURGERY;THIRD_LINE;FIFTH_LINE;CYCLES_ON_THERAPY;PRIOR_LINES;PRIOR_TREATMENT;CYCLES_COMPLETED;TREATMENT_DETAILS;LINES_OF_TX;NUM_LINES_CHEMO;NUM_LINES_HORMONE;NUM_LINES_NTRK;NUM_LINES_TARGETED;NUM_LINES;NUM_LINES_IMMUNO;NUM_LINES_IODINE;INITIAL_RX;SUBSEQUENT_RX;NEOADJ_CHEMOCYCLES;TOTAL_CYCLES_NUM_NEOADJUVANT_ADJUVANT;ADJUVANT_CYCLES_NUM;NEOADJ_CHEMO",41
"treatment_reason","String","stated purpose/goal of treatment; can be a specific treatment phase","ADJUVANT_TX;ADJUVANT_CHEMO;NEOADJUVANT_CHEMO;PHARMACEUTICAL_TX_ADJUVANT;PHARM_TX_MITOTANE_FOR_MACRO_DISEASE;PHARM_TX_MITOTANE_ADJUVANT;RADIATION_TREATMENT_ADJUVANT;HISTORY_NEOADJUVANT_TRTYN;ALTERNATE_THERAPY_OTHER;CUMULATIVE_TREATMENT_STAGES;TYPE_INDUCTION_TREATMENT;DURATION_OF_INDUCTION_TREATMENT;PRIORRADIATIONFOROTHERCANCER;CURRENT_REGIMEN;MOST_RECENT_TREATMENT_DURATION;MOST_RECENT_TREATMENT_TYPE;TYPE_INDUCTION_TX;ADJUVANT_THERAPY;NEOADJUVANT_THERAPY;NGS_PRIOR_THERAPY;ADJUVANT_RADIATION_THERAPY;METASTATIC_RADIATION_THERAPY;TX_INDUCTION_COURSES_INDICATOR;TX_MAINTENANCE_COURSES_INDICATOR;RADADJUVANTRX;TX_LINE;SURGERY_AT_DX;ADJ_XRT;FIRST_LINE_THERAPY;TREATMENT_GROUP;RT_TX_TOTAL_DOSE_TO_PELVIS;RT_TX_REASON_NOT_COMPLETED;RT_TX_REASON_NOT_COMPLETED_OTHER;RADIATION_THERAPY_DOSE_PARAAORTIC_NODES;FIRST_LINE_MET_TX;PRIOR_ADJUVANT_CHEMO;SURGERY_INDICATION;DETAILS_FIRST_LINE_COMMENTS;2L_TREATMENT;3L_TREATMENT;INDUCTION;CHEMO_FIRST_LINE;SALVAGE_CHEMO;TUMOR_SURGERY_NUMBER;INITIAL_TREATMENT;PREVIOUS_TREATMENT;NEOADJ_CHEMO;HISTORY_NEOADJUVANT_MEDICATION;HISTORY_NEOADJUVANT_STEROID_TX;ABLATION_EMBOLIZATION_TX_ADJUVANT;ADJUVANT;ADJUVANT_CHEMOTHERAPY;ADJUVANT_XRT;NEOADJUVANT;NEOADJUVANT_CHEMOTHERAPY;NEOADJUVANT_TARGETED;NEOADJUVANT_XRT;ADJUVANT_TARGETED;NEOADJUVANT_IMMUNOTHERAPY;ADJUVANT_IMMUNOTHERAPY;IO_LINE;TX_SETTING;SECOND_LINE_TC_OR_SURGERY;FIFTH_LINE;FOURTH_LINE;THIRD_LINE;PRIOR_TREATMENT;FIRST_LINE_TREATMENT;MAINTENANCE_TX;SUBSEQUENT_RX;TREATMENT_PALLIATIVE_RADIATION;ADJUVANT_HORMONE_THERAPY;CHEMO_REGIMEN_CATEGORY;NEOADJUVANT_TREATMENT_DETAILS;NEOADJ_CHEMOCYCLES;TOTAL_CYCLES_NUM_NEOADJUVANT_ADJUVANT;NEOADJ_CHEMOAGENT;ADJUVANT_CT;ADJUVANT_CHEMO_REGIMEN;HISTORY_NEOADJUVANT_TX_TYPE;IMMUNE_TREATMENT;TYPE_OF_SURGERY;POSTOPERATIVE_TX",83
"treatment_start","String","Treatment start date/time","YEAR_OF_SURGERY;TX_90DAYS_POST_RESECTION;AGE_AT_RADIATION_START;AGE_AT_RADIATION_STOP;AGE_AT_CHEMOTHERAPY_START;AGE_AT_CHEMOTHERAPY_STOP;DOSE_OF_RE-IRRADIATION;DRUG_LAST_ADMIN;DRUG_START",9
