original_colname,normalized_colname
AJCC_METASTASIS_PATHOLOGIC_PM,american_joint_committee_on_cancer_metastasis_pathologic_pm
AJCC_NODES_PATHOLOGIC_PN,american_joint_committee_on_cancer_nodes_pathologic_pn
AJCC_TUMOR_PATHOLOGIC_PT,american_joint_committee_on_cancer_tumor_pathologic_pt
RESIDUAL_TUMOR,residual_tumor
TREATMENT_OUTCOME_FIRST_COURSE,treatment_outcome_first_course
HISTOLOGICAL_SUBTYPE,histological_subtype
PLATFORM,platform
AGE_AT_DIAGNOSIS,age_at_diagnosis
AGE_AT_SEQ_REPORTED_YEARS,age_at_seq_reported_years
COHORT,cohort
HISTOLOGY,histology
BUFFA_HYPOXIA_SCORE,buffa_hypoxia_score
LYMPH_NODE_EXAMINED_COUNT,lymph_node_examined_count
LYMPH_NODES_EXAMINED,lymph_nodes_examined
M_STAGE,m_stage
PLOIDY,ploidy
RAGNUM_HYPOXIA_SCORE,ragnum_hypoxia_score
SMOKING_HISTORY,smoking_history
TUMOR_STAGE,tumor_stage
WINTER_HYPOXIA_SCORE,winter_hypoxia_score
MSI_COMMENT,microsatellite_instability_comment
PURITY,purity
ECOG_SCORE,eastern_cooperative_oncology_group_score
RELIGION,religion
TUMOR_SIZE,tumor_size
KARNOFSKY_PERFORMANCE_SCORE,karnofsky_performance_score
TOBACCO_SMOKING_HISTORY_INDICATOR,tobacco_smoking_history_indicator
HEIGHT,height
SPECIMEN_SECOND_LONGEST_DIMENSION,specimen_second_longest_dimension
AGE_CURRENT,age_current
ARCHER,archer
LATERALITY,laterality
LONGEST_DIMENSION,longest_dimension
LYMPH_NODES_EXAMINED_HE_COUNT,lymph_nodes_examined_hematoxylin_eosin_count
SHORTEST_DIMENSION,shortest_dimension
SMOKER,smoker
METHOD_OF_INITIAL_SAMPLE_PROCUREMENT,method_of_initial_sample_procurement
MSI_STATUS,microsatellite_instability_status
PRIMARY_LYMPH_NODE_PRESENTATION_ASSESSMENT,primary_lymph_node_presentation_assessment
TISSUE_SITE,tissue_site
PRIMARY_SITE_PATIENT,primary_site_patient
SMOKING_YEAR_STARTED,smoking_year_started
SMOKING_YEAR_STOPPED,smoking_year_stopped
SO_COMMENTS,so_comments
T_STAGE,t_stage
TARGETED_MOLECULAR_THERAPY,targeted_molecular_therapy
CLINICAL_STAGE,clinical_stage
N_STAGE,n_stage
PATH_SLIDE_EXISTS,pathologic_slide_exists
PED_IND,ped_ind
TNMSTAGE,tnmstage
CLIN_M_STAGE,clinical_m_stage
MSK_SLIDE_ID,memorial_sloan_kettering_slide_id
PARTC_CONSENTED_12_245,partc_consented_12_245
PERFORMANCE_STATUS_TIMING,performance_status_timing
SMOKING_STATUS,smoking_status
STAGE_AT_DIAGNOSIS,stage_at_diagnosis
STUDY,study
TREATMENT,treatment
CLIN_T_STAGE,clinical_t_stage
GLEASON_SCORE,gleason_score
HISTOLOGICAL_TYPE,histological_type
METHOD_OF_INITIAL_SAMPLE_PROCUREMENT_OTHER,method_of_initial_sample_procurement_other
PATIENT_DEATH_REASON,patient_death_reason
PROJECT_CODE,project_code
CVR_TMB_SCORE,center_for_cancer_research_tumor_mutational_burden_score
DISEASE_CODE,disease_code
ER_STATUS,estrogen_receptor_status
MOLECULAR_SUBTYPE,molecular_subtype
PATIENT_DISPLAY_NAME,patient_display_name
PERINEURAL_INVASION,perineural_invasion
ANALYSIS_COHORT,analysis_cohort
CHEMOTHERAPY,chemotherapy
COLLAB_ID,collab_id
DIAGNOSIS,diagnosis
DURABLE_CLINICAL_BENEFIT,durable_clinical_benefit
HER2_STATUS,human_epidermal_growth_factor_receptor_2_status
KRAS_MUTATION,kirsten_rat_sarcoma_viral_oncogene_mutation
METASTATIC_SITE_OTHER,metastatic_site_other
METHYLATION_CLUSTER,methylation_cluster
MUTATION_RATE,mutation_rate
PARTA_CONSENTED_12_245,parta_consented_12_245
PROTOCOL,protocol
PSA,prostate_specific_antigen
TUMOR_CONTENT,tumor_content
TUMOR_GRADE,tumor_grade
TUMOR_LOCATION,tumor_location
WBC,white_blood_cell
WGD,whole_genome_doubling
AGE_AT_SURGERY,age_at_surgery
AJCC_METASTASIS_CLINICAL_CM,american_joint_committee_on_cancer_metastasis_clinical_centimeters
COUNTRY,country
DAYS_TO_DEATH,days_to_death
FUSION_STATUS,fusion_status
GENOMIC_ALTERATIONS,genomic_alterations
IHC_HER2,immunohistochemistry_human_epidermal_growth_factor_receptor_2
LYMPH_NODES_EXAMINED_IHC_COUNT,lymph_nodes_examined_immunohistochemistry_count
METASTATIC_SITE_PATIENT,metastatic_site_patient
OS_DAYS,overall_survival_days
PR_STATUS,progesterone_receptor_status
PRIOR_TREATMENT,prior_treatment
SAMPLE_TIMEPOINT,sample_timepoint
SEQUENCED,sequenced
SEQUENCING_TYPE,sequencing_type
SPECIMEN_TYPE,specimen_type
TUMOR_SAMPLE_HISTOLOGY,tumor_sample_histology
YEAR_OF_DIAGNOSIS,year_of_diagnosis
ABSOLUTE_EXTRACT_PLOIDY,absolute_extract_ploidy
AGE_AT_PROCUREMENT,age_at_procurement
AGE_IN_DAYS,age_in_days
ANGIOLYMPHATIC_INVASION,angiolymphatic_invasion
BMI,body_mass_index
CLIN_N_STAGE,clinical_n_stage
DATE_ADDED,date_added
DAYS_TO_LAST_FOLLOWUP,days_to_last_followup
FGA,fraction_genome_altered
FOLLOW_UP_TIME_MONTHS,follow_up_time_months
IDH_LEVEL,isocitrate_dehydrogenase_level
MEAN_TARGET_COVERAGE_TUMOR,mean_target_coverage_tumor
MENOPAUSE_STATUS,menopause_status
METASTASIS,metastasis
MONTH_ADDED,month_added
NOTE,note
OVERALL_PATIENT_HISTOLOGY,overall_patient_histology
PRIMARY_SITE_OTHER,primary_site_other
RECURRENCE,recurrence
RFS_STATUS,recurrence_free_survival_status
RISK_GROUP,risk_group
RPPA_CLUSTER,reverse_phase_protein_array_cluster
SURGERY,surgery
TIME_TO_LAST_FOLLOWUP,time_to_last_followup
TMB,tumor_mutational_burden
TREATMENT_BEST_RESPONSE,treatment_best_response
TUMOR_CELLULARITY_PATHOLOGY_REVIEW,tumor_cellularity_pathology_review
VASCULAR_INVASION,vascular_invasion
WEEK_ADDED,week_added
WHO_CLASS,world_health_organization_class
AGE_AT_SEQ_REPORT,age_at_seq_report
BX_LOCATION,bx_location
BX_TIME_DAYS,bx_time_days
BX_TYPE,bx_type
CAUSE_OF_DEATH_SOURCE,cause_of_death_source
CELLULARITY,cellularity
CENTER,center
CIRRHOSIS,cirrhosis
CRDB_CONSENT_DATE_DAYS,clinical_research_database_consent_date_days
CRDB_OFF_STUDY_DAYS,clinical_research_database_off_study_days
CRDB_SURVIVAL_STATUS,clinical_research_database_survival_status
CRDB_TREATMENT_END_DAYS,clinical_research_database_treatment_end_days
CVR_TMB_COHORT_PERCENTILE,center_for_cancer_research_tumor_mutational_burden_cohort_percentile
CVR_TMB_TT_COHORT_PERCENTILE,center_for_cancer_research_tumor_mutational_burden_tt_cohort_percentile
CYTOGENETICS,cytogenetics
DATA_SOURCE,data_source
DIFFERENTIATION,differentiation
FAMILY_HISTORY_CANCER_RELATIONSHIP,family_history_cancer_relationship
FAMILY_HISTORY_CANCER_TYPE,family_history_cancer_type
GENOME_DOUBLINGS,genome_doublings
HPV_STATUS,human_papillomavirus_status
IDH1_MUTATION,idh1_mutation
LOCAL_RECURRENCE,local_recurrence
LYMPH_NODES_EXAMINED_POSITIVE,lymph_nodes_examined_positive
MEAN_TARGET_COVERAGE_NORMAL,mean_target_coverage_normal
METASTATIC_TUMOR_INDICATOR,metastatic_tumor_indicator
MGMT_STATUS,o6_methylguanine_dna_methyltransferase_status
MYB_MYBL1_FUSION,myb_mybl1_fusion
PATH_MARGIN,pathologic_margin
PATIENT_GRADE,patient_grade
PERCENTAGE_NECROSIS,percentage_necrosis
PLATELET_COUNT,platelet_count
PURITY_ABSOLUTE,purity_absolute
RFS_MONTHS,recurrence_free_survival_months
SAMPLE_COLLECTION_SOURCE,sample_collection_source
SAMPLE_DISPLAY_NAME,sample_display_name
SOURCE,source
STATUS,status
TOTAL_MUTATIONS,total_mutations
TP53_MUTATION,tumor_protein_p53_mutation
TREATMENT_TYPE,treatment_type
TUMOR_DIFFERENTIATION,tumor_differentiation
WHO_GRADE,world_health_organization_grade
ADJUVANT_CHEMO,adjuvant_chemo
ADJUVANT_TX,adjuvant_treatment
AFP_AT_PROCUREMENT,alpha_fetoprotein_at_procurement
AGE_GROUP,age_group
AJCC_CLINICAL_TUMOR_STAGE,american_joint_committee_on_cancer_clinical_tumor_stage
AJCC_NODES_CLINICAL_CN,american_joint_committee_on_cancer_nodes_clinical_cn
AJCC_NODES_CLINICAL_CT,american_joint_committee_on_cancer_nodes_clinical_computed_tomography
ALCOHOL_CONSUMPTION_FREQUENCY,alcohol_consumption_frequency
ALCOHOL_HISTORY_DOCUMENTED,alcohol_history_documented
BIOPSY_SITE,biopsy_site
BRAF_MUTATION,b_raf_proto_oncogene_mutation
CRDB_ADJ_TXT,clinical_research_database_adj_txt
CRDB_BRAINMET,clinical_research_database_brainmet
CRDB_ECOG,clinical_research_database_eastern_cooperative_oncology_group
CRDB_NOSYSTXT,clinical_research_database_nosystxt
CRDB_PRIOR_RX,clinical_research_database_prior_rx
DAILY_ALCOHOL,daily_alcohol
DAYS_TO_EVENT,days_to_event
EBV_STATUS,epstein_barr_virus_status
ECOG,eastern_cooperative_oncology_group
EST_TUMOR_CELLULARITY,est_tumor_cellularity
FAB,french_american_british
FAMILY_HISTORY_OF_CANCER,family_history_of_cancer
FIRST_EVENT,first_event
GENOME_DOUBLED,genome_doubled
H_PYLORI_INFECTION,h_pylori_infection
HEMOGLOBIN_LEVEL,hemoglobin_level
HER2_IHC_SCORE,human_epidermal_growth_factor_receptor_2_immunohistochemistry_score
HYPERTENSION_DIAGNOSIS,hypertension_diagnosis
ISHAK_FIBROSIS_SCORE,ishak_fibrosis_score
LAUREN_CLASS,lauren_class
LOCATION,location
MIRNA_CLUSTER,microrna_cluster
MLH1_SILENCING,mutl_homolog_1_silencing
MRNA_DATA,messenger_rna_data
MYB_NFIB_FISH,myb_nfib_fluorescence_in_situ_hybridization
PRIMARY_HISTOLOGY,primary_histology
PROCEDURE_TYPE,procedure_type
RECIST_RESPONSE,response_evaluation_criteria_in_solid_tumors_response
RNASEQ_DATA,rna_sequencing_data
SAMPLE_COLLECTION_METHOD,sample_collection_method
SAMPLE_ORIGIN,sample_origin
SAMPLE_SITE,sample_site
SITE,site
SITE_OF_RECURRENCE,site_of_recurrence
TISSUE_SEQUENCED,tissue_sequenced
TREATMENT_CHEMOTHERAPY,treatment_chemotherapy
TREATMENT_STATUS,treatment_status
TUMOR_SIZE_CM,tumor_size_centimeters
TUMOR_STAGE_2009,tumor_stage_2009
TYPE_OF_SURGERY,type_of_surgery
UICC_TUMOR_STAGE,union_for_international_cancer_control_tumor_stage
ABLATION_EMBOLIZATION_TX_ADJUVANT,ablation_embolization_treatment_adjuvant
ABSOLUTE_EXTRACT_PURITY,absolute_extract_purity
ACGH_DATA,array_comparative_genomic_hybridization_data
AGE_AT_DIAGNOSIS_GROUP,age_at_diagnosis_group
AGENT,agent
ALCOHOL,alcohol
BARRETTS_ESOPHAGUS,barretts_esophagus
BONE_MARROW_LEUKEMIC_BLAST_PERCENTAGE,bone_marrow_leukemic_blast_percentage
BONE_SCAN_RESULT,bone_scan_result
BRACHYTHERAPY_TOTAL_DOSE_POINT_A,brachytherapy_total_dose_point_a
BRAF_STATUS,b_raf_proto_oncogene_status
BRESLOW_DEPTH,breslow_depth
BX_NOTES,bx_notes
CALC_TIME_TO_METS_DX_DAYS,calc_time_to_mets_diagnosis_days
CALC_TIME_TO_METS_DX_MONTHS,calc_time_to_mets_diagnosis_months
CALC_TREATMENT_NAIVE,calc_treatment_naive
CAUSE_OF_DEATH,cause_of_death
CBEST_B_MEM,cibersort_estimate_b_memory
CBEST_B_NAIVE,cibersort_estimate_b_naive
CBEST_DENDRITIC_ACT,cibersort_estimate_dendritic_activated
CBEST_DENDRITIC_REST,cibersort_estimate_dendritic_resting
CBEST_EOSINOPHILS,cibersort_estimate_eosinophils
CBEST_MACRO_M0,cibersort_estimate_macrophage_m0
CBEST_MACRO_M1,cibersort_estimate_macrophage_m1
CBEST_MACRO_M2,cibersort_estimate_macrophage_m2
CBEST_MAST_ACT,cibersort_estimate_mast_activated
CBEST_MAST_REST,cibersort_estimate_mast_resting
CBEST_MONO,cibersort_estimate_monocyte
CBEST_NEUTROPHILS,cibersort_estimate_neutrophils
CBEST_NK_ACT,cibersort_estimate_natural_killer_activated
CBEST_NK_REST,cibersort_estimate_natural_killer_resting
CBEST_PLASMA,cibersort_estimate_plasma_cell
CBEST_T_CD4_MEM_ACT,cibersort_estimate_t_cluster_of_differentiation_4_memory_activated
CBEST_T_CD4_MEM_REST,cibersort_estimate_t_cluster_of_differentiation_4_memory_resting
CBEST_T_CD4_NAIVE,cibersort_estimate_t_cluster_of_differentiation_4_naive
CBEST_T_CD8,cibersort_estimate_t_cluster_of_differentiation_8
CBEST_T_FOLLI_HEL,cibersort_estimate_t_follicular_helper
CBEST_T_G_D,cibersort_estimate_t_g_day
CBEST_T_REG,cibersort_estimate_t_regulatory
CENSORED,censored
CHRONIC_HEPATITIS_ANY_TYPE,chronic_hepatitis_any_type
CIBERSORT_CORRELATION,cibersort_correlation
CIBERSORT_P,cibersort_p
CIBERSORT_RMSE,cibersort_rmse
CNS_SITE_OF_RELAPSE,central_nervous_system_site_of_relapse
CNS_STATUS,central_nervous_system_status
COMMENTS,comments
COMPLETE_DATA,complete_data
COUNTRY_OF_ORIGIN,country_of_origin
CREATININE_LEVEL_PRERESECTION,creatinine_level_preresection
CREATININE_NORM_RANGE_LOWER,creatinine_normal_range_lower
CREATININE_NORM_RANGE_UPPER,creatinine_normal_range_upper
CT_SCAN_PREOP_RESULTS,computed_tomography_scan_preoperative_results
CURRENT_STAGE,current_stage
CYTOLYTIC_SCORE,cytolytic_score
DIABETES_DIAGNOSIS_INDICATOR,diabetes_diagnosis_indicator
DISEASE_EXTENT,disease_extent
DISEASE_STAGE,disease_stage
DISEASE_STATUS,disease_status
DISTANT_METASTASIS_PATHOLOGIC_SPREAD,distant_metastasis_pathologic_spread
DISTANT_METS,distant_mets
DOUBLING_TIME,doubling_time
DRINKER,drinker
ER_STATUS_BY_IHC,estrogen_receptor_status_by_immunohistochemistry
ERYTHROCYTE_SEDIMENTATION_RATE,erythrocyte_sedimentation_rate
ESTIMATE_SCORE,estimate_score
FUSION,fusion
GENE_EXPRESSION_CLUSTER,gene_expression_cluster
GROUP,group
HER2_FISH,human_epidermal_growth_factor_receptor_2_fluorescence_in_situ_hybridization
HER2_FISH_STATUS,human_epidermal_growth_factor_receptor_2_fluorescence_in_situ_hybridization_status
HISTORY_HORMONAL_CONTRACEPTIVES_USE,history_hormonal_contraceptives_use
HLA_A,human_leukocyte_antigen_a
HLA_B,human_leukocyte_antigen_b
HLA_C,human_leukocyte_antigen_c
ICLUSTER,icluster
IMMUNE_SCORE,immune_score
IMMUNE_TREATMENT,immune_treatment
IMMUNOSUPPRESSION,immunosuppression
INCIDENTAL_PROSTATE_CANCER,incidental_prostate_cancer
INSS_STAGE,international_neuroblastoma_staging_system_stage
IPI,international_prognostic_index
KARYOTYPE,karyotype
KRAS_GENE_ANALYSIS_INDICATOR,kirsten_rat_sarcoma_viral_oncogene_gene_analysis_indicator
LST,large_scale_transition
LYMPH_NODE_STATUS,lymph_node_status
METHYLATION_STATUS,methylation_status
METS_SITES_AT_METS_ABST_BONE,mets_sites_at_mets_abst_bone
METS_SITES_AT_METS_ABST_LIVER,mets_sites_at_mets_abst_liver
METS_SITES_AT_METS_ABST_LUNG,mets_sites_at_mets_abst_lung
METS_SITES_AT_METS_DX_BONE,mets_sites_at_mets_diagnosis_bone
METS_SITES_AT_METS_DX_LIVER,mets_sites_at_mets_diagnosis_liver
METS_SITES_AT_METS_DX_LUNG,mets_sites_at_mets_diagnosis_lung
MITOTIC_COUNT,mitotic_count
MRNA_EXPRESSION_CLUSTER,messenger_rna_expression_cluster
MUTATION_BURDEN,mutation_burden
MUTATION_LOAD,mutation_load
MUTATION_STATUS,mutation_status
MUTATION_TYPE,mutation_type
NEOADJ_CHEMO,neoadj_chemo
NEOADJUVANT_CHEMO,neoadjuvant_chemo
NEOAGCNT,neoagcnt
NONSYNONYMOUS_MUTATION_BURDEN,nonsynonymous_mutation_burden
NONSYNONYMOUS_MUTATION_COUNT,nonsynonymous_mutation_count
NUM_NONSILENT_MUTATION,number_nonsilent_mutation
OCCUPATION_PRIMARY,occupation_primary
OCCUPATION_PRIMARY_YEARS_WORKED,occupation_primary_years_worked
P53,p53
PAM50_SUBTYPE,pam50_subtype
PATHOLOGICAL_DIAGNOSIS,pathological_diagnosis
PB_BLAST_PERCENTAGE,pb_blast_percentage
PERCENTAGE_TUMOR_PURITY,percentage_tumor_purity
PIK3CA_MUTATION,phosphatidylinositol_3_kinase_catalytic_subunit_alpha_mutation
PLATELET_COUNT_PRERESECTION,platelet_count_preresection
PR_STATUS_BY_IHC,progesterone_receptor_status_by_immunohistochemistry
PRD_HISPANIC,prd_hispanic
PRD_OTHER_CANCER,prd_other_cancer
PRD_TREATED_AT_ENROLLMENT,prd_treated_at_enrollment
PRETREATMENT_HISTORY,pretreatment_history
PREVIOUS_TREATMENT,previous_treatment
PRIMARY_TUMOR_LOCATION,primary_tumor_location
PRIMARY_TUMOR_PATHOLOGIC_SPREAD,primary_tumor_pathologic_spread
REFLUX_HISTORY,reflux_history
SAMPLE_TYPE_DETAIL,sample_type_detail
SCNA_CLUSTER,scna_cluster
SERUM_CALCIUM_LEVEL,serum_calcium_level
SERUM_PSA,serum_prostate_specific_antigen
SMOKING,smoking
SNAPSHOT_MUTATIONS,snapshot_mutations
SPECIMEN_SITE,specimen_site
STAGING_SYSTEM,staging_system
STROMAL_SCORE,stromal_score
SUBGROUP,subgroup
SURVIVAL_STATUS,survival_status
TESTICULAR_INVOLVEMENT,testicular_involvement
THERAPY,therapy
TNM,tumor_node_metastasis
TOTAL_EXONIC_MUTATION_BURDEN,total_exonic_mutation_burden
TREATMENT_RESPONSE,treatment_response
TUMOR_FOCALITY,tumor_focality
WHOLE_EXOME_SEQUENCING,whole_exome_sequencing
YEAR_OF_INITIAL_PATHOLOGIC_DIAGNOSIS,year_of_initial_pathologic_diagnosis
A_C,a_c
A_G,a_g
A_T,a_t
ABERRANT_CELL_FRACTION,aberrant_cell_fraction
ABI_ENZA_EXPOSURE_STATUS,abi_enza_exposure_status
ABSOLUTE_CANCER_DNA_FRACTION,absolute_cancer_deoxyribonucleic_acid_fraction
ADJUVANT_THERAPY,adjuvant_therapy
AFP_NORM_RANGE_LOWER,alpha_fetoprotein_normal_range_lower
AFP_NORM_RANGE_UPPER,alpha_fetoprotein_normal_range_upper
AGE_AT_DX,age_at_diagnosis
AGE_AT_INITIAL_DIAGNOSIS,age_at_initial_diagnosis
AGE_AT_SEQUENCING,age_at_sequencing
AGE_CLASS,age_class
AJCC_INCIDENTAL_PROSTATE_CANCER,american_joint_committee_on_cancer_incidental_prostate_cancer
ALK_ANALYSIS_TYPE,anaplastic_lymphoma_kinase_analysis_type
ALK_TRANSLOCATION_STATUS,anaplastic_lymphoma_kinase_translocation_status
ALKYLATING_TX,alkylating_treatment
ALL_TX_AT_MSK,acute_lymphoblastic_leukemia_treatment_at_memorial_sloan_kettering
ALLELE_FREQUENCY_CELLULARITY,allele_frequency_cellularity
ALTERNATE_THERAPY_OTHER,alternate_therapy_other
AMPLIFICATION_STATUS,amplification_status
ANATOMIC_REGION,anatomic_region
ANATOMICAL_SUBTYPE,anatomical_subtype
ANDROGEN_DEPRIVATION_THERAPY,androgen_deprivation_therapy
ANTHRACYCLINE_TX,anthracycline_treatment
ANTIMETABOLITE_TX,antimetabolite_treatment
AR_SCORE,ar_score
ARHGAP26_ARHGAP6_CLDN18_REARRANGEMENT,arhgap26_arhgap6_cldn18_rearrangement
ARID1A_MUTATION,arid1a_mutation
AVE_PLOIDY,ave_ploidy
BASELINE_ECOG,baseline_eastern_cooperative_oncology_group
BATCH_NUMBER,batch_number
BCR_STATUS,biochemical_recurrence_status
BILIRUBIN_TOTAL,bilirubin_total
BILIRUBIN_TOTAL_NORM_RANGE_LOWER,bilirubin_total_normal_range_lower
BILIRUBIN_TOTAL_NORM_RANGE_UPPER,bilirubin_total_normal_range_upper
BIOCHEMICAL_RECURRENCE_INDICATOR,biochemical_recurrence_indicator
BIOPSY_GLEASON_SCORE,biopsy_gleason_score
BIOPSY_TIME,biopsy_time
BM_BLAST_PERCENTAGE,bm_blast_percentage
BONE_MARROW_SITE_OF_RELAPSE,bone_marrow_site_of_relapse
BX_DCIS,bx_dcis
BX_EPITHELIOID,bx_epithelioid
BX_ER,bx_estrogen_receptor
BX_GRADE,bx_grade
BX_HER2FISH,bx_her2fish
BX_HER2IHC,bx_her2ihc
BX_HER2OVERALL,bx_her2overall
BX_HISTOLOGY,bx_histology
BX_KI67,bx_ki67
BX_LCIS,bx_lcis
BX_NUCLEAR_GRADE,bx_nuclear_grade
BX_PERCENT_ER,bx_percent_estrogen_receptor
BX_PERCENT_PR,bx_percent_progesterone_receptor
BX_PR,bx_progesterone_receptor
BX_SIDEDNESS_BREAST,bx_sidedness_breast
BX_SPINDLE_CELL,bx_spindle_cell
BX_VASOFORMATIVE,bx_vasoformative
BXCEP17_COPY,bxcep17_copy
BXHER2_COPY,bxher2_copy
BXHER2_RATIO,bxher2_ratio
C_A,c_a
C_G,c_g
C_T,c_t
CALC_MET_SETTING,calc_met_proto_oncogene_receptor_tyrosine_kinase_setting
CARBON_MONOXIDE_DIFFUSION_DLCO,carbon_monoxide_diffusion_dlco
CARBOPLATIN_TX,carboplatin_treatment
CDKN2A_SILENCING,cyclin_dependent_kinase_inhibitor_2a_silencing
CEBPA_MUTATION,cebpa_mutation
CENT17_COPY_NUMBER,cent17_copy_number
CHEMO_CYCLES,chemo_cycles
CHEMO_FIRST_LINE,chemo_first_line
CHEMO_REGIMEN_CATEGORY,chemo_regimen_category
CHEMO_TX,chemo_treatment
CHILD_PUGH_CLASSIFICATION,child_pugh_classification
CIBERSORT_ABSOLUTE,cibersort_absolute
CIGARETTES_PER_DAY,cigarettes_per_day
CIMP_CATEGORY,cpg_island_methylator_phenotype_category
CISPLATIN_TX,cisplatin_treatment
CITY_OF_PROCUREMENT,city_of_procurement
CLARK_LEVEL_AT_DIAGNOSIS,clark_level_at_diagnosis
CLINICAL_GLEASON,clinical_gleason
CLINICAL_STATUS_WITHIN_3_MTHS_SURGERY,clinical_status_within_3_mths_surgery
CLINICAL_TRIAL,clinical_trial
CLONALITY,clonality
CLONET_PURITY,clonet_purity
CN_CLUSTER,cn_cluster
CNA_DATA,copy_number_alteration_data
CONCOMITANT_CIS,concomitant_cis
COPY_NUMBER,copy_number
COPY_NUMBER_CLUSTER,copy_number_cluster
COUNTRY_OF_PROCUREMENT,country_of_procurement
CSTAGE_CATEGORY,cstage_category
CT_SCAN_AB_PELVIS_INDICATOR,computed_tomography_scan_ab_pelvis_indicator
CT_SCAN_AB_PELVIS_RESULTS,computed_tomography_scan_ab_pelvis_results
CUMULATIVE_TREATMENT_REGIMEN_COUNT,cumulative_treatment_regimen_count
CUMULATIVE_TREATMENT_REGIMENS,cumulative_treatment_regimens
CUMULATIVE_TREATMENT_STAGE_COUNT,cumulative_treatment_stage_count
CUMULATIVE_TREATMENT_STAGES,cumulative_treatment_stages
