original_value,top1_match,top2_match,top3_match,top4_match,top5_match,top1_confidence,top1_quality,top1_rationale,top2_confidence,top2_quality,top2_rationale,top3_confidence,top3_quality,top3_rationale,top4_confidence,top4_quality,top4_rationale,top5_confidence,top5_quality,top5_rationale,best_match_rank,best_match_confidence,overall_assessment
ACUTE ERYTHROID LEUKEMIA,Acute Erythroid Leukemia,Pure Erythroid Leukemia,Adult Acute Erythroid Leukemia,Childhood Acute Erythroid Leukemia,Adult Pure Erythroid Leukemia,1.0,excellent,Exact match,0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.85,excellent,All key terms present (3/3 terms matched),0.8,good,All key terms present (3/3 terms matched),0.35,fair,2/3 key terms matched; 56.0% term overlap,1,1.0,high_confidence
ACUTE LEUKAEMIAS OF AMBIGUOUS LINEAGE,Acute Leukemia of Ambiguous Lineage,"Acute Leukemia of Ambiguous Lineage, Not Otherwise Specified",Acute Leukemia of Ambiguous Lineage with Defining Genetic Abnormalities,Acute Undifferentiated Leukemia,Acute Leukemia,0.7,good,3/4 key terms matched; 69.0% term overlap,0.65,moderate,3/4 key terms matched; 69.0% term overlap,0.6,moderate,3/4 key terms matched; 60.0% term overlap,0.2,poor,1/4 key terms matched; 21.7% term overlap,0.15,poor,1/4 key terms matched; 23.0% term overlap,1,0.7,good_confidence
ACUTE LEUKEMIAS OF AMBIGUOUS LINEAGE,Acute Leukemia of Ambiguous Lineage,"Acute Leukemia of Ambiguous Lineage, Not Otherwise Specified",Acute Leukemia of Ambiguous Lineage with Defining Genetic Abnormalities,Acute Undifferentiated Leukemia,Acute Leukemia,0.7,good,3/4 key terms matched; 69.0% term overlap,0.65,moderate,3/4 key terms matched; 69.0% term overlap,0.6,moderate,3/4 key terms matched; 60.0% term overlap,0.2,poor,1/4 key terms matched; 21.7% term overlap,0.15,poor,1/4 key terms matched; 23.0% term overlap,1,0.7,good_confidence
ACUTE LYMPHOBLASTIC LEUKEMIA,Acute Lymphoblastic Leukemia,Common Acute Lymphoblastic Leukemia,Childhood Acute Lymphoblastic Leukemia,B Acute Lymphoblastic Leukemia,Infant Acute Lymphoblastic Leukemia,1.0,excellent,Exact match,0.9,excellent,All key terms present (3/3 terms matched),0.85,excellent,All key terms present (3/3 terms matched),0.8,good,All key terms present (3/3 terms matched),0.75,good,All key terms present (3/3 terms matched),1,1.0,high_confidence
"ACUTE LYMPHOBLASTIC LEUKEMIA ALL, B-CELL",B Acute Lymphoblastic Leukemia,"B Acute Lymphoblastic Leukemia, Not Otherwise Specified",Childhood B Acute Lymphoblastic Leukemia,Acute Lymphoblastic Leukemia,B Lymphoblastic Leukemia/Lymphoma,0.7,good,3/5 key terms matched; 60.0% term overlap,0.65,moderate,3/5 key terms matched; 60.0% term overlap,0.45,fair,3/5 key terms matched; 56.0% term overlap,0.55,moderate,3/5 key terms matched; 60.0% term overlap,0.15,poor,2/5 key terms matched; 37.3% term overlap,1,0.7,good_confidence
"ACUTE LYMPHOBLASTIC LEUKEMIA ALL, T-CELL",T Acute Lymphoblastic Leukemia,"T Acute Lymphoblastic Leukemia, Not Otherwise Specified",T Lymphoblastic Leukemia/Lymphoma,Childhood T Acute Lymphoblastic Leukemia,T Acute Lymphoblastic Leukemia with TAL1 Rearrangement,0.7,good,3/5 key terms matched; 60.0% term overlap,0.65,moderate,3/5 key terms matched; 60.0% term overlap,0.25,poor,2/5 key terms matched; 37.3% term overlap,0.4,fair,3/5 key terms matched; 56.0% term overlap,0.35,fair,3/5 key terms matched; 53.1% term overlap,1,0.7,good_confidence
ACUTE LYMPHOID LEUKEMIA,Acute Lymphoblastic Leukemia,Acute Leukemia,Lymphoid Leukemia,Aleukemic Acute Lymphoblastic Leukemia,Aleukemic Lymphoid Leukemia,0.7,good,2/3 key terms matched; 60.0% term overlap,0.65,moderate,2/3 key terms matched; 66.7% term overlap,0.6,moderate,2/3 key terms matched; 66.7% term overlap,0.4,fair,2/3 key terms matched; 56.0% term overlap,0.5,fair,2/3 key terms matched; 60.0% term overlap,1,0.7,good_confidence
ACUTE MEGAKARYOBLASTIC LEUKAEMIA,Acute Megakaryoblastic Leukemia,Adult Acute Megakaryoblastic Leukemia,Childhood Acute Megakaryoblastic Leukemia,Acute Monocytic Leukemia,Acute Myelomonocytic Leukemia,0.7,good,2/3 key terms matched; 60.0% term overlap,0.5,moderate,2/3 key terms matched; 56.0% term overlap,0.45,fair,2/3 key terms matched; 56.0% term overlap,0.2,poor,1/3 key terms matched; 28.0% term overlap,0.15,poor,1/3 key terms matched; 28.0% term overlap,1,0.7,good_confidence
ACUTE MEGAKARYOBLASTIC LEUKEMIA,Acute Megakaryoblastic Leukemia,Adult Acute Megakaryoblastic Leukemia,Childhood Acute Megakaryoblastic Leukemia,Acute Monocytic Leukemia,Acute Myelomonocytic Leukemia,1.0,excellent,Exact match,0.9,excellent,All key terms present (3/3 terms matched),0.85,excellent,All key terms present (3/3 terms matched),0.55,moderate,2/3 key terms matched; 60.0% term overlap,0.5,fair,2/3 key terms matched; 60.0% term overlap,1,1.0,high_confidence
ACUTE MONOBLASTIC AND MONOCYTIC LEUKAEMIA,Acute Monoblastic and Monocytic Leukemia,Adult Acute Monoblastic and Monocytic Leukemia,Acute Monoblastic Leukemia,Childhood Acute Monoblastic and Monocytic Leukemia,Acute Monocytic Leukemia,0.7,good,3/4 key terms matched; 69.0% term overlap,0.65,moderate,3/4 key terms matched; 65.0% term overlap,0.45,fair,2/4 key terms matched; 46.0% term overlap,0.55,moderate,3/4 key terms matched; 65.0% term overlap,0.35,fair,2/4 key terms matched; 46.0% term overlap,1,0.7,good_confidence
ACUTE MONOBLASTIC/MONOCYTIC LEUKEMIA,Acute Monoblastic and Monocytic Leukemia,Acute Monoblastic Leukemia,Adult Acute Monoblastic and Monocytic Leukemia,Acute Monocytic Leukemia,Adult Acute Monoblastic Leukemia,0.95,excellent,All key terms present (4/4 terms matched),0.65,moderate,3/4 key terms matched; 75.0% term overlap,0.85,excellent,All key terms present (4/4 terms matched),0.55,moderate,3/4 key terms matched; 75.0% term overlap,0.5,fair,3/4 key terms matched; 69.0% term overlap,1,0.95,high_confidence
ACUTE MYELOBLASTIC LEUKEMIA,Acute Myeloid Leukemia,Acute Monocytic Leukemia,Acute Myelomonocytic Leukemia,Acute Megakaryoblastic Leukemia,Myeloid Leukemia,0.7,good,2/3 key terms matched; 60.0% term overlap,0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.6,moderate,2/3 key terms matched; 60.0% term overlap,0.55,moderate,2/3 key terms matched; 60.0% term overlap,0.15,poor,1/3 key terms matched; 30.0% term overlap,1,0.7,good_confidence
"ACUTE MYELOBLASTIC LEUKEMIA, IN RELAPSE",Recurrent Acute Myeloid Leukemia,Recurrent Acute Monocytic Leukemia,Recurrent Acute Monoblastic and Monocytic Leukemia,Recurrent Acute Myeloid Leukemia Not Otherwise Specified,Recurrent Acute Myelomonocytic Leukemia,0.55,moderate,2/4 key terms matched; 43.3% term overlap,0.5,moderate,2/4 key terms matched; 43.3% term overlap,0.45,fair,2/4 key terms matched; 41.4% term overlap,0.4,fair,2/4 key terms matched; 43.3% term overlap,0.35,fair,2/4 key terms matched; 43.3% term overlap,1,0.55,moderate_confidence
ACUTE MYELOGENOUS LEUKEMIA AML,Acute Myeloid Leukemia,Acute Monocytic Leukemia,"Acute Myeloid Leukemia, Not Otherwise Specified",Acute Myelomonocytic Leukemia,Myeloid Leukemia,0.55,moderate,2/4 key terms matched; 46.0% term overlap,0.5,moderate,2/4 key terms matched; 46.0% term overlap,0.45,fair,2/4 key terms matched; 46.0% term overlap,0.4,fair,2/4 key terms matched; 46.0% term overlap,0.15,poor,1/4 key terms matched; 23.0% term overlap,1,0.55,moderate_confidence
"ACUTE MYELOGENOUS LEUKEMIA AML, M2 MYELOBLASTIC",Acute Myeloid Leukemia with Maturation,Acute Myelomonocytic Leukemia,Acute Myeloid Leukemia with Minimal Differentiation,Acute Monoblastic and Monocytic Leukemia,Acute Myeloid Leukemia without Maturation,0.35,fair,2/5 key terms matched; 35.4% term overlap,0.3,fair,2/5 key terms matched; 37.3% term overlap,0.25,poor,2/5 key terms matched; 34.0% term overlap,0.2,poor,2/5 key terms matched; 35.4% term overlap,0.15,poor,2/5 key terms matched; 34.0% term overlap,1,0.35,low_confidence
"ACUTE MYELOGENOUS LEUKEMIA AML, M3 PROMYELOCYTIC",Typical Acute Promyelocytic Leukemia,Acute Myeloid Leukemia with NPM1-MLF1,Acute Myelomonocytic Leukemia,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,Microgranular Acute Promyelocytic Leukemia,0.55,moderate,3/5 key terms matched; 56.0% term overlap,0.3,fair,2/5 key terms matched; 34.0% term overlap,0.25,poor,2/5 key terms matched; 37.3% term overlap,0.4,fair,3/5 key terms matched; 49.3% term overlap,0.35,fair,3/5 key terms matched; 56.0% term overlap,1,0.55,moderate_confidence
"ACUTE MYELOGENOUS LEUKEMIA AML, M4 MYELOMONOCYTIC",Acute Myelomonocytic Leukemia,Adult Acute Myelomonocytic Leukemia,Acute Myeloid Leukemia with NPM1-MLF1,Acute Monoblastic and Monocytic Leukemia,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0.7,good,3/5 key terms matched; 60.0% term overlap,0.5,moderate,3/5 key terms matched; 56.0% term overlap,0.25,poor,2/5 key terms matched; 34.0% term overlap,0.2,poor,2/5 key terms matched; 35.4% term overlap,0.35,fair,3/5 key terms matched; 51.0% term overlap,1,0.7,good_confidence
"ACUTE MYELOGENOUS LEUKEMIA AML, M5 EOSINOPHILIC/MONOCYTIC",Acute Myelomonocytic Leukemia with Abnormal Eosinophils,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,Chronic Myelomonocytic Leukemia with Eosinophilia,Acute Eosinophilic Leukemia,Acute Myelomonocytic Leukemia,0.35,fair,2/6 key terms matched; 28.9% term overlap,0.3,fair,2/6 key terms matched; 28.0% term overlap,0.1,poor,1/6 key terms matched; 14.4% term overlap,0.4,fair,3/6 key terms matched; 50.0% term overlap,0.15,poor,2/6 key terms matched; 31.4% term overlap,4,0.4,low_confidence
"ACUTE MYELOGENOUS LEUKEMIA AML, M5 MONOCYTIC",Acute Myelomonocytic Leukemia,Acute Monocytic Leukemia,Acute Monoblastic and Monocytic Leukemia,Acute Myeloid Leukemia with Maturation,Acute Myeloid Leukemia,0.35,fair,2/5 key terms matched; 37.3% term overlap,0.65,moderate,3/5 key terms matched; 60.0% term overlap,0.45,fair,3/5 key terms matched; 56.0% term overlap,0.2,poor,2/5 key terms matched; 35.4% term overlap,0.15,poor,2/5 key terms matched; 37.3% term overlap,2,0.65,low_confidence
"ACUTE MYELOGENOUS LEUKEMIA AML, M6 ERYTHROLEUKEMIA",Acute Erythroid Leukemia,Acute Myelomonocytic Leukemia with Abnormal Eosinophils,Adult Acute Erythroid Leukemia,Acute Myelomonocytic Leukemia,Aleukemic Myeloid leukemia,0.35,fair,2/5 key terms matched; 37.3% term overlap,0.3,fair,2/5 key terms matched; 34.0% term overlap,0.25,poor,2/5 key terms matched; 35.4% term overlap,0.2,poor,2/5 key terms matched; 37.3% term overlap,0.0,poor,1/5 key terms matched; 17.7% term overlap,1,0.35,low_confidence
"ACUTE MYELOGENOUS LEUKEMIA AML, M7 MEGAKARYOBLASTIC",Acute Megakaryoblastic Leukemia,Acute Myelomonocytic Leukemia,Adult Acute Megakaryoblastic Leukemia,Childhood Acute Megakaryoblastic Leukemia,Acute Myeloid Leukemia with del(7q),0.7,good,3/5 key terms matched; 60.0% term overlap,0.3,fair,2/5 key terms matched; 37.3% term overlap,0.45,fair,3/5 key terms matched; 56.0% term overlap,0.4,fair,3/5 key terms matched; 56.0% term overlap,0.15,poor,2/5 key terms matched; 35.4% term overlap,1,0.7,good_confidence
ACUTE MYELOGENOUS LEUKEMIA M5A,Acute Myelomonocytic Leukemia,Acute Monoblastic and Monocytic Leukemia,Acute Monocytic Leukemia,Acute Myeloid Leukemia,Acute Monoblastic Leukemia,0.55,moderate,2/4 key terms matched; 46.0% term overlap,0.5,moderate,2/4 key terms matched; 43.3% term overlap,0.45,fair,2/4 key terms matched; 46.0% term overlap,0.4,fair,2/4 key terms matched; 46.0% term overlap,0.35,fair,2/4 key terms matched; 46.0% term overlap,1,0.55,moderate_confidence
ACUTE MYELOID LEUKAEMIA (AML) AND RELATED PRECURSOR NEOPLASMS,"Acute Myeloid Leukemia, Not Otherwise Specified",Acute Myeloid Leukemia,Acute Leukemia,Myeloid Neoplasm,Myeloid Leukemia,0.35,fair,2/7 key terms matched; 27.1% term overlap,0.3,fair,2/7 key terms matched; 27.1% term overlap,0.1,poor,1/7 key terms matched; 13.6% term overlap,0.05,poor,1/7 key terms matched; 13.6% term overlap,0.0,poor,1/7 key terms matched; 13.6% term overlap,1,0.35,low_confidence
ACUTE MYELOID LEUKAEMIA AML AND RELATED PRECURSOR NEOPLASMS,Acute Myeloid Leukemia,"Acute Myeloid Leukemia, Not Otherwise Specified",Acute Leukemia,Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,Acute Myeloid Leukemia with Complex Karyotype,0.35,fair,2/7 key terms matched; 27.1% term overlap,0.3,fair,2/7 key terms matched; 27.1% term overlap,0.1,poor,1/7 key terms matched; 13.6% term overlap,0.2,poor,2/7 key terms matched; 24.4% term overlap,0.15,poor,2/7 key terms matched; 25.1% term overlap,1,0.35,low_confidence
"ACUTE MYELOID LEUKAEMIA, NOS",Acute Myeloid Leukemia,"Acute Myeloid Leukemia, Not Otherwise Specified",Myeloid Leukemia,Acute Leukemia,Acute Monocytic Leukemia,0.7,good,2/3 key terms matched; 60.0% term overlap,0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.25,poor,1/3 key terms matched; 30.0% term overlap,0.2,poor,1/3 key terms matched; 30.0% term overlap,0.15,poor,1/3 key terms matched; 28.0% term overlap,1,0.7,good_confidence
ACUTE MYELOID LEUKEMIA,Acute Myeloid Leukemia,Acute Leukemia,Myeloid Leukemia,"Acute Myeloid Leukemia, Not Otherwise Specified",Acute Monocytic Leukemia,1.0,excellent,Exact match,0.65,moderate,2/3 key terms matched; 66.7% term overlap,0.6,moderate,2/3 key terms matched; 66.7% term overlap,0.8,good,All key terms present (3/3 terms matched),0.5,fair,2/3 key terms matched; 60.0% term overlap,1,1.0,high_confidence
ACUTE MYELOID LEUKEMIA WITH MULTILINEAGE DYSPLASIA,Acute Myeloid Leukemia with Multilineage Dysplasia,"Acute Myeloid Leukemia, Myelodysplasia-Related",Myelodysplastic Syndrome/Acute Myeloid Leukemia,Acute Myeloid Leukemia with Myelodysplasia-Related Gene Mutations,Acute Myeloid Leukemia with Myelodysplasia-Related Cytogenetic Abnormalities,1.0,excellent,Exact match,0.5,moderate,3/5 key terms matched; 53.1% term overlap,0.45,fair,3/5 key terms matched; 53.1% term overlap,0.4,fair,3/5 key terms matched; 49.3% term overlap,0.35,fair,3/5 key terms matched; 49.3% term overlap,1,1.0,high_confidence
"ACUTE MYELOID LEUKEMIA WITH MULTILINEAGE DYSPLASIA, NOT HAVING ACHIEVED REMISSION",Recurrent Acute Myeloid Leukemia with Multilineage Dysplasia,Acute Myeloid Leukemia with Multilineage Dysplasia,"Acute Myeloid Leukemia, Myelodysplasia-Related",Acute Myeloid Leukemia without Maturation,Acute Myeloid Leukemia with Myelodysplasia-Related Cytogenetic Abnormalities,0.55,moderate,5/8 key terms matched; 59.7% term overlap,0.65,moderate,5/8 key terms matched; 62.5% term overlap,0.25,poor,3/8 key terms matched; 34.5% term overlap,0.2,poor,3/8 key terms matched; 34.5% term overlap,0.15,poor,3/8 key terms matched; 32.5% term overlap,2,0.65,moderate_confidence
ACUTE MYELOID LEUKEMIA WITH MYELODYSPLASIA RELATED CHANGES,"Acute Myeloid Leukemia, Myelodysplasia-Related",Acute Myeloid Leukemia with Myelodysplasia-Related Cytogenetic Abnormalities,Acute Myeloid Leukemia with Myelodysplasia-Related Gene Mutations,Myelodysplastic Syndrome/Acute Myeloid Leukemia with Myelodysplasia-Related Cytogenetic Abnormalities,Myelodysplastic Syndrome/Acute Myeloid Leukemia with Myelodysplasia-Related Gene Mutations,0.85,excellent,5/6 key terms matched; 83.3% term overlap,0.65,moderate,5/6 key terms matched; 75.0% term overlap,0.6,moderate,5/6 key terms matched; 75.0% term overlap,0.55,moderate,5/6 key terms matched; 70.0% term overlap,0.5,fair,5/6 key terms matched; 70.0% term overlap,1,0.85,high_confidence
ACUTE MYELOID LEUKEMIAS,Acute Myeloid Leukemia,Acute Leukemia,Myeloid Leukemia,"Acute Myeloid Leukemia, Not Otherwise Specified",Acute Monocytic Leukemia,0.7,good,2/3 key terms matched; 60.0% term overlap,0.3,fair,1/3 key terms matched; 30.0% term overlap,0.25,poor,1/3 key terms matched; 30.0% term overlap,0.55,moderate,2/3 key terms matched; 60.0% term overlap,0.15,poor,1/3 key terms matched; 28.0% term overlap,1,0.7,good_confidence
ACUTE MYELOMONOCYTIC LEUKAEMIA,Acute Myelomonocytic Leukemia,Adult Acute Myelomonocytic Leukemia,Acute Monocytic Leukemia,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,Childhood Acute Myelomonocytic Leukemia,0.7,good,2/3 key terms matched; 60.0% term overlap,0.5,moderate,2/3 key terms matched; 56.0% term overlap,0.25,poor,1/3 key terms matched; 28.0% term overlap,0.4,fair,2/3 key terms matched; 51.4% term overlap,0.35,fair,2/3 key terms matched; 56.0% term overlap,1,0.7,good_confidence
ACUTE MYELOMONOCYTIC LEUKEMIA,Acute Myelomonocytic Leukemia,Adult Acute Myelomonocytic Leukemia,Acute Monocytic Leukemia,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,Acute Megakaryoblastic Leukemia,1.0,excellent,Exact match,0.9,excellent,All key terms present (3/3 terms matched),0.6,moderate,2/3 key terms matched; 60.0% term overlap,0.8,good,All key terms present (3/3 terms matched),0.5,fair,2/3 key terms matched; 60.0% term overlap,1,1.0,high_confidence
ACUTE PROMYELOCYTIC LEUKAEMIA WITH T(15;17)(Q22;Q12); PML-RARA,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,Adult Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,Childhood Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,Acute Myeloid Leukemia with t(5;17)(q35;q21); NPM1-RARA,Acute Myeloid Leukemia with t(11;17)(q13;q21); NUMA1-RARA,0.55,moderate,4/7 key terms matched; 50.3% term overlap,0.5,moderate,4/7 key terms matched; 48.8% term overlap,0.45,fair,4/7 key terms matched; 48.8% term overlap,0.2,poor,2/7 key terms matched; 23.8% term overlap,0.15,poor,2/7 key terms matched; 23.8% term overlap,1,0.55,moderate_confidence
ACUTE PROMYELOCYTIC LEUKAEMIA WITH T15;17Q22;Q12;  PML-RARA,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,Adult Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,Childhood Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,Acute Myeloid Leukemia with t(11;17)(q13;q21); NUMA1-RARA,Acute Myeloid Leukemia with t(5;17)(q35;q21); NPM1-RARA,0.55,moderate,4/8 key terms matched; 44.5% term overlap,0.5,moderate,4/8 key terms matched; 43.3% term overlap,0.45,fair,4/8 key terms matched; 43.3% term overlap,0.2,poor,2/8 key terms matched; 21.2% term overlap,0.15,poor,2/8 key terms matched; 21.2% term overlap,1,0.55,moderate_confidence
