original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score,top1_accuracy,top3_accuracy,top5_accuracy
ACUTE ERYTHROID LEUKEMIA,Acute Erythroid Leukemia,1,2,Acute Erythroid Leukemia,1.0000,Pure Erythroid Leukemia,0.8829,Adult Acute Erythroid Leukemia,0.8791,Childhood Acute Erythroid Leukemia,0.8723,Adult Pure Erythroid Leukemia,0.8329,True,True,True
ACUTE LEUKAEMIAS OF AMBIGUOUS LINEAGE,Acute Leukemia of Ambiguous Lineage,1,2,Acute Leukemia of Ambiguous Lineage,0.9763,"Acute Leukemia of Ambiguous Lineage, Not Otherwise Specified",0.9263,Acute Leukemia of Ambiguous Lineage with Defining Genetic Abnormalities,0.8532,Acute Undifferentiated Leukemia,0.8055,Acute Leukemia,0.7987,True,True,True
ACUTE LEUKEMIAS OF AMBIGUOUS LINEAGE,Acute Leukemia of Ambiguous Lineage,1,2,Acute Leukemia of Ambiguous Lineage,0.9880,"Acute Leukemia of Ambiguous Lineage, Not Otherwise Specified",0.9330,Acute Leukemia of Ambiguous Lineage with Defining Genetic Abnormalities,0.8720,Acute Undifferentiated Leukemia,0.8066,Acute Leukemia,0.8044,True,True,True
ACUTE LYMPHOBLASTIC LEUKEMIA,Acute Lymphoblastic Leukemia,1,2,Acute Lymphoblastic Leukemia,1.0000,Common Acute Lymphoblastic Leukemia,0.8806,Childhood Acute Lymphoblastic Leukemia,0.8794,B Acute Lymphoblastic Leukemia,0.8579,Infant Acute Lymphoblastic Leukemia,0.8547,True,True,True
"ACUTE LYMPHOBLASTIC LEUKEMIA ALL, B-CELL",B Acute Lymphoblastic Leukemia,1,2,B Acute Lymphoblastic Leukemia,0.9248,"B Acute Lymphoblastic Leukemia, Not Otherwise Specified",0.8764,Childhood B Acute Lymphoblastic Leukemia,0.8282,Acute Lymphoblastic Leukemia,0.8154,B Lymphoblastic Leukemia/Lymphoma,0.8129,True,True,True
"ACUTE LYMPHOBLASTIC LEUKEMIA ALL, T-CELL",T Acute Lymphoblastic Leukemia,1,2,T Acute Lymphoblastic Leukemia,0.9212,"T Acute Lymphoblastic Leukemia, Not Otherwise Specified",0.8872,T Lymphoblastic Leukemia/Lymphoma,0.8163,Childhood T Acute Lymphoblastic Leukemia,0.8159,T Acute Lymphoblastic Leukemia with TAL1 Rearrangement,0.8158,True,True,True
ACUTE LYMPHOID LEUKEMIA,Acute Lymphoblastic Leukemia,1,2,Acute Lymphoblastic Leukemia,0.9074,Acute Leukemia,0.8944,Lymphoid Leukemia,0.8937,Aleukemic Acute Lymphoblastic Leukemia,0.8273,Aleukemic Lymphoid Leukemia,0.8159,True,True,True
ACUTE MEGAKARYOBLASTIC LEUKAEMIA,Acute Megakaryoblastic Leukemia,1,2,Acute Megakaryoblastic Leukemia,0.9901,Adult Acute Megakaryoblastic Leukemia,0.8938,Childhood Acute Megakaryoblastic Leukemia,0.8777,Acute Monocytic Leukemia,0.8261,Acute Myelomonocytic Leukemia,0.8195,True,True,True
ACUTE MEGAKARYOBLASTIC LEUKEMIA,Acute Megakaryoblastic Leukemia,1,2,Acute Megakaryoblastic Leukemia,1.0000,Adult Acute Megakaryoblastic Leukemia,0.9052,Childhood Acute Megakaryoblastic Leukemia,0.8813,Acute Monocytic Leukemia,0.8317,Acute Myelomonocytic Leukemia,0.8256,True,True,True
ACUTE MONOBLASTIC AND MONOCYTIC LEUKAEMIA,Acute Monoblastic and Monocytic Leukemia,1,2,Acute Monoblastic and Monocytic Leukemia,0.9899,Adult Acute Monoblastic and Monocytic Leukemia,0.8854,Acute Monoblastic Leukemia,0.8757,Childhood Acute Monoblastic and Monocytic Leukemia,0.8322,Acute Monocytic Leukemia,0.8252,True,True,True
ACUTE MONOBLASTIC/MONOCYTIC LEUKEMIA,Acute Monoblastic and Monocytic Leukemia,1,2,Acute Monoblastic and Monocytic Leukemia,0.9765,Acute Monoblastic Leukemia,0.9081,Adult Acute Monoblastic and Monocytic Leukemia,0.8805,Acute Monocytic Leukemia,0.8642,Adult Acute Monoblastic Leukemia,0.8397,True,True,True
ACUTE MYELOBLASTIC LEUKEMIA,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.9069,Acute Monocytic Leukemia,0.8732,Acute Myelomonocytic Leukemia,0.8586,Acute Megakaryoblastic Leukemia,0.8429,Myeloid Leukemia,0.8264,True,True,True
"ACUTE MYELOBLASTIC LEUKEMIA, IN RELAPSE",Recurrent Acute Myeloid Leukemia,1,2,Recurrent Acute Myeloid Leukemia,0.8141,Recurrent Acute Monocytic Leukemia,0.7991,Recurrent Acute Monoblastic and Monocytic Leukemia,0.7893,Recurrent Acute Myeloid Leukemia Not Otherwise Specified,0.7859,Recurrent Acute Myelomonocytic Leukemia,0.7850,True,True,True
ACUTE MYELOGENOUS LEUKEMIA AML,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.9379,Acute Monocytic Leukemia,0.8556,"Acute Myeloid Leukemia, Not Otherwise Specified",0.8467,Acute Myelomonocytic Leukemia,0.8323,Myeloid Leukemia,0.8297,True,True,True
"ACUTE MYELOGENOUS LEUKEMIA AML, M2 MYELOBLASTIC",Acute Myeloid Leukemia with Maturation,1,2,Acute Myeloid Leukemia with Maturation,0.6748,Acute Myelomonocytic Leukemia,0.6713,Acute Myeloid Leukemia with Minimal Differentiation,0.6693,Acute Monoblastic and Monocytic Leukemia,0.6487,Acute Myeloid Leukemia without Maturation,0.6432,True,True,True
"ACUTE MYELOGENOUS LEUKEMIA AML, M3 PROMYELOCYTIC",Acute Promyelocytic Leukemia with PML-RARA,99,2,Typical Acute Promyelocytic Leukemia,0.7225,Acute Myeloid Leukemia with NPM1-MLF1,0.6875,Acute Myelomonocytic Leukemia,0.6714,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,0.6578,Microgranular Acute Promyelocytic Leukemia,0.6537,False,False,False
"ACUTE MYELOGENOUS LEUKEMIA AML, M4 MYELOMONOCYTIC",Acute Myelomonocytic Leukemia,1,2,Acute Myelomonocytic Leukemia,0.7949,Adult Acute Myelomonocytic Leukemia,0.7494,Acute Myeloid Leukemia with NPM1-MLF1,0.6992,Acute Monoblastic and Monocytic Leukemia,0.6956,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0.6950,True,True,True
"ACUTE MYELOGENOUS LEUKEMIA AML, M5 EOSINOPHILIC/MONOCYTIC",Acute Monoblastic and Monocytic Leukemia,99,2,Acute Myelomonocytic Leukemia with Abnormal Eosinophils,0.8089,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0.7150,Chronic Myelomonocytic Leukemia with Eosinophilia,0.7104,Acute Eosinophilic Leukemia,0.6828,Acute Myelomonocytic Leukemia,0.6596,False,False,False
"ACUTE MYELOGENOUS LEUKEMIA AML, M5 MONOCYTIC",Acute Monoblastic and Monocytic Leukemia,3,2,Acute Myelomonocytic Leukemia,0.7882,Acute Monocytic Leukemia,0.7767,Acute Monoblastic and Monocytic Leukemia,0.7473,Acute Myeloid Leukemia with Maturation,0.7182,Acute Myeloid Leukemia,0.7181,False,True,True
"ACUTE MYELOGENOUS LEUKEMIA AML, M6 ERYTHROLEUKEMIA",Acute Erythroid Leukemia,1,2,Acute Erythroid Leukemia,0.7126,Acute Myelomonocytic Leukemia with Abnormal Eosinophils,0.6957,Adult Acute Erythroid Leukemia,0.6821,Acute Myelomonocytic Leukemia,0.6781,Aleukemic Myeloid leukemia,0.6761,True,True,True
"ACUTE MYELOGENOUS LEUKEMIA AML, M7 MEGAKARYOBLASTIC",Acute Megakaryoblastic Leukemia,1,2,Acute Megakaryoblastic Leukemia,0.7789,Acute Myelomonocytic Leukemia,0.7443,Adult Acute Megakaryoblastic Leukemia,0.7282,Childhood Acute Megakaryoblastic Leukemia,0.7092,Acute Myeloid Leukemia with del(7q),0.6786,True,True,True
ACUTE MYELOGENOUS LEUKEMIA M5A,Acute Monoblastic and Monocytic Leukemia,2,2,Acute Myelomonocytic Leukemia,0.7586,Acute Monoblastic and Monocytic Leukemia,0.7317,Acute Monocytic Leukemia,0.7305,Acute Myeloid Leukemia,0.7256,Acute Monoblastic Leukemia,0.7243,False,True,True
ACUTE MYELOID LEUKAEMIA (AML) AND RELATED PRECURSOR NEOPLASMS,Acute Myeloid Leukemia,2,2,"Acute Myeloid Leukemia, Not Otherwise Specified",0.7318,Acute Myeloid Leukemia,0.7037,Acute Leukemia,0.6745,Myeloid Neoplasm,0.6399,Myeloid Leukemia,0.6384,False,True,True
ACUTE MYELOID LEUKAEMIA AML AND RELATED PRECURSOR NEOPLASMS,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.7573,"Acute Myeloid Leukemia, Not Otherwise Specified",0.7555,Acute Leukemia,0.7204,Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,0.6892,Acute Myeloid Leukemia with Complex Karyotype,0.6849,True,True,True
"ACUTE MYELOID LEUKAEMIA, NOS",Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.9347,"Acute Myeloid Leukemia, Not Otherwise Specified",0.9028,Myeloid Leukemia,0.8462,Acute Leukemia,0.8388,Acute Monocytic Leukemia,0.8386,True,True,True
ACUTE MYELOID LEUKEMIA,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,1.0000,Acute Leukemia,0.9133,Myeloid Leukemia,0.9007,"Acute Myeloid Leukemia, Not Otherwise Specified",0.8952,Acute Monocytic Leukemia,0.8795,True,True,True
ACUTE MYELOID LEUKEMIA WITH MULTILINEAGE DYSPLASIA,Acute Myeloid Leukemia with Multilineage Dysplasia,1,2,Acute Myeloid Leukemia with Multilineage Dysplasia,1.0000,"Acute Myeloid Leukemia, Myelodysplasia-Related",0.8076,Myelodysplastic Syndrome/Acute Myeloid Leukemia,0.7926,Acute Myeloid Leukemia with Myelodysplasia-Related Gene Mutations,0.7743,Acute Myeloid Leukemia with Myelodysplasia-Related Cytogenetic Abnormalities,0.7739,True,True,True
"ACUTE MYELOID LEUKEMIA WITH MULTILINEAGE DYSPLASIA, NOT HAVING ACHIEVED REMISSION",Acute Myeloid Leukemia with Multilineage Dysplasia,2,2,Recurrent Acute Myeloid Leukemia with Multilineage Dysplasia,0.7068,Acute Myeloid Leukemia with Multilineage Dysplasia,0.6780,"Acute Myeloid Leukemia, Myelodysplasia-Related",0.6659,Acute Myeloid Leukemia without Maturation,0.6622,Acute Myeloid Leukemia with Myelodysplasia-Related Cytogenetic Abnormalities,0.6579,False,True,True
ACUTE MYELOID LEUKEMIA WITH MYELODYSPLASIA RELATED CHANGES,Acute Myeloid Leukemia with Myelodysplasia-Related Changes,99,2,"Acute Myeloid Leukemia, Myelodysplasia-Related",0.9037,Acute Myeloid Leukemia with Myelodysplasia-Related Cytogenetic Abnormalities,0.8900,Acute Myeloid Leukemia with Myelodysplasia-Related Gene Mutations,0.8877,Myelodysplastic Syndrome/Acute Myeloid Leukemia with Myelodysplasia-Related Cytogenetic Abnormalities,0.8574,Myelodysplastic Syndrome/Acute Myeloid Leukemia with Myelodysplasia-Related Gene Mutations,0.8190,False,False,False
ACUTE MYELOID LEUKEMIAS,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.9760,Acute Leukemia,0.8975,Myeloid Leukemia,0.8946,"Acute Myeloid Leukemia, Not Otherwise Specified",0.8913,Acute Monocytic Leukemia,0.8750,True,True,True
ACUTE MYELOMONOCYTIC LEUKAEMIA,Acute Myelomonocytic Leukemia,1,2,Acute Myelomonocytic Leukemia,0.9865,Adult Acute Myelomonocytic Leukemia,0.8739,Acute Monocytic Leukemia,0.8656,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0.8278,Childhood Acute Myelomonocytic Leukemia,0.8222,True,True,True
ACUTE MYELOMONOCYTIC LEUKEMIA,Acute Myelomonocytic Leukemia,1,2,Acute Myelomonocytic Leukemia,1.0000,Adult Acute Myelomonocytic Leukemia,0.8804,Acute Monocytic Leukemia,0.8696,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0.8285,Acute Megakaryoblastic Leukemia,0.8256,True,True,True
ACUTE PROMYELOCYTIC LEUKAEMIA WITH T(15;17)(Q22;Q12); PML-RARA,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,1,2,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,0.9844,Adult Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,0.9116,Childhood Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,0.8835,Acute Myeloid Leukemia with t(5;17)(q35;q21); NPM1-RARA,0.8320,Acute Myeloid Leukemia with t(11;17)(q13;q21); NUMA1-RARA,0.8268,True,True,True
ACUTE PROMYELOCYTIC LEUKAEMIA WITH T15;17Q22;Q12;  PML-RARA,Acute Promyelocytic Leukemia with PML-RARA,99,2,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,0.9452,Adult Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,0.8772,Childhood Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,0.8603,Acute Myeloid Leukemia with t(11;17)(q13;q21); NUMA1-RARA,0.8138,Acute Myeloid Leukemia with t(5;17)(q35;q21); NPM1-RARA,0.8122,False,False,False
ACUTE PROMYELOCYTIC LEUKAEMIA WITH T15;17Q22;Q12; PML-RARA,Acute Promyelocytic Leukemia with PML-RARA,99,2,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,0.9452,Adult Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,0.8772,Childhood Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,0.8603,Acute Myeloid Leukemia with t(11;17)(q13;q21); NUMA1-RARA,0.8138,Acute Myeloid Leukemia with t(5;17)(q35;q21); NPM1-RARA,0.8122,False,False,False
ACUTE UNDIFFERENTIATED LEUKAEMIA,Acute Undifferentiated Leukemia,1,2,Acute Undifferentiated Leukemia,0.9838,Infant Acute Undifferentiated Leukemia,0.8459,Acute Leukemia,0.8168,Acute Leukemia of Ambiguous Lineage,0.7977,Acute Myeloid Leukemia,0.7755,True,True,True
ACUTE UNDIFFERENTIATED LEUKEMIA,Acute Undifferentiated Leukemia,1,2,Acute Undifferentiated Leukemia,1.0000,Infant Acute Undifferentiated Leukemia,0.8459,Acute Leukemia,0.8396,Acute Leukemia of Ambiguous Lineage,0.8146,Acute Myeloid Leukemia,0.7926,True,True,True
ACUTE_BIPHENOTYPIC_LEUKEMIA,Acute Biphenotypic Leukemia,1,2,Acute Biphenotypic Leukemia,0.9751,Infant Acute Biphenotypic Leukemia,0.8352,Recurrent Acute Biphenotypic Leukemia,0.7947,Acute Bilineal Leukemia,0.7298,"Mixed Phenotype Acute Leukemia, B/Myeloid",0.7224,True,True,True
ACUTE_LYMPHOBLASTIC_B_CELL_LEUKAEMIA,B Acute Lymphoblastic Leukemia,1,2,B Acute Lymphoblastic Leukemia,0.8772,"B Acute Lymphoblastic Leukemia, Not Otherwise Specified",0.8677,B-Cell Leukemia,0.8213,Acute Lymphoblastic Leukemia,0.8183,B Lymphoblastic Leukemia/Lymphoma,0.8090,True,True,True
ACUTE_LYMPHOBLASTIC_LEUKAEMIA,Acute Lymphoblastic Leukemia,1,2,Acute Lymphoblastic Leukemia,0.9283,Common Acute Lymphoblastic Leukemia,0.8174,Acute Leukemia,0.8150,Childhood Acute Lymphoblastic Leukemia,0.8113,Aleukemic Acute Lymphoblastic Leukemia,0.8028,True,True,True
ACUTE_LYMPHOBLASTIC_T_CELL_LEUKAEMIA,T Acute Lymphoblastic Leukemia,1,2,T Acute Lymphoblastic Leukemia,0.8875,"T Acute Lymphoblastic Leukemia, Not Otherwise Specified",0.8791,Acute Lymphoblastic Leukemia,0.8185,T Lymphoblastic Leukemia/Lymphoma,0.7962,T Lymphoblastic Lymphoma,0.7900,True,True,True
ACUTE_MONOCYTIC_LEUKEMIA,Acute Monocytic Leukemia,1,2,Acute Monocytic Leukemia,0.9434,Acute Myeloid Leukemia,0.8455,Acute Myelomonocytic Leukemia,0.8311,Acute Monoblastic and Monocytic Leukemia,0.8264,"Acute Myeloid Leukemia, Not Otherwise Specified",0.8179,True,True,True
ACUTE_MYELOID_LEUKAEMIA,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.9170,"Acute Myeloid Leukemia, Not Otherwise Specified",0.8972,Myeloid Leukemia,0.8602,Acute Leukemia,0.8559,Acute Monocytic Leukemia,0.8218,True,True,True
ACYC,Adenoid Cystic Carcinoma,99,2,Adenocarcinoma in Adenomatous Polyposis Coli,0.5963,Astrocytoma,0.5963,Cerebral Astrocytoma,0.5899,Anaplastic Astrocytoma,0.5783,Adenomyoma,0.5761,False,False,False
ADAMANTINOMA,Adamantinoma,1,2,Adamantinoma,1.0000,Tibial Adamantinoma,0.8910,Adamantinomatous Craniopharyngioma,0.8052,Adult Adamantinomatous Craniopharyngioma,0.7908,Childhood Adamantinomatous Craniopharyngioma,0.7426,True,True,True
ADCA ACINAR WITH MUCIN PRODUCTION,Lung Colloid Adenocarcinoma,99,2,Acinar Cell Adenoma,0.7661,Mucin-Producing Adenocarcinoma,0.7401,Adenocarcinoma with Apocrine Metaplasia,0.7386,Pancreatic Acinar Cell Cystadenocarcinoma,0.7296,Mucinous Adenocarcinoma,0.7288,False,False,False
ADENOCARCINOMA,Adenocarcinoma,1,2,Adenocarcinoma,1.0000,Carcinoma,0.8693,Advanced Adenocarcinoma,0.8556,Colon Adenocarcinoma,0.8241,Lung Adenocarcinoma,0.8190,True,True,True
ADENOCARCINOMA OF GALLBLADDER,Gallbladder Adenocarcinoma,1,2,Gallbladder Adenocarcinoma,0.9674,"Gallbladder Adenocarcinoma, Biliary Type",0.8958,Gallbladder Carcinoma,0.8913,Gallbladder Goblet Cell Adenocarcinoma,0.8726,"Gallbladder Adenocarcinoma, Intestinal-Type",0.8718,True,True,True
ADENOCARCINOMA OF THE GASTROESOPHAGEAL JUNCTION,Gastroesophageal Junction Adenocarcinoma,1,2,Gastroesophageal Junction Adenocarcinoma,0.9594,Advanced Gastroesophageal Junction Adenocarcinoma,0.8720,Gastroesophageal Junction Carcinoma,0.8658,Gastric Adenocarcinoma,0.8017,Gastroesophageal Junction Adenocarcinoma by AJCC v8 Clinical Stage,0.7877,True,True,True
ADENOCARCINOMA PROSTATE WITH PROMINENT DUCTAL DIFFERENTIATION IDENTIFIED,Prostate Ductal Adenocarcinoma,1,2,Prostate Ductal Adenocarcinoma,0.8507,Poorly Differentiated Prostate Adenocarcinoma,0.7822,"Prostate Ductal Adenocarcinoma, Papillary Pattern",0.7755,Prostate Adenocarcinoma,0.7641,Well Differentiated Prostate Adenocarcinoma,0.7638,True,True,True
ADENOCARCINOMA WITH FOCAL MUCINOUS FEATURES,Mucinous Adenocarcinoma,1,2,Mucinous Adenocarcinoma,0.8343,Gastric Mucinous Adenocarcinoma,0.7798,Appendix Mucinous Adenocarcinoma,0.7760,Colorectal Mucinous Adenocarcinoma,0.7703,Colon Mucinous Adenocarcinoma,0.7691,True,True,True
ADENOCARCINOMA WITH NE FEATURES,Adenocarcinoma with Neuroendocrine Differentiation,1,2,Adenocarcinoma with Neuroendocrine Differentiation,0.8230,Non-Small Cell Adenocarcinoma,0.7471,Prostate Adenocarcinoma without Neuroendocrine Differentiation,0.7436,Prostate Adenocarcinoma with Neuroendocrine Differentiation,0.7436,Usual Prostate Adenocarcinoma with Neuroendocrine Differentiation,0.7340,True,True,True
"ADENOCARCINOMA, ENDOMETRIOID",Endometrioid Adenocarcinoma,1,2,Endometrioid Adenocarcinoma,0.9874,Endometrial Endometrioid Adenocarcinoma,0.9638,Ovarian Endometrioid Adenocarcinoma,0.9163,Endometrioid Tumor,0.9162,Advanced Endometrioid Adenocarcinoma,0.9060,True,True,True
"ADENOCARCINOMA, LOW GRADE SEROUS",Ovarian Low Grade Serous Adenocarcinoma,1,2,Ovarian Low Grade Serous Adenocarcinoma,0.9108,Serous Adenocarcinoma,0.8781,Primary Peritoneal Low Grade Serous Adenocarcinoma,0.8401,Ovarian Serous Adenocarcinoma,0.8222,Low Grade Broad Ligament Serous Adenocarcinoma,0.8111,True,True,True
"ADENOCARCINOMA, MIXED",Mixed Cell Adenocarcinoma,1,2,Mixed Cell Adenocarcinoma,0.9475,Mixed Carcinoma,0.8851,Gastric Mixed Adenocarcinoma,0.8488,Malignant Mixed Neoplasm,0.8291,"Lung Adenocarcinoma, Mixed Subtype",0.8179,True,True,True
"ADENOCARCINOMA, MIXED SUBTYPES","Lung Adenocarcinoma, Mixed Subtype",2,2,Mixed Cell Adenocarcinoma,0.9194,"Lung Adenocarcinoma, Mixed Subtype",0.8304,Mixed Carcinoma,0.8287,Gastric Mixed Adenocarcinoma,0.8244,Malignant Mixed Neoplasm,0.7957,False,True,True
"ADENOCARCINOMA, MUCINOUS",Mucinous Adenocarcinoma,1,2,Mucinous Adenocarcinoma,0.9711,Gastric Mucinous Adenocarcinoma,0.8745,Endometrial Mucinous Adenocarcinoma,0.8684,Appendix Mucinous Adenocarcinoma,0.8619,Colon Mucinous Adenocarcinoma,0.8596,True,True,True
"ADENOCARCINOMA, NOS",Adenocarcinoma,1,2,Adenocarcinoma,0.9012,Mucin-Producing Adenocarcinoma,0.7814,Carcinoma,0.7810,Advanced Adenocarcinoma,0.7793,Carcinoma Unspecified Site,0.7740,True,True,True
"ADENOCARCINOMA, NOS 81403",Adenocarcinoma,1,2,Adenocarcinoma,0.6846,Mucin-Producing Adenocarcinoma,0.6360,Carcinoma,0.6313,Endometrial Adenocarcinoma,0.6133,Spiradenocarcinoma,0.6119,True,True,True
"ADENOCARCINOMA, SEROUS",Serous Adenocarcinoma,1,2,Serous Adenocarcinoma,0.9756,Ovarian Serous Adenocarcinoma,0.9100,Endometrial Serous Adenocarcinoma,0.8964,Cervical Serous Adenocarcinoma,0.8649,Serous Cystadenocarcinoma,0.8606,True,True,True
"ADENOCARCINOMA, SIGNET RING CELL",Signet Ring Cell Carcinoma,1,2,Signet Ring Cell Carcinoma,0.9317,Colon Signet Ring Cell Adenocarcinoma,0.8624,Gastric Signet Ring Cell Adenocarcinoma,0.8603,Pancreatic Signet Ring Cell Carcinoma,0.8368,Appendix Signet Ring Cell Carcinoma,0.8324,True,True,True
"ADENOCARCINOMA, TUBULAR",Tubular Adenocarcinoma,1,2,Tubular Adenocarcinoma,0.9673,Adenocarcinoma in Tubular Adenoma,0.8916,Gastric Tubular Adenocarcinoma,0.8351,Tubular Adenoma,0.8077,Tubular Neoplasm,0.7844,True,True,True
