original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score
ABDOMEN/DIAPHRAGM,Diaphragm,2,2,Abdomen,0.8068,Diaphragm,0.8019,Abdominal Wall,0.7498,Lower<;>Abdomen<;>Pelvis,0.7235,Intra-abdominal,0.7132
ABDOMEN/DIAPHRAM,Diaphragm,99,2,Abdomen,0.7492,Lower<;>Abdomen<;>Pelvis,0.6597,Intra-abdominal,0.6416,Abdominal Wall,0.6340,Extra-Adrenal<;>Abdomen<;>Pelvis,0.6173
ABDOMENDIAPHRAGM,Diaphragm,1,2,Diaphragm,0.6842,Abdomen,0.6289,Left<;>Abdomen<;>Diaphragm,0.6264,Intra-abdominal,0.6076,Retroperitoneal,0.5848
ABDOMINAL,Abdomen,1,2,Abdomen,0.9592,Intra-abdominal,0.8559,Abdominal Wall,0.8360,Retroperitoneum<;>Upper<;>Abdominal,0.7116,Retroperitoneum,0.7075
ABDOMINAL TUMOR NODULES,Abdomen,4,2,Peritoneal<;>Nodule,0.7614,Pelvic Mass,0.6235,Aortocaval Lymph Node<;>Pancreatic Lymph Node<;>Presacral<;>Extra-Adrenal,0.5374,Abdomen,0.5366,Abdominal Wall,0.5324
ABDOMINAL WAL,Abdominal Wall,3,2,Abdomen,0.6374,Intra-abdominal,0.5801,Abdominal Wall,0.5753,Retroperitoneal,0.5606,Anterior Abdominal Wall Muscle,0.5564
ABDOMINAL WALL,Abdominal Wall,1,2,Abdominal Wall,1.0000,Abdomen,0.8532,Right<;>Abdominal Wall,0.7892,Intra-abdominal,0.7638,Chest Wall,0.7261
ABDOMINAL WALL MASS,Abdominal Wall,1,2,Abdominal Wall,0.6998,Pelvic Mass,0.6249,Peritoneal<;>Nodule,0.6111,Abdomen,0.5797,Right<;>Abdominal Wall,0.5689
"ABDOMINAL WALL, RIGHT",Right<;>Abdominal Wall,1,2,Right<;>Abdominal Wall,0.9842,Right<;>Chest Wall,0.8195,Abdominal Wall,0.7454,Right<;>Retroperitoneal,0.7347,Retroperitoneum<;>Upper<;>Abdominal,0.6712
ABDONIMAL NODULE,Abdomen,99,2,Peritoneal<;>Nodule,0.6166,Aortocaval Lymph Node<;>Retroperitoneal<;>Extra-Adrenal,0.5992,Aortocaval Lymph Node<;>Pancreatic Lymph Node<;>Presacral<;>Extra-Adrenal,0.5844,Lesser Pelvis<;>Extra-Adrenal,0.5744,Portacaval Lymph Node<;>Extra-Adrenal,0.5546
ACETABULUM,Acetabulum,1,2,Acetabulum,1.0000,Pelvis<;>Buttock,0.6051,Antrum Pylori,0.5756,Pelvis,0.5629,Pelvis<;>Labial,0.5474
ADNEXA,Adnexa,1,2,Adnexa,1.0000,Right<;>Adnexa,0.6751,Left<;>Adnexa,0.6032,Appendix,0.5766,Dura Mater,0.5618
ADRENAL,Adrenal Gland,1,2,Adrenal Gland,0.8910,Extra-Adrenal,0.8551,Extra-Adrenal<;>Renal,0.7838,Right<;>Adrenal Gland,0.6758,Extra-Adrenal<;>Thoracic,0.6225
ADRENAL GLAND,Adrenal Gland,1,2,Adrenal Gland,1.0000,Extra-Adrenal,0.7678,Extra-Adrenal<;>Renal,0.7566,Right<;>Adrenal Gland,0.7565,Right<;>Suprarenal,0.6239
"ADRENAL GLAND, LEFT",Left<;>Adrenal Gland,1,2,Left<;>Adrenal Gland,0.9671,Left<;>Adrenal Gland<;>Kidney,0.8903,Left Kidney,0.7388,Left Lobe of the Liver,0.6828,Right<;>Adrenal Gland,0.6750
ALVEOLAR,Alveolar,1,2,Alveolar,1.0000,Palate,0.5754,Bone,0.5417,Mandible,0.5215,Maxilla,0.5104
ANTERIOR ABDOMINAL WALL,Anterior Abdominal Wall Muscle,4,2,Abdominal Wall,0.9034,Abdomen,0.8251,Right<;>Abdominal Wall,0.8066,Anterior Abdominal Wall Muscle,0.7544,Intra-abdominal,0.7142
"ANTERIOR CHEST, SKIN METASTASIS",Metastatic Malignant Neoplasm in the Skin,99,2,Skin<;>Chest Wall<;>Metastasis,0.7657,Chest Wall<;>Metastasis,0.7267,Skin<;>Breast<;>Metastasis,0.6497,Right<;>Chest Wall<;>Metastasis,0.6147,Skin/Subcutaneous Tissue<;>Metastasis,0.6082
ANTERIOR ENDOMETRIUM,Anterior Endometrium,1,2,Anterior Endometrium,1.0000,Posterior Endometrium,0.8840,Uterus,0.5581,Lower<;>Abdomen<;>Pelvis<;>Uterus,0.5181,Presacral,0.5158
ANTERIOR MEDIASTINUM,Anterior Mediastinum,1,2,Anterior Mediastinum,1.0000,Mediastinum,0.8984,Mediastinum<;>Lung,0.8142,Right<;>Posterior Mediastinum,0.7819,Left<;>Mediastinum,0.7220
ANTRUM,Antrum Pylori,1,2,Antrum Pylori,0.7502,Maxillary Sinus,0.7023,Nasopharynx,0.6617,Oropharynx,0.6544,Hypopharynx,0.6168
AORTO-CAVAL PERIPANCREATIC PRESACRAL EXTRA ADRENAL PGL,Aortocaval Lymph Node<;>Pancreatic Lymph Node<;>Presacral<;>Extra-Adrenal,2,2,Extra-Adrenal Retroperitoneal Paraganglioma,0.7633,Aortocaval Lymph Node<;>Pancreatic Lymph Node<;>Presacral<;>Extra-Adrenal,0.7238,Retroperitoneal paraganglioma,0.6915,Portacaval Lymph Node<;>Extra-Adrenal,0.6307,Paraaortic Region<;>Vena Cava<;>Retroperitoneal<;>Extra-Adrenal,0.6112
AORTOCAVAL LYMPH NODE,Aortocaval Lymph Node,1,2,Aortocaval Lymph Node,1.0000,Left<;>Thorax<;>Aortocaval Lymph Node,0.8709,Aortocaval Lymph Node<;>Retroperitoneal<;>Extra-Adrenal,0.8329,Paraaortic Lymph Node,0.7995,Portacaval Lymph Node<;>Extra-Adrenal,0.6826
AORTOCAVAL MASS,Aortocaval Lymph Node,2,2,Aortocaval Lymph Node<;>Retroperitoneal<;>Extra-Adrenal,0.6335,Aortocaval Lymph Node,0.5971,Paraaortic Region<;>Extra-Adrenal,0.5904,Aortocaval Lymph Node<;>Pancreatic Lymph Node<;>Presacral<;>Extra-Adrenal,0.5874,Paraaortic Region,0.5740
AORTOCAVAL RETROPERITONEAL EXTRA ADRENAL PGL,Aortocaval Lymph Node<;>Retroperitoneal<;>Extra-Adrenal,3,2,Extra-Adrenal Retroperitoneal Paraganglioma,0.8494,Retroperitoneal paraganglioma,0.7798,Aortocaval Lymph Node<;>Retroperitoneal<;>Extra-Adrenal,0.6632,Aortocaval Lymph Node<;>Pancreatic Lymph Node<;>Presacral<;>Extra-Adrenal,0.6533,Retroperitoneal<;>Extra-Adrenal,0.6035
APEX,Apex of the Prostate,1,2,Apex of the Prostate,0.7577,Apex of the Prostate<;>Base of the Prostate,0.7043,Middle of the Prostate<;>Apex of the Prostate,0.6365,Middle of the Prostate<;>Apex of the Prostate<;>Base of the Prostate,0.5877,Proximal,0.5685
APEXBASE,Apex of the Prostate<;>Base of the Prostate,2,2,Apex of the Prostate,0.5937,Apex of the Prostate<;>Base of the Prostate,0.5891,Middle of the Prostate<;>Apex of the Prostate<;>Base of the Prostate,0.5147,Extra-Adrenal,0.5099,Middle of the Prostate<;>Apex of the Prostate,0.5052
APEXMIDDLE,Middle of the Prostate<;>Apex of the Prostate,3,2,Apex of the Prostate,0.6501,Apex of the Prostate<;>Base of the Prostate,0.6173,Middle of the Prostate<;>Apex of the Prostate,0.5652,Middle of the Prostate<;>Apex of the Prostate<;>Base of the Prostate,0.5528,Anorectal,0.5082
APEXMIDDLEBASE,Middle of the Prostate<;>Apex of the Prostate<;>Base of the Prostate,3,2,Apex of the Prostate,0.5629,Apex of the Prostate<;>Base of the Prostate,0.5583,Middle of the Prostate<;>Apex of the Prostate<;>Base of the Prostate,0.5094,Extra-Adrenal,0.4989,Anorectal,0.4923
APPENDIX,Appendix,1,2,Appendix,1.0000,Cecum,0.6260,Peritoneal,0.5791,Adnexa,0.5766,Abdomen,0.5658
ASCENDING COLON,Ascending Colon,1,2,Ascending Colon,1.0000,Descending Colon,0.8431,Right Colon,0.8351,Transverse Colon,0.8127,Sigmoid Colon,0.8027
ASCENDING TO TRANSVERSE COLON,Ascending Colon<;>Hepatic Flexure<;>Transverse Colon,2,2,Ascending Colon,0.9119,Ascending Colon<;>Hepatic Flexure<;>Transverse Colon,0.8376,Transverse Colon,0.8236,Descending Colon,0.7925,Right Colon,0.7888
ASCITES,Ascites,1,2,Ascites,1.0000,Pleural Effusion,0.6673,Pelvic Peritoneum<;>Peritoneal Effusion,0.6663,Peritoneal,0.6409,Pericardial Effusion,0.5921
ASCITES/DIFFUSE LARGE B CELL LYMPHOMA,Peritoneum<;>B-Lymphocyte,3,2,Ascites,0.6481,Peritoneal,0.4705,Peritoneum<;>B-Lymphocyte,0.4603,Pleural Fluid<;>B-Lymphocyte,0.4452,Pelvic Peritoneum<;>Peritoneal Effusion,0.4337
AXILLARY LYMPH NODES,Axillary Lymph Node,1,2,Axillary Lymph Node,0.9945,Left<;>Axillary Lymph Node,0.8262,Right<;>Axillary Lymph Node,0.7989,Shoulder<;>Axilla,0.7600,Upper Extremity<;>Shoulder<;>Axilla,0.7560
AXILLARY SOFT TISSUE METASTASIS,Axillary<;>Soft Tissue<;>Metastasis,1,2,Axillary<;>Soft Tissue<;>Metastasis,0.9575,Right<;>Axillary Lymph Node<;>Metastasis,0.6619,Skin<;>Breast<;>Metastasis,0.6063,Scapula<;>Metastasis,0.5762,Breast<;>Metastasis,0.5633
BACK,Back,1,2,Back,1.0000,Trunk,0.7234,Abdomen,0.6628,Limb<;>Trunk,0.6628,Spinal,0.6478
BACK MASS,Back,1,2,Back,0.6809,Upper<;>Back<;>Metastasis,0.6654,Pelvic Mass,0.6531,Vertebra<;>Metastasis,0.5934,Vertebral Column,0.5086
BASAL GANGLIA,Basal Ganglia,1,2,Basal Ganglia,1.0000,Basal Ganglia<;>Thalamus,0.8586,Temporal Lobe<;>Basal Ganglia,0.8570,Basal Ganglia<;>Temporal Lobe,0.8465,Right<;>Frontal Lobe<;>Basal Ganglia,0.6864
"BASAL GANGLIA,TEMPORAL LOBE",Basal Ganglia<;>Temporal Lobe,2,2,Temporal Lobe<;>Basal Ganglia,0.9822,Basal Ganglia<;>Temporal Lobe,0.9775,Basal Ganglia,0.8411,Basal Ganglia<;>Thalamus,0.8405,Temporal Lobe,0.6908
"BASAL GANGLIA,THALAMUS",Basal Ganglia<;>Thalamus,1,2,Basal Ganglia<;>Thalamus,0.9796,Basal Ganglia,0.8861,Temporal Lobe<;>Basal Ganglia,0.8760,Basal Ganglia<;>Temporal Lobe,0.8701,Thalamus,0.7696
BASE,Base of the Prostate,99,2,Base of the Skull,0.6704,Back,0.5814,Basal Ganglia,0.5673,Base of the Tongue,0.5596,Blood,0.5559
BASE OF TONGUE,Base of the Tongue,1,2,Base of the Tongue,0.9950,Tongue,0.7747,Lingula of the Lung,0.6803,Base of the Skull,0.6545,Base of the Prostate,0.6178
BILATERAL,Bilateral,1,2,Bilateral,1.0000,Multifocal,0.5735,Diffuse,0.5447,Brain Stem,0.5383,Right,0.5357
BILE DUCT,Bile Duct,1,2,Bile Duct,1.0000,Gallbladder,0.6247,Liver,0.5561,Intrahepatic,0.5508,Portal,0.5198
BLADDER,Bladder,1,2,Bladder,1.0000,Bladder Neck,0.7659,Lower<;>Abdomen<;>Pelvis<;>Bladder,0.7506,Urethra<;>Bladder,0.7313,Bladder<;>Ureter,0.7288
BLADDER; URETER,Bladder<;>Ureter,1,2,Bladder<;>Ureter,0.9487,Ureter,0.8565,Bladder<;>Ureter<;>Renal Pelvis,0.8465,Ureter<;>Renal Pelvis,0.7724,Upper Urinary System,0.7115
BLADDER; URETHRA,Urethra<;>Bladder,1,2,Urethra<;>Bladder,0.9804,Urethra,0.8238,Bladder,0.7310,Bladder<;>Ureter,0.7242,Bladder Neck,0.6812
BLADDER_NECK,Bladder Neck,1,2,Bladder Neck,0.9647,Bladder,0.8249,Lower<;>Abdomen<;>Pelvis<;>Bladder,0.6957,Neck,0.6928,Neck of Gallbladder,0.6883
BLOOD,Blood,1,2,Blood,1.0000,Peripheral Blood,0.7786,Plasma,0.6639,Bone Marrow,0.5965,Bone,0.5247
BODY,Body of the Pancreas,99,2,Body of Stomach,0.6815,Trunk,0.6424,Head,0.6347,Limb<;>Trunk,0.6157,Trunk<;>Limb,0.6095
BODY AND TAIL,Body of the Pancreas<;>Tail of the Pancreas,5,2,Trunk,0.7641,Limb<;>Trunk,0.7135,Trunk<;>Limb,0.6987,Head,0.6859,Body of the Pancreas<;>Tail of the Pancreas,0.6708
BODY-TAIL,Body of the Pancreas<;>Tail of the Pancreas,3,2,Trunk,0.7130,Tail of the Pancreas,0.6971,Body of the Pancreas<;>Tail of the Pancreas,0.6683,Chest Wall<;>Head,0.6640,Limb<;>Trunk,0.6621
BODYSTOMACH,Body of Stomach,1,2,Body of Stomach,0.7951,Stomach,0.7387,Fundus of the Stomach<;>Body of Stomach,0.7180,Lower<;>Stomach,0.6624,Abdomen,0.6379
BONE,Bone,1,2,Bone,1.0000,Bone Marrow,0.6150,Soft Tissue,0.5799,Skull,0.5662,Sternum,0.5554
BONE MARROW,Bone Marrow,1,2,Bone Marrow,1.0000,Bone,0.6150,Peripheral Blood,0.6061,Blood,0.5965,Bone Marrow<;>B-Lymphocyte,0.5722
"BONE MARROW/B-CELL NON-HODGKIN LYMPHOMA DLCL, STAGE 4B, AT RELAPSE",Bone Marrow<;>B-Lymphocyte,99,2,Distant Metastasis<;>Limb<;>Trunk,0.3865,Distant Metastasis<;>Trunk,0.3599,Distant Metastasis<;>Limb,0.3571,Multifocal<;>Left<;>Frontal Lobe<;>Parietal Lobe<;>Temporal Lobe<;>Right<;>Occipital Lobe,0.3555,Parietal Lobe<;>Metastasis,0.3529
BONES,Bone,1,2,Bone,0.9778,Bone Marrow,0.6109,Soft Tissue,0.5834,Skull,0.5805,Sternum,0.5680
BOWEL,Intestine,1,2,Intestine,0.8855,Small Intestine,0.7627,Colon,0.7164,Colorectal,0.6835,Rectum,0.6652
BRAIN,Brain,1,2,Brain,1.0000,Central Nervous System,0.7973,Head,0.7191,Skull,0.7136,Cerebral Cortex,0.6877
BRAIN STEM,Brain Stem,1,2,Brain Stem,1.0000,Trunk,0.6349,Brain,0.6339,Infratentorial Brain,0.6250,Cerebellum,0.6216
BRAIN STEM- MIDBRAIN/TECTUM,Tectum Mesencephali,2,2,Brain Stem,0.8222,Tectum Mesencephali,0.7280,Tectum Mesencephali<;>Brain Ventricle,0.6585,Tectum Mesencephali<;>Cerebellum<;>Posterior Cranial Fossa<;>Occipital Lobe<;>Visual Pathway<;>Parietal Lobe<;>Temporal Lobe,0.6568,Tectum Mesencephali<;>Pons Varolii<;>Cerebellum<;>Posterior Cranial Fossa,0.6526
"BRAIN STEM- MIDBRAIN/TECTUM,BRAIN STEM- PONS,CEREBELLUM/POSTERIOR FOSSA",Tectum Mesencephali<;>Pons Varolii<;>Cerebellum<;>Posterior Cranial Fossa,1,2,Tectum Mesencephali<;>Pons Varolii<;>Cerebellum<;>Posterior Cranial Fossa,0.7473,Brain Stem,0.7368,Tectum Mesencephali<;>Cerebellum<;>Posterior Cranial Fossa<;>Occipital Lobe<;>Visual Pathway<;>Parietal Lobe<;>Temporal Lobe,0.7223,Pons Varolii<;>Medulla Oblongata<;>Cerebellum<;>Posterior Cranial Fossa<;>Cervical Spinal Cord,0.6778,Infratentorial Brain,0.6628
"BRAIN STEM- MIDBRAIN/TECTUM,CEREBELLUM/POSTERIOR FOSSA,OCCIPITAL LOBE,OPTIC PATHWAY,PARIETAL LOBE,TEMPORAL LOBE",Tectum Mesencephali<;>Cerebellum<;>Posterior Cranial Fossa<;>Occipital Lobe<;>Visual Pathway<;>Parietal Lobe<;>Temporal Lobe,1,2,Tectum Mesencephali<;>Cerebellum<;>Posterior Cranial Fossa<;>Occipital Lobe<;>Visual Pathway<;>Parietal Lobe<;>Temporal Lobe,0.7367,Brain Stem,0.6864,Tectum Mesencephali<;>Pons Varolii<;>Cerebellum<;>Posterior Cranial Fossa,0.6766,Cerebellum<;>Posterior Cranial Fossa<;>Visual Pathway<;>Suprasellar<;>Hypothalamus<;>Pituitary Gland<;>Thalamus,0.6149,Infratentorial Brain,0.6144
"BRAIN STEM- MIDBRAIN/TECTUM,VENTRICLES",Tectum Mesencephali<;>Brain Ventricle,1,2,Tectum Mesencephali<;>Brain Ventricle,0.8233,Medulla Oblongata<;>Brain Ventricle,0.7250,Tectum Mesencephali<;>Pons Varolii<;>Cerebellum<;>Posterior Cranial Fossa,0.7118,Brain Stem,0.6865,Tectum Mesencephali<;>Cerebellum<;>Posterior Cranial Fossa<;>Occipital Lobe<;>Visual Pathway<;>Parietal Lobe<;>Temporal Lobe,0.6846
"BRAIN STEM- PONS,BRAIN STEM-MEDULLA,CEREBELLUM/POSTERIOR FOSSA,SPINAL CORD- CERVICAL",Pons Varolii<;>Medulla Oblongata<;>Cerebellum<;>Posterior Cranial Fossa<;>Cervical Spinal Cord,5,2,Brain Stem,0.7265,Cerebellum<;>Posterior Cranial Fossa<;>Meninges<;>Dura Mater<;>Cervical Spinal Cord<;>Thoracic Spine<;>Brain Ventricle,0.7094,Cerebellum<;>Posterior Cranial Fossa<;>Cervical Spinal Cord<;>Lumbar Spine<;>Spinal Cord Dura Mater<;>Thoracic Spine,0.6859,Pons Varolii<;>Medulla Oblongata<;>Cervical Spinal Cord<;>Thoracic Spinal Cord<;>Suprasellar<;>Hypothalamus<;>Pituitary Gland,0.6746,Pons Varolii<;>Medulla Oblongata<;>Cerebellum<;>Posterior Cranial Fossa<;>Cervical Spinal Cord,0.6302
"BRAIN STEM- PONS,BRAIN STEM-MEDULLA,SPINAL CORD- CERVICAL,SPINAL CORD- THORACIC,SUPRASELLAR/HYPOTHALAMIC/PITUITARY",Pons Varolii<;>Medulla Oblongata<;>Cervical Spinal Cord<;>Thoracic Spinal Cord<;>Suprasellar<;>Hypothalamus<;>Pituitary Gland,2,2,Brain Stem,0.7254,Pons Varolii<;>Medulla Oblongata<;>Cervical Spinal Cord<;>Thoracic Spinal Cord<;>Suprasellar<;>Hypothalamus<;>Pituitary Gland,0.6821,Cervical Spinal Cord<;>Thoracic Spine,0.6267,Cerebellum<;>Posterior Cranial Fossa<;>Hippocampus<;>Thoracic Spine<;>Temporal Lobe<;>Thalamus,0.5913,Cervical Spinal Cord,0.5702
"BRAIN STEM- PONS,CEREBELLUM/POSTERIOR FOSSA",Pons Varolii<;>Cerebellum<;>Posterior Cranial Fossa,1,2,Pons Varolii<;>Cerebellum<;>Posterior Cranial Fossa,0.7840,Cerebellum<;>Posterior Cranial Fossa,0.7820,Pons Varolii<;>Medulla Oblongata<;>Cerebellum<;>Posterior Cranial Fossa<;>Cervical Spinal Cord,0.7724,Brain Stem,0.7704,Cerebellum<;>Posterior Cranial Fossa<;>Brain Ventricle,0.7357
"BRAIN STEM-MEDULLA,VENTRICLES",Medulla Oblongata<;>Brain Ventricle,1,2,Medulla Oblongata<;>Brain Ventricle,0.8586,Brain Ventricle,0.7483,Fourth Ventricle,0.7150,Brain Stem,0.7060,Tectum Mesencephali<;>Brain Ventricle,0.6961
"BRAIN, CEREBELLUM",Cerebellum,1,2,Cerebellum,0.9801,Cerebellum<;>Posterior Cranial Fossa,0.7238,Brain,0.7133,Cerebellum<;>Posterior Cranial Fossa<;>Brain Ventricle,0.6636,Central Lobe,0.6504
"BRAIN, LEFT OCCIPITAL",Left<;>Occipital Lobe,1,2,Left<;>Occipital Lobe,0.9114,Left<;>Parietal Lobe<;>Occipital Lobe,0.8222,Left<;>Temporal Lobe<;>Occipital Lobe,0.7959,Left<;>Parietal Lobe,0.7123,Right<;>Occipital Lobe,0.7075
"BRAIN, LEFT PARIETAL",Left<;>Parietal Lobe,1,2,Left<;>Parietal Lobe,0.9355,Left<;>Parietal Lobe<;>Occipital Lobe,0.8644,Left<;>Temporal Lobe<;>Parietal Lobe,0.8170,Left<;>Parietal Lobe<;>Right<;>Parietal Lobe,0.7995,Left<;>Parietal Lobe<;>Scalp,0.7851
"BRAIN, LEFT TEMPORAL",Left<;>Temporal Lobe,1,2,Left<;>Temporal Lobe,0.9097,Left<;>Temporal Lobe<;>Occipital Lobe,0.8678,Left<;>Posterior<;>Temporal Lobe,0.8562,Left<;>Temporal Lobe<;>Parietal Lobe,0.8304,Left<;>Frontal Lobe<;>Temporal Lobe,0.8218
"BRAIN, RIGHT FRONTAL",Right<;>Frontal Lobe,1,2,Right<;>Frontal Lobe,0.9187,Right<;>Frontal Lobe<;>Temporal Lobe,0.7950,Frontal,0.6814,Frontal Lobe,0.6643,Right<;>Frontal Lobe<;>Basal Ganglia,0.6520
"BRAIN, RIGHT OCCIPITAL",Right<;>Occipital Lobe,1,2,Right<;>Occipital Lobe,0.9066,Right<;>Cerebellum<;>Occipital Lobe,0.8366,Right<;>Parietal Lobe<;>Occipital Lobe,0.8169,Right<;>Temporal Lobe<;>Occipital Lobe,0.7889,Occipital Lobe,0.6895
"BRAIN, RIGHT TEMPORAL",Right<;>Temporal Lobe,1,2,Right<;>Temporal Lobe,0.8911,Right<;>Temporal Lobe<;>Occipital Lobe,0.8209,Right<;>Parietal Lobe<;>Temporal Lobe,0.8156,Right<;>Frontal Lobe<;>Temporal Lobe,0.8025,Temporal Lobe,0.6644
BRAINSTEM,Brain Stem,1,2,Brain Stem,0.8658,Basal Ganglia,0.7152,Brain,0.7060,Cerebellum,0.6929,Infratentorial Brain,0.6846
BREAST,Breast,1,2,Breast,1.0000,Chest,0.6636,Chest Wall,0.6503,Stomach,0.5802,Buttock,0.5767
BREAST METASTASIS,Breast<;>Metastasis,1,2,Breast<;>Metastasis,0.9716,Skin<;>Breast<;>Metastasis,0.8255,Distant Metastasis,0.7257,Metastasis,0.6888,Chest Wall<;>Metastasis,0.6463
BUCCAL,Buccal Surface,1,2,Buccal Surface,0.8978,Buccal Mucosa,0.8456,Oral Cavity,0.7059,Palate,0.6819,Pharynx,0.5934
BUCCAL MUCOSA,Buccal Mucosa,1,2,Buccal Mucosa,1.0000,Buccal Surface,0.8630,Oral Cavity,0.6010,Palate,0.5780,Floor of Mouth,0.5740
BUTTOCK,Buttock,1,2,Buttock,1.0000,Pelvis<;>Buttock,0.8983,Skin of the Trunk<;>Buttock,0.7304,Ilium,0.6603,Inguinal Region,0.6451
C4 EPIDURAL TUMOR,C4 Vertebra,1,2,C4 Vertebra,0.5889,Upper<;>Back<;>Metastasis,0.4665,Extra-Adrenal Retroperitoneal Paraganglioma,0.4635,Scapula<;>Metastasis,0.4466,Retroperitoneal paraganglioma,0.4374
C7-T1 SPINAL TUMOR,C7 Vertebra<;>T1 Vertebra,1,2,C7 Vertebra<;>T1 Vertebra,0.5945,Paraspinal<;>C7 Vertebra,0.5599,Cervical Spinal Cord<;>Thoracic Spine,0.4630,Vertebra<;>Metastasis,0.4241,Upper<;>Back<;>Metastasis,0.4215
CAECUM,Cecum,1,2,Cecum,0.8734,Colon,0.7342,Colorectal,0.6770,Appendix,0.6319,Ascending Colon,0.6293
CARDIA,Gastric Cardia,1,2,Gastric Cardia,0.7850,Cardiac Atrium<;>Extra-Adrenal,0.5813,Fundus of the Stomach<;>Body of Stomach,0.5670,Celiac Artery,0.5581,Stomach,0.5579
CARDIAC ATRIUM EXTRA ADRENAL PGL,Cardiac Atrium<;>Extra-Adrenal,3,2,Extra-Adrenal Retroperitoneal Paraganglioma,0.7416,Retroperitoneal paraganglioma,0.6659,Cardiac Atrium<;>Extra-Adrenal,0.6285,Aortocaval Lymph Node<;>Pancreatic Lymph Node<;>Presacral<;>Extra-Adrenal,0.5598,Pericardium<;>Paraaortic Region<;>Extra-Adrenal,0.5492
CECUM,Cecum,1,2,Cecum,1.0000,Colon,0.6936,Terminal Ileum,0.6842,Ascending Colon,0.6483,Colorectal,0.6404
CELIAC AXIS,Celiac Artery,1,2,Celiac Artery,0.8182,Paraaortic Region<;>Celiac Artery<;>Extra-Adrenal,0.6555,Hepatic Flexure,0.6494,Splenic Flexure,0.6312,Splenic Flexure<;>Descending Colon<;>Sigmoid Colon,0.6228
CENTRAL LUNG,Central Lung,1,2,Central Lung,1.0000,Peripheral Lung,0.7847,Right Lung,0.7329,Mediastinum<;>Lung,0.7171,Left Lung,0.7163
CEREBELLAR,Cerebellum,1,2,Cerebellum,0.9271,Cerebellum<;>Posterior Cranial Fossa,0.6968,Cerebellum<;>Posterior Cranial Fossa<;>Brain Ventricle,0.6385,Cerebellum<;>Posterior Cranial Fossa<;>Frontal Lobe,0.6219,Right<;>Cerebellum<;>Occipital Lobe,0.6142
CEREBELLOPONTINE ANGLE,Cerebellopontine Angle,1,2,Cerebellopontine Angle,1.0000,Posterior Cranial Fossa,0.6209,Optic Chiasm,0.6176,Pons Varolii<;>Cerebellum<;>Posterior Cranial Fossa,0.6075,Cerebellum<;>Posterior Cranial Fossa,0.6003
