original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score
ACINAR CELL CARCINOMA,Acinar Cell Carcinoma,1,2,Acinar Cell Carcinoma,1.0000,Pancreatic Acinar Cell Carcinoma,0.9016,Acinar Cell Carcinoma<;>Papillary,0.8589,Lung Acinar Adenocarcinoma,0.8525,Prostate Acinar Adenocarcinoma,0.8408
ACINAR CELL CARCINOMA OF THE PANCREAS,Pancreatic Acinar Cell Carcinoma,1,2,Pancreatic Acinar Cell Carcinoma,0.9795,Acinar Cell Carcinoma,0.8975,Prostate Acinar Adenocarcinoma,0.8235,Pancreatic Adenocarcinoma,0.8185,Lung Acinar Adenocarcinoma,0.8099
"ACINAR CELL CARCINOMA, NOS",Acinar Cell Carcinoma,1,2,Acinar Cell Carcinoma,0.9939,Pancreatic Acinar Cell Carcinoma,0.8963,Acinar Cell Carcinoma<;>Papillary,0.8532,Lung Acinar Adenocarcinoma,0.8468,Prostate Acinar Adenocarcinoma,0.8356
ACINAR/ PAPILLARY,Acinar Cell Carcinoma<;>Papillary,2,2,Papillary,0.7731,Acinar Cell Carcinoma<;>Papillary,0.7603,Papillary Adenocarcinoma,0.7189,Papillary Carcinoma,0.6686,Non-Papillary Pattern,0.6633
ACINIC CELL CARCINOMA,Acinar Cell Carcinoma,1,2,Acinar Cell Carcinoma,0.8804,Pancreatic Acinar Cell Carcinoma,0.8014,Acinar Cell Carcinoma<;>Papillary,0.7449,Lung Acinar Adenocarcinoma,0.7353,Prostate Acinar Adenocarcinoma,0.7266
ACRAL,Acral Lentiginous Melanoma,3,2,Arm,0.5947,Distal,0.5225,Acral Lentiginous Melanoma,0.5128,Manubrium,0.4937,Bone,0.4883
ACRAL LENTIGINOUS,Acral Lentiginous Melanoma,2,2,Lentigo Maligna,0.7568,Acral Lentiginous Melanoma,0.7458,Lentigo Maligna Melanoma,0.6337,Keratoacanthoma,0.4989,Neurocutaneous Melanosis,0.4958
ACRAL MELANOMA,Acral Lentiginous Melanoma,1,2,Acral Lentiginous Melanoma,0.8809,Amelanotic Melanoma,0.7154,Cutaneous Melanoma,0.6875,Lentigo Maligna Melanoma,0.6645,Low-CSD Melanoma,0.6565
ACTIVATED B-CELL TYPE,Diffuse Large B-Cell Lymphoma Activated B-Cell Type,3,2,Activated B-Cell Positive,0.8293,B-Lymphocyte,0.7253,Diffuse Large B-Cell Lymphoma Activated B-Cell Type,0.6847,germinal center B cell,0.6603,Blastic Phase,0.5705
ACUTE BIPHENOTYPIC LEUKEMIA,Acute Biphenotypic Leukemia,1,2,Acute Biphenotypic Leukemia,1.0000,"Mixed Phenotype Acute Leukemia, B/Myeloid",0.8522,"Mixed Phenotype Acute Leukemia, B/Myeloid, Not Otherwise Specified",0.8427,Acute Monoblastic and Monocytic Leukemia,0.8204,Acute Leukemia of Ambiguous Lineage,0.8176
ACUTE ERYTHROID LEUKAEMIA,Acute Erythroid Leukemia,1,2,Acute Erythroid Leukemia,0.9918,Pure Erythroid Leukemia,0.9007,Erythroleukemia,0.8101,Acute Myeloid Leukemia,0.7787,Acute Myeloid Leukemia Not Otherwise Specified,0.7325
ACUTE ERYTHROID LEUKEMIA,Acute Erythroid Leukemia,1,2,Acute Erythroid Leukemia,1.0000,Pure Erythroid Leukemia,0.9015,Erythroleukemia,0.8057,Acute Myeloid Leukemia,0.7858,Acute Myeloid Leukemia Not Otherwise Specified,0.7349
ACUTE LEUKAEMIAS OF AMBIGUOUS LINEAGE,Acute Leukemia of Ambiguous Lineage,1,2,Acute Leukemia of Ambiguous Lineage,0.9845,Acute Undifferentiated Leukemia,0.8229,Acute Myeloid Leukemia Not Otherwise Specified,0.8199,Acute Biphenotypic Leukemia,0.8165,Acute Myeloid Leukemia,0.8058
ACUTE LEUKEMIAS OF AMBIGUOUS LINEAGE,Acute Leukemia of Ambiguous Lineage,1,2,Acute Leukemia of Ambiguous Lineage,0.9837,Acute Undifferentiated Leukemia,0.8234,Acute Biphenotypic Leukemia,0.8177,Acute Myeloid Leukemia Not Otherwise Specified,0.8046,Acute Myeloid Leukemia,0.7924
ACUTE LYMPHOBLASTIC LEUKEMIA,Acute Lymphoblastic Leukemia,1,2,Acute Lymphoblastic Leukemia,1.0000,B Acute Lymphoblastic Leukemia,0.8791,Lymphoblastic Lymphoma,0.8184,T Acute Lymphoblastic Leukemia,0.7750,B Lymphoblastic Leukemia/Lymphoma,0.7707
"ACUTE LYMPHOBLASTIC LEUKEMIA ALL, B-CELL",B Acute Lymphoblastic Leukemia,1,2,B Acute Lymphoblastic Leukemia,0.9528,B Lymphoblastic Leukemia/Lymphoma,0.8340,Acute Lymphoblastic Leukemia,0.8039,B-Cell Non-Hodgkin Lymphoma<;>Burkitt Lymphoma,0.7273,B Acute Lymphoblastic Leukemia with t(9<;>22)(q34.1<;>q11.2)<;> BCR-ABL1,0.7197
"ACUTE LYMPHOBLASTIC LEUKEMIA ALL, T-CELL",T Acute Lymphoblastic Leukemia,1,2,T Acute Lymphoblastic Leukemia,0.9360,Early T Acute Lymphoblastic Leukemia,0.8412,T Lymphoblastic Leukemia/Lymphoma,0.8410,Adult T-Cell Leukemia/Lymphoma,0.7825,T-Cell Non-Hodgkin Lymphoma,0.6912
ACUTE LYMPHOID LEUKEMIA,Acute Lymphoblastic Leukemia,1,2,Acute Lymphoblastic Leukemia,0.8122,B Acute Lymphoblastic Leukemia,0.7843,Lymphoblastic Lymphoma,0.7571,B Lymphoblastic Leukemia/Lymphoma,0.7184,Acute Leukemia of Ambiguous Lineage,0.6766
ACUTE MEGAKARYOBLASTIC LEUKAEMIA,Acute Megakaryoblastic Leukemia,1,2,Acute Megakaryoblastic Leukemia,0.9938,Acute Myelomonocytic Leukemia,0.8609,Acute Megakaryoblastic Leukemia<;>Down Syndrome,0.8098,Acute Monocytic Leukemia,0.7889,Acute Myeloid Leukemia,0.7794
ACUTE MEGAKARYOBLASTIC LEUKEMIA,Acute Megakaryoblastic Leukemia,1,2,Acute Megakaryoblastic Leukemia,1.0000,Acute Myelomonocytic Leukemia,0.8594,Acute Megakaryoblastic Leukemia<;>Down Syndrome,0.8206,Acute Monocytic Leukemia,0.7847,Acute Myeloid Leukemia,0.7764
ACUTE MONOBLASTIC AND MONOCYTIC LEUKAEMIA,Acute Monoblastic and Monocytic Leukemia,1,2,Acute Monoblastic and Monocytic Leukemia,0.9917,Acute Monocytic Leukemia,0.8796,Acute Myelomonocytic Leukemia,0.8291,Acute Biphenotypic Leukemia,0.8214,Acute Myeloid Leukemia,0.8173
ACUTE MONOBLASTIC/MONOCYTIC LEUKEMIA,Acute Monoblastic and Monocytic Leukemia,1,2,Acute Monoblastic and Monocytic Leukemia,0.9893,Acute Monocytic Leukemia,0.9032,Acute Myelomonocytic Leukemia,0.8397,Acute Biphenotypic Leukemia,0.8146,Acute Myeloid Leukemia,0.8139
ACUTE MYELOBLASTIC LEUKEMIA,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.9302,Acute Myeloid Leukemia Not Otherwise Specified,0.9192,Acute Myelomonocytic Leukemia,0.8687,Acute Myeloid Leukemia with Maturation,0.8368,Acute Monoblastic and Monocytic Leukemia,0.8355
"ACUTE MYELOBLASTIC LEUKEMIA, IN RELAPSE",Recurrent Acute Myeloid Leukemia,1,2,Recurrent Acute Myeloid Leukemia,0.8506,Acute Myeloid Leukemia with Maturation<;>Auer Rods Present,0.7286,Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,0.6966,Acute Myeloid Leukemia with Maturation,0.6758,Acute Myeloid Leukemia without Maturation,0.6694
ACUTE MYELOGENOUS LEUKEMIA AML,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.9370,Acute Myeloid Leukemia Not Otherwise Specified,0.9131,Acute Myelomonocytic Leukemia,0.8525,Acute Myeloid Leukemia with Maturation,0.8363,Acute Monoblastic and Monocytic Leukemia,0.8084
"ACUTE MYELOGENOUS LEUKEMIA AML, M2 MYELOBLASTIC",Acute Myeloid Leukemia with Maturation,2,2,Acute Myelomonocytic Leukemia,0.7549,Acute Myeloid Leukemia with Maturation,0.7524,Acute Myeloid Leukemia with Minimal Differentiation,0.7388,Acute Myeloid Leukemia without Maturation,0.7358,Acute Monoblastic and Monocytic Leukemia,0.7317
"ACUTE MYELOGENOUS LEUKEMIA AML, M3 PROMYELOCYTIC",Acute Promyelocytic Leukemia with PML-RARA,2,2,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,0.7638,Acute Promyelocytic Leukemia with PML-RARA,0.7622,"Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM",0.7204,"Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",0.7204,Acute Myelomonocytic Leukemia,0.6955
"ACUTE MYELOGENOUS LEUKEMIA AML, M4 MYELOMONOCYTIC",Acute Myelomonocytic Leukemia,1,2,Acute Myelomonocytic Leukemia,0.8433,Acute Monoblastic and Monocytic Leukemia,0.7298,Acute Myeloid Leukemia with Maturation,0.7243,Acute Myeloid Leukemia with Multilineage Dysplasia,0.7101,Acute Megakaryoblastic Leukemia,0.6974
"ACUTE MYELOGENOUS LEUKEMIA AML, M5 EOSINOPHILIC/MONOCYTIC",Acute Monoblastic and Monocytic Leukemia,1,2,Acute Monoblastic and Monocytic Leukemia,0.7942,Acute Myelomonocytic Leukemia,0.7785,Acute Myeloid Leukemia with Multilineage Dysplasia,0.7519,Acute Monocytic Leukemia,0.7471,Acute Myeloid Leukemia with Maturation,0.7340
"ACUTE MYELOGENOUS LEUKEMIA AML, M5 MONOCYTIC",Acute Monoblastic and Monocytic Leukemia,2,2,Acute Monocytic Leukemia,0.8465,Acute Monoblastic and Monocytic Leukemia,0.8395,Acute Myelomonocytic Leukemia,0.8310,Acute Myeloid Leukemia with Maturation,0.7593,Acute Myeloid Leukemia with Multilineage Dysplasia,0.7346
"ACUTE MYELOGENOUS LEUKEMIA AML, M6 ERYTHROLEUKEMIA",Acute Erythroid Leukemia,1,2,Acute Erythroid Leukemia,0.7092,Acute Myelomonocytic Leukemia,0.6999,Acute Myeloid Leukemia with Mutated CEBPA,0.6867,Acute Promyelocytic Leukemia with PML-RARA,0.6817,Acute Megakaryoblastic Leukemia,0.6799
"ACUTE MYELOGENOUS LEUKEMIA AML, M7 MEGAKARYOBLASTIC",Acute Megakaryoblastic Leukemia,1,2,Acute Megakaryoblastic Leukemia,0.8208,Acute Myelomonocytic Leukemia,0.7657,Acute Megakaryoblastic Leukemia<;>Down Syndrome,0.7089,Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1,0.6825,Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1,0.6660
ACUTE MYELOGENOUS LEUKEMIA M5A,Acute Monoblastic and Monocytic Leukemia,3,2,Acute Myelomonocytic Leukemia,0.8188,Acute Myeloid Leukemia,0.7966,Acute Monoblastic and Monocytic Leukemia,0.7784,Acute Myeloid Leukemia with Maturation,0.7734,Acute Myeloid Leukemia Not Otherwise Specified,0.7667
ACUTE MYELOID LEUKAEMIA (AML) AND RELATED PRECURSOR NEOPLASMS,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.8023,Acute Myeloid Leukemia Not Otherwise Specified,0.8010,Acute Myeloid Leukemia Not Otherwise Specified<;>Therapy-Related Myeloid Neoplasm,0.7534,Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,0.7513,Acute Monoblastic and Monocytic Leukemia,0.7489
ACUTE MYELOID LEUKAEMIA AML AND RELATED PRECURSOR NEOPLASMS,Acute Myeloid Leukemia,2,2,Acute Myeloid Leukemia Not Otherwise Specified,0.7890,Acute Myeloid Leukemia,0.7862,Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,0.7789,Acute Monoblastic and Monocytic Leukemia,0.7705,Acute Promyelocytic Leukemia with PML-RARA,0.7528
"ACUTE MYELOID LEUKAEMIA, NOS",Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.9828,Acute Myeloid Leukemia Not Otherwise Specified,0.9591,Acute Myeloid Leukemia with Maturation,0.8125,Acute Monoblastic and Monocytic Leukemia,0.8085,Acute Myelomonocytic Leukemia,0.7945
"ACUTE MYELOID LEUKAEMIA, NOS, THERAPY-RELATED MYELOID NEOPLASMS",Acute Myeloid Leukemia Not Otherwise Specified<;>Therapy-Related Myeloid Neoplasm,1,2,Acute Myeloid Leukemia Not Otherwise Specified<;>Therapy-Related Myeloid Neoplasm,0.9709,Therapy-Related Myeloid Neoplasm,0.8533,Acute Myeloid Leukemia,0.7882,Acute Myeloid Leukemia Not Otherwise Specified,0.7807,Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,0.7413
ACUTE MYELOID LEUKEMIA,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,1.0000,Acute Myeloid Leukemia Not Otherwise Specified,0.9693,Acute Myeloid Leukemia with Maturation,0.8460,Acute Monoblastic and Monocytic Leukemia,0.8193,Acute Myelomonocytic Leukemia,0.8136
ACUTE MYELOID LEUKEMIA WITH MULTILINEAGE DYSPLASIA,Acute Myeloid Leukemia with Multilineage Dysplasia,1,2,Acute Myeloid Leukemia with Multilineage Dysplasia,1.0000,Acute Myeloid Leukemia with Myelodysplasia-Related Changes,0.9152,Acute Myeloid Leukemia<;>Myelodysplastic Syndrome,0.8456,Acute Myeloid Leukemia with Minimal Differentiation,0.8213,Acute Myeloid Leukemia with Maturation,0.8156
"ACUTE MYELOID LEUKEMIA WITH MULTILINEAGE DYSPLASIA, NOT HAVING ACHIEVED REMISSION",Acute Myeloid Leukemia with Multilineage Dysplasia,1,2,Acute Myeloid Leukemia with Multilineage Dysplasia,0.7671,Acute Myeloid Leukemia without Maturation<;>Auer Rods Present,0.7240,Acute Myeloid Leukemia without Maturation,0.7141,Acute Myeloid Leukemia with Maturation<;>Auer Rods Present,0.7117,Acute Myeloid Leukemia with Minimal Differentiation,0.7101
ACUTE MYELOID LEUKEMIA WITH MYELODYSPLASIA RELATED CHANGES,Acute Myeloid Leukemia with Myelodysplasia-Related Changes,1,2,Acute Myeloid Leukemia with Myelodysplasia-Related Changes,0.9959,Acute Myeloid Leukemia with Multilineage Dysplasia,0.9085,Acute Myeloid Leukemia<;>Myelodysplastic Syndrome,0.8421,Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,0.8143,Acute Myeloid Leukemia with t(6;9)(p22.3;q34.1); DEK-NUP214,0.7778
ACUTE MYELOID LEUKEMIAS,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.9885,Acute Myeloid Leukemia Not Otherwise Specified,0.9549,Acute Myeloid Leukemia with Maturation,0.8284,Acute Monoblastic and Monocytic Leukemia,0.8108,Acute Myelomonocytic Leukemia,0.8064
ACUTE MYELOMONOCYTIC LEUKAEMIA,Acute Myelomonocytic Leukemia,1,2,Acute Myelomonocytic Leukemia,0.9916,Acute Megakaryoblastic Leukemia,0.8580,Acute Monocytic Leukemia,0.8517,Acute Monoblastic and Monocytic Leukemia,0.8388,Acute Myeloid Leukemia,0.8147
ACUTE MYELOMONOCYTIC LEUKEMIA,Acute Myelomonocytic Leukemia,1,2,Acute Myelomonocytic Leukemia,1.0000,Acute Megakaryoblastic Leukemia,0.8594,Acute Monocytic Leukemia,0.8452,Acute Monoblastic and Monocytic Leukemia,0.8353,Acute Myeloid Leukemia,0.8136
ACUTE PROMYELOCYTIC LEUKAEMIA WITH T(15;17)(Q22;Q12); PML-RARA,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,1,2,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,0.9472,Acute Promyelocytic Leukemia with PML-RARA,0.9162,Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,0.7857,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.7550,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL,0.7550
ACUTE PROMYELOCYTIC LEUKAEMIA WITH T15;17Q22;Q12;  PML-RARA,Acute Promyelocytic Leukemia with PML-RARA,2,2,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,0.9098,Acute Promyelocytic Leukemia with PML-RARA,0.8374,Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,0.7542,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.6745,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL,0.6745
ACUTE PROMYELOCYTIC LEUKAEMIA WITH T15;17Q22;Q12; PML-RARA,Acute Promyelocytic Leukemia with PML-RARA,2,2,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,0.9098,Acute Promyelocytic Leukemia with PML-RARA,0.8374,Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,0.7542,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.6745,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL,0.6745
ACUTE UNDIFFERENTIATED LEUKAEMIA,Acute Undifferentiated Leukemia,1,2,Acute Undifferentiated Leukemia,0.9890,Acute Leukemia of Ambiguous Lineage,0.8254,Acute Myeloid Leukemia,0.7880,Acute Biphenotypic Leukemia,0.7814,Acute Myeloid Leukemia Not Otherwise Specified,0.7760
ACUTE UNDIFFERENTIATED LEUKEMIA,Acute Undifferentiated Leukemia,1,2,Acute Undifferentiated Leukemia,1.0000,Acute Leukemia of Ambiguous Lineage,0.8222,Acute Myeloid Leukemia,0.7953,Acute Biphenotypic Leukemia,0.7870,Acute Myeloid Leukemia Not Otherwise Specified,0.7801
ACUTE_BIPHENOTYPIC_LEUKEMIA,Acute Biphenotypic Leukemia,1,2,Acute Biphenotypic Leukemia,0.9818,"Mixed Phenotype Acute Leukemia, B/Myeloid, Not Otherwise Specified",0.8165,"Mixed Phenotype Acute Leukemia, B/Myeloid",0.8164,Acute Monoblastic and Monocytic Leukemia,0.8074,Acute Leukemia of Ambiguous Lineage,0.8073
ACUTE_LYMPHOBLASTIC_B_CELL_LEUKAEMIA,B Acute Lymphoblastic Leukemia,1,2,B Acute Lymphoblastic Leukemia,0.9538,Acute Lymphoblastic Leukemia,0.8859,B Lymphoblastic Leukemia/Lymphoma,0.8557,Lymphoblastic Lymphoma,0.7750,B-Cell Prolymphocytic Leukemia,0.7227
ACUTE_LYMPHOBLASTIC_LEUKAEMIA,Acute Lymphoblastic Leukemia,1,2,Acute Lymphoblastic Leukemia,0.9767,B Acute Lymphoblastic Leukemia,0.8706,Lymphoblastic Lymphoma,0.7974,Acute Leukemia of Ambiguous Lineage,0.7776,B Lymphoblastic Leukemia/Lymphoma,0.7725
ACUTE_LYMPHOBLASTIC_T_CELL_LEUKAEMIA,T Acute Lymphoblastic Leukemia,1,2,T Acute Lymphoblastic Leukemia,0.9504,Early T Acute Lymphoblastic Leukemia,0.8785,T Lymphoblastic Leukemia/Lymphoma,0.8583,Acute Lymphoblastic Leukemia,0.7936,Adult T-Cell Leukemia/Lymphoma,0.7637
ACUTE_MONOCYTIC_LEUKEMIA,Acute Monocytic Leukemia,1,2,Acute Monocytic Leukemia,0.9687,Acute Monoblastic and Monocytic Leukemia,0.8931,Acute Myelomonocytic Leukemia,0.8586,Acute Myeloid Leukemia,0.8399,Acute Myeloid Leukemia Not Otherwise Specified,0.8316
ACUTE_MYELOID_LEUKAEMIA,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.9769,Acute Myeloid Leukemia Not Otherwise Specified,0.9602,Acute Myeloid Leukemia with Maturation,0.8271,Acute Monoblastic and Monocytic Leukemia,0.8124,Acute Leukemia of Ambiguous Lineage,0.8096
ACYC,Adenoid Cystic Carcinoma,99,2,Atypical Chronic Myeloid Leukemia,0.4921,Astrocytoma,0.4910,Anaplastic Astrocytoma,0.4680,nan,0.4634,Angiocentric Glioma,0.4568
ADAMANTINOMA,Adamantinoma,1,2,Adamantinoma,1.0000,Adamantinomatous Craniopharyngioma,0.7838,Amelanotic Melanoma,0.6318,Alveolar Soft Part Sarcoma,0.6284,Angiocentric Glioma,0.5914
ADCA ACINAR WITH MUCIN PRODUCTION,Lung Colloid Adenocarcinoma,99,2,Prostate Acinar Adenocarcinoma<;>Prostate Ductal Adenocarcinoma,0.6531,Acinar Cell Carcinoma,0.6488,Pancreatic Mixed Acinar-Ductal Carcinoma,0.6464,Acinar Cell Carcinoma<;>Papillary,0.6250,Prostate Acinar Adenocarcinoma,0.6230
ADENOCARCINOMA,Adenocarcinoma,1,2,Adenocarcinoma,1.0000,Adenocarcinoma<;>Undifferentiated,0.8629,Adenocarcinoma<;>Invasive,0.8618,Adenocarcinoma<;>Well Differentiated,0.8557,Adenocarcinoma<;>Undifferentiated Carcinoma,0.8469
ADENOCARCINOMA AND MATURE CYSTIC TERATOMA,Adenocarcinoma<;>Dermoid Cyst,2,2,Mixed Cell Adenocarcinoma,0.7416,Adenocarcinoma<;>Dermoid Cyst,0.7219,Mixed Carcinoma,0.7151,Mucinous Cystadenocarcinoma,0.6971,Mucinous Adenocarcinoma,0.6946
ADENOCARCINOMA OF GALLBLADDER,Gallbladder Adenocarcinoma,1,2,Gallbladder Adenocarcinoma,0.9842,Gallbladder Carcinoma,0.9124,Gallbladder Squamous Cell Carcinoma,0.7952,Gallbladder Adenosquamous Carcinoma,0.7850,Gallbladder Large Cell Neuroendocrine Carcinoma,0.6820
ADENOCARCINOMA OF THE GASTROESOPHAGEAL JUNCTION,Gastroesophageal Junction Adenocarcinoma,1,2,Gastroesophageal Junction Adenocarcinoma,0.9796,Gastroesophageal Cancer,0.7403,Esophageal Adenocarcinoma,0.6849,Gastric Adenocarcinoma,0.6681,Esophageal Neuroendocrine Carcinoma<;>Adenocarcinoma,0.6651
