original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score
AORTO-CAVAL PERIPANCREATIC PRESACRAL EXTRA ADRENAL PGL,Aortocaval Lymph Node<;>Pancreatic Lymph Node<;>Presacral<;>Extra-Adrenal,1,2,Aortocaval Lymph Node<;>Pancreatic Lymph Node<;>Presacral<;>Extra-Adrenal,0.9659,Extra-Adrenal Retroperitoneal Paraganglioma,0.9640,Paraaortic Region<;>Celiac Artery<;>Extra-Adrenal,0.9586,Paraaortic Region<;>Vena Cava<;>Extra-Adrenal,0.9561,Paraaortic Region<;>Vena Cava<;>Retroperitoneal<;>Extra-Adrenal,0.9552
AORTOCAVAL LYMPH NODE,Aortocaval Lymph Node,1,2,Aortocaval Lymph Node,1.0000,Left<;>Thorax<;>Aortocaval Lymph Node,0.9812,Aortocaval Lymph Node<;>Retroperitoneal<;>Extra-Adrenal,0.9691,Aortocaval Lymph Node<;>Pancreatic Lymph Node<;>Presacral<;>Extra-Adrenal,0.9625,Inguinal Lymph Node,0.9527
AORTOCAVAL MASS,Aortocaval Lymph Node,1,2,Aortocaval Lymph Node,0.9398,Left<;>Thorax<;>Aortocaval Lymph Node,0.9321,Aortocaval Lymph Node<;>Retroperitoneal<;>Extra-Adrenal,0.9316,Aortocaval Lymph Node<;>Pancreatic Lymph Node<;>Presacral<;>Extra-Adrenal,0.9272,Pelvic Mass,0.9228
AORTOCAVAL RETROPERITONEAL EXTRA ADRENAL PGL,Aortocaval Lymph Node<;>Retroperitoneal<;>Extra-Adrenal,2,2,Extra-Adrenal Retroperitoneal Paraganglioma,0.9705,Aortocaval Lymph Node<;>Retroperitoneal<;>Extra-Adrenal,0.9689,Aortocaval Lymph Node<;>Pancreatic Lymph Node<;>Presacral<;>Extra-Adrenal,0.9632,Retroperitoneal<;>Extra-Adrenal,0.9630,Paraaortic Region<;>Celiac Artery<;>Extra-Adrenal,0.9577
APEX,Apex of the Prostate,1,2,Apex of the Prostate,0.9723,Apex of the Prostate<;>Base of the Prostate,0.9576,Middle of the Prostate<;>Apex of the Prostate,0.9412,Middle of the Prostate<;>Apex of the Prostate<;>Base of the Prostate,0.9346,Middle of the Prostate<;>Base of the Prostate,0.9009
APEXBASE,Apex of the Prostate<;>Base of the Prostate,1,2,Apex of the Prostate<;>Base of the Prostate,0.9453,Apex of the Prostate,0.9391,Middle of the Prostate<;>Apex of the Prostate<;>Base of the Prostate,0.9260,Middle of the Prostate<;>Apex of the Prostate,0.9177,Base of the Prostate,0.9092
APEXMIDDLE,Middle of the Prostate<;>Apex of the Prostate,3,2,Apex of the Prostate,0.9397,Apex of the Prostate<;>Base of the Prostate,0.9318,Middle of the Prostate<;>Apex of the Prostate,0.9281,Middle of the Prostate<;>Apex of the Prostate<;>Base of the Prostate,0.9241,Middle of the Prostate<;>Base of the Prostate,0.9031
APEXMIDDLEBASE,Middle of the Prostate<;>Apex of the Prostate<;>Base of the Prostate,3,2,Apex of the Prostate<;>Base of the Prostate,0.9300,Apex of the Prostate,0.9232,Middle of the Prostate<;>Apex of the Prostate<;>Base of the Prostate,0.9209,Middle of the Prostate<;>Apex of the Prostate,0.9145,Base of the Prostate,0.9028
APPENDIX,Appendix,1,2,Appendix,1.0000,Left<;>Abdomen,0.9016,Cecum,0.8998,Ovary<;>Uterus<;>Rectum,0.8988,Cerebellum<;>Posterior Cranial Fossa<;>Hippocampus<;>Thoracic Spine<;>Temporal Lobe<;>Thalamus,0.8983
ASCENDING COLON,Ascending Colon,1,2,Ascending Colon,1.0000,Ascending Colon<;>Hepatic Flexure<;>Transverse Colon,0.9555,Colon,0.9552,Sigmoid Colon,0.9547,Descending Colon,0.9538
ASCENDING TO TRANSVERSE COLON,Ascending Colon<;>Hepatic Flexure<;>Transverse Colon,1,2,Ascending Colon<;>Hepatic Flexure<;>Transverse Colon,0.9655,Transverse Colon,0.9653,Ascending Colon,0.9621,Splenic Flexure<;>Descending Colon<;>Sigmoid Colon,0.9429,Sigmoid Colon,0.9397
ASCITES,Ascites,1,2,Ascites,1.0000,Pelvic Peritoneum<;>Peritoneal Effusion,0.9329,Peritoneum<;>Liver,0.9239,Abdomen,0.9206,Peritoneum,0.9191
ASCITES/DIFFUSE LARGE B CELL LYMPHOMA,Peritoneum<;>B-Lymphocyte,3,2,Ascites,0.9506,Pleural Fluid<;>B-Lymphocyte,0.9339,Peritoneum<;>B-Lymphocyte,0.9326,Blood<;>B-Lymphocyte,0.9257,Pelvic Peritoneum<;>Peritoneal Effusion,0.9251
AXILLARY LYMPH NODES,Axillary Lymph Node,1,2,Axillary Lymph Node,0.9987,Left<;>Axillary Lymph Node,0.9782,Right<;>Axillary Lymph Node,0.9718,Right<;>Axillary Lymph Node<;>Metastasis,0.9563,Lymph Node,0.9504
AXILLARY SOFT TISSUE METASTASIS,Axillary<;>Soft Tissue<;>Metastasis,1,2,Axillary<;>Soft Tissue<;>Metastasis,0.9924,Soft Tissue<;>Metastasis,0.9699,Skin/Subcutaneous Tissue<;>Metastasis,0.9571,Skin<;>Breast<;>Metastasis,0.9489,Skin<;>Metastasis,0.9437
BACK,Back,1,2,Back,1.0000,Skin of the Trunk<;>Back,0.9249,Upper<;>Back<;>Metastasis,0.9158,Base of the Prostate,0.8898,Base of the Skull,0.8873
BACK MASS,Back,1,2,Back,0.9598,Upper<;>Back<;>Metastasis,0.9229,Skin of the Trunk<;>Back,0.9171,Breast,0.8934,Middle of the Prostate<;>Base of the Prostate,0.8930
BASAL GANGLIA,Basal Ganglia,1,2,Basal Ganglia,1.0000,Basal Ganglia<;>Temporal Lobe,0.9697,Temporal Lobe<;>Basal Ganglia,0.9693,Basal Ganglia<;>Thalamus,0.9693,Right<;>Frontal Lobe<;>Basal Ganglia,0.9576
"BASAL GANGLIA,TEMPORAL LOBE",Basal Ganglia<;>Temporal Lobe,1,2,Basal Ganglia<;>Temporal Lobe,0.9928,Temporal Lobe<;>Basal Ganglia,0.9923,Basal Ganglia,0.9764,Basal Ganglia<;>Thalamus,0.9719,Right<;>Frontal Lobe<;>Basal Ganglia,0.9681
"BASAL GANGLIA,THALAMUS",Basal Ganglia<;>Thalamus,1,2,Basal Ganglia<;>Thalamus,0.9918,Basal Ganglia,0.9754,Basal Ganglia<;>Temporal Lobe,0.9743,Temporal Lobe<;>Basal Ganglia,0.9740,Right<;>Frontal Lobe<;>Basal Ganglia,0.9591
BASE,Base of the Prostate,2,2,Base of the Skull,0.9514,Base of the Prostate,0.9501,Base of the Tongue,0.9474,Apex of the Prostate<;>Base of the Prostate,0.9088,Middle of the Prostate<;>Base of the Prostate,0.9058
BASE OF TONGUE,Base of the Tongue,1,2,Base of the Tongue,0.9990,Base of the Skull,0.9629,Base of the Prostate,0.9490,Tongue,0.9254,Apex of the Prostate<;>Base of the Prostate,0.9246
BILATERAL,Bilateral,1,2,Bilateral,1.0000,Right<;>Ovary,0.8978,Left<;>Ovary,0.8952,Left<;>Orbit,0.8951,Left<;>Cerebellum,0.8950
BILE DUCT,Bile Duct,1,2,Bile Duct,1.0000,Gallbladder,0.9190,Intrahepatic,0.9068,Ureter,0.9056,Bladder<;>Ureter,0.9050
BLADDER,Bladder,1,2,Bladder,1.0000,Bladder Neck,0.9590,Urethra<;>Bladder,0.9569,Bladder<;>Ureter,0.9556,Bladder<;>Ureter<;>Renal Pelvis,0.9465
BLADDER; URETER,Bladder<;>Ureter,1,2,Bladder<;>Ureter,0.9844,Bladder<;>Ureter<;>Renal Pelvis,0.9669,Ureter,0.9653,Urethra<;>Bladder,0.9579,Ureter<;>Renal Pelvis,0.9527
BLADDER; URETHRA,Urethra<;>Bladder,1,2,Urethra<;>Bladder,0.9856,Urethra,0.9653,Bladder<;>Ureter,0.9616,Bladder<;>Ureter<;>Renal Pelvis,0.9568,Bladder,0.9562
BLADDER_NECK,Bladder Neck,1,2,Bladder Neck,0.9917,Bladder,0.9580,Urethra<;>Bladder,0.9499,Bladder<;>Ureter,0.9433,Neck,0.9380
BLOOD,Blood,1,2,Blood,1.0000,Blood<;>B-Lymphocyte,0.9409,Plasma,0.9331,Peripheral Blood<;>B-Lymphocyte,0.9241,Bone Marrow<;>B-Lymphocyte,0.9225
BODY,Body of the Pancreas,2,2,Body of Stomach,0.9417,Body of the Pancreas,0.9340,Brain,0.9298,Blood,0.9264,Skin of the Trunk<;>Buttock,0.9231
BODY AND TAIL,Body of the Pancreas<;>Tail of the Pancreas,1,2,Body of the Pancreas<;>Tail of the Pancreas,0.9458,Tail of the Pancreas,0.9416,Limb<;>Trunk,0.9306,Trunk<;>Limb,0.9283,Head of the Pancreas<;>Tail of the Pancreas,0.9270
BODY-TAIL,Body of the Pancreas<;>Tail of the Pancreas,1,2,Body of the Pancreas<;>Tail of the Pancreas,0.9399,Tail of the Pancreas,0.9363,Limb<;>Trunk,0.9268,Trunk<;>Limb,0.9249,Head of the Pancreas<;>Tail of the Pancreas,0.9198
BODYSTOMACH,Body of Stomach,1,2,Body of Stomach,0.9220,Breast,0.9111,Body of the Pancreas,0.9031,Lower<;>Stomach,0.9023,Stomach,0.9003
BONE,Bone,1,2,Bone,1.0000,Bone Marrow,0.9464,Bone Marrow<;>B-Lymphocyte,0.9261,Brain,0.9134,Skull,0.9079
BONE MARROW,Bone Marrow,1,2,Bone Marrow,1.0000,Bone Marrow<;>B-Lymphocyte,0.9538,Bone,0.9464,Blood,0.9172,Brain Stem,0.9091
"BONE MARROW/B-CELL NON-HODGKIN LYMPHOMA DLCL, STAGE 4B, AT RELAPSE",Bone Marrow<;>B-Lymphocyte,1,2,Bone Marrow<;>B-Lymphocyte,0.9330,Skin<;>Chest Wall<;>Metastasis,0.9222,Blood<;>B-Lymphocyte,0.9204,Distant Metastasis<;>Limb<;>Trunk,0.9196,Lymph Node<;>Metastasis,0.9189
BONES,Bone,1,2,Bone,0.9855,Bone Marrow,0.9383,Bone Marrow<;>B-Lymphocyte,0.9167,Skull,0.9166,Brain,0.9082
BOWEL,Intestine,1,2,Intestine,0.9576,Small Intestine,0.9433,Colon,0.9294,Rectum,0.9286,Small Intestine Resection,0.9185
BRAIN,Brain,1,2,Brain,1.0000,Brain Stem,0.9547,Brain Ventricle,0.9507,Central Nervous System,0.9340,Lumbar Spine<;>Spinal Cord Dura Mater<;>Thoracic Spine<;>Brain Ventricle,0.9331
BRAIN STEM,Brain Stem,1,2,Brain Stem,1.0000,Brain,0.9547,Brain Ventricle,0.9287,Lumbar Spine<;>Spinal Cord Dura Mater<;>Thoracic Spine<;>Brain Ventricle,0.9261,Skull,0.9177
BRAIN STEM- MIDBRAIN/TECTUM,Tectum Mesencephali,5,2,Brain Stem,0.9627,Tectum Mesencephali<;>Brain Ventricle,0.9489,Tectum Mesencephali<;>Cerebellum<;>Posterior Cranial Fossa<;>Occipital Lobe<;>Visual Pathway<;>Parietal Lobe<;>Temporal Lobe,0.9458,Brain,0.9357,Tectum Mesencephali,0.9343
"BRAIN STEM- MIDBRAIN/TECTUM,BRAIN STEM- PONS,CEREBELLUM/POSTERIOR FOSSA",Tectum Mesencephali<;>Pons Varolii<;>Cerebellum<;>Posterior Cranial Fossa,2,2,Tectum Mesencephali<;>Cerebellum<;>Posterior Cranial Fossa<;>Occipital Lobe<;>Visual Pathway<;>Parietal Lobe<;>Temporal Lobe,0.9574,Tectum Mesencephali<;>Pons Varolii<;>Cerebellum<;>Posterior Cranial Fossa,0.9554,Brain Stem,0.9552,Cerebellum<;>Posterior Cranial Fossa<;>Meninges<;>Dura Mater<;>Cervical Spinal Cord<;>Thoracic Spine<;>Brain Ventricle,0.9544,Cerebellum<;>Posterior Cranial Fossa<;>Hippocampus<;>Thoracic Spine<;>Temporal Lobe<;>Thalamus,0.9544
"BRAIN STEM- MIDBRAIN/TECTUM,CEREBELLUM/POSTERIOR FOSSA,OCCIPITAL LOBE,OPTIC PATHWAY,PARIETAL LOBE,TEMPORAL LOBE",Tectum Mesencephali<;>Cerebellum<;>Posterior Cranial Fossa<;>Occipital Lobe<;>Visual Pathway<;>Parietal Lobe<;>Temporal Lobe,2,2,Brain Stem,0.9584,Tectum Mesencephali<;>Cerebellum<;>Posterior Cranial Fossa<;>Occipital Lobe<;>Visual Pathway<;>Parietal Lobe<;>Temporal Lobe,0.9564,Cerebellum<;>Posterior Cranial Fossa<;>Hippocampus<;>Thoracic Spine<;>Temporal Lobe<;>Thalamus,0.9515,Cerebellum<;>Posterior Cranial Fossa<;>Meninges<;>Dura Mater<;>Cervical Spinal Cord<;>Thoracic Spine<;>Brain Ventricle,0.9501,Cerebellum<;>Posterior Cranial Fossa<;>Visual Pathway<;>Suprasellar<;>Hypothalamus<;>Pituitary Gland<;>Thalamus,0.9463
"BRAIN STEM- MIDBRAIN/TECTUM,VENTRICLES",Tectum Mesencephali<;>Brain Ventricle,2,2,Brain Stem,0.9597,Tectum Mesencephali<;>Brain Ventricle,0.9593,Tectum Mesencephali<;>Cerebellum<;>Posterior Cranial Fossa<;>Occipital Lobe<;>Visual Pathway<;>Parietal Lobe<;>Temporal Lobe,0.9495,Temporal Lobe<;>Thalamus<;>Brain Ventricle,0.9481,Lumbar Spine<;>Spinal Cord Dura Mater<;>Thoracic Spine<;>Brain Ventricle,0.9474
"BRAIN STEM- PONS,BRAIN STEM-MEDULLA,CEREBELLUM/POSTERIOR FOSSA,SPINAL CORD- CERVICAL",Pons Varolii<;>Medulla Oblongata<;>Cerebellum<;>Posterior Cranial Fossa<;>Cervical Spinal Cord,99,2,Cerebellum<;>Posterior Cranial Fossa<;>Meninges<;>Dura Mater<;>Cervical Spinal Cord<;>Thoracic Spine<;>Brain Ventricle,0.9693,Cerebellum<;>Posterior Cranial Fossa<;>Cervical Spinal Cord<;>Lumbar Spine<;>Spinal Cord Dura Mater<;>Thoracic Spine,0.9651,Cerebellum<;>Posterior Cranial Fossa<;>Hippocampus<;>Thoracic Spine<;>Temporal Lobe<;>Thalamus,0.9569,Lumbar Spine<;>Spinal Cord Dura Mater<;>Thoracic Spine<;>Brain Ventricle,0.9545,Brain Stem,0.9501
"BRAIN STEM- PONS,BRAIN STEM-MEDULLA,SPINAL CORD- CERVICAL,SPINAL CORD- THORACIC,SUPRASELLAR/HYPOTHALAMIC/PITUITARY",Pons Varolii<;>Medulla Oblongata<;>Cervical Spinal Cord<;>Thoracic Spinal Cord<;>Suprasellar<;>Hypothalamus<;>Pituitary Gland,99,2,Lumbar Spine<;>Spinal Cord Dura Mater<;>Thoracic Spine<;>Brain Ventricle,0.9490,Supratentorial<;>Temporal Lobe,0.9485,Cerebellum<;>Posterior Cranial Fossa<;>Meninges<;>Dura Mater<;>Cervical Spinal Cord<;>Thoracic Spine<;>Brain Ventricle,0.9476,Supratentorial<;>Occipital Lobe,0.9474,Cervical Spinal Cord<;>Thoracic Spine,0.9466
"BRAIN STEM- PONS,CEREBELLUM/POSTERIOR FOSSA",Pons Varolii<;>Cerebellum<;>Posterior Cranial Fossa,99,2,Cerebellum<;>Posterior Cranial Fossa<;>Meninges<;>Dura Mater<;>Cervical Spinal Cord<;>Thoracic Spine<;>Brain Ventricle,0.9600,Cerebellum<;>Posterior Cranial Fossa<;>Hippocampus<;>Thoracic Spine<;>Temporal Lobe<;>Thalamus,0.9587,Cerebellum<;>Posterior Cranial Fossa<;>Cervical Spinal Cord<;>Lumbar Spine<;>Spinal Cord Dura Mater<;>Thoracic Spine,0.9586,Cerebellum<;>Posterior Cranial Fossa,0.9580,Cerebellum<;>Posterior Cranial Fossa<;>Brain Ventricle,0.9577
"BRAIN STEM-MEDULLA,VENTRICLES",Medulla Oblongata<;>Brain Ventricle,2,2,Brain Stem,0.9580,Medulla Oblongata<;>Brain Ventricle,0.9505,Lumbar Spine<;>Spinal Cord Dura Mater<;>Thoracic Spine<;>Brain Ventricle,0.9470,Brain Ventricle,0.9458,Temporal Lobe<;>Thalamus<;>Brain Ventricle,0.9405
"BRAIN, CEREBELLUM",Cerebellum,1,2,Cerebellum,0.9766,Brain,0.9544,Left<;>Cerebellum,0.9509,Cerebellum<;>Posterior Cranial Fossa<;>Frontal Lobe,0.9488,Cerebellum<;>Posterior Cranial Fossa<;>Meninges<;>Dura Mater<;>Cervical Spinal Cord<;>Thoracic Spine<;>Brain Ventricle,0.9480
"BRAIN, LEFT OCCIPITAL",Left<;>Occipital Lobe,1,2,Left<;>Occipital Lobe,0.9811,Right<;>Occipital Lobe,0.9752,Left<;>Temporal Lobe<;>Occipital Lobe,0.9720,Occipital Lobe,0.9718,Right<;>Temporal Lobe<;>Occipital Lobe,0.9662
"BRAIN, LEFT PARIETAL",Left<;>Parietal Lobe,1,2,Left<;>Parietal Lobe,0.9822,Left<;>Parietal Lobe<;>Right<;>Parietal Lobe,0.9760,Right<;>Parietal Lobe,0.9748,Left<;>Temporal Lobe<;>Parietal Lobe,0.9748,Left<;>Parietal Lobe<;>Scalp,0.9702
"BRAIN, LEFT TEMPORAL",Left<;>Temporal Lobe,1,2,Left<;>Temporal Lobe,0.9823,Right<;>Temporal Lobe,0.9731,Left<;>Frontal Lobe<;>Temporal Lobe,0.9718,Left<;>Temporal Lobe<;>Occipital Lobe,0.9672,Left<;>Posterior<;>Temporal Lobe,0.9656
"BRAIN, RIGHT FRONTAL",Right<;>Frontal Lobe,1,2,Right<;>Frontal Lobe,0.9828,Right<;>Frontal Lobe<;>Temporal Lobe,0.9714,Left<;>Frontal Lobe,0.9706,Frontal Lobe,0.9636,Left<;>Frontal Lobe<;>Temporal Lobe,0.9608
"BRAIN, RIGHT OCCIPITAL",Right<;>Occipital Lobe,1,2,Right<;>Occipital Lobe,0.9814,Right<;>Temporal Lobe<;>Occipital Lobe,0.9729,Right<;>Cerebellum<;>Occipital Lobe,0.9710,Left<;>Occipital Lobe,0.9685,Right<;>Parietal Lobe<;>Occipital Lobe,0.9668
"BRAIN, RIGHT TEMPORAL",Right<;>Temporal Lobe,1,2,Right<;>Temporal Lobe,0.9818,Right<;>Frontal Lobe<;>Temporal Lobe,0.9715,Right<;>Temporal Lobe<;>Occipital Lobe,0.9671,Right<;>Parietal Lobe<;>Temporal Lobe,0.9634,Left<;>Temporal Lobe,0.9628
BRAINSTEM,Brain Stem,1,2,Brain Stem,0.9264,Brain,0.9193,Medulla Oblongata<;>Brain Ventricle,0.9093,Lumbar Spine<;>Spinal Cord Dura Mater<;>Thoracic Spine<;>Brain Ventricle,0.9082,Cerebellum<;>Posterior Cranial Fossa<;>Meninges<;>Dura Mater<;>Cervical Spinal Cord<;>Thoracic Spine<;>Brain Ventricle,0.9061
BREAST,Breast,1,2,Breast,1.0000,Skin<;>Breast<;>Metastasis,0.9314,Breast<;>Metastasis,0.9287,Skin of the Trunk<;>Buttock,0.9094,Skin of the Trunk<;>Back,0.9072
BREAST METASTASIS,Breast<;>Metastasis,1,2,Breast<;>Metastasis,0.9894,Metastasis,0.9681,Skin<;>Breast<;>Metastasis,0.9638,Lung<;>Metastasis,0.9574,Skin<;>Metastasis,0.9490
BUCCAL,Buccal Surface,2,2,Buccal Mucosa,0.9779,Buccal Surface,0.9655,Oral Cavity,0.9093,Maxilla,0.9050,Submandibular Gland,0.9006
BUCCAL MUCOSA,Buccal Mucosa,1,2,Buccal Mucosa,1.0000,Buccal Surface,0.9652,Oral Cavity,0.9160,Submandibular Gland,0.9075,Skin,0.9052
BUTTOCK,Buttock,1,2,Buttock,1.0000,Pelvis<;>Buttock,0.9638,Skin of the Trunk<;>Buttock,0.9474,Acetabulum,0.9037,Breast,0.8996
