original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score
ACC,Adrenal Cortical Carcinoma,99,2,Cerebral Cortex,0.9003,Anaplastic Astrocytoma,0.8988,Ascending Colon,0.8947,Colon,0.8940,Anaplastic Carcinoma,0.8926
ACINAR,Acinar Cell,1,2,Acinar Cell,0.9682,Acinar Cell Carcinoma,0.9465,Prostate Acinar Adenocarcinoma,0.9461,Lung Acinar Adenocarcinoma,0.9459,Prostate Acinar Adenocarcinoma<;>Prostate Ductal Adenocarcinoma,0.9353
ACINAR ADENOCARCINOMA 85513,Lung Acinar Adenocarcinoma,1,2,Lung Acinar Adenocarcinoma,0.9585,Prostate Acinar Adenocarcinoma,0.9560,Prostate Acinar Adenocarcinoma<;>Prostate Ductal Adenocarcinoma,0.9559,Acinar Cell Carcinoma,0.9428,Pancreatic Acinar Cell Carcinoma,0.9412
ACINAR AND CRIBRIFORM,Prostate Acinar Adenocarcinoma<;>Cribriform,1,2,Prostate Acinar Adenocarcinoma<;>Cribriform,0.9669,Cribriform,0.9575,Cribriform<;>Solid<;>Tubular,0.9509,Breast Tubular Carcinoma<;>Cribriform,0.9486,Breast Tubular Carcinoma<;>Cribriform Pattern,0.9453
ACINAR AND DUCTAL,Prostate Acinar Adenocarcinoma<;>Prostate Ductal Adenocarcinoma,2,2,Ductal,0.9572,Prostate Acinar Adenocarcinoma<;>Prostate Ductal Adenocarcinoma,0.9509,Pancreatic Ductal Adenocarcinoma<;>Exocrine Gland,0.9471,Acinar Cell,0.9466,Pancreatic Mixed Acinar-Ductal Carcinoma,0.9431
ACINAR CELL CARCINOMA,Acinar Cell Carcinoma,1,2,Acinar Cell Carcinoma,1.0000,Pancreatic Acinar Cell Carcinoma,0.9886,Acinar Cell Carcinoma<;>Papillary,0.9728,Acinar Cell,0.9711,Lung Acinar Adenocarcinoma,0.9578
ACINAR CELL CARCINOMA OF THE PANCREAS,Pancreatic Acinar Cell Carcinoma,1,2,Pancreatic Acinar Cell Carcinoma,0.9939,Acinar Cell Carcinoma,0.9912,Acinar Cell Carcinoma<;>Papillary,0.9718,Acinar Cell,0.9677,Prostate Acinar Adenocarcinoma,0.9606
"ACINAR CELL CARCINOMA, NOS",Acinar Cell Carcinoma,1,2,Acinar Cell Carcinoma,0.9823,Pancreatic Acinar Cell Carcinoma,0.9736,Acinar Cell Carcinoma<;>Papillary,0.9626,Acinar Cell,0.9558,Lung Acinar Adenocarcinoma,0.9494
ACINAR/ PAPILLARY,Acinar Cell Carcinoma<;>Papillary,1,2,Acinar Cell Carcinoma<;>Papillary,0.9703,Papillary,0.9677,Papillary Adenocarcinoma,0.9474,Acinar Cell,0.9456,Prostate Acinar Adenocarcinoma<;>Prostate Ductal Adenocarcinoma,0.9415
ACINIC CELL CARCINOMA,Acinar Cell Carcinoma,1,2,Acinar Cell Carcinoma,0.9820,Pancreatic Acinar Cell Carcinoma,0.9743,Acinar Cell Carcinoma<;>Papillary,0.9632,Carcinoma,0.9488,Prostate Squamous Cell Carcinoma,0.9475
ACRAL,Acral Lentiginous Melanoma,1,2,Acral Lentiginous Melanoma,0.9233,Anaplastic,0.8940,Anaplastic Pleomorphic Xanthoastrocytoma,0.8918,Anaplastic Astrocytoma,0.8916,Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,0.8914
ACRAL LENTIGINOUS,Acral Lentiginous Melanoma,1,2,Acral Lentiginous Melanoma,0.9765,Lentigo Maligna,0.9182,Lentigo Maligna Melanoma,0.9176,Laryngeal,0.9025,Anaplastic Pleomorphic Xanthoastrocytoma,0.8991
ACRAL MELANOMA,Acral Lentiginous Melanoma,1,2,Acral Lentiginous Melanoma,0.9709,Cutaneous Melanoma,0.9287,Melanoma,0.9257,skin appendage carcinoma,0.9200,Mucosal Melanoma of the Head and Neck,0.9195
ACTIVATED B-CELL TYPE,Diffuse Large B-Cell Lymphoma Activated B-Cell Type,2,2,Activated B-Cell Positive,0.9721,Diffuse Large B-Cell Lymphoma Activated B-Cell Type,0.9650,B-Lymphocyte,0.9427,Diffuse Large B-Cell Lymphoma Germinal Center B-Cell Type,0.9367,Mature B-Cell Non-Hodgkin Lymphoma,0.9312
ACUTE BIPHENOTYPIC LEUKEMIA,Acute Biphenotypic Leukemia,1,2,Acute Biphenotypic Leukemia,1.0000,Acute Megakaryoblastic Leukemia,0.9515,Acute Monocytic Leukemia,0.9509,Acute Monoblastic and Monocytic Leukemia,0.9493,Acute Erythroid Leukemia,0.9477
ACUTE ERYTHROID LEUKAEMIA,Acute Erythroid Leukemia,1,2,Acute Erythroid Leukemia,0.9911,Acute Megakaryoblastic Leukemia,0.9648,Acute Myeloid Leukemia,0.9589,Acute Monocytic Leukemia,0.9585,Acute Lymphoblastic Leukemia,0.9570
ACUTE ERYTHROID LEUKEMIA,Acute Erythroid Leukemia,1,2,Acute Erythroid Leukemia,1.0000,Acute Megakaryoblastic Leukemia,0.9714,Acute Lymphoblastic Leukemia,0.9651,Acute Myeloid Leukemia,0.9646,Acute Monocytic Leukemia,0.9638
ACUTE LEUKAEMIAS OF AMBIGUOUS LINEAGE,Acute Leukemia of Ambiguous Lineage,1,2,Acute Leukemia of Ambiguous Lineage,0.9918,Acute Undifferentiated Leukemia,0.9536,Acute Myeloid Leukemia with MLL Rearrangement,0.9487,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.9446,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL,0.9446
ACUTE LEUKEMIAS OF AMBIGUOUS LINEAGE,Acute Leukemia of Ambiguous Lineage,1,2,Acute Leukemia of Ambiguous Lineage,0.9975,Acute Undifferentiated Leukemia,0.9608,Acute Myeloid Leukemia with MLL Rearrangement,0.9550,Acute Megakaryoblastic Leukemia,0.9514,Acute Myeloid Leukemia,0.9512
ACUTE LYMPHOBLASTIC LEUKEMIA,Acute Lymphoblastic Leukemia,1,2,Acute Lymphoblastic Leukemia,1.0000,B Acute Lymphoblastic Leukemia,0.9834,T Acute Lymphoblastic Leukemia,0.9822,Acute Myeloid Leukemia,0.9681,Early T Acute Lymphoblastic Leukemia,0.9676
"ACUTE LYMPHOBLASTIC LEUKEMIA ALL, B-CELL",B Acute Lymphoblastic Leukemia,1,2,B Acute Lymphoblastic Leukemia,0.9857,B Lymphoblastic Leukemia/Lymphoma,0.9777,Acute Lymphoblastic Leukemia,0.9750,T Acute Lymphoblastic Leukemia,0.9749,B Acute Lymphoblastic Leukemia with t(9<;>22)(q34.1<;>q11.2)<;> BCR-ABL1,0.9729
"ACUTE LYMPHOBLASTIC LEUKEMIA ALL, T-CELL",T Acute Lymphoblastic Leukemia,1,2,T Acute Lymphoblastic Leukemia,0.9850,B Acute Lymphoblastic Leukemia,0.9787,Acute Lymphoblastic Leukemia,0.9754,T Lymphoblastic Leukemia/Lymphoma,0.9754,B Acute Lymphoblastic Leukemia with t(9<;>22)(q34.1<;>q11.2)<;> BCR-ABL1,0.9736
ACUTE LYMPHOID LEUKEMIA,Acute Lymphoblastic Leukemia,1,2,Acute Lymphoblastic Leukemia,0.9751,Acute Myeloid Leukemia,0.9671,T Acute Lymphoblastic Leukemia,0.9659,Acute Monocytic Leukemia,0.9650,B Acute Lymphoblastic Leukemia,0.9643
ACUTE MEGAKARYOBLASTIC LEUKAEMIA,Acute Megakaryoblastic Leukemia,1,2,Acute Megakaryoblastic Leukemia,0.9936,Acute Monocytic Leukemia,0.9701,Acute Myeloid Leukemia,0.9688,Acute Erythroid Leukemia,0.9644,Acute Myelomonocytic Leukemia,0.9624
ACUTE MEGAKARYOBLASTIC LEUKEMIA,Acute Megakaryoblastic Leukemia,1,2,Acute Megakaryoblastic Leukemia,1.0000,Acute Monocytic Leukemia,0.9747,Acute Myeloid Leukemia,0.9729,Acute Erythroid Leukemia,0.9714,Acute Myelomonocytic Leukemia,0.9676
ACUTE MONOBLASTIC AND MONOCYTIC LEUKAEMIA,Acute Monoblastic and Monocytic Leukemia,1,2,Acute Monoblastic and Monocytic Leukemia,0.9963,Acute Monocytic Leukemia,0.9687,Acute Myeloid Leukemia,0.9531,Acute Megakaryoblastic Leukemia,0.9529,Acute Myeloid Leukemia with Minimal Differentiation,0.9523
ACUTE MONOBLASTIC/MONOCYTIC LEUKEMIA,Acute Monoblastic and Monocytic Leukemia,1,2,Acute Monoblastic and Monocytic Leukemia,0.9975,Acute Monocytic Leukemia,0.9771,Acute Megakaryoblastic Leukemia,0.9611,Acute Myeloid Leukemia,0.9611,Acute Myelomonocytic Leukemia,0.9582
ACUTE MYELOBLASTIC LEUKEMIA,Acute Myeloid Leukemia,2,2,Acute Myelomonocytic Leukemia,0.9841,Acute Myeloid Leukemia,0.9838,Acute Megakaryoblastic Leukemia,0.9805,Acute Monocytic Leukemia,0.9740,Acute Myeloid Leukemia<;>Myelodysplastic Syndrome,0.9713
"ACUTE MYELOBLASTIC LEUKEMIA, IN RELAPSE",Recurrent Acute Myeloid Leukemia,1,2,Recurrent Acute Myeloid Leukemia,0.9618,Acute Lymphoblastic Leukemia<;>Recurrent Disease,0.9609,Acute Myeloid Leukemia with Maturation,0.9603,Acute Myeloid Leukemia,0.9602,Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,0.9586
ACUTE MYELOGENOUS LEUKEMIA AML,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.9878,Acute Myelomonocytic Leukemia,0.9813,Acute Monocytic Leukemia,0.9758,Acute Megakaryoblastic Leukemia,0.9730,Acute Myeloid Leukemia<;>Myelodysplastic Syndrome,0.9729
"ACUTE MYELOGENOUS LEUKEMIA AML, M2 MYELOBLASTIC",Acute Myeloid Leukemia with Maturation,99,2,Acute Myeloid Leukemia,0.9624,Acute Myelomonocytic Leukemia,0.9623,Acute Myeloid Leukemia<;>Myelodysplastic Syndrome,0.9602,Acute Myeloid Leukemia Not Otherwise Specified,0.9600,Acute Monocytic Leukemia,0.9589
"ACUTE MYELOGENOUS LEUKEMIA AML, M3 PROMYELOCYTIC",Acute Promyelocytic Leukemia with PML-RARA,2,2,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,0.9646,Acute Promyelocytic Leukemia with PML-RARA,0.9618,"Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM",0.9613,"Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",0.9613,Acute Myelomonocytic Leukemia,0.9610
"ACUTE MYELOGENOUS LEUKEMIA AML, M4 MYELOMONOCYTIC",Acute Myelomonocytic Leukemia,1,2,Acute Myelomonocytic Leukemia,0.9711,Acute Myeloid Leukemia with MLL Rearrangement,0.9622,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.9609,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL,0.9609,Acute Myeloid Leukemia,0.9590
"ACUTE MYELOGENOUS LEUKEMIA AML, M5 EOSINOPHILIC/MONOCYTIC",Acute Monoblastic and Monocytic Leukemia,2,2,Acute Monocytic Leukemia,0.9662,Acute Monoblastic and Monocytic Leukemia,0.9644,Acute Myeloid Leukemia,0.9626,Acute Myelomonocytic Leukemia,0.9622,Acute Myeloid Leukemia with MLL Rearrangement,0.9613
"ACUTE MYELOGENOUS LEUKEMIA AML, M5 MONOCYTIC",Acute Monoblastic and Monocytic Leukemia,3,2,Acute Monocytic Leukemia,0.9712,Acute Myeloid Leukemia,0.9642,Acute Monoblastic and Monocytic Leukemia,0.9640,Acute Myelomonocytic Leukemia,0.9627,Acute Myeloid Leukemia with MLL Rearrangement,0.9588
"ACUTE MYELOGENOUS LEUKEMIA AML, M6 ERYTHROLEUKEMIA",Acute Erythroid Leukemia,99,2,Acute Monoblastic and Monocytic Leukemia,0.9612,Acute Monocytic Leukemia,0.9573,Acute Myelomonocytic Leukemia,0.9570,Acute Myeloid Leukemia,0.9556,Acute Myeloid Leukemia<;>Myelodysplastic Syndrome,0.9546
"ACUTE MYELOGENOUS LEUKEMIA AML, M7 MEGAKARYOBLASTIC",Acute Megakaryoblastic Leukemia,1,2,Acute Megakaryoblastic Leukemia,0.9602,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.9563,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL,0.9563,Acute Myelomonocytic Leukemia,0.9550,Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1,0.9547
ACUTE MYELOGENOUS LEUKEMIA M5A,Acute Monoblastic and Monocytic Leukemia,99,2,Acute Myeloid Leukemia,0.9621,Acute Myelomonocytic Leukemia,0.9590,Acute Monocytic Leukemia,0.9581,Acute Myeloid Leukemia with Maturation,0.9517,Acute Myeloid Leukemia<;>Myelodysplastic Syndrome,0.9509
ACUTE MYELOID LEUKAEMIA (AML) AND RELATED PRECURSOR NEOPLASMS,Acute Myeloid Leukemia,99,2,Acute Myeloid Leukemia Not Otherwise Specified<;>Therapy-Related Myeloid Neoplasm,0.9695,Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,0.9673,Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1,0.9669,"Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM",0.9668,"Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",0.9668
ACUTE MYELOID LEUKAEMIA AML AND RELATED PRECURSOR NEOPLASMS,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.9700,Acute Myeloid Leukemia Not Otherwise Specified<;>Therapy-Related Myeloid Neoplasm,0.9686,Acute Myeloid Leukemia<;>Myelodysplastic Syndrome,0.9655,Acute Myeloid Leukemia with MLL Rearrangement,0.9641,Acute Myeloid Leukemia Not Otherwise Specified,0.9636
"ACUTE MYELOID LEUKAEMIA, NOS",Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.9713,Acute Myeloid Leukemia Not Otherwise Specified,0.9675,Acute Myeloid Leukemia<;>Myelodysplastic Syndrome,0.9612,Acute Myeloid Leukemia with MLL Rearrangement,0.9609,Acute Myeloid Leukemia Not Otherwise Specified<;>Therapy-Related Myeloid Neoplasm,0.9604
"ACUTE MYELOID LEUKAEMIA, NOS, THERAPY-RELATED MYELOID NEOPLASMS",Acute Myeloid Leukemia Not Otherwise Specified<;>Therapy-Related Myeloid Neoplasm,1,2,Acute Myeloid Leukemia Not Otherwise Specified<;>Therapy-Related Myeloid Neoplasm,0.9820,Therapy-Related Myeloid Neoplasm,0.9675,Acute Myeloid Leukemia Not Otherwise Specified,0.9641,Acute Myeloid Leukemia<;>Myelodysplastic Syndrome,0.9629,Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1,0.9616
ACUTE MYELOID LEUKEMIA,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,1.0000,Acute Monocytic Leukemia,0.9791,Acute Myeloid Leukemia<;>Myelodysplastic Syndrome,0.9755,Acute Myelomonocytic Leukemia,0.9741,Acute Megakaryoblastic Leukemia,0.9729
ACUTE MYELOID LEUKEMIA WITH MULTILINEAGE DYSPLASIA,Acute Myeloid Leukemia with Multilineage Dysplasia,1,2,Acute Myeloid Leukemia with Multilineage Dysplasia,1.0000,Myelodysplastic Syndrome with Multilineage Dysplasia,0.9758,Acute Myeloid Leukemia with Minimal Differentiation,0.9706,Acute Myeloid Leukemia with Maturation,0.9688,Acute Myeloid Leukemia<;>Myelodysplastic Syndrome,0.9627
"ACUTE MYELOID LEUKEMIA WITH MULTILINEAGE DYSPLASIA, NOT HAVING ACHIEVED REMISSION",Acute Myeloid Leukemia with Multilineage Dysplasia,1,2,Acute Myeloid Leukemia with Multilineage Dysplasia,0.9828,Acute Myeloid Leukemia with Minimal Differentiation,0.9669,Acute Myeloid Leukemia without Maturation,0.9642,Myelodysplastic Syndrome with Multilineage Dysplasia,0.9618,Acute Myeloid Leukemia with Maturation,0.9604
ACUTE MYELOID LEUKEMIA WITH MYELODYSPLASIA RELATED CHANGES,Acute Myeloid Leukemia with Myelodysplasia-Related Changes,1,2,Acute Myeloid Leukemia with Myelodysplasia-Related Changes,0.9996,Acute Myeloid Leukemia<;>Myelodysplastic Syndrome,0.9745,Acute Myeloid Leukemia with Minimal Differentiation,0.9644,Acute Myeloid Leukemia with MLL Rearrangement,0.9642,Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,0.9635
ACUTE MYELOID LEUKEMIAS,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.9966,Acute Monocytic Leukemia,0.9771,Acute Myelomonocytic Leukemia,0.9742,Acute Myeloid Leukemia<;>Myelodysplastic Syndrome,0.9737,Acute Megakaryoblastic Leukemia,0.9726
ACUTE MYELOMONOCYTIC LEUKAEMIA,Acute Myelomonocytic Leukemia,1,2,Acute Myelomonocytic Leukemia,0.9931,Chronic Myelomonocytic Leukemia,0.9711,Acute Myeloid Leukemia,0.9686,Acute Monocytic Leukemia,0.9665,Chronic Myelomonocytic Leukemia-1,0.9627
ACUTE MYELOMONOCYTIC LEUKEMIA,Acute Myelomonocytic Leukemia,1,2,Acute Myelomonocytic Leukemia,1.0000,Chronic Myelomonocytic Leukemia,0.9765,Acute Myeloid Leukemia,0.9741,Acute Monocytic Leukemia,0.9719,Chronic Myelomonocytic Leukemia-1,0.9692
ACUTE PROMYELOCYTIC LEUKAEMIA WITH T(15;17)(Q22;Q12); PML-RARA,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,1,2,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,0.9912,Acute Promyelocytic Leukemia with PML-RARA,0.9787,Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,0.9771,Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1,0.9734,Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1,0.9733
ACUTE PROMYELOCYTIC LEUKAEMIA WITH T15;17Q22;Q12;  PML-RARA,Acute Promyelocytic Leukemia with PML-RARA,2,2,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,0.9835,Acute Promyelocytic Leukemia with PML-RARA,0.9757,Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,0.9714,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.9664,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL,0.9664
ACUTE PROMYELOCYTIC LEUKAEMIA WITH T15;17Q22;Q12; PML-RARA,Acute Promyelocytic Leukemia with PML-RARA,2,2,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,0.9835,Acute Promyelocytic Leukemia with PML-RARA,0.9757,Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,0.9714,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.9664,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL,0.9664
ACUTE UNDIFFERENTIATED LEUKAEMIA,Acute Undifferentiated Leukemia,1,2,Acute Undifferentiated Leukemia,0.9912,undifferentiated sarcoma,0.9566,Acute Leukemia of Ambiguous Lineage,0.9541,Undifferentiated Carcinoma,0.9532,Undifferentiated,0.9507
ACUTE UNDIFFERENTIATED LEUKEMIA,Acute Undifferentiated Leukemia,1,2,Acute Undifferentiated Leukemia,1.0000,Acute Leukemia of Ambiguous Lineage,0.9608,undifferentiated sarcoma,0.9559,Undifferentiated Carcinoma,0.9523,Undifferentiated,0.9505
ACUTE_BIPHENOTYPIC_LEUKEMIA,Acute Biphenotypic Leukemia,1,2,Acute Biphenotypic Leukemia,0.9942,Acute Myeloid Leukemia<;>Myelodysplastic Syndrome,0.9539,Acute Monocytic Leukemia,0.9536,Acute Monoblastic and Monocytic Leukemia,0.9530,Acute Megakaryoblastic Leukemia,0.9529
ACUTE_LYMPHOBLASTIC_B_CELL_LEUKAEMIA,B Acute Lymphoblastic Leukemia,1,2,B Acute Lymphoblastic Leukemia,0.9817,Acute Lymphoblastic Leukemia,0.9782,T Acute Lymphoblastic Leukemia,0.9729,B Lymphoblastic Leukemia/Lymphoma,0.9702,B Acute Lymphoblastic Leukemia with t(9<;>22)(q34.1<;>q11.2)<;> BCR-ABL1,0.9633
ACUTE_LYMPHOBLASTIC_LEUKAEMIA,Acute Lymphoblastic Leukemia,1,2,Acute Lymphoblastic Leukemia,0.9870,B Acute Lymphoblastic Leukemia,0.9733,T Acute Lymphoblastic Leukemia,0.9715,Acute Monocytic Leukemia,0.9643,Acute Myeloid Leukemia,0.9641
ACUTE_LYMPHOBLASTIC_T_CELL_LEUKAEMIA,T Acute Lymphoblastic Leukemia,1,2,T Acute Lymphoblastic Leukemia,0.9845,Acute Lymphoblastic Leukemia,0.9770,B Acute Lymphoblastic Leukemia,0.9725,T Lymphoblastic Leukemia/Lymphoma,0.9689,Early T Acute Lymphoblastic Leukemia,0.9669
ACUTE_MONOCYTIC_LEUKEMIA,Acute Monocytic Leukemia,1,2,Acute Monocytic Leukemia,0.9927,Acute Myeloid Leukemia,0.9777,Acute Monoblastic and Monocytic Leukemia,0.9750,Acute Megakaryoblastic Leukemia,0.9722,Acute Myelomonocytic Leukemia,0.9689
ACUTE_MYELOID_LEUKAEMIA,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.9860,Acute Myeloid Leukemia<;>Myelodysplastic Syndrome,0.9703,Acute Monocytic Leukemia,0.9699,Acute Myelomonocytic Leukemia,0.9643,Acute Megakaryoblastic Leukemia,0.9641
ACYC,Adenoid Cystic Carcinoma,99,2,Colon,0.8861,Colorectal,0.8819,Atypical Chronic Myeloid Leukemia,0.8789,Cystadenocarcinoma,0.8776,Adamantinoma,0.8774
ADAMANTINOMA,Adamantinoma,1,2,Adamantinoma,1.0000,Adamantinomatous Craniopharyngioma,0.9631,"Anaplastic Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted",0.9088,Adenocarcinoma,0.9038,"Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted",0.9028
ADCA ACINAR WITH MUCIN PRODUCTION,Lung Colloid Adenocarcinoma,99,2,Pancreatic Ductal Adenocarcinoma<;>Exocrine Gland,0.9288,Adenocarcinoma,0.9270,Appendix Goblet Cell Adenocarcinoma,0.9257,Prostate Acinar Adenocarcinoma<;>Prostate Ductal Adenocarcinoma,0.9256,Adenocarcinoma<;>Moderately Differentiated,0.9251
