ontology_term,ontology_term_id,original_term_ontology,original_covered,num_original_covered,num_original
Body Part,NCIT:C32221,NCIT,NCIT:C12356;NCIT:C12827;NCIT:C12828;NCIT:C12834;NCIT:C12446;NCIT:C12445;NCIT:C12352;NCIT:C12354;NCIT:C12353;NCIT:C12447;NCIT:C12459;NCIT:C12441;NCIT:C12460;NCIT:C12511;NCIT:C12355;NCIT:C12442;NCIT:C12458;NCIT:C54057;NCIT:C12444;NCIT:C12443;NCIT:C12509;NCIT:C32278;NCIT:C90609;NCIT:C12892;NCIT:C12894;NCIT:C32488;NCIT:C49799;NCIT:C12348;NCIT:C12439;NCIT:C41445;NCIT:C12761;NCIT:C12438;NCIT:C13056;NCIT:C33422;NCIT:C52890;NCIT:C78205;NCIT:C105638;NCIT:C33743;NCIT:C12702;NCIT:C32042;NCIT:C32497;NCIT:C32078;NCIT:C32898;NCIT:C12366;NCIT:C12933;NCIT:C32242;NCIT:C32245;NCIT:C33720;NCIT:C33725;NCIT:C33726;NCIT:C33722;NCIT:C33721;NCIT:C33724;NCIT:C33727;NCIT:C33728;NCIT:C33730;NCIT:C33731;NCIT:C32900;NCIT:C52762;NCIT:C52761;NCIT:C52759;NCIT:C12783;NCIT:C12793;NCIT:C12711;NCIT:C12290;NCIT:C26470;NCIT:C33508;NCIT:C12717;NCIT:C12731;NCIT:C32765;NCIT:C33423;NCIT:C33160;NCIT:C69315;NCIT:C69314;NCIT:C61563;NCIT:C32718;NCIT:C12998;NCIT:C12789;NCIT:C12493;NCIT:C41449;NCIT:C13071;NCIT:C33475;NCIT:C12404;NCIT:C156431;NCIT:C12311;NCIT:C156432;NCIT:C13094;NCIT:C13087;NCIT:C13088;NCIT:C12324;NCIT:C32098;NCIT:C33368;NCIT:C12270;NCIT:C12271;NCIT:C12269;NCIT:C62432;NCIT:C32965;NCIT:C33481;NCIT:C12259;NCIT:C12380;NCIT:C12265;NCIT:C12266;NCIT:C12385;NCIT:C12258;NCIT:C12381;NCIT:C12256;NCIT:C12382;NCIT:C12268;NCIT:C12390;NCIT:C12257;NCIT:C32668;NCIT:C12262;NCIT:C12386;NCIT:C33929;NCIT:C12261;NCIT:C32993;NCIT:C12260;NCIT:C12383;NCIT:C12384;NCIT:C12267;NCIT:C33757;NCIT:C52589;NCIT:C12763;NCIT:C12276;NCIT:C12275;NCIT:C32575;NCIT:C12228;NCIT:C81169;NCIT:C54187;NCIT:C12230;NCIT:C12246;NCIT:C12346;NCIT:C12420;NCIT:C12220;NCIT:C12424;NCIT:C12423;NCIT:C12762;NCIT:C12229;NCIT:C12425;NCIT:C54223;NCIT:C54292;NCIT:C12231;NCIT:C12336;NCIT:C12887;NCIT:C142328;NCIT:C33361;NCIT:C12728;NCIT:C52846;NCIT:C116179;NCIT:C12817;NCIT:C33462;NCIT:C33447;NCIT:C32974;NCIT:C176864;NCIT:C33763;NCIT:C105632;NCIT:C105637;NCIT:C32622;NCIT:C32141;NCIT:C105633;NCIT:C32628;NCIT:C32712;NCIT:C33209;NCIT:C32697;NCIT:C12287;NCIT:C33020;NCIT:C33022;NCIT:C48945;NCIT:C33021;NCIT:C33023;NCIT:C12286;NCIT:C41268;NCIT:C40373;NCIT:C33598;NCIT:C77608;NCIT:C62484;NCIT:C81014,177,369
Body Region,NCIT:C12680,NCIT,NCIT:C12429;NCIT:C12742;NCIT:C12671;NCIT:C33508;NCIT:C13062;NCIT:C89806;NCIT:C25389;NCIT:C12748;NCIT:C12419;NCIT:C33816;NCIT:C12418;NCIT:C93028;NCIT:C12726;NCIT:C12298;NCIT:C25316;NCIT:C12799;NCIT:C12255;NCIT:C93027;NCIT:C13063;NCIT:C162491;NCIT:C33301;NCIT:C25203;NCIT:C12674,23,369
Body Cavity,NCIT:C25444,NCIT,NCIT:C12664;NCIT:C151397;NCIT:C151398;NCIT:C12767;NCIT:C12347;NCIT:C12424;NCIT:C12421,7,369
B-Lymphocyte,NCIT:C12474,NCIT,NCIT:C12474,1,369
Adnexa,NCIT:C137974,NCIT,NCIT:C137974,1,369
Body Fluid or Substance,NCIT:C13236,NCIT,NCIT:C12434;NCIT:C13356,2,369
Metastasis,NCIT:C19151,NCIT,NCIT:C19151;NCIT:C18206,2,369
Conceptual Entity,NCIT:C20181,NCIT,NCIT:C92441;NCIT:C173496;NCIT:C84517;NCIT:C77613;NCIT:C81170,5,369
Qualifier,NCIT:C41009,NCIT,NCIT:C25229;NCIT:C25228;NCIT:C25355;NCIT:C25309;NCIT:C67263;NCIT:C25569;NCIT:C14155;NCIT:C75910;NCIT:C103852;NCIT:C28256;NCIT:C13351;NCIT:C13332;NCIT:C95445;NCIT:C12844;NCIT:C13363;NCIT:C25237;NCIT:C25321;NCIT:C13360;NCIT:C28358;NCIT:C161325;NCIT:C12492;NCIT:C25342;NCIT:C13808;NCIT:C96908;NCIT:C129461;NCIT:C25317;NCIT:C62408;NCIT:C25622;NCIT:C25235;NCIT:C25388;NCIT:C25344;NCIT:C25312;NCIT:C170564;NCIT:C96267;NCIT:C25225;NCIT:C25726;NCIT:C129464;NCIT:C25313;NCIT:C38007;NCIT:C25236;NCIT:C25643;NCIT:C186236;NCIT:C151959;NCIT:C38026;NCIT:C12923;NCIT:C25231;NCIT:C25310;NCIT:C14175;NCIT:C14146;NCIT:C14148;NCIT:C14174;NCIT:C25253;NCIT:C54568;NCIT:C25251;NCIT:C73990,55,369
Perineal Gland,NCIT:C77621,NCIT,NCIT:C77621,1,369
NA,NCIT:C157168,NCIT,NCIT:C157168,1,369
Intervention or Procedure,NCIT:C25218,NCIT,NCIT:C96593;NCIT:C143028;NCIT:C51510,3,369
"Disease, Disorder or Finding",NCIT:C7057,NCIT,NCIT:C5629;NCIT:C8610;NCIT:C5328;NCIT:C8524;NCIT:C2885;NCIT:C3331;NCIT:C3319;NCIT:C159210;NCIT:C159213;NCIT:C159212;NCIT:C122407;NCIT:C151938;NCIT:C3280;NCIT:C3373,14,369
NA,NCIT:12408,NCIT,NCIT:12408,1,369
