"curated_field","original_field","cl"
"ancestry","ETHNICITY_SELF_IDENTIFY",1
"ancestry","INFERRED_ETHNICITY",1
"ancestry","REPORTED_ETHNICITY",1
"ancestry","ANCESTRY_PRIMARY",1
"ancestry","RACE_CATEGORY",1
"body_site","PRIMARY_SITE",1
"body_site","METASTATIC_SITE",1
"body_site","TUMOR_TISSUE_SITE",1
"body_site","PRIMARY_SITE_PATIENT",1
"body_site","TUMOR_TISSUE_SITE_PATIENT",1
"body_site","TUMOR_LOCATION_CONDENSED",1
"body_site","MULTIPLE_TUMOR_LOCATIONS",1
"body_site","TUMOR_SITE",1
"body_site","ANATOMICAL_SUBTYPE",1
"body_site","TUMOR_TISSUE_ORIGIN",1
"body_site","ESOPHAGEAL_TUMOR_LOCATION_INVOLVED",1
"body_site","ESOPHAGEAL_TUMOR_LOCATION_CENTERED",1
"body_site","LOCALIZED_VS_METS_AT_DX",2
"body_site","LOCATION",1
"body_site","TISSUE_SITE",1
"body_site","TUMOR_LOCATION",1
"body_site","TUMOR_LATERALITY",1
"body_site","TUMOR_SITE_CURATED",1
"body_site","LOCATION_LUNG_PARENCHYMA",4
"body_site","BIOPSY_SITE",1
"body_site","SOURCE_TYPE",1
"body_site","TUMOR_LEVEL",1
"body_site","SPECIFIC_TUMOR_LOCATION",1
"body_site","DISEASE_EXTENT",1
"body_site","TISSUE_TYPE",1
"body_site","DISEASE_MULTIFOCAL_INDICATOR",2
"body_site","PRIMARY_TUMOR_LOCATION",1
"body_site","LOCALIZED_TUMOR",1
"body_site","DETAILED_PRIMARY_SITE",1
"body_site","TISSUE_SITE_OF_DERIVATION",1
"body_site","DIAGNOSIS_CANCER_BONE",4
"body_site","DIAGNOSIS_CANCER_LOC_AXILLARY_LN",4
"body_site","DIAGNOSIS_CANCER_LOC_BREAST",4
"body_site","DIAGNOSIS_CANCER_LOC_LIVER",4
"body_site","DIAGNOSIS_CANCER_LOC_OTHER_LN",4
"body_site","DIAGNOSIS_CANCER_LOC_SKIN",4
"body_site","DIAGNOSIS_CANCER_LOC_LUNG",4
"body_site","DIAGNOSIS_CANCER_LOC_PLEURAL_EFFUSION",4
"body_site","DIAGNOSIS_CANCER_LOC_BRAIN",4
"body_site","DIAGNOSIS_CANCER_LOC_OVARY",4
"body_site","DIAGNOSIS_CANCER_LOC_CHEST_WALL",4
"body_site","TUMOR_MEGASITE",1
"body_site","TUMOR_SUBSITE",1
"body_site","TUMOR_SUPERSITE",1
"body_site","TUMOR_SITE_SAMPLE",1
"body_site","TUMOR_SITE_DETAIL",1
"body_site","LOCATION_RECURRED",1
"country","COUNTRY",1
"country","TUMOR_SAMPLE_PROCUREMENT_COUNTRY",1
"country","BIRTH_COUNTRY",1
"country","COUNTRY_OF_ORIGIN",1
"country","PARTICIPANT_COUNTRY",1
"country","COUNTRY_OF_PROCUREMENT",1
"cancer_status","PERSON_NEOPLASM_CANCER_STATUS",1
"disease","DIAGNOSIS",1
"disease","DIAGNOSIS_AT_INCLUSION",2
"disease","SPECIFIC_DIAGNOSIS_AT_ACQUISITION",2
"disease","SPECIFIC_DIAGNOSIS_AT_INCLUSION",2
"disease","MDSMPN_DIAGNOSIS_AT_ACQUISITION",2
"disease","NON_AML_MDSMPN_DIAGNOSIS_AT_ACQUISITION",2
"disease","DISEASE_CODE",1
"disease","CNS_DISEASE",1
"disease","INITIAL_DIAGNOSIS_TYPE",1
"disease","DISEASE_ONTOLOGY",1
"disease","WHO_CLASSIFICATION",1
"disease","HYPERTENSION_DIAGNOSIS",1
"disease","FATTY_LIVER_DISEASE",1
"disease","WHO_CLASS",1
"disease","MDS_TYPE",1
"disease","DISEASE",1
"disease","DIABETES_DIAGNOSIS_INDICATOR",2
"disease","DISEASE_EXTENT",1
"disease","RESIDUAL_NODAL_DISEASE",1
"disease","EXTRANODAL_DISEASE",1
"disease","SPECIFIC_DX_AT_INCLUSION",2
"cancer_subtype","SUBTYPE",1
"cancer_subtype","HISTOLOGICAL_SUBTYPE",1
"cancer_subtype","IHC_SUBTYPE",1
"cancer_subtype","MORPHOLOGY_SUBTYPE",1
"cancer_subtype","PAM50_SUBTYPE",1
"cancer_subtype","LINEAGE_SUBTYPE",1
"cancer_subtype","TYPE_REFINED",1
"cancer_subtype","HIST_SUBTYPE1",1
"cancer_subtype","HIST_SUBTYPE2",1
"cancer_subtype","LINEAGE_SUB_SUBTYPE",1
"cancer_subtype","INTEGRATED_PHENOTYPE",1
"cancer_subtype","MUTATION_PHENOTYPE",1
"cancer_subtype","BREAST_CANCER_SUBTYPE",4
"cancer_subtype","SUBTYPE_CONSENSUS",1
"cancer_subtype","HISTOLOGY_SUBTYPE",1
"cancer_subtype","CHRONIC_HEPATITIS_ANY_TYPE",7
"cancer_subtype","PREDOMINANT_HISTOLOGIC_SUBTYPE",1
"cancer_subtype","SUBTYPE_GROUP",1
"cancer_subtype","DOMINANT_HISTOLOGICAL_SUBTYPE",1
"cancer_subtype","ADENOCARCINOMA_SUBTYPE_WHO2015",1
"cancer_subtype","PRIMARY_TYPE",1
"cancer_subtype","PATHOLOGY_CLASSIFICATION",1
"cancer_subtype","SUBTYPE_DETAILS",1
"cancer_subtype","CANCER_SUBTYPE_CURATED",1
"cancer_subtype","PRIMARY_MELANOMA_SKIN_TYPE",1
"cancer_subtype","PRIMARY_TUMOR_LOCALIZATION_TYPE",1
"cancer_subtype","TYPE",1
"cancer_subtype","LAUREN_CLASS",1
"cancer_subtype","INTESTINAL_TYPE_SUBCLASS",1
"cancer_subtype","GASTRIC_CLASSIFICATION",1
"cancer_subtype","CYTOLOGICAL_PHENOTYPE",1
"cancer_subtype","SUBTYPE_ABBREVIATION",1
"cancer_subtype","MCRC_TYPE",1
"cancer_subtype","CLAUDIN_SUBTYPE",1
"cancer_subtype","PREDOM_HISTO_SUBTYPE",1
"specimen_type","SAMPLE_TYPE",1
"specimen_type","SAMPLE_CLASS",1
"specimen_type","SPECIMEN_TYPE",1
"sample_type","SAMPLE_TYPE",1
"sample_type","SAMPLE_CLASS",1
"sample_type","SPECIMEN_TYPE",1
"cancer_type","CANCER_TYPE",1
"cancer_type","INCIDENTAL_PROSTATE_CANCER",1
"cancer_type","CANCER.TYPE",1
"cancer_type","PATHOLOGICAL_DIAGNOSIS",1
"cancer_type","HISTOLOGY_DIAGNOSIS",1
"cancer_type","PRIMARY_DIAGNOSIS",1
"cancer_type","ORIGINAL_DIAGNOSIS_AT_IMPLANT",2
"cancer_type","CANCER_IDENTIFICATION_IDC",1
"cancer_type","CANCER_IDENTIFICATION_ILC",1
"cancer_type","CANCER_IDENTIFICATION_MIDLC",1
"cancer_type","DX_AT_INCLUSION",2
"cancer_type","SPECIFIC_DX_AT_ACQUISITION_MDSMPN",2
"cancer_type_details","CANCER_TYPE_DETAILED",1
"cancer_type_details","HISTOLOGICAL_DIAGNOSIS",1
"cancer_type_details","HISTOLOGICAL_TYPE",1
"cancer_type_details","INITIAL_DIAGNOSIS_OF_RECURRENT_TUMORS",2
"cancer_type_details","DETAILED_CANCER_TYPE",1
"cancer_type_details","SPECIAL_HISTOLOGY",1
"cancer_type_details","GYN_DIAGNOSIS_HISTOLOGY",1
"cancer_type_details","DX_ORG_INST",2
"location","COUNTRY",1
"location","TUMOR_SAMPLE_PROCUREMENT_COUNTRY",1
"location","BIRTH_COUNTRY",1
"location","COUNTRY_OF_ORIGIN",1
"location","PARTICIPANT_COUNTRY",1
"location","COUNTRY_OF_PROCUREMENT",1
"sex","SEX",1
"sex","TESTES_SITE_OF_RELAPSE",5
"sex","TESTICULAR_INVOLVEMENT",5
"sex","INCIDENTAL_PROSTATE_CANCER",1
"sex","CERVIX_SUV_RESULTS",3
"sex","curated_cancer_type",1
"sex","METS_SITES_AT_METS_ABST_OVARY",2
"sex","METS_SITES_AT_METS_DX_OVARY",2
"sex","PRD_PROSTATECTOMY",1
"sex","HISTORY_OF_UNDESCENDED_TESTIS",5
"sex","TESTIS_TUMOR_MACROEXTENT",1
"sex","FAMILY_HISTORY_TESTICULAR_CANCER",5
"sex","DIAGNOSIS_CANCER_LOC_OVARY",4
"sex","ANYTIME_CANCER_LOC_OVARY",4
"sex","DMETS_DX_OVARY",2
"sex","DMETS_DX_FEMALE_GENITAL",2
"sex","DMETS_DX_MALE_GENITAL",2
"sex","GENDER",1
"vital_status","OS_STATUS",3
"vital_status","DFS_STATUS",3
"vital_status","VITAL_STATUS",3
"vital_status","DSS_STATUS",3
"vital_status","CLINICAL_STATUS_AT_COLLECTION_EVENT",1
"vital_status","SURVIVAL_STATUS",3
"vital_status","OS_STATUS_SORAFENIB",3
"vital_status","PFS_STATUS_SORAFENIB_TREATMENT",3
"vital_status","OS_STATUS_IO",3
"vital_status","PFS_STATUS_IO",3
"vital_status","OS_FROM_PD1I_STATUS",3
"vital_status","RFS_STATUS",3
"vital_status","LFS_STATUS",3
"vital_status","CRDB_SURVIVAL_STATUS",3
"vital_status","OS_STATUS_DMT",2
"vital_status","STATUS",3
"vital_status","LAST_STATUS",1
"vital_status","HER2_VITAL_STATUS",3
"vital_status","PLATINUM_OS_STATUS",3
"vital_status","OS_NEO_STATUS",3
"treatment_name","TYPE_OF_SURGERY",1
"treatment_name","ADJUVANT_CHEMO",1
"treatment_name","NEOADJUVANT_CHEMO",1
"treatment_name","PHARM_TX_MITOTANE_INDICATOR",1
"treatment_name","PHARM_TX_MITOTANE_FOR_MACRO_DISEASE",1
"treatment_name","PHARM_TX_MITOTANE_ADJUVANT",1
"treatment_name","ALTERNATE_THERAPY_OTHER",1
"treatment_name","CUMULATIVE_TREATMENT_REGIMENS",1
"treatment_name","CURRENT_REGIMEN",3
"treatment_name","FIRSTLINE_CHEMO_GROUP",1
"treatment_name","SURGERY",1
"treatment_name","PRIMARY_SURGERY",1
"treatment_name","NGS_PRIOR_THERAPY",1
"treatment_name","CHEMOTHERAPY_PRIOR_SAMPLE_ACQUIRED",1
"treatment_name","CHEMO_DETAILS",1
"treatment_name","PRIOR_INTRAVESICAL_CHEMOTHERAPY",1
"treatment_name","SURGERY_PROCEDURE",1
"treatment_name","TREATMENT",1
"treatment_name","NONINVASIVE_BLADDER_CA_TX_TYPE",1
"treatment_name","RADADJUVANTRX",1
"treatment_name","CHEMOTHERAPY_AGENTS",1
"treatment_name","PROTOCOL_AND_TREATMENT_ARM",1
"treatment_name","FORMULATION",1
"treatment_name","TIMING_OTHER_NOTES",1
"treatment_name","TX_REG",1
"treatment_name","SURGERY_AT_DX",1
"treatment_name","DX_TYPE",1
"treatment_name","X2YR_FULVESTRANT",3
"treatment_name","X2YR_CAPECITABINE",3
"treatment_name","X2YR_ANTIHER2",3
"treatment_name","X2YR_AIS",3
"treatment_name","X2YR_TAMOXIFEN",3
"treatment_name","X2YR_ANTHRACYCLINE",3
"treatment_name","X2YR_CDK46",3
"treatment_name","BREAST_SURGERY",4
"treatment_name","THERAPY",1
"treatment_name","SURGICAL_PROCEDURE_FIRST",1
"treatment_name","SURGERY_FOR_POSITIVE_MARGINS",1
"treatment_name","SURGERY_FOR_POSITIVE_MARGINS_OTHER",1
"treatment_name","FIRST_SURGICAL_PROCEDURE_OTHER",1
"treatment_name","ENDOCRINE_THERAPY",1
"treatment_name","ALPELISIB_DOSE",8
"treatment_name","ALPELISIB_SCHEDULING",8
"treatment_name","DRUG",1
"treatment_name","PRIOR_TREATMENT",1
"treatment_name","CHEMO_CONCURRENT_TYPE",1
"treatment_name","BRACHYTHERAPY_TYPE",1
"treatment_name","HYSTERECTOMY_TYPE",7
"treatment_name","CHEMO_CONCURRENT_TYPE_OTHER",1
"treatment_name","OTHER_HYSTERECTOMY_TYPE",7
"treatment_name","BRACHYTHERAPY_TYPE_OTHER",1
"treatment_name","SYSTEMIC_TREATMENT",1
"treatment_name","DEFINITIVE_SURGICAL_PROCEDURE",1
"treatment_name","FIRST_LINE_MET_TX",1
"treatment_name","METASTASECTOMY",1
"treatment_name","METASTASECTOMY_SITE",1
"treatment_name","TMZ_CYCLES",1
"treatment_name","TMZ_TREATMENT",1
"treatment_name","RADIATION_OTHER",1
"treatment_name","CHEMO_OTHER",1
"treatment_name","HISTORY_IMMUNOSUPPRESIVE_DX",7
"treatment_name","HISTORY_IMMUNOSUPPRESSIVE_TX_OTHER",7
"treatment_name","DETAILS_FIRST_LINE_COMMENTS",1
"treatment_name","SURGERY_TYPE",1
"treatment_name","TREATMENT_TYPE",1
"treatment_name","PROCEDURE_TYPE",1
"treatment_name","NUMBER_OF_CYCLES_PLATINUM",3
"treatment_name","NUMBER_OF_CYCLES_PEMBROLIZUMAB",8
"treatment_name","NUMBER_OF_CYCLES_FLUORO-PYRIMIDINE",3
"treatment_name","NUMBER_OF_CYCLES_TRASTUZUMAB",3
"treatment_name","2L_TREATMENT",1
"treatment_name","3L_TREATMENT",1
"treatment_name","CHEMO_FIRST_LINE",1
"treatment_name","PD1_INHIBITOR",10
"treatment_name","PD1_INHIBITOR_DRUG",10
"treatment_name","DOSE_OF_PEMBROLIZUMAB_PER_INJECTION (MG/KG)",8
"treatment_name","PD1_INHIBITOR_CONCURRENTLY_WITH_NOVO-TTF",10
"treatment_name","PD1_INHIBITOR_WITH_CELECOXIB",10
"treatment_name","DRUG_AND_DOSE_STEROID_DURING_PD1",10
"treatment_name","PD1_INHIBITOR_CONCURRENTLY_WITH_BEV",10
"treatment_name","PD1_INHIBITOR_CONCURRENTLY_WITH_TEMODAR",10
"treatment_name","PD1_INHIBITOR_WITH_IMATINIB",10
"treatment_name","PD1_INHIBITOR_CONCURRENTLY_WITH_DC_VAX",10
"treatment_name","PD1_INHIBITOR_CONCURRENTLY_WITH_BCNU/CCNU",10
"treatment_name","TREATMENT_DETAIL_BEFORE_PDX",1
"treatment_name","CHEMO_REGIMEN_CATEGORY",1
"treatment_name","SORAFENIB_TREATMENT",3
"treatment_name","INTERFERON_ALPHA",6
"treatment_name","AGENT",1
"treatment_name","IMMUNOSUPPRESSION",1
"treatment_name","PREVIOUS_TREATMENT",1
"treatment_name","HEPATECTOMY",7
"treatment_name","INDUCTION",1
"treatment_name","TRANSPLANT_TYPE",1
"treatment_name","PRETREATMENT_HISTORY",1
"treatment_name","IO_DRUG",1
"treatment_name","SECOND_LINE_TC_OR_SURGERY",1
"treatment_name","FIRST_LINE_THERAPY",1
"treatment_name","FIFTH_LINE",1
"treatment_name","FOURTH_LINE",1
"treatment_name","THIRD_LINE",1
"treatment_name","IO_THERAPY",1
"treatment_name","STEROIDS_GT_10MG_DAILY",10
"treatment_name","RADIATION_TREATMENT_ADJUVANT",1
"treatment_name","PRD_PROSTATECTOMY",1
"treatment_name","PLATINUM_TX",1
"treatment_name","FOLIC_ACID_TX",1
"treatment_name","CISPLATIN_TX",1
"treatment_name","TERT_PLATINUM_TX",1
"treatment_name","TERT_CISPLATIN_TX",1
"treatment_name","CARBOPLATIN_TX",1
"treatment_name","TERT_CARBOLATIN_TX",1
"treatment_name","OXALIPLATIN_TX",1
"treatment_name","TERT_OXALIPLATIN_TX",1
"treatment_name","ANTHRACYCLINE_TX",1
"treatment_name","TERT_ANTHRACYCLINE_TX",1
"treatment_name","TERT_TOPO_II_INH_TX",1
"treatment_name","TOPO_II_TX",1
"treatment_name","TERT_TOPO_I_INH_TX",1
"treatment_name","TOPO_I_TX",1
"treatment_name","FIRST_LINE_TREATMENT",1
"treatment_name","TREATMENT_DETAILS",1
"treatment_name","ANY_LINE_IODINE",1
"treatment_name","NUM_LINES_IODINE",1
"treatment_name","INITIAL_RX",1
"treatment_name","SUBSEQUENT_RX",1
"treatment_name","EPINEPHRINE",6
"treatment_name","NOREPINEPHRINE",6
"treatment_name","DOPAMINE",6
"treatment_name","TREATMENT_PRIOR_TO_SURGERY_INDICATOR",1
"treatment_name","ICI",1
"treatment_name","TX_SORAFENIB",3
"treatment_name","TX_APLIDIN",1
"treatment_name","TX_BORTEZOMIB",1
"treatment_name","TX_GSK690693",1
"treatment_name","TX_JNJ26481585",1
"treatment_name","TX_JNJ26854165",1
"treatment_name","TX_MLN4924",1
"treatment_name","TX_RAPAMYCIN",1
"treatment_name","TX_KPT-330",1
"treatment_name","TX_MK-2206",1
"treatment_name","TX_MK-8242",1
"treatment_name","TX_SCH 727965",1
"treatment_name","TX_BAL101553",1
"treatment_name","TX_CISPLATIN",1
"treatment_name","TX_19D12",1
"treatment_name","TX_ABT-263",1
"treatment_name","TX_AZD-2171",1
"treatment_name","TX_AZD-6244",1
"treatment_name","TX_BMS-354825",1
"treatment_name","TX_BMS-754807",1
"treatment_name","TX_CGC(PG)-11047",1
"treatment_name","TX_HGS-ETR1",1
"treatment_name","TX_LENOLIDAMIDE",1
"treatment_name","TX_PCI-32765",1
"treatment_name","TX_RO4929097",1
"treatment_name","TX_SGI-1776",1
"treatment_name","TX_AZD8055",1
"treatment_name","TX_BI6727 (VOLASERTIB)",1
"treatment_name","TX_BMN-673",1
"treatment_name","TX_CX-5461 (POL1)",1
"treatment_name","TX_PF-03084014",1
"treatment_name","TX_VS-4718",1
"treatment_name","TX_ABT-199",1
"treatment_name","TX_GS-9820",1
"treatment_name","TX_17-DMAG",1
"treatment_name","TX_SAR3419",1
"treatment_name","TX_SU11248",1
"treatment_name","TX_CBL0137",1
"treatment_name","TX_MLN8237",1
"treatment_name","TX_SB-715992",1
"treatment_name","TX_NSC750854",1
"treatment_name","TX_CPX351",1
"treatment_name","TX_PR-104",1
"treatment_name","TX_TOPOTECAN",1
"treatment_name","TX_VINCRISTINE",1
"treatment_name","TX_ERIBULIN",3
"treatment_name","TX_TL32711",1
"treatment_name","TX_LAPATINIB",3
"treatment_name","TX_SAHA",1
"treatment_name","TX_CYCLOPHOSPHAMIDE",1
"treatment_name","TX_RG7112",1
"treatment_name","TX_XL147",1
"treatment_name","TX_SGN-CD19A",1
"treatment_name","TX_AZD1480",1
"treatment_name","TX_INK128-1110-028",1
"treatment_name","TX_GSK923295A",1
"treatment_name","TX_LY 2606368",1
"treatment_name","TX_SVV-001",1
"treatment_name","TX_ACTINOMYCIN D",1
"treatment_name","TX_IMC-A12",1
"treatment_name","TX_FENRETINIDE",1
"treatment_name","TX_CABOZANTINIB (XL-148)",1
"treatment_name","TX_STF-118804",1
"treatment_name","TX_E7438/EPZ6438",1
"treatment_name","TX_MM-141",1
"treatment_name","TX_STA9090 (GANETESPIB)",1
"treatment_name","TX_PIXANTRONE",1
"treatment_name","TX_CYTARABINE",1
"treatment_name","TX_TRISENOX(ATO)",1
"treatment_name","TX_ABRAXANE",1
"treatment_name","TX_GENZ-644282",1
"treatment_name","TX_TAK-701",1
"treatment_name","TX_RUXOLITINIB",3
"treatment_name","TX_CDX-011 (GLEMBATUMUMAB)",1
"treatment_name","TX_TB-403",1
"treatment_name","TX_EC1456",1
"treatment_name","CHEMOTHERAPY",1
"treatment_name","ANDROGEN_DEPRIVATION_THERAPY",1
"treatment_name","TREATMENT_PROSTATECTOMY",1
"treatment_name","ADJUVANT_HORMONE_THERAPY",1
"treatment_name","THERAPY_PRIOR_TO_DERIVATION",1
"treatment_name","CRT_CHEMOAGENT",1
"treatment_name","NEOADJ_CHEMOAGENT",1
"treatment_name","ADJUVANT_CHEMO_REGIMEN",1
"treatment_name","MEDICATION",1
"treatment_name","IMMUNE_TREATMENT",1
"treatment_name","NEOADJ_CHEMO",1
"treatment_type","TYPE_OF_SURGERY",1
"treatment_type","ADJUVANT_TX",1
"treatment_type","RADIATION_THERAPY",1
"treatment_type","ADJUVANT_CHEMO",1
"treatment_type","NEOADJUVANT_CHEMO",1
"treatment_type","PHARMACEUTICAL_TX_ADJUVANT",1
"treatment_type","PHARM_TX_MITOTANE_INDICATOR",1
"treatment_type","PHARM_TX_MITOTANE_FOR_MACRO_DISEASE",1
"treatment_type","PHARM_TX_MITOTANE_ADJUVANT",1
"treatment_type","RADIATION_TREATMENT_ADJUVANT",1
"treatment_type","ALTERNATE_THERAPY",1
"treatment_type","ALTERNATE_THERAPY_OTHER",1
"treatment_type","CHEMOTHERAPY",1
"treatment_type","TREATMENT_TYPE",1
"treatment_type","CUMULATIVE_TREATMENT_TYPES",1
"treatment_type","MOST_RECENT_TREATMENT_TYPE",1
"treatment_type","TYPE_INDUCTION_TREATMENT",1
"treatment_type","PRIORRADIATIONFOROTHERCANCER",1
"treatment_type","CUMULATIVE_CHEMO",1
"treatment_type","TYPE_INDUCTION_TX",1
"treatment_type","PRIOR_MALIGNANCY_RADIATION_TX",1
"treatment_type","PRD_SURGERY",1
"treatment_type","PRD_OTHER_CANCER_RADIATION",1
"treatment_type","PRD_RADIATION",1
"treatment_type","PRD_RADIATION_SURGERY",1
"treatment_type","FIRSTLINE_CHEMO_GROUP",1
"treatment_type","IPCHEMO_FIRST_CRS",10
"treatment_type","SURGERY",1
"treatment_type","IMMUNOTHERAPY",1
"treatment_type","SYSTEMIC_THERAPY",1
"treatment_type","PRIMARY_SURGERY",1
"treatment_type","FIRST_THERAPY",1
"treatment_type","ADC_THERAPY",1
"treatment_type","TARGETED_THERAPY",1
"treatment_type","ADJUVANT_RADIATION_THERAPY",1
"treatment_type","METASTATIC_RADIATION_THERAPY",1
"treatment_type","CHEMOTHERAPY+IMMUNOTHERAPY",1
"treatment_type","ADC+IMMUNOTHERAPY",1
"treatment_type","SURGERY_ADVANCED_DISEASE",1
"treatment_type","PRIMARY_RADIATION_THERAPY",1
"treatment_type","CONCURRENT_CHEMOTHERAPY",1
"treatment_type","CHEMOTHERAPY_PRIOR_SAMPLE_ACQUIRED",1
"treatment_type","CHEMO_DETAILS",1
"treatment_type","PRIOR_INTRAVESICAL_CHEMOTHERAPY",1
"treatment_type","SURGERY_PROCEDURE",1
"treatment_type","YEAR_OF_SURGERY",1
"treatment_type","STEROIDS",1
"treatment_type","CYTOTOXIC_TREATMENT",1
"treatment_type","SALICYLATES",9
"treatment_type","RADADJUVANTRX",1
"treatment_type","AGE_AT_RADIATION_START",2
"treatment_type","AGE_AT_RADIATION_STOP",2
"treatment_type","COMPLETED_TOTAL_RADIATION_DOSE",1
"treatment_type","RADIATION",1
"treatment_type","RADIATION_SITE",1
"treatment_type","RADIATION_TYPE",1
"treatment_type","CHEMOTHERAPY_AGENTS",1
"treatment_type","CHEMOTHERAPY_TYPE",1
"treatment_type","AGE_AT_CHEMOTHERAPY_START",2
"treatment_type","AGE_AT_CHEMOTHERAPY_STOP",2
"treatment_type","THERAPIES",1
"treatment_type","SURGERY_AT_DX",1
"treatment_type","DX_TYPE",1
"treatment_type","ADJ_XRT",1
"treatment_type","X2YR_TAXANE",1
"treatment_type","X2YR_ALKYLATING_AGENT",9
"treatment_type","X2YR_VEGF_INHIBITOR",3
"treatment_type","HORMONE_THERAPY",1
"treatment_type","BREAST_SURGERY",4
"treatment_type","RADIO_THERAPY",1
"treatment_type","TREATMENT_CHEMOTHERAPY",1
"treatment_type","SURGICAL_PROCEDURE_FIRST",1
"treatment_type","SURGERY_FOR_POSITIVE_MARGINS",1
"treatment_type","SURGERY_FOR_POSITIVE_MARGINS_OTHER",1
"treatment_type","FIRST_SURGICAL_PROCEDURE_OTHER",1
"treatment_type","ENDOCRINE_THERAPY",1
"treatment_type","PRIOR_TREATMENT",1
"treatment_type","TARGETED_MOLECULAR_THERAPY",1
"treatment_type","HISTORY_HORMONAL_CONTRACEPTIVES_USE",3
"treatment_type","CHEMO_CONCURRENT_COURSE",1
"treatment_type","CHEMO_CONCURRENT_FRACTIONS_TOTAL",1
"treatment_type","CHEMO_CONCURRENT_TYPE",1
"treatment_type","CHEMO_CONCURRENT_DOSE",1
"treatment_type","RADIATION_THERAPY_XRT_TYPE",1
"treatment_type","RT_TX_TOTAL_DOSE_TO_PELVIS",1
"treatment_type","BRACHYTHERAPY_TYPE",1
"treatment_type","BRACHYTHERAPY_TOTAL_DOSE_POINT_A",1
"treatment_type","HYSTERECTOMY_TYPE",7
"treatment_type","MARGINS_INVOLVED_HYSTERECTOMY",7
"treatment_type","CHEMO_CONCURRENT_REASON_NOT_GIVEN",1
"treatment_type","CHEMO_CONCURRENT_TYPE_OTHER",1
"treatment_type","OTHER_HYSTERECTOMY_TYPE",7
"treatment_type","RT_TX_REASON_NOT_COMPLETED",1
"treatment_type","RT_TX_REASON_NOT_COMPLETED_OTHER",1
"treatment_type","CHEMO_CONCURRENT_REASON_NOT_OTHER",1
"treatment_type","RADIATION_THERAPY_DOSE_PARAAORTIC_NODES",1
"treatment_type","RADIATION_TYPE_OTHER",1
"treatment_type","BRACHYTHERAPY_TYPE_OTHER",1
"treatment_type","DEFINITIVE_SURGICAL_PROCEDURE",1
"treatment_type","HISTORY_NEOADJUVANT_TRTYN",1
"treatment_type","PRIOR_ADJUVANT_CHEMO",1
"treatment_type","METASTASECTOMY",1
"treatment_type","METASTASECTOMY_SITE",1
"treatment_type","RADIATION_OR_CHEMOTHERAPY",1
"treatment_type","IMMUNOSUPPRESSION",1
"treatment_type","SURGERY NUMBER",1
"treatment_type","ALKYLATING_AGENT",9
"treatment_type","RADIOTHERAPY",1
"treatment_type","RADIOTHERAPY_FRACTIONS",1
"treatment_type","RADIATION_DOSE",1
"treatment_type","RADIATION_OTHER",1
"treatment_type","CHEMO_OTHER",1
"treatment_type","CHEMO_OTHER_CYCLES",1
"treatment_type","SURGERY_INDICATION",1
