field_name,is_numeric_field
dbgap_accession_number,no
aids_risk_factors,no
bmi,yes
body_surface_area,no
cd4_count,yes
cdc_hiv_risk_factors,no
comorbidities,no
comorbidity_method_of_diagnosis,no
days_to_comorbidity,yes
diabetes_treatment_type,no
dlco_ref_predictive_percent,yes
exercise_frequency_weekly,no
eye_color,no
fev1_fvc_post_bronch_percent,yes
fev1_fvc_pre_bronch_percent,yes
fev1_ref_post_bronch_percent,yes
fev1_ref_pre_bronch_percent,yes
haart_treatment_indicator,no
height,yes
hepatitis_sustained_virological_response,no
hiv_viral_load,no
hormonal_contraceptive_type,no
hormonal_contraceptive_use,no
hormone_replacement_therapy_type,no
hysterectomy_margins_involved,no
hysterectomy_type,no
immunosuppressive_treatment_type,no
menopause_status,no
myasthenia_gravis_classification,no
nadir_cd4_count,yes
nononcologic_therapeutic_agents,no
oxygen_use_indicator,no
oxygen_use_type,no
pancreatitis_onset_year,no
pregnancy_count,yes
pregnancy_outcome,no
pregnant_at_diagnosis,no
premature_at_birth,no
reflux_treatment_type,no
risk_factor_method_of_diagnosis,no
risk_factor_treatment,no
risk_factors,no
timepoint_category,no
treatment_frequency,no
undescended_testis_corrected,no
undescended_testis_corrected_age,no
undescended_testis_corrected_laterality,no
undescended_testis_corrected_method,no
undescended_testis_history,no
undescended_testis_history_laterality,no
viral_hepatitis_serologies,no
weeks_gestation_at_birth,no
weight,yes
cases,no
follow_ups,no
adapter_content,no
basic_statistics,no
encoding,no
fastq_name,no
kmer_content,no
overrepresented_sequences,no
per_base_sequence_quality,no
per_tile_sequence_quality,no
per_sequence_quality_score,no
per_base_sequence_content,no
per_sequence_gc_content,no
per_base_n_content,no
percent_gc_content,yes
sequence_length_distribution,no
sequence_duplication_levels,no
total_sequences,no
read_groups,no
aliquot_quantity,no
aliquot_volume,no
no_matched_normal_low_pass_wgs,no
no_matched_normal_targeted_sequencing,no
no_matched_normal_wgs,no
no_matched_normal_wxs,no
source_center,no
selected_normal_wxs,no
selected_normal_wgs,no
selected_normal_targeted_sequencing,no
selected_normal_low_pass_wgs,no
analytes,no
centers,no
submitted_genomic_profiles,yes
copy_number_liftover_workflows,no
revision,no
projects,no
related_to_files,no
somatic_mutation_calling_workflows,no
submitted_methylation_beta_values,yes
awg_review,no
code,no
disease_type,no
intended_release_date,no
in_review,no
is_legacy,no
primary_site,no
release_requested,no
released,no
releasable,no
request_submission,yes
submission_enabled,yes
programs,no
consent_type,no
days_to_consent,yes
days_to_lost_to_followup,yes
index_date,no
lost_to_followup,no
tissue_source_sites,no
schema_version,no
simple_somatic_mutations,no
structural_variant_calling_workflows,no
expression_analysis_workflows,no
read_pair_number,no
imaging_date,no
magnification,no
stain_type,no
slides,no
data_types,no
aliquots,no
annotated_somatic_mutations,no
structural_variations,no
copy_number_segments,no
archives,no
rna_expression_workflows,no
chemo_concurrent_to_radiation,no
clinical_trial_indicator,no
course_number,no
days_to_treatment_end,yes
days_to_treatment_start,yes
drug_category,no
embolic_agent,no
initial_disease_status,no
lesions_treated_number,no
number_of_cycles,yes
number_of_fractions,yes
prescribed_dose,no
protocol_identifier,no
radiosensitizing_agent,no
reason_treatment_ended,no
reason_treatment_not_given,no
regimen_or_line_of_therapy,no
residual_disease,no
route_of_administration,no
therapeutic_agents,no
therapeutic_level_achieved,no
therapeutic_levels_achieved,no
therapeutic_target_level,no
treatment_anatomic_site,no
treatment_anatomic_sites,no
treatment_arm,no
treatment_dose,no
treatment_dose_max,no
treatment_dose_units,no
treatment_duration,no
treatment_effect,no
treatment_effect_indicator,no
treatment_intent_type,no
treatment_or_therapy,no
treatment_outcome,no
treatment_outcome_duration,no
treatment_type,no
creation_datetime,no
is_ffpe,no
portion_number,no
aa_change,no
aneuploidy,no
antigen,no
biospecimen_type,no
biospecimen_volume,no
blood_test_normal_range_lower,no
blood_test_normal_range_upper,no
cell_count,yes
chromosomal_translocation,no
chromosome,no
chromosome_arm,no
clonality,no
copy_number,no
cytoband,no
days_to_test,yes
exon,no
gene_symbol,no
histone_family,no
histone_variant,no
hpv_strain,no
intron,no
laboratory_test,no
loci_abnormal_count,yes
loci_count,yes
locus,no
mismatch_repair_mutation,no
mitotic_count,yes
mitotic_total_area,no
molecular_analysis_method,no
molecular_consequence,no
mutation_codon,no
pathogenicity,no
ploidy,no
second_exon,no
second_gene_symbol,no
specialized_molecular_test,no
staining_intensity_scale,no
staining_intensity_value,no
test_analyte_type,no
test_result,no
test_units,no
test_value,no
test_value_range,no
transcript,no
variant_origin,no
variant_type,no
zygosity,no
submitted_tangent_copy_numbers,yes
project,no
bcr_id,no
raw_methylation_arrays,no
proc_internal,no
adverse_event,no
adverse_event_grade,no
barretts_esophagus_goblet_cells_present,no
cause_of_response,no
comorbidity,no
days_to_adverse_event,yes
days_to_first_event,yes
days_to_follow_up,yes
days_to_imaging,yes
days_to_progression,yes
days_to_progression_free,yes
days_to_recurrence,yes
days_to_risk_factor,yes
discontiguous_lesion_count,yes
disease_response,no
ecog_performance_status,no
evidence_of_progression_type,no
evidence_of_recurrence_type,no
first_event,no
history_of_tumor,no
history_of_tumor_type,no
hpv_positive_type,no
imaging_anatomic_site,no
imaging_findings,no
imaging_result,no
imaging_suv,no
imaging_suv_max,no
imaging_type,no
karnofsky_performance_status,no
peritoneal_washing_results,no
procedures_performed,no
progression_or_recurrence,no
progression_or_recurrence_anatomic_site,no
progression_or_recurrence_type,no
recist_targeted_regions_number,no
recist_targeted_regions_sum,no
risk_factor,no
scan_tracer_used,no
year_of_follow_up,yes
adapter_name,no
adapter_sequence,no
base_caller_name,no
base_caller_version,no
chipseq_antibody,no
chipseq_target,no
days_to_sequencing,yes
experiment_name,no
flow_cell_barcode,no
fragment_maximum_length,no
fragment_mean_length,no
fragment_minimum_length,no
fragment_standard_deviation_length,no
fragmentation_enzyme,no
includes_spike_ins,no
instrument_model,no
is_paired_end,no
lane_number,no
library_name,no
library_preparation_kit_name,no
library_preparation_kit_vendor,no
library_preparation_kit_catalog_number,no
library_preparation_kit_version,no
library_selection,no
library_strand,no
library_strategy,no
multiplex_barcode,no
number_expect_cells,no
read_group_name,no
read_length,no
rin,no
sequencing_center,no
sequencing_date,no
size_selection_range,no
single_cell_library,no
spike_ins_concentration,no
spike_ins_fasta,no
target_capture_kit,no
target_capture_kit_catalog_number,no
target_capture_kit_name,no
target_capture_kit_target_region,no
target_capture_kit_vendor,no
target_capture_kit_version,no
to_trim_adapter_sequence,no
channel,no
chip_id,no
chip_position,no
plate_name,no
plate_well,no
category,no
classification,no
creator,no
notes,no
status,no
legacy_created_datetime,no
legacy_updated_datetime,no
aggregated_somatic_mutations,no
aligned_reads_indexes,no
analysis_metadata_files,no
biospecimen_supplements,no
clinical_supplements,no
copy_number_auxiliary_files,no
copy_number_estimates,no
demographics,no
experiment_metadata_files,no
exposures,no
family_histories,no
files,no
filtered_copy_number_segments,no
gene_expressions,no
masked_methylation_arrays,no
masked_somatic_mutations,no
methylation_beta_values,no
mirna_expressions,no
molecular_tests,no
other_clinical_attributes,no
pathology_details,no
pathology_reports,no
protein_expressions,no
read_group_qcs,no
run_metadata_files,no
secondary_expression_analyses,no
simple_germline_variations,no
slide_images,no
somatic_mutation_indexes,no
treatments,no
methylation_array_harmonization_workflows,no
methylation_liftover_workflows,no
major_version,no
minor_version,no
release_date,no
roots,no
somatic_aggregation_workflows,no
mirna_expression_workflows,no
derived_files,no
related_files,no
tags,no
data_subtypes,no
data_formats,no
experimental_strategies,no
platforms,no
described_cases,no
namespace,no
short_name,no
center_type,no
biospecimen_anatomic_site,no
biospecimen_laterality,no
catalog_reference,no
composition,no
current_weight,yes
days_to_collection,yes
days_to_sample_procurement,yes
diagnosis_pathologically_confirmed,no
distance_normal_to_tumor,no
distributor_reference,no
freezing_method,no
growth_rate,no
initial_weight,yes
intermediate_dimension,yes
longest_dimension,yes
method_of_sample_procurement,no
oct_embedded,no
passage_count,yes
pathology_report_uuid,no
preservation_method,no
sample_ordinal,no
sample_type,no
sample_type_id,no
shortest_dimension,yes
specimen_type,no
time_between_clamping_and_freezing,no
time_between_excision_and_freezing,no
tissue_collection_type,no
tissue_type,no
tumor_code,no
tumor_code_id,no
tumor_descriptor,no
parent_samples,no
relationship_age_at_diagnosis,yes
relationship_gender,no
relationship_primary_diagnosis,no
relationship_type,no
relative_deceased,no
relative_smoker,no
relative_with_cancer_history,no
relatives_with_cancer_history_count,yes
age_at_diagnosis,yes
days_to_death,yes
gender,no
ethnicity,no
icd_10,no
race,no
vital_status,no
year_of_diagnosis,yes
germline_mutation_calling_workflows,no
somatic_annotation_workflows,no
adrenal_hormone,no
ajcc_clinical_m,no
ajcc_clinical_n,no
ajcc_clinical_stage,no
ajcc_clinical_t,no
ajcc_pathologic_m,no
ajcc_pathologic_n,no
ajcc_pathologic_stage,no
ajcc_pathologic_t,no
ajcc_staging_system_edition,no
ann_arbor_b_symptoms,no
ann_arbor_b_symptoms_described,no
ann_arbor_clinical_stage,no
ann_arbor_extranodal_involvement,no
ann_arbor_pathologic_stage,no
best_overall_response,no
burkitt_lymphoma_clinical_variant,no
cancer_detection_method,no
child_pugh_classification,no
clark_level,no
classification_of_tumor,no
cog_liver_stage,no
cog_neuroblastoma_risk_group,no
cog_renal_stage,no
cog_rhabdomyosarcoma_risk_group,no
contiguous_organ_invaded,no
days_to_best_overall_response,yes
days_to_diagnosis,yes
days_to_last_follow_up,yes
days_to_last_known_disease_status,yes
diagnosis_is_primary_disease,no
double_expressor_lymphoma,no
double_hit_lymphoma,no
eln_risk_classification,no
enneking_msts_grade,no
enneking_msts_metastasis,no
enneking_msts_stage,no
enneking_msts_tumor_site,no
ensat_clinical_m,no
ensat_pathologic_n,no
ensat_pathologic_stage,no
ensat_pathologic_t,no
esophageal_columnar_dysplasia_degree,no
esophageal_columnar_metaplasia_present,no
fab_morphology_code,no
figo_stage,no
figo_staging_edition_year,no
first_symptom_longest_duration,no
first_symptom_prior_to_diagnosis,no
gastric_esophageal_junction_involvement,no
gleason_grade_group,no
gleason_grade_tertiary,no
gleason_patterns_percent,yes
gleason_score,no
goblet_cells_columnar_mucosa_present,no
icd_10_code,no
igcccg_stage,no
inpc_grade,no
inpc_histologic_group,no
inrg_stage,no
inss_stage,no
international_prognostic_index,no
irs_group,no
irs_stage,no
ishak_fibrosis_score,no
iss_stage,no
last_known_disease_status,no
laterality,no
margin_distance,no
margins_involved_site,no
masaoka_stage,no
max_tumor_bulk_site,no
medulloblastoma_molecular_classification,no
melanoma_known_primary,no
metastasis_at_diagnosis,no
metastasis_at_diagnosis_site,no
method_of_diagnosis,no
micropapillary_features,no
mitosis_karyorrhexis_index,no
morphology,no
ovarian_specimen_status,no
ovarian_surface_involvement,no
papillary_renal_cell_type,no
pediatric_kidney_staging,no
peritoneal_fluid_cytological_status,no
primary_diagnosis,no
primary_disease,no
primary_gleason_grade,no
prior_malignancy,no
prior_treatment,no
satellite_nodule_present,no
secondary_gleason_grade,no
site_of_resection_or_biopsy,no
sites_of_involvement,no
sites_of_involvement_count,yes
supratentorial_localization,no
synchronous_malignancy,no
tissue_or_organ_of_origin,no
tumor_burden,no
tumor_confined_to_organ_of_origin,no
tumor_depth,no
tumor_focality,no
tumor_grade,no
tumor_grade_category,no
tumor_regression_grade,no
uicc_clinical_m,no
uicc_clinical_n,no
uicc_clinical_stage,no
uicc_clinical_t,no
uicc_pathologic_m,no
uicc_pathologic_n,no
uicc_pathologic_stage,no
uicc_pathologic_t,no
uicc_staging_system_edition,no
ulceration_indicator,no
weiss_assessment_findings,no
weiss_assessment_score,no
who_cns_grade,no
who_nte_grade,no
wilms_tumor_histologic_subtype,no
percent_follicular_component,yes
percent_rhabdoid_features,yes
percent_sarcomatoid_features,yes
percent_tumor_cells,yes
percent_normal_cells,yes
percent_necrosis,yes
percent_stromal_cells,yes
percent_inflam_infiltration,yes
percent_lymphocyte_infiltration,yes
percent_monocyte_infiltration,yes
percent_granulocyte_infiltration,yes
percent_neutrophil_infiltration,yes
percent_eosinophil_infiltration,yes
section_location,no
tissue_microarray_coordinates,no
pmid,no
doi,no
age_at_last_exposure,yes
age_at_onset,yes
alcohol_days_per_week,no
alcohol_drinks_per_day,no
alcohol_frequency,no
alcohol_history,no
alcohol_intensity,no
alcohol_type,no
asbestos_exposure,no
asbestos_exposure_type,no
chemical_exposure_type,no
cigarettes_per_day,yes
coal_dust_exposure,no
environmental_tobacco_smoke_exposure,no
exposure_duration,no
exposure_duration_hrs_per_day,no
exposure_duration_years,no
exposure_source,no
exposure_type,no
occupation_duration_years,no
occupation_type,no
pack_years_smoked,yes
parent_with_radiation_exposure,no
radon_exposure,no
respirable_crystalline_silica_exposure,no
secondhand_smoke_as_child,no
smoking_frequency,no
time_between_waking_and_first_smoke,no
tobacco_smoking_onset_year,no
tobacco_smoking_quit_year,no
tobacco_smoking_status,no
type_of_smoke_exposure,no
type_of_tobacco_used,no
use_per_day,no
years_smoked,no
age_at_index,yes
age_is_obfuscated,no
cause_of_death,no
cause_of_death_source,no
country_of_birth,yes
country_of_residence_at_enrollment,yes
days_to_birth,yes
education_level,no
marital_status,no
year_of_birth,yes
year_of_death,yes
