ontology_term,ontology_term_id,original_term_ontology,original_covered,num_original_covered,num_original
Gene,NCIT:C16612,NCIT,NCIT:C18139;NCIT:C18321;NCIT:C24377;NCIT:C24378;NCIT:C101646;NCIT:C102534;NCIT:C20820;NCIT:C77215;NCIT:C99712,9,1152
Biological Process,NCIT:C17828,NCIT,NCIT:C19151;NCIT:C18206;NCIT:C97304,3,1152
Conceptual Entity,NCIT:C20181,NCIT,NCIT:C103064;NCIT:C164010;NCIT:C16403;NCIT:C77613;NCIT:C172259;NCIT:C18202;NCIT:C45300;NCIT:C102403;NCIT:C102402;NCIT:C3352,10,1152
Property or Attribute,NCIT:C20189,NCIT,NCIT:C49142;NCIT:C25227;NCIT:C54722;NCIT:C39299;NCIT:C25251;NCIT:C156784;NCIT:C19594;NCIT:C25259;NCIT:C28354;NCIT:C25428;NCIT:C64486;NCIT:C48046;NCIT:C78867;NCIT:C129464;NCIT:C13363;NCIT:C13305;NCIT:C13307;NCIT:C13315;NCIT:C13332;NCIT:C13808;NCIT:C13810;NCIT:C14155;NCIT:C157418;NCIT:C25237;NCIT:C25266;NCIT:C25311;NCIT:C25321;NCIT:C25388;NCIT:C25557;NCIT:C25643;NCIT:C25732;NCIT:C28012;NCIT:C28358;NCIT:C129461;NCIT:C94424;NCIT:C41064;NCIT:C25721;NCIT:C90067;NCIT:C14171;NCIT:C14162;NCIT:C14167;NCIT:C14176;NCIT:C14158;NCIT:C129470;NCIT:C14144;NCIT:C14159;NCIT:C14163;NCIT:C14166;NCIT:C14168;NCIT:C14169;NCIT:C14175;NCIT:C25566;NCIT:C25731;NCIT:C28046;NCIT:C41603;NCIT:C14172;NCIT:C14146;NCIT:C14173;NCIT:C25254;NCIT:C141461;NCIT:C28065;NCIT:C25239;NCIT:C14174;NCIT:C28224;NCIT:C118941;NCIT:C156848;NCIT:C156849;NCIT:C177413,68,1152
EWSR1/FLI1 Fusion Protein,NCIT:C99205,NCIT,NCIT:C99205,1,1152
Retired Concept,NCIT:C28428,NCIT,NCIT:C12488;NCIT:C23439;NCIT:C23742;NCIT:C23796;NCIT:C27717;NCIT:C162638;NCIT:C18265;NCIT:C8998;NCIT:C27892;NCIT:C2915;NCIT:C3234;NCIT:C7167;NCIT:C7239;NCIT:C33177;NCIT:C35864;NCIT:C3690;NCIT:C9324;NCIT:C3753;NCIT:C4250;NCIT:C66953;NCIT:C5505;NCIT:C66903,22,1152
Molecular Abnormality,NCIT:C3910,NCIT,NCIT:C2950;NCIT:C80336;NCIT:C80337;NCIT:C114474;NCIT:C114475;NCIT:C167144;NCIT:C82366;NCIT:C165668;NCIT:C3420;NCIT:C97138;NCIT:C129355;NCIT:C48195;NCIT:C132063;NCIT:C37218;NCIT:C37219;NCIT:C37223;NCIT:C131797;NCIT:C129264;NCIT:C36318;NCIT:C36493,20,1152
Activity,NCIT:C43431,NCIT,NCIT:C15329;NCIT:C158758;NCIT:C116651;NCIT:C15310;NCIT:C15609;NCIT:C15217;NCIT:C15189;NCIT:C15269;NCIT:C89777,9,1152
Hematopoietic and Lymphatic System Disorder,NCIT:C35814,NCIT,NCIT:C27134;NCIT:C3161;NCIT:C3171;NCIT:C7175;NCIT:C82433;NCIT:C129782;NCIT:C174129;NCIT:C82403;NCIT:C82426;NCIT:C3182;NCIT:C82423;NCIT:C82431;NCIT:C9287;NCIT:C9288;NCIT:C7600;NCIT:C129786;NCIT:C9289;NCIT:C27753;NCIT:C7318;NCIT:C4861;NCIT:C8923;NCIT:C7152;NCIT:C7467;NCIT:C3170;NCIT:C3249;NCIT:C3250;NCIT:C7463;NCIT:C8460;NCIT:C148427;NCIT:C3167;NCIT:C3183;NCIT:C130043;NCIT:C8644;NCIT:C36312;NCIT:C7464;NCIT:C4673;NCIT:C82212;NCIT:C82213;NCIT:C9298;NCIT:C3174;NCIT:C9110;NCIT:C7539;NCIT:C3366;NCIT:C4753;NCIT:C3163;NCIT:C4664;NCIT:C7402;NCIT:C3180;NCIT:C7065;NCIT:C27907;NCIT:C27910;NCIT:C7056;NCIT:C8851;NCIT:C125904;NCIT:C80291;NCIT:C36080;NCIT:C36081;NCIT:C3461;NCIT:C4074;NCIT:C9280;NCIT:C6915;NCIT:C71720;NCIT:C9496;NCIT:C4341;NCIT:C3898;NCIT:C8863;NCIT:C80307;NCIT:C2912;NCIT:C3209;NCIT:C4337;NCIT:C27911;NCIT:C3242;NCIT:C7149;NCIT:C9349;NCIT:C3996;NCIT:C80310;NCIT:C3457;NCIT:C8936;NCIT:C80331;NCIT:C129787;NCIT:C80338;NCIT:C3208;NCIT:C3211;NCIT:C96058;NCIT:C3184;NCIT:C45339;NCIT:C7528;NCIT:C3246;NCIT:C3466;NCIT:C3467;NCIT:C9265;NCIT:C139005;NCIT:C3720;NCIT:C37194;NCIT:C37193;NCIT:C4340;NCIT:C171037;NCIT:C9360;NCIT:C27691;NCIT:C9357;NCIT:C7164;NCIT:C8694;NCIT:C82217;NCIT:C27909;NCIT:C7195;NCIT:C9290;NCIT:C3247;NCIT:C27722;NCIT:C82591;NCIT:C2872;NCIT:C8574;NCIT:C6867;NCIT:C7168;NCIT:C7506;NCIT:C27912;NCIT:C27262;NCIT:C3178;NCIT:C36061;NCIT:C36062;NCIT:C27780;NCIT:C3519;NCIT:C82616;NCIT:C4345;NCIT:C2862;NCIT:C41238;NCIT:C3336;NCIT:C3407;NCIT:C43223;NCIT:C84269;NCIT:C9235;NCIT:C3520;NCIT:C9294;NCIT:C3107;NCIT:C27349;NCIT:C36075;NCIT:C53972;NCIT:C7203;NCIT:C9281;NCIT:C81772;NCIT:C3056;NCIT:C4727;NCIT:C34792;NCIT:C97074;NCIT:C4904;NCIT:C175222;NCIT:C3248;NCIT:C27701,147,1152
Down Syndrome,NCIT:C2993,NCIT,NCIT:C2993,1,1152
Cancer-Related Condition,NCIT:C8278,NCIT,NCIT:C5226;NCIT:C122585;NCIT:C40080;NCIT:C40177;NCIT:C5316;NCIT:C95506;NCIT:C4520;NCIT:C3056;NCIT:C3694;NCIT:C2924;NCIT:C136486;NCIT:C27701;NCIT:C3190,13,1152
Neoplasm,NCIT:C3262,NCIT,NCIT:C3262;NCIT:C9305;NCIT:C42700;NCIT:C113238;NCIT:C113239;NCIT:C7558;NCIT:C7359;NCIT:C6287;NCIT:C180512;NCIT:C27838;NCIT:C8028;NCIT:C114656;NCIT:C126769;NCIT:C150094;NCIT:C171033;NCIT:C8719;NCIT:C61574;NCIT:C6339;NCIT:C6340;NCIT:C40174;NCIT:C40175;NCIT:C6336;NCIT:C8972;NCIT:C9039;NCIT:C40203;NCIT:C4029;NCIT:C6343;NCIT:C6344;NCIT:C4520;NCIT:C7982;NCIT:C4028;NCIT:C4519;NCIT:C6346;NCIT:C8975;NCIT:C9192;NCIT:C7550;NCIT:C105555;NCIT:C105556;NCIT:C4908;NCIT:C7700;NCIT:C7980;NCIT:C7979;NCIT:C27390;NCIT:C40439;NCIT:C156064;NCIT:C171032;NCIT:C40090;NCIT:C40077;NCIT:C40033;NCIT:C8106;NCIT:C3867;NCIT:C126456;NCIT:C3917;NCIT:C180915;NCIT:C7981;NCIT:C4866;NCIT:C4052;NCIT:C4072;NCIT:C27394;NCIT:C9474;NCIT:C4863;NCIT:C2919;NCIT:C5596;NCIT:C6813;NCIT:C158912;NCIT:C6766;NCIT:C5536;NCIT:C130234;NCIT:C171576;NCIT:C8946;NCIT:C153336;NCIT:C9061;NCIT:C7729;NCIT:C6980;NCIT:C7328;NCIT:C161644;NCIT:C9384;NCIT:C9385;NCIT:C4146;NCIT:C27888;NCIT:C27889;NCIT:C27893;NCIT:C6975;NCIT:C154494;NCIT:C164156;NCIT:C4033;NCIT:C39807;NCIT:C6194;NCIT:C7572;NCIT:C4912;NCIT:C4032;NCIT:C39843;NCIT:C39842;NCIT:C9461;NCIT:C39851;NCIT:C4031;NCIT:C4030;NCIT:C39853;NCIT:C6166;NCIT:C9106;NCIT:C6165;NCIT:C6167;NCIT:C9297;NCIT:C159665;NCIT:C34448;NCIT:C165723;NCIT:C3727;NCIT:C27421;NCIT:C9133;NCIT:C5474;NCIT:C5721;NCIT:C7356;NCIT:C6393;NCIT:C95406;NCIT:C6878;NCIT:C6879;NCIT:C9137;NCIT:C4504;NCIT:C3267;NCIT:C6959;NCIT:C8025;NCIT:C4013;NCIT:C4833;NCIT:C4040;NCIT:C4648;NCIT:C173720;NCIT:C54300;NCIT:C7721;NCIT:C35850;NCIT:C34447;NCIT:C102872;NCIT:C4043;NCIT:C8181;NCIT:C37290;NCIT:C4044;NCIT:C68611;NCIT:C7991;NCIT:C3871;NCIT:C4815;NCIT:C7153;NCIT:C4035;NCIT:C126594;NCIT:C187644;NCIT:C35558;NCIT:C35830;NCIT:C46093;NCIT:C7427;NCIT:C8054;NCIT:C4946;NCIT:C6040;NCIT:C126408;NCIT:C3878;NCIT:C3879;NCIT:C9272;NCIT:C8021;NCIT:C123384;NCIT:C3678;NCIT:C5904;NCIT:C160976;NCIT:C54294;NCIT:C160980;NCIT:C6041;NCIT:C133187;NCIT:C2916;NCIT:C2929;NCIT:C4819;NCIT:C3146;NCIT:C4460;NCIT:C4024;NCIT:C95610;NCIT:C27084;NCIT:C3493;NCIT:C6455;NCIT:C9161;NCIT:C9170;NCIT:C2852;NCIT:C40101;NCIT:C3778;NCIT:C8377;NCIT:C3512;NCIT:C5650;NCIT:C128847;NCIT:C123160;NCIT:C5649;NCIT:C5651;NCIT:C2923;NCIT:C7268;NCIT:C7269;NCIT:C136486;NCIT:C136709;NCIT:C45512;NCIT:C2853;NCIT:C7439;NCIT:C27534;NCIT:C6870;NCIT:C5472;NCIT:C2924;NCIT:C26712;NCIT:C7966;NCIT:C7973;NCIT:C37214;NCIT:C3776;NCIT:C43558;NCIT:C5248;NCIT:C9131;NCIT:C5214;NCIT:C53556;NCIT:C53554;NCIT:C53555;NCIT:C53557;NCIT:C53558;NCIT:C4017;NCIT:C4194;NCIT:C9119;NCIT:C3301;NCIT:C5160;NCIT:C7688;NCIT:C3771;NCIT:C7950;NCIT:C157056;NCIT:C165743;NCIT:C4001;NCIT:C9135;NCIT:C3769;NCIT:C9325;NCIT:C188181;NCIT:C188182;NCIT:C6938;NCIT:C27255;NCIT:C5560;NCIT:C3766;NCIT:C4436;NCIT:C35417;NCIT:C36077;NCIT:C7976;NCIT:C7975;NCIT:C3302;NCIT:C66745;NCIT:C3689;NCIT:C8294;NCIT:C9120;NCIT:C5720;NCIT:C5722;NCIT:C95427;NCIT:C5726;NCIT:C7977;NCIT:C95458;NCIT:C2971;NCIT:C9157;NCIT:C3099;NCIT:C4131;NCIT:C43625;NCIT:C5105;NCIT:C4349;NCIT:C5543;NCIT:C60641;NCIT:C7967;NCIT:C9383;NCIT:C9168;NCIT:C7718;NCIT:C43554;NCIT:C3774;NCIT:C5250;NCIT:C4004;NCIT:C95743;NCIT:C5473;NCIT:C9159;NCIT:C65192;NCIT:C3768;NCIT:C5609;NCIT:C4025;NCIT:C7027;NCIT:C7888;NCIT:C7889;NCIT:C95963;NCIT:C129449;NCIT:C3828;NCIT:C40310;NCIT:C9166;NCIT:C9296;NCIT:C4878;NCIT:C2926;NCIT:C4450;NCIT:C4451;NCIT:C7266;NCIT:C45540;NCIT:C45541;NCIT:C45542;NCIT:C45519;NCIT:C4917;NCIT:C45544;NCIT:C5666;NCIT:C9245;NCIT:C5164;NCIT:C40364;NCIT:C47847;NCIT:C47848;NCIT:C40374;NCIT:C4189;NCIT:C5130;NCIT:C65151;NCIT:C156096;NCIT:C2927;NCIT:C4122;NCIT:C4872;NCIT:C2955;NCIT:C4910;NCIT:C162256;NCIT:C173324;NCIT:C96156;NCIT:C3513;NCIT:C95619;NCIT:C7927;NCIT:C166418;NCIT:C3844;NCIT:C6763;NCIT:C96921;NCIT:C3850;NCIT:C3908;NCIT:C6764;NCIT:C9330;NCIT:C4911;NCIT:C5476;NCIT:C9291;NCIT:C7724;NCIT:C3773;NCIT:C9231;NCIT:C3915;NCIT:C6875;NCIT:C7569;NCIT:C171031;NCIT:C4914;NCIT:C27182;NCIT:C4114;NCIT:C156767;NCIT:C27004;NCIT:C3772;NCIT:C3692;NCIT:C3779;NCIT:C63622;NCIT:C3780;NCIT:C4107;NCIT:C2930;NCIT:C27949;NCIT:C2970;NCIT:C2948;NCIT:C4199;NCIT:C7596;NCIT:C4627;NCIT:C4822;NCIT:C102897;NCIT:C9477;NCIT:C129290;NCIT:C129291;NCIT:C3058;NCIT:C39750;NCIT:C3796;NCIT:C129296;NCIT:C167335;NCIT:C4326;NCIT:C129321;NCIT:C129327;NCIT:C4049;NCIT:C182151;NCIT:C129309;NCIT:C94764;NCIT:C142848;NCIT:C3568;NCIT:C129351;NCIT:C9344;NCIT:C3222;NCIT:C129445;NCIT:C129436;NCIT:C4956;NCIT:C92625;NCIT:C6990;NCIT:C186611;NCIT:C186534;NCIT:C4915;NCIT:C4327;NCIT:C5398;NCIT:C6906;NCIT:C4051;NCIT:C7009;NCIT:C7541;NCIT:C7019;NCIT:C71720;NCIT:C4717;NCIT:C3716;NCIT:C3270;NCIT:C3789;NCIT:C3790;NCIT:C42057;NCIT:C42058;NCIT:C9341;NCIT:C3798;NCIT:C3224;NCIT:C114828;NCIT:C5707;NCIT:C7712;NCIT:C154473;NCIT:C3510;NCIT:C37257;NCIT:C48614;NCIT:C9151;NCIT:C4022;NCIT:C43372;NCIT:C9152;NCIT:C165497;NCIT:C4225;NCIT:C8562;NCIT:C3802;NCIT:C45732;NCIT:C9309;NCIT:C3011;NCIT:C4290;NCIT:C3752;NCIT:C3359;NCIT:C121654;NCIT:C121655;NCIT:C6519;NCIT:C8971;NCIT:C9150;NCIT:C123735;NCIT:C123736;NCIT:C3749;NCIT:C4258;NCIT:C4259;NCIT:C3158;NCIT:C9389;NCIT:C9428;NCIT:C4016;NCIT:C2947;NCIT:C129927;NCIT:C9312;NCIT:C4020;NCIT:C4021;NCIT:C53953;NCIT:C8969;NCIT:C8970;NCIT:C3902;NCIT:C4023;NCIT:C53704;NCIT:C6476;NCIT:C7644;NCIT:C9118;NCIT:C9306;NCIT:C121793;NCIT:C4247;NCIT:C8380;NCIT:C121799;NCIT:C121797;NCIT:C3714;NCIT:C27472;NCIT:C6496;NCIT:C49025;NCIT:C8973;NCIT:C4263;NCIT:C3400;NCIT:C4279;NCIT:C6534;NCIT:C4670;NCIT:C5184;NCIT:C27502;NCIT:C3745;NCIT:C3750;NCIT:C53677;NCIT:C8300;NCIT:C8810;NCIT:C178459;NCIT:C3737;NCIT:C4817;NCIT:C3194;NCIT:C27781;NCIT:C3704;NCIT:C3705;NCIT:C2946;NCIT:C9145;NCIT:C3043;NCIT:C4244;NCIT:C45202;NCIT:C49027;NCIT:C27005;NCIT:C3088;NCIT:C27349;NCIT:C9281;NCIT:C4867;NCIT:C121792;NCIT:C6586;NCIT:C4221;NCIT:C9280;NCIT:C7997;NCIT:C171037;NCIT:C3547;NCIT:C45662;NCIT:C45663;NCIT:C45665;NCIT:C5669;NCIT:C4968;NCIT:C4904;NCIT:C175222;NCIT:C8524;NCIT:C27722;NCIT:C27912;NCIT:C3161;NCIT:C3171;NCIT:C7175;NCIT:C82433;NCIT:C129782;NCIT:C174129;NCIT:C82403;NCIT:C82426;NCIT:C3182;NCIT:C82423;NCIT:C82431;NCIT:C9287;NCIT:C9288;NCIT:C7600;NCIT:C129786;NCIT:C9289;NCIT:C27753;NCIT:C7318;NCIT:C4861;NCIT:C8923;NCIT:C7152;NCIT:C7467;NCIT:C3170;NCIT:C3249;NCIT:C3250;NCIT:C7463;NCIT:C8460;NCIT:C148427;NCIT:C3167;NCIT:C3183;NCIT:C130043;NCIT:C8644;NCIT:C36312;NCIT:C7464;NCIT:C4673;NCIT:C82212;NCIT:C82213;NCIT:C9298;NCIT:C3174;NCIT:C9110;NCIT:C7539;NCIT:C3366;NCIT:C4753;NCIT:C3163;NCIT:C4664;NCIT:C7402;NCIT:C3180;NCIT:C3457;NCIT:C7056;NCIT:C8851;NCIT:C125904;NCIT:C80291;NCIT:C36080;NCIT:C36081;NCIT:C3461;NCIT:C4074;NCIT:C6915;NCIT:C9496;NCIT:C4341;NCIT:C3898;NCIT:C8863;NCIT:C80307;NCIT:C2912;NCIT:C3209;NCIT:C4337;NCIT:C8936;NCIT:C80331;NCIT:C129787;NCIT:C80338;NCIT:C27911;NCIT:C3242;NCIT:C7149;NCIT:C9349;NCIT:C3208;NCIT:C3211;NCIT:C96058;NCIT:C3184;NCIT:C45339;NCIT:C7528;NCIT:C3246;NCIT:C3466;NCIT:C3467;NCIT:C9265;NCIT:C139005;NCIT:C3720;NCIT:C37194;NCIT:C37193;NCIT:C4340;NCIT:C9360;NCIT:C27691;NCIT:C9357;NCIT:C7164;NCIT:C3247;NCIT:C82591;NCIT:C2872;NCIT:C8574;NCIT:C6867;NCIT:C7168;NCIT:C7506;NCIT:C27262;NCIT:C3178;NCIT:C36061;NCIT:C36062;NCIT:C27780;NCIT:C3519;NCIT:C82616;NCIT:C4345;NCIT:C2862;NCIT:C41238;NCIT:C3336;NCIT:C3407;NCIT:C8694;NCIT:C82217;NCIT:C94796;NCIT:C4572;NCIT:C3728;NCIT:C96830;NCIT:C37212;NCIT:C4265;NCIT:C2920;NCIT:C3538;NCIT:C3800;NCIT:C43223;NCIT:C8420;NCIT:C7985;NCIT:C45655;NCIT:C4282;NCIT:C3520;NCIT:C36051;NCIT:C5196;NCIT:C5316;NCIT:C2977;NCIT:C4050;NCIT:C121932;NCIT:C2945;NCIT:C3055;NCIT:C121955;NCIT:C5712;NCIT:C41247;NCIT:C2964;NCIT:C4726;NCIT:C9011;NCIT:C7440;NCIT:C3842;NCIT:C3698;NCIT:C7130;NCIT:C6042;NCIT:C5226;NCIT:C122585;NCIT:C40080;NCIT:C40177;NCIT:C95506;NCIT:C3264;NCIT:C27291;NCIT:C3808;NCIT:C4036;NCIT:C130037;NCIT:C27726;NCIT:C27099;NCIT:C27272;NCIT:C35382;NCIT:C8502;NCIT:C8648;NCIT:C4158;NCIT:C45508;NCIT:C65154;NCIT:C66718;NCIT:C7380;NCIT:C180887;NCIT:C142823;NCIT:C186351;NCIT:C5795;NCIT:C39947;NCIT:C9294;NCIT:C3107;NCIT:C36075;NCIT:C53972;NCIT:C7203;NCIT:C81772;NCIT:C84269;NCIT:C9235;NCIT:C3677;NCIT:C7052;NCIT:C4257;NCIT:C159209;NCIT:C3085;NCIT:C6577;NCIT:C6801;NCIT:C183045;NCIT:C9003;NCIT:C4526;NCIT:C9015;NCIT:C3049;NCIT:C42064;NCIT:C3269;NCIT:C4724;NCIT:C6969;NCIT:C3272;NCIT:C3797;NCIT:C3758;NCIT:C3803;NCIT:C3801;NCIT:C8509;NCIT:C116915;NCIT:C27263;NCIT:C36012;NCIT:C3435;NCIT:C40180;NCIT:C188221;NCIT:C40195;NCIT:C4381;NCIT:C40076;NCIT:C2880;NCIT:C39979;NCIT:C6261;NCIT:C3873;NCIT:C6900;NCIT:C5545;NCIT:C8591;NCIT:C9313;NCIT:C3794;NCIT:C3070;NCIT:C3888;NCIT:C4944;NCIT:C3329;NCIT:C94524;NCIT:C9293;NCIT:C3059;NCIT:C60781;NCIT:C116342;NCIT:C7173;NCIT:C129271;NCIT:C4047;NCIT:C40315;NCIT:C4323;NCIT:C132067;NCIT:C3288;NCIT:C129318;NCIT:C3017;NCIT:C186343;NCIT:C186450;NCIT:C186451;NCIT:C3795;NCIT:C3697;NCIT:C92552;NCIT:C129325;NCIT:C6770;NCIT:C8567;NCIT:C4537;NCIT:C4324;NCIT:C180378;NCIT:C67559;NCIT:C92555;NCIT:C9505;NCIT:C4747;NCIT:C129424;NCIT:C3788;NCIT:C3791;NCIT:C129526;NCIT:C4660;NCIT:C3230;NCIT:C4723;NCIT:C4659;NCIT:C2907;NCIT:C3328;NCIT:C6967;NCIT:C3473;NCIT:C53686;NCIT:C3787;NCIT:C4972;NCIT:C3474;NCIT:C6970;NCIT:C3308;NCIT:C3326;NCIT:C48576;NCIT:C7059;NCIT:C7634;NCIT:C6481;NCIT:C39740;NCIT:C4683;NCIT:C9182;NCIT:C4634;NCIT:C3042;NCIT:C6505;NCIT:C3868;NCIT:C6493;NCIT:C3377;NCIT:C121668;NCIT:C6582;NCIT:C38150;NCIT:C178426;NCIT:C8964;NCIT:C3200;NCIT:C4038;NCIT:C45551;NCIT:C3412;NCIT:C6450;NCIT:C3411;NCIT:C6887;NCIT:C6888;NCIT:C6454;NCIT:C6885;NCIT:C9351;NCIT:C27134;NCIT:C7065;NCIT:C27907;NCIT:C27910;NCIT:C3996;NCIT:C80310;NCIT:C27909;NCIT:C7195;NCIT:C9290;NCIT:C3809;NCIT:C96159;NCIT:C135213;NCIT:C5803;NCIT:C95404;NCIT:C27720;NCIT:C95598;NCIT:C3379;NCIT:C95616;NCIT:C95871;NCIT:C96422;NCIT:C96918;NCIT:C188218;NCIT:C99055;NCIT:C38342;NCIT:C7103;NCIT:C2910;NCIT:C3694;NCIT:C2859;NCIT:C7633;NCIT:C7113;NCIT:C7072;NCIT:C39954;NCIT:C3708;NCIT:C121619;NCIT:C3403;NCIT:C4286;NCIT:C4289;NCIT:C3918,845,1152
Finding,NCIT:C3367,NCIT,NCIT:C105907;NCIT:C142124;NCIT:C115160;NCIT:C187663;NCIT:C136567;NCIT:C173277;NCIT:C131459;NCIT:C128843;NCIT:C15492;NCIT:C68748;NCIT:C160372;NCIT:C128833;NCIT:C128839;NCIT:C129863;NCIT:C36181;NCIT:C182618;NCIT:C35920;NCIT:C36113;NCIT:C36133;NCIT:C159465;NCIT:C3106;NCIT:C3236;NCIT:C36250;NCIT:C161018;NCIT:C15493;NCIT:C68749;NCIT:C71428;NCIT:C131488;NCIT:C38155;NCIT:C123399;NCIT:C55073;NCIT:C159279;NCIT:C39695;NCIT:C3117;NCIT:C3331;NCIT:C40557,36,1152
Non-Neoplastic Disorder,NCIT:C53529,NCIT,NCIT:C175215;NCIT:C2897;NCIT:C2985;NCIT:C34792;NCIT:C97074,5,1152
Reproductive System Disorder,NCIT:C4875,NCIT,NCIT:C3435;NCIT:C42700;NCIT:C113238;NCIT:C113239;NCIT:C7558;NCIT:C7359;NCIT:C6287;NCIT:C180512;NCIT:C27838;NCIT:C8028;NCIT:C114656;NCIT:C126769;NCIT:C150094;NCIT:C171033;NCIT:C8719;NCIT:C61574;NCIT:C6339;NCIT:C6340;NCIT:C40174;NCIT:C40175;NCIT:C6336;NCIT:C8972;NCIT:C9039;NCIT:C40203;NCIT:C4029;NCIT:C6343;NCIT:C6344;NCIT:C4520;NCIT:C7982;NCIT:C4028;NCIT:C4519;NCIT:C6346;NCIT:C40177;NCIT:C40180;NCIT:C188221;NCIT:C40195;NCIT:C8975;NCIT:C9192;NCIT:C9474;NCIT:C7550;NCIT:C105555;NCIT:C105556;NCIT:C4908;NCIT:C7700;NCIT:C7980;NCIT:C7979;NCIT:C27390;NCIT:C40439;NCIT:C156064;NCIT:C171032;NCIT:C40090;NCIT:C40077;NCIT:C40033;NCIT:C8106;NCIT:C3867;NCIT:C126456;NCIT:C3917;NCIT:C180915;NCIT:C7981;NCIT:C4866;NCIT:C4052;NCIT:C4072;NCIT:C27394;NCIT:C4381;NCIT:C5226;NCIT:C122585;NCIT:C40080;NCIT:C40076;NCIT:C2880;NCIT:C39979;NCIT:C6261;NCIT:C3873;NCIT:C6900;NCIT:C180633;NCIT:C4863;NCIT:C2919;NCIT:C5596;NCIT:C6813;NCIT:C158912;NCIT:C6766;NCIT:C5536;NCIT:C130234;NCIT:C171576;NCIT:C8946;NCIT:C153336;NCIT:C9061;NCIT:C7729;NCIT:C6980;NCIT:C7328;NCIT:C161644;NCIT:C5545;NCIT:C39947;NCIT:C8591;NCIT:C9313;NCIT:C3794;NCIT:C3070,96,1152
