"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db","...5","...6","...7"
"HIGH-GRADE B-CELL LYMPHOMA, WITH MYC AND BCL2 AND/OR BCL6 REARRANGEMENTS","High Grade B-Cell Lymphoma with MYC and BCL2 or BCL6 Rearrangements","NCIT:C125904","NCIT",NA,NA,NA
"CRIBIFORM MORULAR","Thyroid Gland Cribriform Morular Carcinoma","NCIT:C126408","NCIT",NA,NA,NA
"HIGH-GRADE SEROUS FALLOPIAN TUBE CANCER","Fallopian Tube High Grade Serous Adenocarcinoma","NCIT:C126456","NCIT",NA,NA,NA
"THYROID PAPILLARY CARCINOMA - FOLLICULAR >= 99% FOLLICULAR PATTERNED","Follicular Variant Thyroid Gland Papillary Carcinoma","NCIT:C126594","NCIT",NA,NA,NA
"PAPILLARY CARCINOMA: MIXED PAPILLARY AND FOLLICULAR VARIANT","Follicular Variant Thyroid Gland Papillary Carcinoma","NCIT:C126594","NCIT",NA,NA,NA
"UTERINE DEDIFFERENTIATED CARCINOMA","Endometrial Dedifferentiated Carcinoma","NCIT:C126769","NCIT",NA,NA,NA
"LUNG MICROPAPILLARY ADENOCARCINOMA","Lung Micropapillary Adenocarcinoma","NCIT:C128847","NCIT",NA,NA,NA
"MICROPAPILLARY ADENOCARCINOMA 82653","Lung Micropapillary Adenocarcinoma","NCIT:C128847","NCIT",NA,NA,NA
"DIFFUSE ASTROCYTOMA, IDH-MUTANT","Astrocytoma, IDH-Mutant, Grade 2","NCIT:C129271","NCIT",NA,NA,NA
"ANAPLASTIC ASTROCYTOMA, IDH-MUTANT","Astrocytoma, IDH-Mutant, Grade 3","NCIT:C129290","NCIT",NA,NA,NA
"ANAPLASTIC ASTROCYTOMA, IDH-WILDTYPE","Anaplastic Astrocytoma, IDH-Wildtype","NCIT:C129291","NCIT",NA,NA,NA
"DIFFUSE MIDLINE GLIOMA, H3K27M MUTANT","Diffuse Midline Glioma, H3 K27M-Mutant","NCIT:C129309","NCIT",NA,NA,NA
"OLIGODENDROGLIOMA, IDH-MUTANT AND 1P/19Q-CODELETED","Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted","NCIT:C129318","NCIT",NA,NA,NA
"ANAPLASTIC OLIGODENDROGLIOMA, IDH-MUTANT AND 1P/19Q-CODELETED","Anaplastic Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted","NCIT:C129321","NCIT",NA,NA,NA
"ANAPLASTIC OLIGODENDROGLIOMA, IDH-MUTANT AND 1P/19Q CO-DELETED","Anaplastic Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted","NCIT:C129321","NCIT",NA,NA,NA
"DIFFUSE GLIOMA","Diffuse Glioma","NCIT:C129325","NCIT",NA,NA,NA
"ANAPLASTIC PLEOMORPHIC XANTHOASTROCYTOMA","Anaplastic Pleomorphic Xanthoastrocytoma","NCIT:C129327","NCIT",NA,NA,NA
"ST-RELPOS","Supratentorial Ependymoma, ZFTA-RELA Fusion-Positive","NCIT:C129351","NCIT",NA,NA,NA
"RELA-FUSION","Supratentorial Ependymoma, ZFTA-RELA Fusion-Positive","NCIT:C129351","NCIT",NA,NA,NA
"DIFFUSE LEPTOMENINGEAL  GLIONEURONAL TUMOR","Diffuse Leptomeningeal Glioneuronal Tumor","NCIT:C129424","NCIT",NA,NA,NA
"LARGE CELL/ANAPLASTIC MEDULLOBLASTOMA","Large Cell/Anaplastic Medulloblastoma","NCIT:C129436","NCIT",NA,NA,NA
"MED_GROUP_3","Medulloblastoma, Non-WNT/Non-SHH, Group 3","NCIT:C129445","NCIT",NA,NA,NA
"SMALL_CELL_ADENOCARCINOMA","Small Cell Adenocarcinoma","NCIT:C129449","NCIT",NA,NA,NA
"NEUROENDOCRINE","Neuroendocrine Neoplasm","NCIT:C3809","NCIT",NA,NA,NA
"SOLITARY FIBROUS TUMOR OF THE CENTRAL NERVOUS SYSTEM","Central Nervous System Solitary Fibrous Tumor","NCIT:C129526","NCIT",NA,NA,NA
"AML WITH BIALLELIC MUTATIONS OF CEBPA","Acute Myeloid Leukemia with Biallelic Mutations of CEBPA","NCIT:C129782","NCIT",NA,NA,NA
"AML WITH MUTATED RUNX1","Acute Myeloid Leukemia with Mutated RUNX1","NCIT:C129786","NCIT",NA,NA,NA
"BCR-ABL1","B Lymphoblastic Leukemia/Lymphoma, BCR-ABL1-Like","NCIT:C129787","NCIT",NA,NA,NA
"B-LYMPHOBLASTIC LEUKEMIA/LYMPHOMA, BCR-ABL1 LIKE","B Lymphoblastic Leukemia/Lymphoma, BCR-ABL1-Like","NCIT:C129787","NCIT",NA,NA,NA
"CHORDOMA, SACRAL","Sacral Chordoma","NCIT:C129927","NCIT",NA,NA,NA
"CHORDOMA_SACRAL","Sacral Chordoma","NCIT:C129927","NCIT",NA,NA,NA
"MDS WITH RING SIDEROBLASTS AND SINGLE LINEAGE DYSPLASIA","Myelodysplastic Syndrome with Ring Sideroblasts and Single Lineage Dysplasia","NCIT:C130037","NCIT",NA,NA,NA
"EARLY T-CELL PRECURSOR LYMPHOBLASTIC LEUKEMIA","Early T Acute Lymphoblastic Leukemia","NCIT:C130043","NCIT",NA,NA,NA
"ETP-ALL","Early T Acute Lymphoblastic Leukemia","NCIT:C130043","NCIT",NA,NA,NA
"CASTRATION-RESISTANT PROSTATE CANCER","Castration-Resistant Prostate Carcinoma","NCIT:C130234","NCIT",NA,NA,NA
"LGG","Low Grade Glioma","NCIT:C132067","NCIT",NA,NA,NA
"LOW-GRADE GLIOMA, NOS","Low Grade Glioma","NCIT:C132067","NCIT",NA,NA,NA
"LOW-GRADE GLIOMA NOS","Low Grade Glioma","NCIT:C132067","NCIT",NA,NA,NA
"HEAD AND NECK MUCOSAL MELANOMA","Mucosal Melanoma of the Head and Neck","NCIT:C133187","NCIT",NA,NA,NA
"LUNG ADENOCARCINOMA IN SITU","Lung Adenocarcinoma In Situ","NCIT:C136486","NCIT",NA,NA,NA
"BRONCHIOALVEOLAR_CARCINOMA","Lung Adenocarcinoma In Situ","NCIT:C136486","NCIT",NA,NA,NA
"INVASIVE MUCINOUS ADENOCARCINOMA 82533","Invasive Lung Mucinous Adenocarcinoma","NCIT:C136709","NCIT",NA,NA,NA
"INVASIVE MUCINOUS ADCA","Invasive Lung Mucinous Adenocarcinoma","NCIT:C136709","NCIT",NA,NA,NA
"INVASIVE-MUCINOUS","Invasive Lung Mucinous Adenocarcinoma","NCIT:C136709","NCIT",NA,NA,NA
"CONGENITAL FIBROSARCOMA","Congenital Peribronchial Myofibroblastic Tumor","NCIT:C142823","NCIT",NA,NA,NA
"RECURRENCE FIRST HGG RECORD","Recurrent Malignant Glioma","NCIT:C142848","NCIT",NA,NA,NA
"RELAPSED_AML","Recurrent Acute Myeloid Leukemia","NCIT:C148427","NCIT",NA,NA,NA
"ACUTE MYELOBLASTIC LEUKEMIA, IN RELAPSE","Recurrent Acute Myeloid Leukemia","NCIT:C148427","NCIT",NA,NA,NA
"RECURRENT_ENDOMETRIAL_CARCINOMA","Recurrent Endometrial Carcinoma","NCIT:C150094","NCIT",NA,NA,NA
"METASTATIC HORMONE-SENSITIVE","Castration-Sensitive Prostate Carcinoma","NCIT:C153336","NCIT",NA,NA,NA
"MELANOMA OF UNKNOWN PRIMARY","Melanoma of Unknown Primary","NCIT:C154473","NCIT",NA,NA,NA
"MIT FAMILY TRANSLOCATION RENAL CELL CARCINOMA","MiT Family Translocation-Associated Renal Cell Carcinoma","NCIT:C154494","NCIT",NA,NA,NA
"TRANSLOCATION-ASSOCIATED RENAL CELL CARCINOMA","MiT Family Translocation-Associated Renal Cell Carcinoma","NCIT:C154494","NCIT",NA,NA,NA
"METASTATIC_OVARIAN_CANCER","Metastatic Ovarian Carcinoma","NCIT:C156064","NCIT",NA,NA,NA
"MCRC METASTASIS","Metastatic Colorectal Carcinoma","NCIT:C156096","NCIT",NA,NA,NA
"BASAL CELL CARCINOMA","Basal Cell Carcinoma","NCIT:C156767","NCIT",NA,NA,NA
"PROSTATE NEUROENDOCRINE CARCINOMA","Prostate Neuroendocrine Carcinoma","NCIT:C158912","NCIT",NA,NA,NA
"MUCOSAL MELANOMA OF THE URETHRA","Urethral Melanoma","NCIT:C159665","NCIT",NA,NA,NA
"SINONASAL ADENOCARCINOMA","Sinonasal Adenocarcinoma","NCIT:C160976","NCIT",NA,NA,NA
"HEAD AND NECK NEUROENDOCRINE CARCINOMA","Head and Neck Neuroendocrine Carcinoma","NCIT:C160980","NCIT",NA,NA,NA
"SEMINAL VESICLE CARCINOMA","Malignant Seminal Vesicle Neoplasm","NCIT:C161644","NCIT",NA,NA,NA
"HYPERMUTATED","Hypermutated Colorectal Carcinoma","NCIT:C162256","NCIT",NA,NA,NA
"FH-DEFICIENT RENAL CELL CARCINOMA","Fumarate Hydratase-Deficient Renal Cell Carcinoma","NCIT:C164156","NCIT",NA,NA,NA
"SPITZOID MELANOMA","Spitz Melanoma","NCIT:C165497","NCIT",NA,NA,NA
"MIXED CARCINOMA","Mixed Carcinoma","NCIT:C165723","NCIT",NA,NA,NA
"MIXED_CARCINOMA","Mixed Carcinoma","NCIT:C165723","NCIT",NA,NA,NA
"MIXED CANCER TYPES","Mixed Carcinoma","NCIT:C165723","NCIT",NA,NA,NA
"PANCREATOBILIARY","Pancreatobiliary Carcinoma","NCIT:C166418","NCIT",NA,NA,NA
"GLIOBLASTOMA, IDH-MUTANT","Astrocytoma, IDH-Mutant, Grade 4","NCIT:C167335","NCIT",NA,NA,NA
"TC:NEC","Thymic Neuroendocrine Carcinoma","NCIT:C171031","NCIT",NA,NA,NA
"UTERINE NEUROENDOCRINE CARCINOMA","Endometrial Neuroendocrine Carcinoma","NCIT:C171033","NCIT",NA,NA,NA
"METASTATIC, VARIANT HISTOLOGY","Aggressive Variant Prostate Carcinoma","NCIT:C171576","NCIT",NA,NA,NA
"COLORECTAL MSS","Microsatellite Stable Colorectal Carcinoma","NCIT:C173324","NCIT",NA,NA,NA
"CRC MSS","Microsatellite Stable Colorectal Carcinoma","NCIT:C173324","NCIT",NA,NA,NA
"COLORECTAL HYPERMUTATED","Microsatellite Stable Colorectal Carcinoma","NCIT:C173324","NCIT",NA,NA,NA
"CRC HM","Microsatellite Stable Colorectal Carcinoma","NCIT:C173324","NCIT",NA,NA,NA
"ODONTOGENIC CARCINOMA","Odontogenic Carcinoma","NCIT:C173720","NCIT",NA,NA,NA
"MLL-ALL","Acute Myeloid Leukemia with MLL Rearrangement","NCIT:C174129","NCIT",NA,NA,NA
"REGIONAL LYMPH NODE METASTASIS","Metastatic Malignant Neoplasm in the Regional Lymph Nodes","NCIT:C175222","NCIT",NA,NA,NA
"REGIONAL NODES","Metastatic Malignant Neoplasm in the Regional Lymph Nodes","NCIT:C175222","NCIT",NA,NA,NA
"LIPOFIBROMATOSIS-LIKE NEURAL TUMOR","NTRK-Rearranged Spindle Cell Neoplasm","NCIT:C178426","NCIT",NA,NA,NA
"EWING-LIKE SARCOMA","Round Cell Sarcoma with EWSR1-non-ETS Fusion","NCIT:C178459","NCIT",NA,NA,NA
"LOW-GRADE NEUROEPITHELIAL TUMOR","Polymorphous Low Grade Neuroepithelial Tumor of the Young","NCIT:C180378","NCIT",NA,NA,NA
"POLE ULTRA-MUTATED","POLE-Ultramutated Endometrial Endometrioid Adenocarcinoma","NCIT:C180512","NCIT",NA,NA,NA
"INFANTILE MYOFIBROMA","Infantile Myofibroma","NCIT:C180887","NCIT",NA,NA,NA
"SQUAMOUS CELL CARCINOMA OF THE VULVA/VAGINA","Vaginal Squamous Cell Carcinoma","NCIT:C180915","NCIT",NA,NA,NA
"DIFFUSE MIDLINE GLIOMA","Diffuse Midline Glioma","NCIT:C182151","NCIT",NA,NA,NA
"CILIATED MUCONODULAR PAPILLARY TUMOR OF THE LUNG","Bronchiolar Adenoma/Ciliated Muconodular Papillary Tumor","NCIT:C183045","NCIT",NA,NA,NA
"ST-YAP","Supratentorial Ependymoma YAP1 Fusion-Positive","NCIT:C186351","NCIT",NA,NA,NA
"PFA","Posterior Fossa Ependymoma, Group A (PFA)","NCIT:C186450","NCIT",NA,NA,NA
"PFB","Posterior Fossa Ependymoma, Group B (PFB)","NCIT:C186451","NCIT",NA,NA,NA
"ETMR","Embryonal Tumor with Multilayered Rosettes","NCIT:C186534","NCIT",NA,NA,NA
"THYROID PAPILLARY CARCINOMA - CLASSICAL/USUAL","Classic Thyroid Gland Papillary Carcinoma","NCIT:C187644","NCIT",NA,NA,NA
"ADRENOCORTICAL CARCINOMA- ONCOCYTIC TYPE","Adrenal Cortical Oncocytic Carcinoma","NCIT:C188181","NCIT",NA,NA,NA
"ADRENOCORTICAL CARCINOMA- MYXOID TYPE","Adrenal Cortical Myxoid Carcinoma","NCIT:C188182","NCIT",NA,NA,NA
"NEUROENDOCRINE TUMOR","Neuroendocrine Tumor","NCIT:C188218","NCIT",NA,NA,NA
"NEUROENDOCRINE TUMOR, NOS","Neuroendocrine Tumor","NCIT:C188218","NCIT",NA,NA,NA
"CERVICAL NEUROENDOCRINE TUMOR","Cervical Neuroendocrine Tumor","NCIT:C188221","NCIT",NA,NA,NA
"MUCINOUS CARCINOMA","Mucinous Adenocarcinoma","NCIT:C26712","NCIT",NA,NA,NA
"MUCINOUS_CARCINOMA","Mucinous Adenocarcinoma","NCIT:C26712","NCIT",NA,NA,NA
"ADENOCARCINOMA WITH FOCAL MUCINOUS FEATURES","Mucinous Adenocarcinoma","NCIT:C26712","NCIT",NA,NA,NA
"ADENOCARCINOMA, MUCINOUS","Mucinous Adenocarcinoma","NCIT:C26712","NCIT",NA,NA,NA
"SARCOMATOID","Sarcomatoid Carcinoma","NCIT:C27004","NCIT",NA,NA,NA
"RENAL SPINDLE CELL CARCINOMA","Sarcomatoid Carcinoma","NCIT:C27004","NCIT",NA,NA,NA
"SPINDLE CELL SARCOMA","Spindle Cell Sarcoma","NCIT:C27005","NCIT",NA,NA,NA
"DIFFUSE_HISTIOCYTIC_LYMPHOMA","Malignant Lymphoma, Histiocytic, Diffuse","NCIT:C27099","NCIT",NA,NA,NA
"HAEMATOPOIETIC NEOPLASM","Hematopoietic and Lymphoid Cell Neoplasm","NCIT:C27134","NCIT",NA,NA,NA
"MORPHEAN","Skin Sclerosing/Morphoeic Basal Cell Carcinoma","NCIT:C27182","NCIT",NA,NA,NA
"SWEAT GLAND ADENOCARCINOMA","Eccrine Carcinoma","NCIT:C27255","NCIT",NA,NA,NA
"MDSMPN","Myelodysplastic/Myeloproliferative Neoplasm","NCIT:C27262","NCIT",NA,NA,NA
"MYELODYSPLASTIC/MYELOPROLIFERATIVE NEOPLASMS","Myelodysplastic/Myeloproliferative Neoplasm","NCIT:C27262","NCIT",NA,NA,NA
"SPINDLE CELL","Spindle Cell Neoplasm","NCIT:C27263","NCIT",NA,NA,NA
"EWINGS SARCOMA-PERIPHERAL PRIMITIVE NEUROECTODERMAL TUMOUR","Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor","NCIT:C27291","NCIT",NA,NA,NA
"EWING FAMILY TUMOR","Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor","NCIT:C27291","NCIT",NA,NA,NA
"HISTIOCYTIC SARCOMA","Histiocytic Sarcoma","NCIT:C27349","NCIT",NA,NA,NA
"SMALL CELL CARCINOMA OF THE OVARY","Ovarian Small Cell Carcinoma","NCIT:C27390","NCIT",NA,NA,NA
"MUCOSAL MELANOMA OF THE VULVA/VAGINA","Vaginal Melanoma","NCIT:C27394","NCIT",NA,NA,NA
"ESOPHAGEAL ADENOSQUAMOUS CARCINOMA","Esophageal Adenosquamous Carcinoma","NCIT:C27421","NCIT",NA,NA,NA
"PROXIMAL-TYPE EPITHELIOID SARCOMA","Proximal-Type Epithelioid Sarcoma","NCIT:C27472","NCIT",NA,NA,NA
"PROXIMAL-TYPE EPITHELIOID SARCOMA PTES","Proximal-Type Epithelioid Sarcoma","NCIT:C27472","NCIT",NA,NA,NA
"MYXOID CHONDROSARCOMA","Extraskeletal Myxoid Chondrosarcoma","NCIT:C27502","NCIT",NA,NA,NA
"EXTRASKELETAL MYXOID CHONDROSARCOMA","Extraskeletal Myxoid Chondrosarcoma","NCIT:C27502","NCIT",NA,NA,NA
"AGGRESSIVE DIGITAL PAPILLARY ADENOCARCINOMA","Digital Papillary Adenocarcinoma","NCIT:C27534","NCIT",NA,NA,NA
"EBV-ASSOCIATED","EBV-Related Lymphoma","NCIT:C27691","NCIT",NA,NA,NA
"PANCREATIC NEUROENDOCRINE TUMOR","Pancreatic Neuroendocrine Tumor","NCIT:C27720","NCIT",NA,NA,NA
"ISLET CELL TUMOR","Pancreatic Neuroendocrine Tumor","NCIT:C27720","NCIT",NA,NA,NA
"PANCREATIC NEUROENDOCRINE","Pancreatic Neuroendocrine Tumor","NCIT:C27720","NCIT",NA,NA,NA
"PANET","Pancreatic Neuroendocrine Tumor","NCIT:C27720","NCIT",NA,NA,NA
"THERAPY-RELATED MYELODYSPLASTIC SYNDROME","Therapy-Related Myelodysplastic Syndrome","NCIT:C27722","NCIT",NA,NA,NA
"RCMD-RS","Myelodysplastic Syndrome with Ring Sideroblasts and Multilineage Dysplasia","NCIT:C27726","NCIT",NA,NA,NA
"MDS WITH RING SIDEROBLASTS AND MULTILINEAGE DYSPLASIA","Myelodysplastic Syndrome with Ring Sideroblasts and Multilineage Dysplasia","NCIT:C27726","NCIT",NA,NA,NA
"AML, NOS","Acute Myeloid Leukemia Not Otherwise Specified","NCIT:C27753","NCIT",NA,NA,NA
"MYELODYSPLASTIC/MYELOPROLIFERATIVE NEOPLASM, UNCLASSIFIABLE","Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable","NCIT:C27780","NCIT",NA,NA,NA
"MDS/MPN, UNCLASSIFIABLE","Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable","NCIT:C27780","NCIT",NA,NA,NA
"MYXOID LIPOSARCOMA","Myxoid Liposarcoma","NCIT:C27781","NCIT",NA,NA,NA
"SEROUS ENDOMETRIAL ADENOCARCINOMA","Endometrial Serous Adenocarcinoma","NCIT:C27838","NCIT",NA,NA,NA
"UTERINE SEROUS CARCINOMA","Endometrial Serous Adenocarcinoma","NCIT:C27838","NCIT",NA,NA,NA
"UTERINE SEROUS CARCINOMA/UTERINE PAPILLARY SEROUS CARCINOMA","Endometrial Serous Adenocarcinoma","NCIT:C27838","NCIT",NA,NA,NA
"MIXED SEROUS AND ENDOMETRIOID","Endometrial Serous Adenocarcinoma","NCIT:C27838","NCIT",NA,NA,NA
"COPY-NUMBER HIGH SEROUS-LIKE","Endometrial Serous Adenocarcinoma","NCIT:C27838","NCIT",NA,NA,NA
"UTERINE SEROUS","Endometrial Serous Adenocarcinoma","NCIT:C27838","NCIT",NA,NA,NA
"UCEC SEROUS","Endometrial Serous Adenocarcinoma","NCIT:C27838","NCIT",NA,NA,NA
"CHROMOPHOBE, CLASSIC","Classic Variant of Chromophobe Renal Cell Carcinoma","NCIT:C27888","NCIT",NA,NA,NA
"CHROMOPHOBE, EOSINOPHILIC","Eosinophilic Variant of Chromophobe Renal Cell Carcinoma","NCIT:C27889","NCIT",NA,NA,NA
"REL ONCOCYTIC NEOPLASM, FAVOR CHROMOPHOBE, EOSINOPHILIC","Eosinophilic Variant of Chromophobe Renal Cell Carcinoma","NCIT:C27889","NCIT",NA,NA,NA
"UNCLASSIFIED RENAL CELL CARCINOMA","Unclassified Renal Cell Carcinoma","NCIT:C27892","NCIT",NA,NA,NA
"SARCOMATOID RENAL CELL CARCINOMA","Sarcomatoid Renal Cell Carcinoma","NCIT:C27893","NCIT",NA,NA,NA
"B-CELL_LYMPHOMA_OTHER","B-Cell Neoplasm","NCIT:C27907","NCIT",NA,NA,NA
"MATURE T AND NK NEOPLASMS","Mature T-Cell and NK-Cell Neoplasm","NCIT:C27909","NCIT",NA,NA,NA
"MATURE B-CELL NEOPLASMS","Mature B-Cell Neoplasm","NCIT:C27910","NCIT",NA,NA,NA
"CHRONIC LYMPHOCYTIC LEUKEMIA/SMALL LYMPHOCYTIC LYMPHOMA","Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma","NCIT:C27911","NCIT",NA,NA,NA
"CHRONIC_LYMPHOCYTIC_LEUKAEMIA-SMALL_LYMPHOCYTIC_LYMPHOMA","Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma","NCIT:C27911","NCIT",NA,NA,NA
"THERAPY-RELATED MYELOID NEOPLASMS","Therapy-Related Myeloid Neoplasm","NCIT:C27912","NCIT",NA,NA,NA
"METAPLASTIC CARCINOMA","Metaplastic Carcinoma","NCIT:C27949","NCIT",NA,NA,NA
"METAPLASTIC_CARCINOMA","Metaplastic Carcinoma","NCIT:C27949","NCIT",NA,NA,NA
"ADENOCARCINOMA","Adenocarcinoma","NCIT:C2852","NCIT",NA,NA,NA
"ADENOCARCINOMA, NOS","Adenocarcinoma","NCIT:C2852","NCIT",NA,NA,NA
"ADENOCARCINOMA- NOS","Adenocarcinoma","NCIT:C2852","NCIT",NA,NA,NA
"ADENOCARCINOMA, NOS 81403","Adenocarcinoma","NCIT:C2852","NCIT",NA,NA,NA
"ADENOCARINOMA","Adenocarcinoma","NCIT:C2852","NCIT",NA,NA,NA
"ADENOCARCINOMA","Adenocarcinoma","NCIT:C2852","NCIT",NA,NA,NA
"PAPILLARY_ADENOCARCINOMA","Papillary Adenocarcinoma","NCIT:C2853","NCIT",NA,NA,NA
"PAPILLARY ADENOCARCINOMA 82603","Papillary Adenocarcinoma","NCIT:C2853","NCIT",NA,NA,NA
"ADRENAL TUMOR","Adrenal Gland Neoplasm","NCIT:C2859","NCIT",NA,NA,NA
"PRIMARY MYELOFIBROSIS","Primary Myelofibrosis","NCIT:C2862","NCIT",NA,NA,NA
"REFRACTORY ANEMIA","Refractory Anemia","NCIT:C2872","NCIT",NA,NA,NA
"RA","Refractory Anemia","NCIT:C2872","NCIT",NA,NA,NA
"SERTOLI-LEYDIG CELL TUMOR","Ovarian Sertoli-Leydig Cell Tumor","NCIT:C2880","NCIT",NA,NA,NA
"MISCELLANEOUS BRAIN TUMOR","Brain Neoplasm","NCIT:C2907","NCIT",NA,NA,NA
"BREAST NEOPLASM, NOS","Breast Neoplasm","NCIT:C2910","NCIT",NA,NA,NA
"BURKITT LYMPHOMA","Burkitt Lymphoma","NCIT:C2912","NCIT",NA,NA,NA
"BURKITT_LYMPHOMA","Burkitt Lymphoma","NCIT:C2912","NCIT",NA,NA,NA
"LYMPHOMA_BURKITT","Burkitt Lymphoma","NCIT:C2912","NCIT",NA,NA,NA
"BURKITTS LYMPHOMA","Burkitt Lymphoma","NCIT:C2912","NCIT",NA,NA,NA
"B_CELL_BURKITT","Burkitt Lymphoma","NCIT:C2912","NCIT",NA,NA,NA
"CARCINOID TUMOR","Carcinoid Tumor","NCIT:C2915","NCIT",NA,NA,NA
"CARCINOID","Carcinoid Tumor","NCIT:C2915","NCIT",NA,NA,NA
"CARCINOID-ENDOCRINE TUMOUR","Carcinoid Tumor","NCIT:C2915","NCIT",NA,NA,NA
"CARCINOMA","Carcinoma","NCIT:C2916","NCIT",NA,NA,NA
