original_value,curated_ontology,match_level,top_results
TERATOMA WITH MALIGNANT TRANSFORMATION,Teratoma with Somatic-Type Malignancy,2,Teratoma (Score: 0.9542);Teratoma with Somatic-Type Malignancy (Score: 0.9446);Malignant Neoplasm (Score: 0.9283);Atypical Teratoid/Rhabdoid Tumor (Score: 0.9239);Immature Teratoma (Score: 0.9220)
DUCTAL_CARCINOMA,Breast Ductal Carcinoma,1,Breast Ductal Carcinoma (Score: 0.9836);Breast Ductal Carcinoma In Situ (Score: 0.9558);Prostate Ductal Adenocarcinoma (Score: 0.9537);Invasive Breast Ductal Carcinoma and Lobular Carcinoma (Score: 0.9510);Breast Carcinoma (Score: 0.9508)
BREAST DUCTAL CARCINOMA IN SITU,Breast Ductal Carcinoma In Situ,1,Breast Ductal Carcinoma In Situ (Score: 1.0000);Breast Ductal Carcinoma (Score: 0.9713);Invasive Breast Ductal Carcinoma and Lobular Carcinoma (Score: 0.9512);Breast Carcinoma (Score: 0.9474);Invasive Breast Carcinoma (Score: 0.9473)
ACUTE UNDIFFERENTIATED LEUKEMIA,Acute Undifferentiated Leukemia,1,Acute Undifferentiated Leukemia (Score: 1.0000);Acute Leukemia of Ambiguous Lineage (Score: 0.9428);undifferentiated sarcoma (Score: 0.9426);Undifferentiated Carcinoma (Score: 0.9423);Undifferentiated (Score: 0.9410)
"CARCINOMA, PAPILLARY",Papillary Carcinoma,1,Papillary Carcinoma (Score: 0.9870);Papillary Renal Cell Carcinoma (Score: 0.9640);Papillary Adenocarcinoma (Score: 0.9619);Thyroid Gland Papillary Carcinoma (Score: 0.9603);Papillary Transitional Cell Carcinoma (Score: 0.9586)
BENIGN PHYLLODES TUMOR OF THE BREAST,Benign Breast Phyllodes Tumor,1,Benign Breast Phyllodes Tumor (Score: 0.9960);Malignant Breast Phyllodes Tumor (Score: 0.9773);Borderline Breast Phyllodes Tumor (Score: 0.9722);Phyllodes Tumor (Score: 0.9668);Luminal B Breast Carcinoma (Score: 0.9179)
"REL ONCOCYTIC NEOPLASM, FAVOR CHROMOPHOBE, EOSINOPHILIC",Eosinophilic Variant of Chromophobe Renal Cell Carcinoma,1,"Eosinophilic Variant of Chromophobe Renal Cell Carcinoma (Score: 0.9470);Chromophobe Renal Cell Carcinoma (Score: 0.9143);Oncocytic Neoplasm (Score: 0.9133);Classic Variant of Chromophobe Renal Cell Carcinoma (Score: 0.9110);Malignant Lymphoma, Histiocytic, Diffuse (Score: 0.9009)"
"ADENOCARCINOMA, HIGH GRADE SEROUS",Serous Adenocarcinoma<;>High Grade,0,Ovarian High Grade Serous Adenocarcinoma (Score: 0.9824);Ovarian Low Grade Serous Adenocarcinoma (Score: 0.9701);Fallopian Tube High Grade Serous Adenocarcinoma (Score: 0.9700);Serous Adenocarcinoma (Score: 0.9600);Ovarian Serous Adenocarcinoma (Score: 0.9535)
ONCOCYTIC,Oncocytic Neoplasm,1,Oncocytic Neoplasm (Score: 0.9751);Thyroid Gland Oncocytic Carcinoma (Score: 0.9398);Thyroid Gland Oncocytic Adenoma (Score: 0.9277);Oncocytic Variant Thyroid Gland Papillary Carcinoma (Score: 0.9259);Kidney Oncocytoma (Score: 0.9244)
MYXOID LIPOSARCOMA,Myxoid Liposarcoma,1,Myxoid Liposarcoma (Score: 1.0000);myxoid/round cell liposarcoma (Score: 0.9609);Liposarcoma (Score: 0.9486);Myxofibrosarcoma (Score: 0.9476);Myxoma (Score: 0.9381)
"PLEURAL CANCER, NOS",Malignant Pleural Neoplasm,1,Malignant Pleural Neoplasm (Score: 0.9457);Pleural Mesothelioma (Score: 0.9348);Pleural Sarcomatoid Mesothelioma (Score: 0.9260);Pleural Epithelioid Mesothelioma (Score: 0.9129);Lung Pleomorphic Carcinoma (Score: 0.9109)
EXTRARENAL RHABDOID TUMOR,Extrarenal Rhabdoid Tumor,1,Extrarenal Rhabdoid Tumor (Score: 1.0000);Rhabdoid Tumor (Score: 0.9358);Extra-Adrenal Pheochromocytoma (Score: 0.9271);Extragonadal Germ Cell Tumor (Score: 0.9270);Atypical Teratoid/Rhabdoid Tumor (Score: 0.9185)
THYMOMA; TYPE A,Thymoma Type A,1,Thymoma Type A (Score: 0.9917);Thymoma Type AB (Score: 0.9727);Thymoma Type B2 (Score: 0.9605);Thymoma Type B1 (Score: 0.9582);Thymoma Type B3 (Score: 0.9536)
BASALOID LARGE CELL CARCINOMA OF THE LUNG,Lung Basaloid Large Cell Carcinoma,1,Lung Basaloid Large Cell Carcinoma (Score: 0.9954);Basal Cell Carcinoma (Score: 0.9603);Lung Large Cell Carcinoma (Score: 0.9550);Salivary Gland Basal Cell Adenocarcinoma (Score: 0.9435);Lung Small Cell Carcinoma (Score: 0.9428)
ACUTE LEUKAEMIAS OF AMBIGUOUS LINEAGE,Acute Leukemia of Ambiguous Lineage,1,"Acute Leukemia of Ambiguous Lineage (Score: 0.9881);Acute Undifferentiated Leukemia (Score: 0.9338);Acute Myeloid Leukemia with MLL Rearrangement (Score: 0.9220);Mixed Phenotype Acute Leukemia, B/Myeloid (Score: 0.9206);Acute Myeloid Leukemia (Score: 0.9198)"
RHABDOID TUMOUR,Rhabdoid Tumor,1,Rhabdoid Tumor (Score: 0.9912);Atypical Teratoid/Rhabdoid Tumor (Score: 0.9346);Extrarenal Rhabdoid Tumor (Score: 0.9337);Rectal Neuroendocrine Tumor (Score: 0.9085);Rhabdomyosarcoma (Score: 0.9061)
"HIGH-GRADE B-CELL LYMPHOMA, NOS","High Grade B-Cell Lymphoma, Not Otherwise Specified",1,"High Grade B-Cell Lymphoma, Not Otherwise Specified (Score: 0.9771);High Grade B-Cell Lymphoma with MYC and BCL2 or BCL6 Rearrangements (Score: 0.9569);B-Cell Non-Hodgkin Lymphoma (Score: 0.9493);T-Cell/Histiocyte-Rich Large B-Cell Lymphoma (Score: 0.9400);Mature B-Cell Non-Hodgkin Lymphoma (Score: 0.9346)"
HPV+ SCC I OR II,Human Papillomavirus Positive<;>Squamous Cell Carcinoma,0,"Cervical Squamous Cell Carcinoma (Score: 0.9255);Hypopharyngeal Squamous Cell Carcinoma (Score: 0.9243);Human Papillomavirus-Independent Cervical Adenocarcinoma, Clear Cell-Type (Score: 0.9206);Head and Neck Squamous Cell Carcinoma (Score: 0.9203);Oropharyngeal Squamous Cell Carcinoma (Score: 0.9167)"
EPENDYMOMA,Ependymoma,1,Ependymoma (Score: 1.0000);Ependymal Tumor (Score: 0.9769);Supratentorial Ependymoma (Score: 0.9627);Anaplastic Ependymoma (Score: 0.9571);Myxopapillary Ependymoma (Score: 0.9520)
BRONCHIOALVEOLAR_CARCINOMA; NON-SMALL_CELL LUNG_CANCER,Lung Adenocarcinoma In Situ<;>Lung Non-Small Cell Carcinoma,0,Lung Non-Small Cell Carcinoma (Score: 0.9570);Non-Small Cell Carcinoma (Score: 0.9428);Lung Small Cell Carcinoma (Score: 0.9402);Lung Basaloid Large Cell Carcinoma (Score: 0.9333);Lung Non-Mucinous Adenocarcinoma (Score: 0.9325)
MUCINOUS LIPOSARCOMA,Liposarcoma<;>Mucinous,0,Breast Mucinous Carcinoma (Score: 0.9361);Myxoid Liposarcoma (Score: 0.9356);Mucinous Adenocarcinoma (Score: 0.9343);Mucinous (Score: 0.9338);Mucinous Cystadenocarcinoma (Score: 0.9331)
MDS WITH EXCESS BLASTS-1,Myelodysplastic Syndrome with Excess Blasts-1,1,Myelodysplastic Syndrome with Excess Blasts-1 (Score: 0.9757);Myelodysplastic Syndrome with Excess Blasts-2 (Score: 0.9718);Myelodysplastic Syndrome with Excess Blasts (Score: 0.9637);Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11 (Score: 0.9173);Myelodysplastic Syndrome with Isolated del(5q) (Score: 0.9163)
HEAD AND NECK CARCINOMA OTHER,Malignant Head and Neck Neoplasm,3,Head and Neck Carcinoma (Score: 0.9646);Head and Neck Squamous Cell Carcinoma (Score: 0.9501);Malignant Head and Neck Neoplasm (Score: 0.9434);Head and Neck Neuroendocrine Carcinoma (Score: 0.9396);Head and Neck (Score: 0.9346)
SMALL CELL CARCINOMA OF UNKNOWN PRIMARY,Small Cell Neuroendocrine Carcinoma,5,Non-Small Cell Carcinoma (Score: 0.9488);Lung Small Cell Carcinoma (Score: 0.9458);Small Cell Adenocarcinoma (Score: 0.9415);Lung Non-Small Cell Carcinoma (Score: 0.9403);Small Cell Neuroendocrine Carcinoma (Score: 0.9389)
B_CELL_MANTLE_CELL,Mantle Cell Lymphoma,1,Mantle Cell Lymphoma (Score: 0.9422);B-Lymphocyte (Score: 0.9231);B-Cell Neoplasm (Score: 0.9174);B-Cell Non-Hodgkin Lymphoma (Score: 0.9141);Monoclonal B-Cell Lymphocytosis (Score: 0.9111)
ESOPHAGEAL CANCER,Esophageal Carcinoma,1,Esophageal Carcinoma (Score: 0.9789);Esophageal Adenocarcinoma (Score: 0.9659);Esophageal Squamous Cell Carcinoma (Score: 0.9619);Esophageal Melanoma (Score: 0.9469);Esophageal Neuroendocrine Carcinoma (Score: 0.9466)
EPITHELIOID CELLSPINDLE CELL,Epithelioid Cell<;>Spindle Cell Neoplasm,0,Epithelioid Cell (Score: 0.9647);Epithelioid Sarcoma (Score: 0.9275);Epithelioid Melanocyte (Score: 0.9254);Epithelioid Mesothelioma (Score: 0.9235);Pleural Epithelioid Mesothelioma (Score: 0.9105)
DUCTAL AND LOBULAR FEATURES,Breast Mixed Ductal and Lobular Carcinoma,5,Ductal (Score: 0.9340);Invasive Breast Ductal Carcinoma and Lobular Carcinoma (Score: 0.9336);Invasive Breast Ductal Carcinoma and Invasive Lobular Carcinoma (Score: 0.9318);Lobular (Score: 0.9313);Breast Mixed Ductal and Lobular Carcinoma (Score: 0.9216)
PEDIATRIC LOW GRADE GLIOMAS,Low Grade Glioma<;>Pediatric,0,Low Grade Glioma (Score: 0.9636);Low Grade Astrocytoma (Score: 0.9400);Childhood Brain Germ Cell Tumor (Score: 0.9211);Low Grade Fibromyxoid Sarcoma (Score: 0.9197);Glioma (Score: 0.9135)
OVARIAN GRANULOSA CELL TUMOR,Ovarian Granulosa Cell Tumor,1,Ovarian Granulosa Cell Tumor (Score: 1.0000);Granulosa Cell Tumor (Score: 0.9851);Ovarian Germ Cell Tumor (Score: 0.9638);Ovarian Epithelial Tumor (Score: 0.9472);Juvenile Granulosa Cell Tumor (Score: 0.9449)
APAD,Appendix Adenocarcinoma,0,Astrocytoma (Score: 0.8886);Anorectal (Score: 0.8830);Alveolar (Score: 0.8829);Pancreas (Score: 0.8825);Paired (Score: 0.8818)
MEDULLARY CARCINOMA,"Medullary Carcinoma, Not Otherwise Specified",0,Medullary Carcinoma (Score: 1.0000);Breast Medullary Carcinoma (Score: 0.9807);Colon Medullary Carcinoma (Score: 0.9682);Thyroid Gland Medullary Carcinoma (Score: 0.9680);Kidney Medullary Carcinoma (Score: 0.9654)
TUMOR FREE,Tumor Free,1,Tumor Free (Score: 1.0000);With Tumor (Score: 0.9073);Solitary Fibrous Tumor (Score: 0.8867);Brain Neoplasm (Score: 0.8865);Malignant Brain Neoplasm (Score: 0.8824)
MUCM,Mucosal Melanoma,0,Mucoepidermoid Carcinoma (Score: 0.9093);Mucinous (Score: 0.9067);Mucosa (Score: 0.9064);Mesenchymal (Score: 0.9039);Lung Mucoepidermoid Carcinoma (Score: 0.9024)
SOFT TISSUE,Soft Tissue,1,Soft Tissue (Score: 1.0000);Soft Tissue Sarcoma (Score: 0.9538);Soft Tissue Neoplasm (Score: 0.9456);Malignant Soft Tissue Neoplasm (Score: 0.9224);Tissue (Score: 0.9167)
MYXOID/ROUND-CELL LIPOSARCOMA,myxoid/round cell liposarcoma,1,myxoid/round cell liposarcoma (Score: 0.9987);Myxoid Liposarcoma (Score: 0.9609);Round Cell Sarcoma (Score: 0.9355);Liposarcoma (Score: 0.9317);Pleomorphic Liposarcoma (Score: 0.9281)
FOLLICULAR CARCINOMA,Thyroid Gland Follicular Carcinoma,1,Thyroid Gland Follicular Carcinoma (Score: 0.9693);Follicular Lymphoma (Score: 0.9474);Thyroid Gland Papillary and Follicular Carcinoma (Score: 0.9440);Follicular Variant Thyroid Gland Papillary Carcinoma (Score: 0.9412);Carcinoma (Score: 0.9292)
"PAPILLARY, FOLLICULAR",Thyroid Gland Papillary and Follicular Carcinoma,2,Papillary (Score: 0.9544);Thyroid Gland Papillary and Follicular Carcinoma (Score: 0.9418);Follicular Variant Thyroid Gland Papillary Carcinoma (Score: 0.9345);Papillary Carcinoma (Score: 0.9246);Thyroid Gland Papillary Carcinoma (Score: 0.9120)
ADENOSARCOMA,Adenosarcoma,1,Adenosarcoma (Score: 1.0000);Uterine Corpus Adenosarcoma (Score: 0.9553);Chondrosarcoma (Score: 0.9480);Angiosarcoma (Score: 0.9419);Adenoid Cystic Carcinoma (Score: 0.9365)
METASTATIC SITE: PLEURAL EFFUSION,Pleural Effusion<;>Site of Metastasis,0,Pleural Effusion (Score: 0.9326);Site of Metastasis (Score: 0.9275);Pleural Mesothelioma (Score: 0.9255);Malignant Pleural Neoplasm (Score: 0.9196);Metastatic Lesion (Score: 0.9131)
MIXED ACINAR-DUCTAL CARCINOMA,Pancreatic Mixed Acinar-Ductal Carcinoma,1,Pancreatic Mixed Acinar-Ductal Carcinoma (Score: 0.9875);Pancreatic Mixed Acinar-Neuroendocrine Carcinoma (Score: 0.9656);Breast Mixed Ductal and Lobular Carcinoma (Score: 0.9639);Pancreatic Mixed Ductal-Neuroendocrine Carcinoma (Score: 0.9574);Mixed Carcinoma (Score: 0.9572)
"RHABDOMYOSARCOMA, ALVEOLAR",Alveolar Rhabdomyosarcoma,1,Alveolar Rhabdomyosarcoma (Score: 0.9866);Rhabdomyosarcoma with Mixed Embryonal and Alveolar Features (Score: 0.9597);Rhabdomyosarcoma (Score: 0.9421);Pleomorphic Rhabdomyosarcoma (Score: 0.9264);Embryonal Rhabdomyosarcoma (Score: 0.9196)
FOLLICULAR THYROID CARCINOMA,Thyroid Gland Follicular Carcinoma,1,Thyroid Gland Follicular Carcinoma (Score: 0.9936);Thyroid Gland Papillary and Follicular Carcinoma (Score: 0.9715);Follicular Variant Thyroid Gland Papillary Carcinoma (Score: 0.9673);Thyroid Gland Carcinoma (Score: 0.9546);Thyroid Gland Anaplastic Carcinoma (Score: 0.9459)
WITH DUCTAL AND LOBULAR PHENOTYPES,Breast Mixed Ductal and Lobular Carcinoma,3,Invasive Breast Ductal Carcinoma and Lobular Carcinoma (Score: 0.9302);Invasive Breast Ductal Carcinoma and Invasive Lobular Carcinoma (Score: 0.9292);Breast Mixed Ductal and Lobular Carcinoma (Score: 0.9281);Lobular (Score: 0.9200);Ductal (Score: 0.9176)
GERM CELL TUMOR (EMBRYONAL CARCINOMA),Embryonal Carcinoma,2,Germ Cell Tumor (Score: 0.9646);Embryonal Carcinoma (Score: 0.9626);Testicular Germ Cell Tumor (Score: 0.9604);Embryonal Neoplasm (Score: 0.9561);Childhood Brain Germ Cell Tumor (Score: 0.9517)
FUSION+ RMS,Fusion-Positive Rhabdomyosarcoma,1,Fusion-Positive Rhabdomyosarcoma (Score: 0.9134);Fusion-Negative Rhabdomyosarcoma (Score: 0.9015);Rhabdomyosarcoma (Score: 0.8863);PML-RARA Fusion Protein Expression (Score: 0.8812);PAX3/FOXO1 Fusion Gene (Score: 0.8722)
RENAL NON-CLEAR CELL CARCINOMA,Renal Cell Carcinoma,2,Clear Cell Renal Cell Carcinoma (Score: 0.9730);Renal Cell Carcinoma (Score: 0.9671);Clear Cell Papillary Renal Neoplasm (Score: 0.9551);Non-Small Cell Carcinoma (Score: 0.9482);Unclassified Renal Cell Carcinoma (Score: 0.9455)
"STEROID CELL TUMOR, NOS","Ovarian Steroid Cell Tumor, Not Otherwise Specified",1,"Ovarian Steroid Cell Tumor, Not Otherwise Specified (Score: 0.9511);Sinonasal Squamous Cell Carcinoma (Score: 0.9051);Ovarian Sertoli-Leydig Cell Tumor (Score: 0.9042);Testicular Non-Seminomatous Germ Cell Tumor (Score: 0.8999);Granulosa Cell Tumor (Score: 0.8998)"
CERVICAL ADENOSQUAMOUS CARCINOMA,Cervical Adenosquamous Carcinoma,1,Cervical Adenosquamous Carcinoma (Score: 1.0000);Adenosquamous Carcinoma (Score: 0.9824);Endometrial Adenosquamous Carcinoma (Score: 0.9762);Esophageal Adenosquamous Carcinoma (Score: 0.9719);Gastric Adenosquamous Carcinoma (Score: 0.9682)
TUBULAR/ CRIBRIFORM,Breast Tubular Carcinoma<;>Cribriform Pattern,0,Cribriform (Score: 0.9398);Tubular (Score: 0.9347);Cribriform Pattern (Score: 0.9128);Thyroid Gland Cribriform Morular Carcinoma (Score: 0.9069);Breast Tubular Carcinoma (Score: 0.9040)
DUCTAL AND MICROPAPILLARY,Ductal<;>Micropapillary Growth Pattern,0,Ductal (Score: 0.9344);Micropapillary Growth Pattern (Score: 0.9126);Lung Micropapillary Adenocarcinoma (Score: 0.9107);Breast Papillary Ductal Carcinoma with Invasion (Score: 0.9079);Pancreatic Intraductal Papillary-Mucinous Neoplasm (Score: 0.9076)
DLBC,Diffuse Large B-Cell Lymphoma,0,Biopsy (Score: 0.8867);Lymphoma (Score: 0.8860);Hemangioma (Score: 0.8831);Ductal (Score: 0.8801);Diploidy (Score: 0.8788)
REFRACTORY ANAEMIA WITH EXCESS BLASTS,Myelodysplastic Syndrome with Excess Blasts,1,Myelodysplastic Syndrome with Excess Blasts (Score: 0.9431);Myelodysplastic Syndrome with Excess Blasts-1 (Score: 0.9354);Myelodysplastic Syndrome with Excess Blasts-2 (Score: 0.9343);Refractory Anemia (Score: 0.9242);Myelodysplastic/Myeloproliferative Neoplasm with Ring Sideroblasts and Thrombocytosis (Score: 0.9062)
LOCALLY ADVANCED,Locally Advanced Malignant Neoplasm,1,Locally Advanced Malignant Neoplasm (Score: 0.9362);Local-Regional (Score: 0.8962);Localized (Score: 0.8867);Anaplastic Lesion (Score: 0.8723);Locally Recurrent Malignant Neoplasm (Score: 0.8678)
SCLEROSING RHABDOMYOSARCOMA,Sclerosing Rhabdomyosarcoma,1,Sclerosing Rhabdomyosarcoma (Score: 1.0000);Spindle Cell/Sclerosing Rhabdomyosarcoma (Score: 0.9550);Rhabdomyosarcoma (Score: 0.9330);Pleomorphic Rhabdomyosarcoma (Score: 0.9194);Sclerosing Epithelioid Fibrosarcoma (Score: 0.9138)
NSCLC_SQUAMOUS,Lung Squamous Cell Carcinoma,1,Lung Squamous Cell Carcinoma (Score: 0.9574);Squamous Cell Carcinoma (Score: 0.9418);Lung Carcinoma (Score: 0.9304);Laryngeal Squamous Cell Carcinoma (Score: 0.9271);Lung Adenosquamous Carcinoma (Score: 0.9269)
SEMINAL VESICLE CARCINOMA,Malignant Seminal Vesicle Neoplasm,1,Malignant Seminal Vesicle Neoplasm (Score: 0.9651);Vaginal Carcinoma (Score: 0.9378);Vulvar Carcinoma (Score: 0.9330);Testicular Carcinoma (Score: 0.9266);Prostate Carcinoma (Score: 0.9255)
RUNX1-RUNX1T1,AML1-ETO Fusion Protein Expression,0,Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1 (Score: 0.9294);Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1 (Score: 0.9276);Acute Myeloid Leukemia with Mutated RUNX1 (Score: 0.9231);Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11 (Score: 0.9030);Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL (Score: 0.8959)
UNCLASSIFIED SARCOMA,Sarcoma,4,Unclassified Renal Cell Carcinoma (Score: 0.9442);Unclassified (Score: 0.9371);undifferentiated sarcoma (Score: 0.9316);Sarcoma (Score: 0.9297);Undifferentiated Soft Tissue Sarcoma (Score: 0.9246)
PERITONEAL MESOTHELIOMA,Peritoneal Mesothelioma,1,Peritoneal Mesothelioma (Score: 1.0000);Pleural Mesothelioma (Score: 0.9556);Mesothelioma (Score: 0.9532);Peritoneum (Score: 0.9355);Malignant Peritoneal Neoplasm (Score: 0.9286)
ACINAR ADENOCARCINOMA 85513,Lung Acinar Adenocarcinoma,1,Lung Acinar Adenocarcinoma (Score: 0.9459);Prostate Acinar Adenocarcinoma (Score: 0.9456);Acinar Cell Carcinoma (Score: 0.9302);Pancreatic Acinar Cell Carcinoma (Score: 0.9269);Adenocarcinoma (Score: 0.9236)
PANCREAS,Pancreas,1,Pancreas (Score: 1.0000);Pancreatic Insulinoma (Score: 0.9271);Pancreatic Adenocarcinoma (Score: 0.9205);Solid Pseudopapillary Neoplasm of the Pancreas (Score: 0.9154);Pancreatic Carcinoma (Score: 0.9135)
PDA - MUCINOUS NON-CYSTIC CARCINOMA,Pancreatic Colloid Carcinoma,0,Pancreatic Mucinous-Cystic Neoplasm (Score: 0.9404);Pancreatic Intraductal Papillary-Mucinous Neoplasm (Score: 0.9289);Pancreatic Moderately Differentiated Ductal Adenocarcinoma (Score: 0.9275);Lung Non-Mucinous Adenocarcinoma (Score: 0.9267);Pancreatic Intraductal Papillary-Mucinous Neoplasm with an Associated Invasive Carcinoma (Score: 0.9258)
GLOMANGIOSARCOMA,Malignant Glomus Tumor,2,Gliosarcoma (Score: 0.9219);Malignant Glomus Tumor (Score: 0.9055);Glioma (Score: 0.9006);Glioneuronal Tumor (Score: 0.8971);Rhabdomyosarcoma (Score: 0.8956)
MEDULLARY CARCINOMA OF THE COLON,Colon Medullary Carcinoma,1,Colon Medullary Carcinoma (Score: 0.9927);Medullary Carcinoma (Score: 0.9725);Breast Medullary Carcinoma (Score: 0.9567);Kidney Medullary Carcinoma (Score: 0.9523);Thyroid Gland Medullary Carcinoma (Score: 0.9445)
LGSOC,Ovarian Low Grade Serous Adenocarcinoma,0,Stomach (Score: 0.8728);Skin (Score: 0.8721);Laryngeal (Score: 0.8696);Oligoastrocytoma (Score: 0.8691);SPOP Gene (Score: 0.8686)
GINET,Digestive System Neuroendocrine Tumor,0,Gastric (Score: 0.8773);Gastrointestinal Stromal Tumor (Score: 0.8760);Gastric Neuroendocrine Tumor (Score: 0.8739);Glioma (Score: 0.8688);Granular Cell Tumor (Score: 0.8661)
UNDIFFERENTIATED UTERINE SARCOMA,Uterine Corpus Undifferentiated Sarcoma,1,Uterine Corpus Undifferentiated Sarcoma (Score: 0.9803);undifferentiated sarcoma (Score: 0.9768);Undifferentiated Spindle Cell Sarcoma (Score: 0.9546);undifferentiated carcinoma of the corpus uteri (Score: 0.9520);Undifferentiated Soft Tissue Sarcoma (Score: 0.9513)
PLEXIFORM SCHWANNOMA,Plexiform Schwannoma,1,Plexiform Schwannoma (Score: 1.0000);Plexiform Neurofibroma (Score: 0.9672);Schwannoma (Score: 0.9364);Melanotic Schwannoma (Score: 0.9321);Plexiform Fibrohistiocytic Tumor (Score: 0.9314)
BREAST SARCOMA,Breast Sarcoma,1,Breast Sarcoma (Score: 1.0000);Sarcoma (Score: 0.9568);Bone Sarcoma (Score: 0.9504);Breast Neoplasm (Score: 0.9427);Breast (Score: 0.9393)
CAECUM ADENOCARCINOMA,Cecum Adenocarcinoma,4,Colon Adenocarcinoma (Score: 0.9423);Cervical Adenocarcinoma (Score: 0.9350);Rectal Adenocarcinoma (Score: 0.9320);Cecum Adenocarcinoma (Score: 0.9291);Colorectal Adenocarcinoma (Score: 0.9291)
CLEAR CELL BORDERLINE OVARIAN TUMOR,Borderline Ovarian Clear Cell Tumor,1,Borderline Ovarian Clear Cell Tumor (Score: 0.9957);Ovarian Clear Cell Tumor (Score: 0.9708);Malignant Ovarian Clear Cell Tumor (Score: 0.9695);Ovarian Clear Cell Cystadenocarcinoma (Score: 0.9552);Borderline Ovarian Serous Tumor (Score: 0.9478)
