"iri","ontology_name","ontology_prefix","short_form","description","label","obo_id","type"
"http://purl.obolibrary.org/obo/NCIT_C33035","ncit","NCIT","NCIT_C33035","The supporting and anchoring strand of connective tissue radiating out from the capsule through the interior of the lymph node.","Lymph Node Trabecula","NCIT:C33035","class"
"http://purl.obolibrary.org/obo/NCIT_C33056","ncit","NCIT","NCIT_C33056","list()","Marginal Zone of the Lymph Node","NCIT:C33056","class"
"http://purl.obolibrary.org/obo/NCIT_C38467","ncit","NCIT","NCIT_C38467","list()","Interfollicular Area of the Lymph Node","NCIT:C38467","class"
"http://purl.obolibrary.org/obo/NCIT_C49757","ncit","NCIT","NCIT_C49757","list()","Lymph Node Germinal Center","NCIT:C49757","class"
"http://purl.obolibrary.org/obo/NCIT_C49586","ncit","NCIT","NCIT_C49586","list()","Lymph Node Lymphoid Follicle","NCIT:C49586","class"
"http://purl.obolibrary.org/obo/NCIT_C38632","ncit","NCIT","NCIT_C38632","Any component of the two organs situated in the throat on either side of the narrow passage from the mouth to the pharynx that are composed of lymphoid tissues.","Tonsil Part","NCIT:C38632","class"
"http://purl.obolibrary.org/obo/NCIT_C12235","ncit","NCIT","NCIT_C12235","A triangular shaped space that lies on each side of the oropharynx and houses the palatine tonsils.","Tonsillar Fossa","NCIT:C12235","class"
"http://purl.obolibrary.org/obo/NCIT_C12236","ncit","NCIT","NCIT_C12236","The anterior and posterior borders of the tonsillar fossa.  They are composed of muscle tissue.","Tonsillar Pillar","NCIT:C12236","class"
"http://purl.obolibrary.org/obo/NCIT_C105762","ncit","NCIT","NCIT_C105762","The anterior border of the tonsillar fossa.  It is composed of the palatoglossus muscle.","Anterior Tonsillar Pillar","NCIT:C105762","class"
"http://purl.obolibrary.org/obo/NCIT_C33791","ncit","NCIT","NCIT_C33791","One of many deep mucosal invaginations on the medial surface of the palatine tonsil that extend through the whole thickness of the tonsil, which serve to increase the surface area of the tonsil.","Tonsillar Crypt","NCIT:C33791","class"
"http://purl.obolibrary.org/obo/NCIT_C38516","ncit","NCIT","NCIT_C38516","Nodules of lymphoid tissue located on either side of the back of the nasal canal and throat.","Tonsillar Tissue","NCIT:C38516","class"
"http://purl.obolibrary.org/obo/NCIT_C38518","ncit","NCIT","NCIT_C38518","Lymphoid tissue of the tonsils. It is composed of B and T lymphocytes. Lymphoid follicles with germinal centers occupy the areas that are populated with B lymphocytes.","Tonsillar Lymphoid Tissue","NCIT:C38518","class"
"http://purl.obolibrary.org/obo/NCIT_C73468","ncit","NCIT","NCIT_C73468","The ring of lymphoid tissue located in the pharynx, consisting of the pharyngeal, tubal, palatine, and lingual tonsils.","Waldeyer Ring","NCIT:C73468","class"
"http://purl.obolibrary.org/obo/NCIT_C38510","ncit","NCIT","NCIT_C38510","Any component of the organ that is part of the hematopoietic and immune systems consisting of white and red pulp within the left hypochondriac region.","Spleen Part","NCIT:C38510","class"
"http://purl.obolibrary.org/obo/NCIT_C33596","ncit","NCIT","NCIT_C33596","A tiny terminal artery that is continuous with the capillaries in the spleen.","Splenic Arteriole","NCIT:C33596","class"
"http://purl.obolibrary.org/obo/NCIT_C33598","ncit","NCIT","NCIT_C33598","The layer of dense fibrous tissue that surrounds the splenic parenchyma.","Splenic Capsule","NCIT:C33598","class"
"http://purl.obolibrary.org/obo/NCIT_C33601","ncit","NCIT","NCIT_C33601","The area of the spleen through which the vessels and nerves enter or exit the organ.","Splenic Hilum","NCIT:C33601","class"
"http://purl.obolibrary.org/obo/NCIT_C34086","ncit","NCIT","NCIT_C34086","The largest mass of lymphatic tissue in the body. It consists of cells and vessels contained within a capsule lined by mesothelium, from which trabecula enter the splenic parenchyma. The parenchyma is supported by a framework of reticular fibers. The spleen consists of two types of parenchymal tissue, the white and red pulp. The white pulp is composed of elongated cords of compact lymphatic tissue containing nodules. The red pulp is composed of pulp cords and splenic sinusoids.","Splenic Tissue","NCIT:C34086","class"
"http://purl.obolibrary.org/obo/NCIT_C33603","ncit","NCIT","NCIT_C33603","The parenchyma of the spleen, consisting of lymphocytes and macrophages. It lies between the splenic trabecula. Red pulp is the part suffused with blood and white pulp consists of areas of lymphatic tissue where there are sleeves of lymphocytes and macrophages.","Splenic Pulp","NCIT:C33603","class"
"http://purl.obolibrary.org/obo/NCIT_C12992","ncit","NCIT","NCIT_C12992","Splenic pulp seen grossly as a reddish brown substance, due to its abundance of red blood cells, consisting of splenic sinuses and the tissue intervening between them (splenic cords).","Splenic Red Pulp","NCIT:C12992","class"
"http://purl.obolibrary.org/obo/NCIT_C12993","ncit","NCIT","NCIT_C12993","The part of the spleen that consists of nodules and other lymphatic concentrations.","Splenic White Pulp","NCIT:C12993","class"
"http://purl.obolibrary.org/obo/NCIT_C33605","ncit","NCIT","NCIT_C33605","list()","Splenic Sinus","NCIT:C33605","class"
"http://purl.obolibrary.org/obo/NCIT_C49776","ncit","NCIT","NCIT_C49776","list()","Splenic Marginal Sinus","NCIT:C49776","class"
"http://purl.obolibrary.org/obo/NCIT_C33607","ncit","NCIT","NCIT_C33607","Dense connective tissue structures composed of collagen, elastic, reticular fibers, and smooth muscle cells. They are projections from the splenic capsule into the parenchyma. The arrangement of the fibers permits the spleen to expand passively and to serve as a small temporary reservoir for blood. The trabeculae which originate at the hilus contain and support trabecular arteries and veins which enter and leave the organ at the hilus. Trabeculae from other areas of the capsule do not contain vessels. Arteries branching out of the trabeculae are immediately surrounded by lymphocytes forming the white pulp.","Splenic Trabecula","NCIT:C33607","class"
"http://purl.obolibrary.org/obo/NCIT_C33294","ncit","NCIT","NCIT_C33294","list()","Periarteriolar Lymphoid Sheath","NCIT:C33294","class"
"http://purl.obolibrary.org/obo/NCIT_C33599","ncit","NCIT","NCIT_C33599","list()","Splenic Cord","NCIT:C33599","class"
"http://purl.obolibrary.org/obo/NCIT_C33602","ncit","NCIT","NCIT_C33602","list()","Splenic Lymphoid Follicle","NCIT:C33602","class"
"http://purl.obolibrary.org/obo/NCIT_C49760","ncit","NCIT","NCIT_C49760","list()","Splenic Germinal Center","NCIT:C49760","class"
"http://purl.obolibrary.org/obo/NCIT_C13035","ncit","NCIT","NCIT_C13035","Any component of the organs involved in the creation and excretion of urine.","Urinary System Part","NCIT:C13035","class"
"http://purl.obolibrary.org/obo/NCIT_C106202","ncit","NCIT","NCIT_C106202","The area where the ureter joins the urinary bladder.","Ureterovesical Junction","NCIT:C106202","class"
"http://purl.obolibrary.org/obo/NCIT_C106203","ncit","NCIT","NCIT_C106203","The area where the ureter joins the renal pelvis.","Ureteropelvic Junction","NCIT:C106203","class"
"http://purl.obolibrary.org/obo/NCIT_C128573","ncit","NCIT","NCIT_C128573","One or both of the muscles that surround the urethra and contract to control the flow of urine, either involuntarily (the internal sphincter) or voluntarily (the external sphincter).","Urethral Sphincter","NCIT:C128573","class"
"http://purl.obolibrary.org/obo/NCIT_C128612","ncit","NCIT","NCIT_C128612","The muscle that surrounds the membranous urethra, functioning to control the voluntary flow of urine.","Male External Urethral Sphincter","NCIT:C128612","class"
"http://purl.obolibrary.org/obo/NCIT_C142328","ncit","NCIT","NCIT_C142328","The division of the urinary tract comprising the kidney and the ureters.","Upper Urinary System","NCIT:C142328","class"
"http://purl.obolibrary.org/obo/NCIT_C160608","ncit","NCIT","NCIT_C160608","A named segment of the urethra.","Urethra Part","NCIT:C160608","class"
"http://purl.obolibrary.org/obo/NCIT_C115335","ncit","NCIT","NCIT_C115335","The part of the urethra that is closer to the bladder.","Proximal Urethra","NCIT:C115335","class"
"http://purl.obolibrary.org/obo/NCIT_C115336","ncit","NCIT","NCIT_C115336","The part of the urethra that is closer to the external urethral orifice.","Distal Urethra","NCIT:C115336","class"
"http://purl.obolibrary.org/obo/NCIT_C13101","ncit","NCIT","NCIT_C13101","That part of the male urethra that passes through the prostate gland.","Prostatic Urethra","NCIT:C13101","class"
"http://purl.obolibrary.org/obo/NCIT_C160607","ncit","NCIT","NCIT_C160607","The portion of the penile urethra that spans the bulb of the penis.","Bulbar Urethra","NCIT:C160607","class"
"http://purl.obolibrary.org/obo/NCIT_C33091","ncit","NCIT","NCIT_C33091","The most narrow and shortest part of the male urethra, which is located between the prostatic urethra and the spongy (penile) urethra.","Membranous Urethra","NCIT:C33091","class"
"http://purl.obolibrary.org/obo/NCIT_C61123","ncit","NCIT","NCIT_C61123","The portion of the urethra that spans the corpus spongiosum.","Penile Portion of the Urethra","NCIT:C61123","class"
"http://purl.obolibrary.org/obo/NCIT_C61124","ncit","NCIT","NCIT_C61124","A portion of the urethra that extends between the apex of the prostate and the bulb of the corpus spongiosum and lies between the superior layers of the triangular ligament.","Bulbomembranous Urethra","NCIT:C61124","class"
"http://purl.obolibrary.org/obo/NCIT_C61125","ncit","NCIT","NCIT_C61125","The portion of the urethra that extends from the meatus to the membranous urethra.","Anterior Portion of the Urethra","NCIT:C61125","class"
"http://purl.obolibrary.org/obo/NCIT_C61126","ncit","NCIT","NCIT_C61126","The portion of the urethra that is located on the posterior aspect of the urogenital diaphragm.","Posterior Portion of the Urethra","NCIT:C61126","class"
"http://purl.obolibrary.org/obo/NCIT_C160613","ncit","NCIT","NCIT_C160613","A named segment of the ureter.","Ureter Part","NCIT:C160613","class"
"http://purl.obolibrary.org/obo/NCIT_C160614","ncit","NCIT","NCIT_C160614","The segment of the ureter that extends from the renal pelvis to the upper border of the sacrum.","Upper Ureter","NCIT:C160614","class"
"http://purl.obolibrary.org/obo/NCIT_C160615","ncit","NCIT","NCIT_C160615","The segment of the ureter that extends between the upper to lower borders of the sacrum.","Middle Ureter","NCIT:C160615","class"
"http://purl.obolibrary.org/obo/NCIT_C160616","ncit","NCIT","NCIT_C160616","The segment of the ureter that extends from the lower border of the sacrum to the bladder.","Distal Ureter","NCIT:C160616","class"
"http://purl.obolibrary.org/obo/NCIT_C160617","ncit","NCIT","NCIT_C160617","The segment of the ureter that extends from the renal pelvis to the iliac vessels.","Abdominal Ureter","NCIT:C160617","class"
"http://purl.obolibrary.org/obo/NCIT_C160618","ncit","NCIT","NCIT_C160618","The segment of the ureter that extends from the iliac vessels to the bladder.","Pelvic Ureter","NCIT:C160618","class"
"http://purl.obolibrary.org/obo/NCIT_C191741","ncit","NCIT","NCIT_C191741","The parts of the urinary system that discharge urine. These include the renal pelvis, ureter, bladder, and urethra.","Urinary Tract","NCIT:C191741","class"
"http://purl.obolibrary.org/obo/NCIT_C12336","ncit","NCIT","NCIT_C12336","The inferior portion of the urinary bladder which is formed as the walls of the bladder converge and become contiguous with the proximal urethra.","Bladder Neck","NCIT:C12336","class"
"http://purl.obolibrary.org/obo/NCIT_C12337","ncit","NCIT","NCIT_C12337","The opening of the ureter in the bladder that is situated at the lateral angle of the trigone.","Ureteric Orifice","NCIT:C12337","class"
"http://purl.obolibrary.org/obo/NCIT_C12331","ncit","NCIT","NCIT_C12331","The triangular area in the bladder mucosa that is formed by the two ureteral orifices and the urethral orifice.","Bladder Trigone","NCIT:C12331","class"
"http://purl.obolibrary.org/obo/NCIT_C12332","ncit","NCIT","NCIT_C12332","The upper, convex surface of the bladder.","Dome of the Bladder","NCIT:C12332","class"
"http://purl.obolibrary.org/obo/NCIT_C12887","ncit","NCIT","NCIT_C12887","The funnel-shaped proximal portion of the ureter located within the kidney into which urine is secreted, from the collecting duct system of the kidney.","Renal Pelvis","NCIT:C12887","class"
"http://purl.obolibrary.org/obo/NCIT_C48939","ncit","NCIT","NCIT_C48939","The portion of the bladder that is formed by the posterior wall and is located opposite to the bladder opening.","Bladder Fundus","NCIT:C48939","class"
"http://purl.obolibrary.org/obo/NCIT_C48941","ncit","NCIT","NCIT_C48941","The tissue layers that form the urinary bladder. They include the mucosa, submucosa, smooth muscle, and serosa.","Bladder Wall","NCIT:C48941","class"
"http://purl.obolibrary.org/obo/NCIT_C12333","ncit","NCIT","NCIT_C12333","The aspect of the bladder wall that is located on the side.","Lateral Wall of the Bladder","NCIT:C12333","class"
"http://purl.obolibrary.org/obo/NCIT_C12334","ncit","NCIT","NCIT_C12334","The anterior aspect of the bladder wall.","Anterior Wall of the Bladder","NCIT:C12334","class"
"http://purl.obolibrary.org/obo/NCIT_C12335","ncit","NCIT","NCIT_C12335","The posterior aspect of the bladder wall.","Posterior Wall of the Bladder","NCIT:C12335","class"
"http://purl.obolibrary.org/obo/NCIT_C54419","ncit","NCIT","NCIT_C54419","The upper tract of the renal system. The renal pelvis is the large cavity in the middle of each kidney. Urine drains from each kidney through a long tube called the ureter, into the bladder, where it is stored until it is passed from the body through the urethra.","Renal Pelvis and Ureter","NCIT:C54419","class"
"http://purl.obolibrary.org/obo/NCIT_C198292","ncit","NCIT","NCIT_C198292","The anterosuperior part of the bladder that points towards the abdominal wall.","Bladder Apex","NCIT:C198292","class"
"http://purl.obolibrary.org/obo/NCIT_C198293","ncit","NCIT","NCIT_C198293","The large area of the bladder situated between the apex and the fundus.","Bladder Body","NCIT:C198293","class"
"http://purl.obolibrary.org/obo/NCIT_C34028","ncit","NCIT","NCIT_C34028","Any component of one of the two bean-shaped organs located on each side of the spine in the retroperitoneum, which filters and secrets the metabolic products and minerals from the blood, thus maintaining the homeostasis.","Kidney Part","NCIT:C34028","class"
"http://purl.obolibrary.org/obo/NCIT_C12885","ncit","NCIT","NCIT_C12885","A layer of dense connective tissue that covers the outer surface of each kidney.","Renal Capsule","NCIT:C12885","class"
"http://purl.obolibrary.org/obo/NCIT_C12927","ncit","NCIT","NCIT_C12927","An intrarenal space located in the renal medulla that serves to collect and transport urine.","Renal Calyx","NCIT:C12927","class"
"http://purl.obolibrary.org/obo/NCIT_C13250","ncit","NCIT","NCIT_C13250","A tuft of capillaries situated at the entrance to each nephron, within the Bowman's capsule. This tuft functions as the first stage in filtering blood in the kidney.","Glomerulus","NCIT:C13250","class"
"http://purl.obolibrary.org/obo/NCIT_C133754","ncit","NCIT","NCIT_C133754","The recessed central fissure of the kidney, though which pass the ureter and vessels of the kidney.","Renal Pedicle","NCIT:C133754","class"
"http://purl.obolibrary.org/obo/NCIT_C162216","ncit","NCIT","NCIT_C162216","The portion of the kidney comprising the renal calices and pelvis.","Renal Calyx and Pelvis","NCIT:C162216","class"
"http://purl.obolibrary.org/obo/NCIT_C162217","ncit","NCIT","NCIT_C162217","The functional part of the kidney, comprising the renal cortex and medulla.","Renal Parenchyma","NCIT:C162217","class"
"http://purl.obolibrary.org/obo/NCIT_C162219","ncit","NCIT","NCIT_C162219","A cavity in the kidney containing the pelvicalyceal system, blood vessels, nerves and fat. It communicates with the perinephric space.","Renal Sinus","NCIT:C162219","class"
"http://purl.obolibrary.org/obo/NCIT_C186124","ncit","NCIT","NCIT_C186124","The portion of the kidney that is located between the upper and lower poles and contains the renal hilum.","Kidney Interpolar Region","NCIT:C186124","class"
"http://purl.obolibrary.org/obo/NCIT_C33454","ncit","NCIT","NCIT_C33454","The blood vessels that supply the nephrons of the kidney with oxygenated blood.","Renal Afferent Vessel","NCIT:C33454","class"
"http://purl.obolibrary.org/obo/NCIT_C33456","ncit","NCIT","NCIT_C33456","A component of the nephron comprising two structures: Bowman capsule and the glomerulus, and which is responsible for the filtration of plasma.","Renal Corpuscle","NCIT:C33456","class"
"http://purl.obolibrary.org/obo/NCIT_C33457","ncit","NCIT","NCIT_C33457","The blood vessels that drain blood from the nephrons of the kidney.","Renal Efferent Vessel","NCIT:C33457","class"
"http://purl.obolibrary.org/obo/NCIT_C33460","ncit","NCIT","NCIT_C33460","The tip of a renal pyramid, which delivers urine into a minor calyx.","Renal Papilla","NCIT:C33460","class"
"http://purl.obolibrary.org/obo/NCIT_C33113","ncit","NCIT","NCIT_C33113","Nephrons located superior to the juxtamedullary region but inferior to the superficial nephrons in the middle region of the renal cortex.","Midcortical Nephron","NCIT:C33113","class"
"http://purl.obolibrary.org/obo/NCIT_C32107","ncit","NCIT","NCIT_C32107","The aspect of the kidney facing the abdominal cavity.","Anterior Surface of the Kidney","NCIT:C32107","class"
"http://purl.obolibrary.org/obo/NCIT_C32225","ncit","NCIT","NCIT_C32225","A double-walled, cup-like sac that surrounds the glomerulus. It is located at the beginning of a nephron in the kidney.","Bowman Capsule","NCIT:C32225","class"
"http://purl.obolibrary.org/obo/NCIT_C32385","ncit","NCIT","NCIT_C32385","The arched form consisting of a reddish-brown cortical substance running from one cortical column to the next between the base of the pyramid and the capsule in the kidney.","Cortical Arch","NCIT:C32385","class"
"http://purl.obolibrary.org/obo/NCIT_C32387","ncit","NCIT","NCIT_C32387","Bands of cortical tissue in the renal cortex that extend into the medulla between the renal pyramids helping to anchor the cortex.","Cortical Column","NCIT:C32387","class"
"http://purl.obolibrary.org/obo/NCIT_C32388","ncit","NCIT","NCIT_C32388","A nephron with its corpuscle in the cortex and Loop of Henle in the renal medulla close to its junction with the renal cortex.","Cortical Nephron","NCIT:C32388","class"
"http://purl.obolibrary.org/obo/NCIT_C32623","ncit","NCIT","NCIT_C32623","list()","Foot Process","NCIT:C32623","class"
"http://purl.obolibrary.org/obo/NCIT_C32740","ncit","NCIT","NCIT_C32740","The concave area of the kidney through which the renal artery enters and the renal vein and ureter exit the organ.","Hilar Area of the Kidney","NCIT:C32740","class"
"http://purl.obolibrary.org/obo/NCIT_C32892","ncit","NCIT","NCIT_C32892","A nephron in which the renal corpuscle is in close proximity to the renal medulla while the proximal convoluted tubule and loop of Henle are located much deeper in the kidney.","Juxtamedullary Nephron","NCIT:C32892","class"
"http://purl.obolibrary.org/obo/NCIT_C32894","ncit","NCIT","NCIT_C32894","A functional unit of the kidney consisting of a renal pyramid and the renal cortex surrounding it.","Kidney Lobe","NCIT:C32894","class"
"http://purl.obolibrary.org/obo/NCIT_C32895","ncit","NCIT","NCIT_C32895","The posterior aspect of the kidney.","Posterior Surface of the Kidney","NCIT:C32895","class"
"http://purl.obolibrary.org/obo/NCIT_C32916","ncit","NCIT","NCIT_C32916","An electron dense layer within the basement membrane.","Lamina Densa","NCIT:C32916","class"
"http://purl.obolibrary.org/obo/NCIT_C32919","ncit","NCIT","NCIT_C32919","One of the three layers comprising the basal lamina of the renal corpuscle membrane that is between the podocytes and the lamina densa.","Lamina Rara Externa","NCIT:C32919","class"
"http://purl.obolibrary.org/obo/NCIT_C32920","ncit","NCIT","NCIT_C32920","One of the three layers comprising the basal lamina of the renal corpuscle membrane that is between the lamina densa and the endothelial cells.","Lamina Rara Interna","NCIT:C32920","class"
"http://purl.obolibrary.org/obo/NCIT_C33043","ncit","NCIT","NCIT_C33043","An area of densely packed modified epithelial cells lining the wall of the distal convoluted tubule of the kidney that is adjacent to the afferent arteriole just before it enters the glomerulus and is in direct apposition to the juxtaglomerular cells.","Macula Densa","NCIT:C33043","class"
"http://purl.obolibrary.org/obo/NCIT_C33271","ncit","NCIT","NCIT_C33271","The outermost layer of the renal capsule, which is composed of a single layer of simple squamous epithelium.","Parietal Layer of Bowman Capsule","NCIT:C33271","class"
"http://purl.obolibrary.org/obo/NCIT_C33840","ncit","NCIT","NCIT_C33840","The space between the visceral and parietal layers of the glomerular capsule where the glomerular ultrafiltrate is formed.","Urinary Space","NCIT:C33840","class"
"http://purl.obolibrary.org/obo/NCIT_C33879","ncit","NCIT","NCIT_C33879","The layer of podocytes found immediately superior to the thickened glomerular basement membrane.","Visceral Layer of Bowman Capsule","NCIT:C33879","class"
"http://purl.obolibrary.org/obo/NCIT_C49274","ncit","NCIT","NCIT_C49274","The anatomical segment of the kidney that is comprised of both the nephron and associated collecting tubules. These tubules or tubes contain fluid that has been filtered through the glomerulus.","Renal Tubule","NCIT:C49274","class"
"http://purl.obolibrary.org/obo/NCIT_C32154","ncit","NCIT","NCIT_C32154","The ascending limb of the U-shaped portion of the renal tubule.","Ascending Limb of Henle's Loop","NCIT:C32154","class"
"http://purl.obolibrary.org/obo/NCIT_C32344","ncit","NCIT","NCIT_C32344","The final section of a renal tubule in the nephron between the distal convoluted tubule and the ureter comprising of principal and intercalated cells. The collecting tube acts to reabsorb sodium and water while secreting potassium and maintaining acid-base homeostasis.","Collecting Tube","NCIT:C32344","class"
"http://purl.obolibrary.org/obo/NCIT_C32418","ncit","NCIT","NCIT_C32418","The curved portion of the nephron.","Curved Tube","NCIT:C32418","class"
"http://purl.obolibrary.org/obo/NCIT_C32456","ncit","NCIT","NCIT_C32456","The descending limb of the U-shaped portion of the renal tubule.","Descending Limb of Henle's Loop","NCIT:C32456","class"
"http://purl.obolibrary.org/obo/NCIT_C32883","ncit","NCIT","NCIT_C32883","The irregular portion of the nephron.","Irregular Tubule","NCIT:C32883","class"
"http://purl.obolibrary.org/obo/NCIT_C33006","ncit","NCIT","NCIT_C33006","The U-shaped portion of the nephron between the proximal and distal convoluted tubules with descending, ascending, and thick ascending limbs which sets up a concentration gradient in the medulla.","Henle's Loop","NCIT:C33006","class"
"http://purl.obolibrary.org/obo/NCIT_C33594","ncit","NCIT","NCIT_C33594","The portion of the renal tubule located inside the renal cortex between the proximal convoluted tubule and the loop of Henle.","Spiral Tube of Schchowa","NCIT:C33594","class"
"http://purl.obolibrary.org/obo/NCIT_C49479","ncit","NCIT","NCIT_C49479","list()","Convoluted Tubule","NCIT:C49479","class"
"http://purl.obolibrary.org/obo/NCIT_C32469","ncit","NCIT","NCIT_C32469","A coiled segment of the renal tubule found in the cortex of the kidney, which arises from the ascending loop of Henle, and functions to reabsorb certain electrolytes and regulate the pH of the urine.","Distal Convoluted Tubule","NCIT:C32469","class"
"http://purl.obolibrary.org/obo/NCIT_C33417","ncit","NCIT","NCIT_C33417","The coiled duct section of a nephron, located between Bowman's capsule and the loop of Henle in the renal cortex, that concentrates the urine.","Proximal Convoluted Tube","NCIT:C33417","class"
"http://purl.obolibrary.org/obo/NCIT_C93179","ncit","NCIT","NCIT_C93179","The pole of the kidney located in the uppermost region of the kidney.","Upper Pole of Kidney","NCIT:C93179","class"
"http://purl.obolibrary.org/obo/NCIT_C93180","ncit","NCIT","NCIT_C93180","The pole of the kidney located in the lowest region of the kidney.","Lower Pole of Kidney","NCIT:C93180","class"
"http://purl.obolibrary.org/obo/NCIT_C61107","ncit","NCIT","NCIT_C61107","Part of the upper urinary tract located in the retroperitoneum. The kidneys are the functional unit of the urinary system producing urine, which is transported from the renal pelvis of each kidney to the urinary bladder by the ipsilateral ureter.","Kidney and Ureter","NCIT:C61107","class"
