"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"CEREBELLUM/POSTERIOR FOSSA","Cerebellum","NCIT:C12445","NCIT"
"CEREBELLUM/POSTERIOR FOSSA","Posterior Cranial Fossa","NCIT:C33361","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,OTHER LOCATIONS NOS","Cerebellum","NCIT:C12445","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,OTHER LOCATIONS NOS","Posterior Cranial Fossa","NCIT:C33361","NCIT"
"POSTERIOR FOSSA, CEREBELLUM","Cerebellum","NCIT:C12445","NCIT"
"POSTERIOR FOSSA, CEREBELLUM","Posterior Cranial Fossa","NCIT:C33361","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,VENTRICLES","Cerebellum","NCIT:C12445","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,VENTRICLES","Posterior Cranial Fossa","NCIT:C33361","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,VENTRICLES","Brain Ventricle","NCIT:C12445","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,SPINAL CORD- CERVICAL,SPINAL CORD- LUMBAR/THECAL SAC,SPINAL CORD- THORACIC","Cerebellum","NCIT:C12445","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,SPINAL CORD- CERVICAL,SPINAL CORD- LUMBAR/THECAL SAC,SPINAL CORD- THORACIC","Posterior Cranial Fossa","NCIT:C33361","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,SPINAL CORD- CERVICAL,SPINAL CORD- LUMBAR/THECAL SAC,SPINAL CORD- THORACIC","Cervical Spinal Cord","NCIT:C12892","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,SPINAL CORD- CERVICAL,SPINAL CORD- LUMBAR/THECAL SAC,SPINAL CORD- THORACIC","Lumbar Spine","NCIT:C69314","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,SPINAL CORD- CERVICAL,SPINAL CORD- LUMBAR/THECAL SAC,SPINAL CORD- THORACIC","Spinal Cord Dura Mater","NCIT:C49799","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,SPINAL CORD- CERVICAL,SPINAL CORD- LUMBAR/THECAL SAC,SPINAL CORD- THORACIC","Thoracic Spine","NCIT:C69315","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,FRONTAL LOBE","Cerebellum","NCIT:C12445","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,FRONTAL LOBE","Posterior Cranial Fossa","NCIT:C33361","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,FRONTAL LOBE","Frontal Lobe","NCIT:C12352","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,HIPPOCAMPUS,OTHER LOCATIONS NOS,SPINAL CORD- THORACIC,TEMPORAL LOBE,THALAMUS","Cerebellum","NCIT:C12445","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,HIPPOCAMPUS,OTHER LOCATIONS NOS,SPINAL CORD- THORACIC,TEMPORAL LOBE,THALAMUS","Posterior Cranial Fossa","NCIT:C33361","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,HIPPOCAMPUS,OTHER LOCATIONS NOS,SPINAL CORD- THORACIC,TEMPORAL LOBE,THALAMUS","Hippocampus","NCIT:C12444","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,HIPPOCAMPUS,OTHER LOCATIONS NOS,SPINAL CORD- THORACIC,TEMPORAL LOBE,THALAMUS","Thoracic Spine","NCIT:C69315","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,HIPPOCAMPUS,OTHER LOCATIONS NOS,SPINAL CORD- THORACIC,TEMPORAL LOBE,THALAMUS","Temporal Lobe","NCIT:C12353","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,HIPPOCAMPUS,OTHER LOCATIONS NOS,SPINAL CORD- THORACIC,TEMPORAL LOBE,THALAMUS","Thalamus","NCIT:C12459","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,MENINGES/DURA,SPINAL CORD- CERVICAL,SPINAL CORD- THORACIC,VENTRICLES","Cerebellum","NCIT:C12445","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,MENINGES/DURA,SPINAL CORD- CERVICAL,SPINAL CORD- THORACIC,VENTRICLES","Posterior Cranial Fossa","NCIT:C33361","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,MENINGES/DURA,SPINAL CORD- CERVICAL,SPINAL CORD- THORACIC,VENTRICLES","Meninges","NCIT:C12348","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,MENINGES/DURA,SPINAL CORD- CERVICAL,SPINAL CORD- THORACIC,VENTRICLES","Dura Mater","NCIT:C32488","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,MENINGES/DURA,SPINAL CORD- CERVICAL,SPINAL CORD- THORACIC,VENTRICLES","Cervical Spinal Cord","NCIT:C12892","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,MENINGES/DURA,SPINAL CORD- CERVICAL,SPINAL CORD- THORACIC,VENTRICLES","Thoracic Spine","NCIT:C69315","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,MENINGES/DURA,SPINAL CORD- CERVICAL,SPINAL CORD- THORACIC,VENTRICLES","Brain Ventricle","NCIT:C12356","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,SUPRASELLAR/HYPOTHALAMIC/PITUITARY","Cerebellum","NCIT:C12445","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,SUPRASELLAR/HYPOTHALAMIC/PITUITARY","Posterior Cranial Fossa","NCIT:C33361","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,SUPRASELLAR/HYPOTHALAMIC/PITUITARY","Hypothalamus","NCIT:C12458","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,OPTIC PATHWAY,OTHER LOCATIONS NOS,SUPRASELLAR/HYPOTHALAMIC/PITUITARY,THALAMUS","Cerebellum","NCIT:C12445","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,OPTIC PATHWAY,OTHER LOCATIONS NOS,SUPRASELLAR/HYPOTHALAMIC/PITUITARY,THALAMUS","Posterior Cranial Fossa","NCIT:C33361","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,OPTIC PATHWAY,OTHER LOCATIONS NOS,SUPRASELLAR/HYPOTHALAMIC/PITUITARY,THALAMUS","Visual Pathway","NCIT:C41445","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,OPTIC PATHWAY,OTHER LOCATIONS NOS,SUPRASELLAR/HYPOTHALAMIC/PITUITARY,THALAMUS","Hypothalamus","NCIT:C12458","NCIT"
"CEREBELLUM/POSTERIOR FOSSA,OPTIC PATHWAY,OTHER LOCATIONS NOS,SUPRASELLAR/HYPOTHALAMIC/PITUITARY,THALAMUS","Thalamus","NCIT:C12459","NCIT"
"CORTICAL","Cerebral Cortex","NCIT:C12443","NCIT"
"SPINAL CORD- CERVICAL","Cervical Spinal Cord","NCIT:C12892","NCIT"
"SPINAL CORD- CERVICAL,SPINAL CORD- THORACIC","Cervical Spinal Cord","NCIT:C12892","NCIT"
"SPINAL CORD- CERVICAL,SPINAL CORD- THORACIC","Thoracic Spine","NCIT:C69315","NCIT"
"CERVIXUTERUS","Cervix Uteri","NCIT:C12311","NCIT"
"CHEST WALL","Chest Wall","NCIT:C62484","NCIT"
"CHEST - CHEST WALL","Chest Wall","NCIT:C62484","NCIT"
"DIAGNOSIS CANCER LOC CHEST WALL","Chest Wall","NCIT:C62484","NCIT"
"CHEST WALLHEAD","Chest Wall","NCIT:C62484","NCIT"
"CHEST WALL METASTASIS","Chest Wall","NCIT:C62484","NCIT"
"CHEST WALL, RIGHT RIBS SIX AND SEVEN","Chest Wall","NCIT:C62484","NCIT"
"CHEST WALL, RIGHT RIBS SIX AND SEVEN","Rib 6","NCIT:C52762","NCIT"
"CHEST WALL, RIGHT RIBS SIX AND SEVEN","Rib 7","NCIT:C52761","NCIT"
"COLON","Colon","NCIT:C12382","NCIT"
"CORPUS CALLOSUM","Corpus Callosum","NCIT:C12446","NCIT"
"DESCENDING COLON","Descending Colon","NCIT:C12268","NCIT"
"DIAPHRAGM","Diaphragm","NCIT:C12702","NCIT"
"DURA","Dura Mater","NCIT:C32488","NCIT"
"ELBOW METASTASIS","Elbow Joint","NCIT:C32497","NCIT"
"EPIDURAL","Epidural Spinal Canal Space","NCIT:C41449","NCIT"
"ETHMOID","Ethmoid Bone","NCIT:C12711","NCIT"
"ETHMOID SINUS","Ethmoid Sinus","NCIT:C12276","NCIT"
"FACIAL SOFT TISSUE","Face","NCIT:C13071","NCIT"
"FLOOR OF MOUTH","Floor of Mouth","NCIT:C54187","NCIT"
"FOOT/ANKLE","Foot","NCIT:C32622","NCIT"
"FOOT/ANKLE","Ankle Joint","NCIT:C32078","NCIT"
"FOREARM METASTASIS","Forearm","NCIT:C32628","NCIT"
"4TH VENTRICLE","Fourth Ventricle","NCIT:C12828","NCIT"
"FRONTAL LOBE","Frontal Lobe","NCIT:C12352","NCIT"
"FRONTAL - CROSSES MIDLINE","Frontal Lobe","NCIT:C12352","NCIT"
"FRONTAL LOBE,PARIETAL LOBE","Frontal Lobe","NCIT:C12352","NCIT"
"FRONTAL LOBE,PARIETAL LOBE","Parietal Lobe","NCIT:C12354","NCIT"
"FRONTAL AND PARIETAL LOBE","Frontal Lobe","NCIT:C12352","NCIT"
"FRONTAL AND PARIETAL LOBE","Parietal Lobe","NCIT:C12354","NCIT"
"FRONTOPARIETAL","Frontal Lobe","NCIT:C12352","NCIT"
"FRONTOPARIETAL","Parietal Lobe","NCIT:C12354","NCIT"
"FRONTAL LOBE,PARIETAL LOBE,TEMPORAL LOBE","Frontal Lobe","NCIT:C12352","NCIT"
"FRONTAL LOBE,PARIETAL LOBE,TEMPORAL LOBE","Parietal Lobe","NCIT:C12354","NCIT"
"FRONTAL LOBE,PARIETAL LOBE,TEMPORAL LOBE","Temporal Lobe","NCIT:C12353","NCIT"
"FRONTAL, PARIETAL AND TEMPORAL LOBE","Frontal Lobe","NCIT:C12352","NCIT"
"FRONTAL, PARIETAL AND TEMPORAL LOBE","Parietal Lobe","NCIT:C12354","NCIT"
"FRONTAL, PARIETAL AND TEMPORAL LOBE","Temporal Lobe","NCIT:C12353","NCIT"
"FRONTAL LOBE,SUPRASELLAR/HYPOTHALAMIC/PITUITARY,THALAMUS,VENTRICLES","Frontal Lobe","NCIT:C12352","NCIT"
"FRONTAL LOBE,SUPRASELLAR/HYPOTHALAMIC/PITUITARY,THALAMUS,VENTRICLES","Hypothalamus","NCIT:C12458","NCIT"
"FRONTAL LOBE,SUPRASELLAR/HYPOTHALAMIC/PITUITARY,THALAMUS,VENTRICLES","Thalamus","NCIT:C12459","NCIT"
"FRONTAL LOBE,SUPRASELLAR/HYPOTHALAMIC/PITUITARY,THALAMUS,VENTRICLES","Brain Ventricle","NCIT:C12356","NCIT"
"FRONTAL AND TEMPORAL LOBE","Frontal Lobe","NCIT:C12352","NCIT"
"FRONTAL AND TEMPORAL LOBE","Temporal Lobe","NCIT:C12353","NCIT"
"FUNDUS/BODY","Fundus of the Stomach","NCIT:C12257","NCIT"
"FUNDUS/BODY","Body of Stomach","NCIT:C12258","NCIT"
"CARDIA","Gastric Cardia","NCIT:C12256","NCIT"
"GEJ","Gastroesophageal Junction","NCIT:C32668","NCIT"
"GLANS PENIS","Glans Penis","NCIT:C12324","NCIT"
"GLUTEAL METASTASIS","Gluteal Muscle","NCIT:C78205","NCIT"
"GREATER CURVE","Greater Curvature of the Stomach","NCIT:C12262","NCIT"
"INFRACOLIC OMENTUM","Greater Omentum","NCIT:C32697","NCIT"
"HAND","Hand","NCIT:C32712","NCIT"
"HARD PALATE","Hard Palate","NCIT:C12230","NCIT"
"HEAD","Head of the Pancreas","NCIT:C12269","NCIT"
"HEAD-BODY","Head of the Pancreas","NCIT:C12269","NCIT"
"HEAD-BODY","Body of the Pancreas","NCIT:C12270","NCIT"
"HEAD AND BODY","Head of the Pancreas","NCIT:C12269","NCIT"
"HEAD AND BODY","Body of the Pancreas","NCIT:C12270","NCIT"
"TAIL AND HEAD","Head of the Pancreas","NCIT:C12269","NCIT"
"TAIL AND HEAD","Tail of the Pancreas","NCIT:C12271","NCIT"
"HEAD-UNCINATE PROCESS","Head of the Pancreas","NCIT:C12269","NCIT"
"HEAD-UNCINATE PROCESS","Uncinate Process of Pancreas","NCIT:C62432","NCIT"
"HEPATIX FLEXURE","Hepatic Flexure","NCIT:C12266","NCIT"
"HYPOPHARYNX","Hypopharynx","NCIT:C12246","NCIT"
"LARYNGOPHARYNX","Hypopharynx","NCIT:C12246","NCIT"
"HYPOTHALAMUS","Hypothalamus","NCIT:C12458","NCIT"
"ILIAC","Ilium","NCIT:C32765","NCIT"
"INFRATENTORIAL","Infratentorial Brain","NCIT:C12509","NCIT"
"INTRA-ABDOMINALSMALL INTESTINE","Small Intestine","NCIT:C12386","NCIT"
"L2 VETEBRAL BODY","L2 Vertebra","NCIT:C32900","NCIT"
"LACRIMAL GLAND","Lacrimal Gland","NCIT:C12346","NCIT"
"LARYNX","Larynx","NCIT:C12420","NCIT"
"TEMPORAL, PARIETAL LOBE, AND LATERAL  VENTRICLE","Lateral Ventricle","NCIT:C12834","NCIT"
"TEMPORAL, PARIETAL LOBE, AND LATERAL  VENTRICLE","Parietal Lobe","NCIT:C12354","NCIT"
"TEMPORAL, PARIETAL LOBE, AND LATERAL  VENTRICLE","Temporal Lobe","NCIT:C12353","NCIT"
"L ARM MELANOMA","Left Arm","NCIT:C105633","NCIT"
"LEFT COLON","Left Colon","NCIT:C33929","NCIT"
"LEFT GLUTEUS","Left Gluteus Medius","NCIT:C105638","NCIT"
"LEFT LEG","Left Leg","NCIT:C176864","NCIT"
"LIVER LEFT LOBE","Left Lobe of the Liver","NCIT:C32965","NCIT"
"LIVER LEFT LOBE+LIVER RIGHT LOBE","Left Lobe of the Liver","NCIT:C32965","NCIT"
"LIVER LEFT LOBE+LIVER RIGHT LOBE","Right Lobe of the Liver","NCIT:C33481","NCIT"
"LEFT THIGH","Left Thigh","NCIT:C105632","NCIT"
"LEFT THIGH METASTASIS","Left Thigh","NCIT:C105632","NCIT"
"LEFT ABDOMEN DIAPHRAGM","Diaphragm","NCIT:C12702","NCIT"
"LEFT CEREBELLUM","Cerebellum","NCIT:C12445","NCIT"
"LEFT CERVICAL","Cervix Uteri","NCIT:C12311","NCIT"
"CHEST WALL, LEFT","Chest Wall","NCIT:C62484","NCIT"
"LEFT CHEST, DIAPHRAM","Diaphragm","NCIT:C12702","NCIT"
"LEFT DISTAL FEMUR","Femur","NCIT:C12717","NCIT"
"LEFT BROW","Eyebrow","NCIT:C32575","NCIT"
"LEFT FEMORAL HEAD, NECK, AND CURETTINGS","Femoral Neck","NCIT:C61563","NCIT"
"LEFT FEMORAL HEAD, NECK, AND CURETTINGS","Head of the Femur","NCIT:C32718","NCIT"
"LEFT FEMUR","Femur","NCIT:C12717","NCIT"
"LEFT FRONTAL","Frontal Lobe","NCIT:C12352","NCIT"
"LEFT FRONTAL LOBE","Frontal Lobe","NCIT:C12352","NCIT"
"""BRAIN, LEFT FRONTAL""","Frontal Lobe","NCIT:C12352","NCIT"
"LEFT FRONTOTEMPORAL","Frontal Lobe","NCIT:C12352","NCIT"
"LEFT FRONTOTEMPORAL","Temporal Lobe","NCIT:C12353","NCIT"
"LEFT ILIAC","Ilium","NCIT:C32765","NCIT"
"INFRARENAL MASS LEFT","Infrarenal Aortic Segment","NCIT:C116179","NCIT"
"LEFT OCCIPITAL","Occipital Lobe","NCIT:C12355","NCIT"
"BRAIN, LEFT OCCIPITAL","Occipital Lobe","NCIT:C12355","NCIT"
"LEFT OCCIPITAL BRAIN","Occipital Lobe","NCIT:C12355","NCIT"
"LEFT OVARY","Ovary","NCIT:C12404","NCIT"
"LEFT PARIETAL","Parietal Lobe","NCIT:C12354","NCIT"
"BRAIN, LEFT PARIETAL","Parietal Lobe","NCIT:C12354","NCIT"
"LEFT PARIETAL BRAIN METASTASIS","Parietal Lobe","NCIT:C12354","NCIT"
"LEFT PARIETO-OCCIPITAL","Parietal Lobe","NCIT:C12354","NCIT"
"LEFT PARIETO-OCCIPITAL","Occipital Lobe","NCIT:C12355","NCIT"
"LEFT OCCIPITAL-PARIETAL","Parietal Lobe","NCIT:C12354","NCIT"
"LEFT OCCIPITAL-PARIETAL","Occipital Lobe","NCIT:C12355","NCIT"
"LEFT PARIETAL, RIGHT PARIETAL","Parietal Lobe","NCIT:C12354","NCIT"
"LEFT PARIETAL, RIGHT PARIETAL","Parietal Lobe","NCIT:C12354","NCIT"
"L PARIETAL SCALP","Parietal Lobe","NCIT:C12354","NCIT"
"LEFT POSTERIOR MEDIASTINAL","Posterior Mediastinum","NCIT:C33368","NCIT"
"LEFT POSTERIOR TEMPORAL","Temporal Lobe","NCIT:C12353","NCIT"
"LEFT SIXTH RIB","Rib 6","NCIT:C52762","NCIT"
"LEFT 9TH RIB","Rib 9","NCIT:C52759","NCIT"
"LEFT TEMPORAL","Temporal Lobe","NCIT:C12353","NCIT"
"BRAIN, LEFT TEMPORAL","Temporal Lobe","NCIT:C12353","NCIT"
"LEFT TEMPORAL BRAIN","Temporal Lobe","NCIT:C12353","NCIT"
"L TEMPORAL BRAIN METASTASIS","Temporal Lobe","NCIT:C12353","NCIT"
"LEFT TEMPORAL-OCCIPITAL","Temporal Lobe","NCIT:C12353","NCIT"
"LEFT TEMPORAL-OCCIPITAL","Occipital Lobe","NCIT:C12355","NCIT"
"LEFT TEMPOROPARIETAL","Temporal Lobe","NCIT:C12353","NCIT"
"LEFT PARIETOTEMPORAL","Temporal Lobe","NCIT:C12353","NCIT"
"LESSER CURVE","Lesser Curvature of the Stomach","NCIT:C12261","NCIT"
"LUNGLINGULA","Lingula of the Lung","NCIT:C40373","NCIT"
"LIP","Lip","NCIT:C12220","NCIT"
"PERIPORTAL","Liver Acinus Zone 1","NCIT:C32993","NCIT"
"SKULL, LIVER, PULMONARY PARENCHYNA","Skull","NCIT:C12789","NCIT"
"LUNG, LEFT LOBE","Lobe of the Left Lung","NCIT:C48945","NCIT"
"LOWER EXTREMITY - FOOT/ANKLE","Foot","NCIT:C32622","NCIT"
"LOWER EXTREMITY - FOOT/ANKLE","Ankle Joint","NCIT:C32078","NCIT"
"LOWER EXTREMITY - LOWER LEG/CALF","Leg","NCIT:C32974","NCIT"
"LOWER EXTREMITY - THIGH/KNEE","Thigh","NCIT:C33763","NCIT"
"LOWER EXTREMITY - THIGH/KNEE","Knee Joint","NCIT:C32898","NCIT"
"LUNG, LEFT LOWER LOBE","Lower Lobe of the Left Lung","NCIT:C33020","NCIT"
"LEFT LOWER LOBE","Lower Lobe of the Left Lung","NCIT:C33020","NCIT"
"LUNG/LEFT LOWER LOBE","Lower Lobe of the Left Lung","NCIT:C33020","NCIT"
"LEFT LUNG LOWER LOBE","Lower Lobe of the Left Lung","NCIT:C33020","NCIT"
"LUNG/LOWER LOBE","Lower Lobe of the Lung","NCIT:C12287","NCIT"
"LUNG, RIGHT LOWER LOBE","Lower Lobe of the Right Lung","NCIT:C33022","NCIT"
"RIGHT  LUNG/LOWER LOBE","Lower Lobe of the Right Lung","NCIT:C33022","NCIT"
"LOWER LEG/CALF","Leg","NCIT:C32974","NCIT"
"SPINAL CORD- LUMBAR/THECAL SAC","Lumbar Spine","NCIT:C69314","NCIT"
"SPINAL CORD- LUMBAR/THECAL SAC","Spinal Cord Dura Mater","NCIT:C49799","NCIT"
"SPINAL CORD- LUMBAR/THECAL SAC,SPINAL CORD- THORACIC","Lumbar Spine","NCIT:C69314","NCIT"
"SPINAL CORD- LUMBAR/THECAL SAC,SPINAL CORD- THORACIC","Spinal Cord Dura Mater","NCIT:C49799","NCIT"
"SPINAL CORD- LUMBAR/THECAL SAC,SPINAL CORD- THORACIC","Thoracic Spine","NCIT:C69315","NCIT"
"OTHER LOCATIONS NOS,SPINAL CORD- LUMBAR/THECAL SAC,SPINAL CORD- THORACIC,VENTRICLES","Lumbar Spine","NCIT:C69314","NCIT"
"OTHER LOCATIONS NOS,SPINAL CORD- LUMBAR/THECAL SAC,SPINAL CORD- THORACIC,VENTRICLES","Spinal Cord Dura Mater","NCIT:C49799","NCIT"
"OTHER LOCATIONS NOS,SPINAL CORD- LUMBAR/THECAL SAC,SPINAL CORD- THORACIC,VENTRICLES","Thoracic Spine","NCIT:C69315","NCIT"
"OTHER LOCATIONS NOS,SPINAL CORD- LUMBAR/THECAL SAC,SPINAL CORD- THORACIC,VENTRICLES","Brain Ventricle","NCIT:C12356","NCIT"
"OTHER LOCATIONS NOS,SPINAL CORD- LUMBAR/THECAL SAC,SPINAL CORD- THORACIC,TEMPORAL LOBE","Lumbar Spine","NCIT:C69314","NCIT"
"OTHER LOCATIONS NOS,SPINAL CORD- LUMBAR/THECAL SAC,SPINAL CORD- THORACIC,TEMPORAL LOBE","Spinal Cord Dura Mater","NCIT:C49799","NCIT"
"OTHER LOCATIONS NOS,SPINAL CORD- LUMBAR/THECAL SAC,SPINAL CORD- THORACIC,TEMPORAL LOBE","Thoracic Spine","NCIT:C69315","NCIT"
"OTHER LOCATIONS NOS,SPINAL CORD- LUMBAR/THECAL SAC,SPINAL CORD- THORACIC,TEMPORAL LOBE","Temporal Lobe","NCIT:C12353","NCIT"
"LYMPH NODE, RIGHT PARA ILIAC","Ilium","NCIT:C32765","NCIT"
"MANDIBLE","Mandible","NCIT:C12290","NCIT"
"MAXILLA","Maxilla","NCIT:C26470","NCIT"
"MAXILLARY SINUS","Maxillary Sinus","NCIT:C12275","NCIT"
"BRAIN STEM-MEDULLA,VENTRICLES","Medulla Oblongata","NCIT:C12442","NCIT"
"BRAIN STEM-MEDULLA,VENTRICLES","Brain Ventricle","NCIT:C12356","NCIT"
"CHIN","Mentum","NCIT:C81169","NCIT"
"MIDDLE","Middle Lobe of the Prostate","NCIT:C13094","NCIT"
"LUNG, RIGHT MIDDLE LOBE","Middle Lobe of the Right Lung","NCIT:C12286","NCIT"
"RIGHT MIDDLE LOBE","Middle Lobe of the Right Lung","NCIT:C12286","NCIT"
"LUNG/MIDDLE LOBE","Middle Lobe of the Right Lung","NCIT:C12286","NCIT"
"APEXMIDDLE","Apex of the Prostate","NCIT:C13087","NCIT"
"APEXMIDDLEBASE","Apex of the Prostate","NCIT:C13087","NCIT"
"APEXMIDDLEBASE","Base of the Prostate","NCIT:C13088","NCIT"
"MIDDLEBASE","Base of the Prostate","NCIT:C13088","NCIT"
"MULTIFOCAL LEFT FRONTAL/TEMPORAL/PARIETAL; RIGHT OCCIPITAL","Frontal Lobe","NCIT:C12352","NCIT"
"MULTIFOCAL LEFT FRONTAL/TEMPORAL/PARIETAL; RIGHT OCCIPITAL","Parietal Lobe","NCIT:C12354","NCIT"
"MULTIFOCAL LEFT FRONTAL/TEMPORAL/PARIETAL; RIGHT OCCIPITAL","Temporal Lobe","NCIT:C12353","NCIT"
"MULTIFOCAL LEFT FRONTAL/TEMPORAL/PARIETAL; RIGHT OCCIPITAL","Occipital Lobe","NCIT:C12355","NCIT"
