,original_value,curated_ontology,match_level,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score
98,Bevacizumab,Bevacizumab,1,Bevacizumab,1.0000,Bortezomib,0.9227,Rituximab,0.9107,Sorafenib,0.9094,Everolimus,0.9064
99,Bevasizumab,Bevacizumab,1,Bevacizumab,0.9130,Vinblastine,0.8992,Vinorelbine,0.8986,Vemurafenib,0.8967,Vorinostat,0.8918
100,Bevicizumab,Bevacizumab,1,Bevacizumab,0.9065,Bortezomib,0.8892,Istiratumab,0.8801,Brentuximab Vedotin,0.8783,Adalimumab,0.8767
101,Bicalutamide,Bicalutamide,1,Bicalutamide,1.0000,Enzalutamide,0.9358,Abiraterone Acetate,0.9023,Abiraterone,0.8991,Antiandrogen Therapy,0.8991
102,Bilateral Mastectomy,Bilateral Mastectomy,1,Bilateral Mastectomy,1.0000,Mastectomy,0.9486,Bilateral,0.9457,Bilateral,0.9457,Bilateral,0.9457
103,Bilateral Ovarian cystectomy,Bilateral;Ovarian;Cystectomy,99,Cystectomy,0.9432,Cystectomy,0.9432,Cystectomy,0.9432,Bilateral Salpingectomy,0.9369,Bilateral Salpingectomy with Oophorectomy,0.9347
104,Bilateral Salpingectomy,Bilateral Salpingectomy,1,Bilateral Salpingectomy,1.0000,Bilateral Salpingectomy with Oophorectomy,0.9569,Unilateral Salpingo-oophorectomy,0.9503,Partial Salpingectomy,0.9420,Bilateral Mastectomy,0.9315
105,Bilateral Salpingo-Oophorectomy,Bilateral Salpingectomy with Oophorectomy,2,Unilateral Salpingo-oophorectomy,0.9815,Bilateral Salpingectomy with Oophorectomy,0.9774,Bilateral Salpingectomy,0.9696,Unilateral Oophorectomy,0.9588,Bilateral Mastectomy,0.9207
106,Bilateral breast reconstruction with tissue expanders.,Tissue Expander-Implant Breast Reconstruction;Bilateral,99,Tissue Expander-Implant Breast Reconstruction,0.9681,Tissue Flap Breast Reconstruction,0.9208,Bilateral Mastectomy,0.9175,Biopsy of Breast,0.9005,Breast Conservation Treatment,0.8941
107,Bilateral skin sparing Mastectomy,Bilateral;Skin-Sparing Mastectomy,99,Skin-Sparing Mastectomy,0.9749,Skin-Sparing Mastectomy,0.9749,Bilateral Mastectomy,0.9377,Mastectomy,0.9184,Bilateral Salpingectomy,0.9167
108,Bile Duct Resection,Bile Duct;Resection,99,Resection,0.9297,Resection,0.9297,Resection,0.9297,Resection,0.9297,Resection,0.9297
109,Binimetinib (MEK162),Binimetinib,1,Binimetinib,0.9737,Cobimetinib,0.9275,Anti-CD33 Monoclonal Antibody BI 836858,0.8990,Axitinib,0.8933,Bevacizumab,0.8931
110,Biochemo,Biochemotherapy,1,Biochemotherapy,0.9490,Bleomycin,0.8791,Dasatinib,0.8788,Bile Duct,0.8678,Cyclosporine,0.8656
111,Biochemotherapy,Biochemotherapy,1,Biochemotherapy,1.0000,Bleomycin,0.8879,Cytarabine,0.8863,Transarterial Chemoembolization,0.8860,Treatment Regimen,0.8846
112,Biopsy,Biopsy,1,Biopsy,1.0000,Biopsy,1.0000,Biopsy,1.0000,Biopsy,1.0000,Biopsy of Breast,0.9557
113,Bisulfan,Busulfan,99,Pracinostat,0.8894,Vorinostat,0.8894,Histone Deacetylase Inhibitor,0.8865,Ibrutinib,0.8857,Dasatinib,0.8847
114,Bladder diverticulectomy,bladder diverticulectomy,1,bladder diverticulectomy,1.0000,Nephroureterectomy with Cuff of Bladder,0.9111,Cystectomy,0.9058,Cystectomy,0.9058,Cystectomy,0.9058
115,Bleo,Bleomycin,2,Bevacizumab,0.8989,Bleomycin,0.8985,Biopsy,0.8692,Biopsy,0.8692,Biopsy,0.8692
116,Bleomycin,Bleomycin,1,Bleomycin,1.0000,Vinblastine,0.9030,Bortezomib,0.9018,Bevacizumab,0.8979,Lapatinib,0.8953
117,Blood Draw,Blood Sample,1,Blood Sample,0.9414,Biopsy,0.8852,Biopsy,0.8852,Biopsy,0.8852,Biopsy,0.8852
118,Bone marrow transplant,Bone Marrow Transplantation,1,Bone Marrow Transplantation,0.9865,Hematopoietic Cell Transplantation,0.9237,Autologous Hematopoietic Stem Cell Transplantation,0.9134,Allogeneic Hematopoietic Stem Cell Transplantation,0.9109,Allogeneic Hematopoietic Stem Cell Transplantation,0.9109
119,Bortezomib,Bortezomib,1,Bortezomib,1.0000,Bevacizumab,0.9227,Vinblastine,0.9078,Nab-paclitaxel,0.9075,Paclitaxel,0.9048
120,Breast Conservation,Breast Conservation Treatment,1,Breast Conservation Treatment,0.9632,Left Breast,0.9015,Biopsy of Breast,0.9001,Tissue Flap Breast Reconstruction,0.8945,Mastectomy,0.8921
121,Bu,Busulfan,1,Busulfan,0.8892,Bevacizumab,0.8799,Bleomycin,0.8723,Crenolanib,0.8715,Bortezomib,0.8709
122,Buparlisib,Buparlisib,1,Buparlisib,1.0000,Pilaralisib,0.9003,Acalisib,0.8940,Ponatinib,0.8894,Dactolisib,0.8878
123,Busul,Busulfan,1,Busulfan,0.9212,Bevacizumab,0.8641,Lapatinib,0.8600,Eribulin,0.8583,Zoligratinib,0.8558
124,Busulfan,Busulfan,1,Busulfan,1.0000,Thiotepa,0.8894,Buthionine Sulfoximine,0.8881,Cyclophosphamide,0.8877,Bleomycin,0.8867
125,CABOZANTINIB (XL-148),Cabozantinib,1,Cabozantinib,0.9469,Cabazitaxel,0.9166,JAK2 Inhibitor AZD1480,0.8986,Cabiralizumab,0.8866,Nab-paclitaxel,0.8860
126,CAI (NABTT 97212),Carboxyamidotriazole,99,Nab-paclitaxel,0.8988,Anti-CD98 Monoclonal Antibody IGN523,0.8802,Anti-CD33 Monoclonal Antibody BI 836858,0.8786,Celecoxib,0.8767,Trastuzumab,0.8753
127,CAPECITABINE,Capecitabine,1,Capecitabine,1.0000,Gemcitabine,0.9101,Dasatinib,0.9066,Temozolomide,0.9053,Trastuzumab,0.9026
128,CARBOPLATIN,Carboplatin,1,Carboplatin,1.0000,Cisplatin,0.9259,Cetuximab,0.9212,Platinum,0.9131,Cyclophosphamide,0.9094
129,CBL0137,FACT Complex-targeting Curaxin CBL0137,1,FACT Complex-targeting Curaxin CBL0137,0.8952,Anti-CD98 Monoclonal Antibody IGN523,0.8675,Lisavanbulin,0.8630,Cilengitide,0.8628,Cetuximab,0.8596
130,CC115,DNA-PK/TOR Kinase Inhibitor CC-115,1,DNA-PK/TOR Kinase Inhibitor CC-115,0.9027,Celecoxib,0.8894,Capecitabine,0.8699,Decitabine,0.8686,Carboplatin,0.8676
131,CCNU,Lomustine,99,Celecoxib,0.9045,Carboplatin,0.8910,Everolimus,0.8897,Cytarabine,0.8842,Cetuximab,0.8840
132,CD123,Immunotherapeutic Agent,99,Dexamethasone,0.8806,Dexamethasone,0.8806,Lenalidomide,0.8662,Adalimumab,0.8635,Decitabine,0.8610
133,CD3,Anti-CD3 Monoclonal Antibody,1,Anti-CD3 Monoclonal Antibody,0.9422,Anti-CD33 Monoclonal Antibody BI 836858,0.9289,Cetuximab,0.8978,Anti-CD33 Antibody-drug Conjugate IMGN779,0.8925,Cyclosporine,0.8878
134,CDK46,Cyclin-Dependent Kinase Inhibitor,2,FLT3/CDK4/6 Inhibitor FLX925,0.8855,Cyclin-Dependent Kinase Inhibitor,0.8837,Vorinostat,0.8796,Lenalidomide,0.8741,Imatinib,0.8716
135,CDX-011 (GLEMBATUMUMAB),Glembatumumab,1,Glembatumumab,0.9308,Anti-CD98 Monoclonal Antibody IGN523,0.9130,Anti-CD33 Antibody-drug Conjugate IMGN779,0.9057,Anti-CD33 Monoclonal Antibody BI 836858,0.9037,Daratumumab,0.9002
136,CELECOXIB,Celecoxib,1,Celecoxib,1.0000,Cetuximab,0.9118,Carboplatin,0.8979,Cyclophosphamide,0.8973,Bevacizumab,0.8965
