,original_value,curated_ontology,match_level,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score
40,AZD1480,JAK2 Inhibitor AZD1480,1,JAK2 Inhibitor AZD1480,0.9627,PARP Inhibitor AZD2461,0.9272,ATM Kinase Inhibitor AZD1390,0.9154,DNA-PK inhibitor AZD7648,0.9090,PI3Kalpha Inhibitor AZD8835,0.9090
41,AZD8055,mTOR Kinase Inhibitor AZD8055,1,mTOR Kinase Inhibitor AZD8055,0.9523,KSP Inhibitor AZD4877,0.9235,PARP1 Inhibitor AZD9574,0.9204,APC8015F,0.9199,MEK Inhibitor AZD8330,0.9194
42,AbiCabazi (abiraterone),Abiraterone,1,Abiraterone,0.9646,Abiraterone Acetate,0.9502,Abiraterone Decanoate,0.9467,Abivertinib,0.9361,Abituzumab,0.9291
43,Abiraterone,Abiraterone,1,Abiraterone,1.0000,Abiraterone Acetate,0.9832,Abiraterone Decanoate,0.9695,Abiraterone Decanoate Depot,0.9472,Abivertinib,0.9455
44,Abiraterone acetate,Abiraterone Acetate,1,Abiraterone Acetate,1.0000,Abiraterone,0.9832,Abiraterone Decanoate,0.9654,Abiraterone Decanoate Depot,0.9522,Abiraterone Acetate/Niraparib,0.9409
45,Adalimumab,Adalimumab,1,Adalimumab,1.0000,Adalimumab Fosimdesonide,0.9450,Infliximab,0.9270,Dusigitumab,0.9188,Doxorubicin,0.9186
46,Additional resection/ margins (taken after first margin positive),Resection,99,TM4SF1-CAR/EpCAM-CAR-expressing Autologous T Cells,0.8720,Autologous Anti-EGFR/Anti-IL13Ralpha2 CAR T-cells,0.8692,Recombinant Transforming Growth Factor-Beta 1,0.8686,Autologous c-Met/PD-L1-specific CAR T-cells,0.8683,Anti-PRAME T-cell Receptor/Anti-CD3 scFv Fusion Protein IMC-F106C,0.8682
47,Adr,Doxorubicin Hydrochloride,99,Adrabetadex,0.9369,Adrafinil,0.9256,Adrogolide,0.9255,Adrogolide Hydrochloride,0.9131,Apramycin,0.9031
48,Adriamycine,Doxorubicin Hydrochloride,99,Doxorubicin,0.9548,Apramycin,0.9397,Rifamycin,0.9369,Ansamycin Antineoplastic Antibiotic,0.9363,Rutamycin,0.9357
49,Afatinib,Afatinib,1,Afatinib,1.0000,Afimoxifene,0.9377,Afatinib Dimaleate,0.9355,Finafloxacin,0.9320,Flumbatinib,0.9300
50,Alisertib,Alisertib,1,Alisertib,1.0000,Alisertib Sodium,0.9776,Ipatasertib,0.9335,Adavosertib,0.9260,Sapanisertib,0.9228
51,Alliance (enzalutamide),Enzalutamide,1,Enzalutamide,0.9585,Bicalutamide,0.9145,Androgen Receptor Antagonist ONC1-0013B,0.8993,Actisomide,0.8992,Enzacamene,0.8990
52,Alpelisib,Alpelisib,1,Alpelisib,1.0000,Alprafenone,0.9190,Alprenolol,0.9146,Acalisib,0.9145,Alpertine,0.9126
53,Anastomosis,Anastomosis,99,Larazotide,0.8831,Amoxecaine,0.8826,Infliximab,0.8817,Aspirin,0.8805,Adjuvant,0.8782
54,Anterior Pelvic Exenteration,Anterior Pelvic Exenteration,99,Exalamide,0.9017,Ex-Lax,0.8994,Exicorilant,0.8994,Exaprolol,0.8933,Exarafenib,0.8914
55,AntiEGFR,Anti-EGFR Monoclonal Antibody,1,Anti-EGFR Monoclonal Antibody,0.9303,Antiestrogen,0.9250,Antipyrine,0.9203,Anti-EGFR Monoclonal Antibody GC1118,0.9190,Antienite,0.9160
56,Ara,Cytarabine,99,Aranose,0.9599,Araprofen,0.9512,Aranotin,0.9426,Arazasetron,0.9312,Aranidipine,0.9285
57,Ara C,Cytarabine,99,Aranose,0.9318,Araprofen,0.9157,Fluorine F 18 Ara-G,0.9139,Arasertaconazole,0.9116,Aranotin,0.9112
58,Ara-C,Cytarabine,99,Aranose,0.9395,2'-F-ara-deoxyuridine,0.9329,Fluorine F 18 Ara-G,0.9289,Araprofen,0.9262,Arasertaconazole,0.9237
59,Arsenic Trioxide,Arsenic Trioxide,1,Arsenic Trioxide,1.0000,Trioxifene,0.9545,Trioxifene Mesylate,0.9371,Trioxsalen,0.9227,Arsenic Trioxide Capsule Formulation ORH 2014,0.9156
60,Arsenic.,Arsenic,99,Arsenic Trioxide,0.9384,Sodium Selenate,0.8963,Selenium Sulfide,0.8930,Quinine Arsenate,0.8926,Antisense RNA,0.8906
61,Ascites,Ascites Drainage,99,Adalimumab,0.8908,Sorafenib,0.8862,Pegaptanib,0.8857,Metethoheptazine,0.8844,Metibride,0.8830
62,Aspiration,Aspiration,99,Delanterone,0.8817,N-Acetylcysteine Amide,0.8738,Ambucaine,0.8727,Alinastine,0.8705,Vapitadine,0.8701
63,Atezolizumab,Atezolizumab,1,Atezolizumab,1.0000,Atezolizumab and Recombinant Human Hyaluronidase,0.9362,Etaracizumab,0.9318,Atenolol,0.9313,Vedolizumab,0.9301
64,Auto,Autologous Hematopoietic Stem Cell Transplantation,99,Autogene Cevumeran,0.9077,Autologous Anti-CD19/CD22 CAR T-cells AUTO3,0.9026,Mozafancogene Autotemcel,0.9024,Letetresgene Autoleucel,0.9013,Brexucabtagene Autoleucel,0.8993
65,Autopsy,Autopsy,99,Carcainium,0.8731,Burapitant,0.8728,Examorelin,0.8725,Anatibant,0.8717,Avasimibe,0.8701
66,Avastin,Bevacizumab,3,Avobenzone,0.9278,Avasimibe,0.9261,Bevacizumab,0.9233,Avorelin,0.9209,Avoparcin,0.9197
67,Avatin,Lorazepam,99,Avorelin,0.9288,Avoplacel,0.9267,Avoralstat,0.9245,Avoparcin,0.9214,Avatrombopag,0.9199
68,Axitinib,Axitinib,1,Axitinib,1.0000,Axitirome,0.9326,Everolimus,0.9222,Elenestinib,0.9132,Selumetinib,0.9129
69,Aza,Azacitidine,99,Azabon,0.9582,Azatadine,0.9508,Azaribine,0.9492,Azarole,0.9485,Azaloxan,0.9467
70,Azacitidine,Azacitidine,1,Azacitidine,1.0000,Oral Azacitidine,0.9700,Azacyclonol,0.9355,Azatadine,0.9329,Azaribine,0.9292
71,Azathioprine,Azathioprine,1,Azathioprine,1.0000,Azathioprine Sodium,0.9645,Mercaptopurine,0.9339,Azaloxan,0.9187,Thiouracil,0.9186
72,B/L Pelvic LN dissection,Bilateral Pelvic Lymph Node Dissection,99,Pyrantel,0.8599,Pancopride,0.8582,Leuprolide,0.8578,Cloponone,0.8577,Bensalan,0.8570
73,BAL101553,Lisavanbulin,99,Balicatib,0.9272,Baloxavir,0.9209,Baloramotide,0.9209,Balamapimod,0.9132,Balovaptan,0.9124
74,BAY1161909,Empesertib,99,Antibody-Drug Conjugate BAY79-4620,0.9079,Androgen Receptor Antagonist BAY 1161116,0.9046,Anti-HER2 Monoclonal Antibody BAY2701438,0.9034,BMS-188797,0.8933,Aryl Hydrocarbon Receptor Antagonist BAY2416964,0.8912
75,BCG,Bacillus Calmette-Guerin Antigen,99,BCG Vaccine,0.9737,BCG Solution,0.9512,BCG Tokyo-172 Strain Vaccine,0.9260,BCG Tokyo-172 Strain Solution,0.9210,Tuberculin,0.9208
76,BCNU,Carmustine,99,PCNU,0.9225,Anti-BCMA Monoclonal Antibody,0.8981,Anti-BCMA Antibody-drug Conjugate,0.8976,Brensocatib,0.8963,Abecomotide,0.8958
77,BEV,Bevacizumab,99,Bevurogant,0.9549,Bevonium,0.9431,Bevifimod,0.9420,Bevenopran,0.9412,Bebtelovimab,0.9392
78,BEZ235,Dactolisib,99,Bezitramide,0.9270,Bezafibrate,0.9266,Bezuclastinib,0.9197,Bezlotoxumab,0.9163,Bezeparsen,0.9040
79,BI 836858 (anti-CD33),Anti-CD33 Monoclonal Antibody BI 836858,1,Anti-CD33 Monoclonal Antibody BI 836858,0.9897,Anti-CD37 Monoclonal Antibody BI 836826,0.9852,Anti-CD32B Monoclonal Antibody BI-1607,0.9586,Anti-CD32B Monoclonal Antibody BI-1206,0.9579,Anti-CD33 Monoclonal Antibody,0.9537
80,BI6727 (VOLASERTIB),Volasertib,1,Volasertib,0.9501,Barasertib,0.9277,Volasertib Trihydrochloride,0.9243,Plk1 Inhibitor BI 2536,0.9079,mTORC1/2 Kinase Inhibitor BI 860585,0.9072
81,BI836858 (anti-CD33),Anti-CD33 Monoclonal Antibody BI 836858,1,Anti-CD33 Monoclonal Antibody BI 836858,0.9856,Anti-CD37 Monoclonal Antibody BI 836826,0.9818,Anti-CD32B Monoclonal Antibody BI-1206,0.9571,Anti-CD32B Monoclonal Antibody BI-1607,0.9566,Anti-CD39 Monoclonal Antibody AB598,0.9517
82,BKM120,Buparlisib,99,Polymyxin B1,0.8883,RevM10 Gene,0.8865,RevM10 gene/polAS gene,0.8831,Polymyxin B2,0.8810,Bleomycin B2,0.8745
83,BL-8040,Motixafortide,99,EGFR Exon 20 Insertion Inhibitor BLU-451,0.8946,BL22 Immunotoxin,0.8942,Anti-ILT4 Monoclonal Antibody MK-4830,0.8934,Indium In 111 Chimeric Monoclonal Antibody 806,0.8933,Monoclonal Antibody SHR-8068,0.8914
84,BMN-673,Talazoparib,99,BMS-184476,0.9203,FLT3 Inhibitor BMF-500,0.9120,BMS-214662,0.9118,BMS-188797,0.9042,BMX Inhibitor,0.8991
85,BMS-354825,Dasatinib,99,BMS-214662,0.9606,BMS-184476,0.9518,BMS-188797,0.9394,ATM Inhibitor M 3541,0.9293,BMS-275183,0.9273
86,BMS-754807,Dual IGF-1R/InsR Inhibitor BMS-754807,99,BMS-184476,0.9607,BMS-188797,0.9490,BMS-214662,0.9458,BMS-275183,0.9401,CCR2/CCR5 Antagonist BMS-813160,0.9253
87,BMS-986205 (IDO inhibitor),Linrodostat,99,IDO1 Inhibitor MK-7162,0.9434,IDO1 Inhibitor PF-06840003,0.9420,Anti-CD73 Monoclonal Antibody BMS-986179,0.9404,BET Inhibitor BMS-986158,0.9393,IDO1 Inhibitor,0.9388
88,BMS-986205 (P1T986205),Linrodostat,99,BMS-188797,0.9304,Anti-CD73 Monoclonal Antibody BMS-986179,0.9268,BMS-184476,0.9261,BMS-214662,0.9245,JNK1 Inhibitor BMS-986360,0.9242
89,BORTEZOMIB,Bortezomib,1,Bortezomib,1.0000,Bevacizumab,0.9227,Vancomycin,0.9127,Verapamil,0.9103,Voxilaprevir,0.9081
90,BP1001,Prexigebersen,99,BP16 Vaccine,0.9338,PD-L1 Inhibitor BPI-371153,0.9064,Liposomal Bcl-2 Antisense Oligonucleotide BP1002,0.8984,PARP1 Inhibitor AZD9574,0.8942,Everolimus,0.8916
91,BPX-501,Rivogenlecleucel,99,PD-L1 Inhibitor BPI-371153,0.9233,CDK4/6 Inhibitor BPI-16350,0.9205,CDK4/6 Inhibitor BPI-1178,0.9147,Anti-GARP/PD-L1 Bispecific Antibody BPB-101,0.9076,EGFR T790M Antagonist BPI-15086,0.9052
92,BREAST CONSERVING,Breast Conservation Treatment,99,Lapatinib,0.8821,Letrozole,0.8795,Dibusadol,0.8786,Tilorone,0.8780,Fadrozole,0.8766
93,BSO,Buthionine Sulfoximine,99,TLR Agonist BSG-001,0.9081,Bietaserpine,0.9009,Bietamiverine,0.8960,Bisbendazole,0.8909,Bisoprolol,0.8908
94,BU,Busulfan,99,Buformin,0.9395,Bumetanide,0.9334,Buflomedil,0.9315,Bufogenin,0.9289,Bufalin,0.9266
95,BYL719,Alpelisib,99,Anti-c-Met Antibody-drug Conjugate BYON3521,0.8943,Insulin Sensitizer S-707106,0.8918,Silatecan AR-67,0.8887,Relenopride,0.8854,Upinitatug Rilsodotin,0.8846
96,Bacillus Calmette-Guerin,Bacillus Calmette-Guerin Antigen,1,Bacillus Calmette-Guerin Antigen,0.9571,Bacillus Calmette-Guerin Substrain Montreal Live Antigen,0.9360,Bacillus Calmette-Guerin Substrain Tice Live Antigen,0.9326,Bacillus Calmette-Guerin Substrain Danish 1331 Live Antigen,0.9262,Bacillus Calmette-Guerin Substrain Connaught Live Antigen,0.9258
97,Bacillus Calmette-Guerin (BCG),Bacillus Calmette-Guerin Antigen,1,Bacillus Calmette-Guerin Antigen,0.9530,BCG Vaccine,0.9504,BCG Solution,0.9395,Bacillus Calmette-Guerin Substrain Tice Live Antigen,0.9355,Bacillus Calmette-Guerin Substrain Montreal Live Antigen,0.9331
98,Bevacizumab,Bevacizumab,1,Bevacizumab,1.0000,Rebastinib,0.9297,Brivanib,0.9271,Bevacizumab-IRDye 800CW,0.9268,Bortezomib,0.9227
99,Bevasizumab,Bevacizumab,99,Bevasiranib,0.9459,Bevasiranib Sodium,0.9363,Befovacimab,0.9337,Bevirimat,0.9336,Bevenopran,0.9307
100,Bevicizumab,Bevacizumab,99,Befovacimab,0.9250,Bevantolol,0.9241,Bebtelovimab,0.9198,Bevenopran,0.9145,Bevifimod,0.9141
101,Bicalutamide,Bicalutamide,1,Bicalutamide,1.0000,Enzalutamide,0.9358,Biclofibrate,0.9307,Bictegravir,0.9292,Biclodil,0.9275
102,Bilateral Mastectomy,Bilateral Mastectomy,99,Bleomycin A2,0.8805,Trastuzumab Botidotin,0.8803,Bietamiverine,0.8780,Tamoxifen,0.8759,Trastuzumab,0.8758
103,Bilateral Ovarian cystectomy,Bilateral;Ovarian;Cystectomy,99,Cysteamine,0.8985,Cysteamine Hydrochloride,0.8834,Nacubactam,0.8826,Autologous Oxidized Ovarian Tumor Cell Lysate Vaccine,0.8810,Trastuzumab Botidotin,0.8807
104,Bilateral Salpingectomy,Bilateral Salpingectomy,99,Salantel,0.8915,Salsalate,0.8897,Salazodine,0.8823,Salicin,0.8806,Salmeterol,0.8800
105,Bilateral Salpingo-Oophorectomy,Bilateral Salpingectomy with Oophorectomy,99,Trastuzumab/Hyaluronidase-oysk,0.8829,2-Hydroxyestradiol,0.8813,Salantel,0.8807,Conjugated Estrogen/Medroxyprogesterone-containing Formulation,0.8794,2-Hydroxyestrogen,0.8780
106,Bilateral breast reconstruction with tissue expanders.,Tissue Expander-Implant Breast Reconstruction;Bilateral,99,Trastuzumab Botidotin,0.8811,Estradiol Benzoate,0.8805,Ibrexafungerp,0.8802,Ex Vivo-Expanded HER2-Specific T Cells,0.8774,Bifepramide,0.8767
107,Bilateral skin sparing Mastectomy,Bilateral;Skin-Sparing Mastectomy,99,Trebenzomine,0.8743,Serclutamab,0.8727,Setmelanotide,0.8713,Topical Sirolimus,0.8705,Trastuzumab Botidotin,0.8702
108,Bile Duct Resection,Bile Duct;Resection,99,Bile Acid Sequestrant,0.8854,Colestipol,0.8569,Colestolone,0.8567,Hepatitis B Vaccine,0.8557,AFP Gene Hepatocellular Carcinoma Vaccine,0.8548
109,Binimetinib (MEK162),Binimetinib,1,Binimetinib,0.9737,Cobimetinib,0.9275,MEK inhibitor BI 3011441,0.9184,MEK/Aurora Kinase Inhibitor BI 847325,0.9172,MEK Inhibitor REC-4881,0.9168
110,Biochemo,Biochemotherapy,99,Baclofen,0.8932,Detox,0.8857,Tocofenoxate,0.8809,Baquiloprim,0.8807,Diarbarone,0.8798
111,Biochemotherapy,Biochemotherapy,99,Bleomycin Antibiotic,0.8944,Chemotherapeutic Topical Agent,0.8940,Theramide,0.8936,Detox,0.8910,Tocofibrate,0.8905
112,Biopsy,Biopsy,99,Bleomycin,0.8951,Abciximab,0.8947,Baclofen,0.8906,Carbamazepine,0.8890,Belimumab,0.8888
113,Bisulfan,Busulfan,99,Clopidogrel Bisulfate,0.9597,Sulfamethazine Bisulfate,0.9446,Chlortetracycline Bisulfate,0.9411,Cyclomethycaine Bisulfate,0.9283,Sulfacytine,0.9079
114,Bladder diverticulectomy,bladder diverticulectomy,99,Bocodepsin,0.8707,Bocodepsin Besylate,0.8682,Denibulin,0.8682,Vinburnine,0.8680,Umibecestat,0.8674
115,Bleo,Bleomycin,5,Bleselumab,0.9216,Rebastinib,0.9061,Bilastine,0.9044,Bevacizumab,0.8989,Bleomycin,0.8985
116,Bleomycin,Bleomycin,1,Bleomycin,1.0000,Bleomycin Antibiotic,0.9611,Bleomycin B2,0.9555,Bleomycin A2,0.9479,Bleomycin Sulfate,0.9424
117,Blood Draw,Blood Sample,99,Abciximab,0.8697,Meluadrine,0.8679,Peripheral Blood Lymphocyte Vaccine,0.8675,Bremelanotide,0.8657,Bevacizumab,0.8656
118,Bone marrow transplant,Bone Marrow Transplantation,99,MSCV (MGMTP140K) Retroviral Vector-Transduced CD34+ Autologous PBSC,0.8906,Therapeutic Hematopoietic Stem Cells,0.8886,Activated Marrow Infiltrating Lymphocytes,0.8853,CD3+/CD19+ Cell-depleted Unrelated or Partially Matched Donor-derived Allogeneic Peripheral Blood Stem Cells,0.8836,TBX-4000-treated Hematopoietic Stem Cells TBX-2400,0.8836
119,Bortezomib,Bortezomib,1,Bortezomib,1.0000,Bevacizumab,0.9227,Vancomycin,0.9127,Verapamil,0.9103,Voxilaprevir,0.9081
120,Breast Conservation,Breast Conservation Treatment,99,Trastuzumab Botidotin,0.8837,Brobactam,0.8760,Nacubactam,0.8753,Dibusadol,0.8744,Estradiol Benzoate,0.8727
121,Bu,Busulfan,99,Buformin,0.9395,Bumetanide,0.9334,Buflomedil,0.9315,Bufogenin,0.9289,Bufalin,0.9266
122,Buparlisib,Buparlisib,1,Buparlisib,1.0000,Buparlisib Hydrochloride,0.9734,Buparvaquone,0.9473,Bupropion,0.9258,Bupranolol,0.9207
123,Busul,Busulfan,2,Buspirone,0.9258,Busulfan,0.9212,Buserelin,0.9205,Buspirone Hydrochloride,0.8981,Besulpamide,0.8928
124,Busulfan,Busulfan,1,Busulfan,1.0000,Mesulfen,0.9309,Buspirone,0.9257,Ritrosulfan,0.9195,Pentosan Polysulfate,0.9188
125,CABOZANTINIB (XL-148),Cabozantinib,1,Cabozantinib,0.9469,Cabozantinib S-malate,0.9241,Cabazitaxel,0.9166,Anti-PRL-3 Monoclonal Antibody PRL3-zumab,0.9122,Cabastine,0.9116
126,CAI (NABTT 97212),Carboxyamidotriazole,99,CAIX Inhibitor SLC-0111,0.9092,Anti-CAIX CAR T Cells,0.9084,PD-L1/4-1BB/HSA Trispecific Fusion Protein NM21-1480,0.9006,Nabilone,0.8993,Nab-paclitaxel,0.8988
127,CAPECITABINE,Capecitabine,1,Capecitabine,1.0000,Capecitabine Rapidly Disintegrating Tablet,0.9394,Gemcitabine,0.9101,Dasatinib,0.9066,Temozolomide,0.9053
128,CARBOPLATIN,Carboplatin,1,Carboplatin,1.0000,Cisplatin,0.9259,Cetuximab,0.9212,Carbon C14-labeled Carboplatin,0.9148,Dicycloplatin,0.9125
129,CBL0137,FACT Complex-targeting Curaxin CBL0137,2,CBL-B Inhibitor HST-1011,0.9030,FACT Complex-targeting Curaxin CBL0137,0.8952,CBL-B Inhibitor NX-1607,0.8912,VCL-CB01 Vaccine,0.8910,Anti-CLDN18.2 CAR T Cells LY011,0.8877
130,CC115,DNA-PK/TOR Kinase Inhibitor CC-115,3,Radiolabeled CC49,0.9098,I 131 Monoclonal Antibody CC49,0.9080,DNA-PK/TOR Kinase Inhibitor CC-115,0.9027,Y 90 Monoclonal Antibody CC49,0.8997,Curcumin,0.8977
