query,stage,method,match1,match1_score,match1_source,match2,match2_score,match2_source,match3,match3_score,match3_source,match4,match4_score,match4_source,match5,match5_score,match5_source
PRIOR_INTRAVESICAL_THERAPY,stage3,ontology,treatment_name,1.0,PRIOR_INTRAVESICAL_THERAPY,,,,,,,,,,,,
TUMOR_PURITY,stage2,semantic,cancer_status,0.6931,tumor status,sample_type,0.6931,tumor status,cancer_type_details,0.6681,tumor description,cancer_type,0.6621,tumor diagnosis,cancer_subtype,0.6212,detailed cancer type
MSI_SCORE,stage2,semantic,studyId,0.3195,study id,patientId,0.3195,study id,treatment_number,0.2985,course number,vital_status,0.2798,outcome status,age_at_diagnosis,0.2747,age at index
MSI_TYPE,stage2,semantic,sample_type,0.3678,,specimen_type,0.3662,sample type detailed,oncotree_code,0.3552,tumor type code,cancer_type,0.3484,neoplasm type,cancer_subtype,0.3414,subtype
SAMPLE_COVERAGE,stage2,numeric,sample_count,0.6054,sample_number,,,,,,,,,,,,
AGE_AT_SEQ_REPORTED_YEARS,stage2,numeric,age_at_diagnosis,0.7592,age_at_index,age_at_procurement,0.6914,age_at_sample_collection,,,,,,,,,
BEST_RESPONSE,stage2,semantic,treatment_status,0.6609,response,treatment_notes,0.4866,comments,sex,0.3093,,vital_status,0.29,alive,treatment_number,0.2743,cycle
DISEASE_STATE,stage1,alias_exact,cancer_status,1.0,disease_state,,,,,,,,,,,,
ERDAFITINIB_TREATED,stage2,semantic,treatment_name,0.447,treatment,treatment_notes,0.4419,treatment details,treatment_end,0.4032,end of treatment,treatment_status,0.3937,,treatment_dose,0.3815,
ERDAFITINIB_TX_OS_MONTHS,stage2,numeric,treatment_duration,0.4196,duration,age_at_diagnosis,0.2665,days_to_birth_diagnosis,age_at_procurement,0.2622,age_at_sample_collection,,,,,,
ERDAFITINIB_TX_OS_STATUS,stage2,semantic,treatment_status,0.3895,status,cancer_status,0.3895,status,vital_status,0.3667,current status,sample_type,0.2745,disease status,tumor_staging_ajcc,0.1803,
ERDAFITINIB_TX_PFS_MONTHS,stage2,numeric,treatment_duration,0.3839,therapy_period,age_at_procurement,0.2383,age_at_sample_collection,,,,,,,,,
ERDAFITINIB_TX_PFS_STATUS,stage2,semantic,vital_status,0.3266,current status,treatment_status,0.3216,status,cancer_status,0.3216,status,sample_type,0.2754,tumor status,treatment_number,0.1737,
SEQUENCING_OS_MONTHS,stage2,numeric,treatment_number,0.3516,cycle_number,,,,,,,,,,,,
SEQUENCING_OS_STATUS,stage2,semantic,treatment_status,0.3478,sequential,vital_status,0.3254,outcome status,cancer_status,0.3042,status,treatment_number,0.2801,cycle number,oncotree_code,0.2742,primary diagnosis code
SMOKIMG_STATUS,stage2,semantic,treatment_status,0.4706,status,cancer_status,0.4706,status,vital_status,0.3919,current status,smoker,0.3848,,treatment_dose,0.3773,dose
DFS_MONTHS,stage2,numeric,treatment_duration,0.4784,duration,age_at_procurement,0.3039,collection_age,,,,,,,,,
DFS_STATUS,stage2,semantic,treatment_status,0.402,status,cancer_status,0.402,status,vital_status,0.3683,current status,sample_type,0.2837,disease status,disease_metastasic_site,0.1781,
METASTATIC_SITE,stage3,ontology,body_site,1.0,METASTATIC_SITE,,,,,,,,,,,,
HISTOLOGY,stage1,alias_exact,cancer_type,1.0,histology,,,,,,,,,,,,
SAMPLE_DISPLAY_NAME,stage2,semantic,sampleId,0.6936,sample name,body_site,0.4188,sample site,sample_type,0.4127,,specimen_type,0.3967,sample origin,sample_count,0.3138,
ADJ_TXT,stage2,semantic,treatment_notes,0.3516,free text,sampleId,0.2722,sample code,studyId,0.2566,study abbreviation,treatment_status,0.2544,modified,body_site,0.2502,site
DEM_ETHNICITY,stage3,value_std,ancestry_details,1.0,Not Hispanic/Latina,,,,,,,,,,,,
DEM_FAMILY,stage2,semantic,ancestry,0.491,,ancestry_details,0.4756,fine ancestry,age_group,0.2982,,country,0.2515,,location,0.2398,
DEM_RACE,stage2,semantic,ancestry,0.7088,race,ancestry_details,0.5876,race details,age_group,0.2759,,sex,0.2668,,country,0.2557,
MUTATIONAL_SOURCE,stage2,semantic,specimen_type,0.4577,specimen source,target_condition,0.3636,phenotype,treatment_group,0.3575,experimental group,molecular_subtype,0.3556,,cancer_subtype,0.3556,molecular subtype
NUMBER_PROLIFERATING_CELLS,stage2,semantic,specimen_type,0.5209,cell type,sample_count,0.3419,sample number,treatment_number,0.3385,cycle number,oncotree_code,0.3239,tumor type code,age_at_metastasis,0.2819,age at progression metastatic
PARTICIPATING_SITE,stage2,semantic,body_site,0.5869,site,location,0.55,enrollment site,curation_id,0.4482,participant id,patientId,0.4482,participant id,disease_metastasic_site,0.3114,
PERCENT_INFLAM_INFILTRATION,stage2,semantic,treatment_dose,0.2654,dose per administration,sample_count,0.2254,total samples,treatment_number,0.2192,treatment count,treatment_duration,0.2053,total treatment time,treatment_frequency,0.1879,
PERCENT_LYMPHOCYTE_INFILTRATION,stage2,semantic,treatment_name,0.3518,immunotherapy,treatment_dose,0.292,drug amount,sample_count,0.2666,samples per patient,treatment_number,0.2656,treatment count,treatment_duration,0.2613,total treatment time
PERCENT_NECROSIS,stage2,semantic,vital_status,0.4724,mortality status,cancer_status,0.3923,disease status,sample_type,0.3923,disease status,disease,0.365,clinical condition,age_at_death,0.3528,age at mortality
PERCENT_NORMAL_CELLS,stage2,semantic,specimen_type,0.3883,cell type,sample_count,0.3034,total samples,sampleId,0.225,portion id,treatment_dose,0.2126,,treatment_frequency,0.1974,
PERCENT_STROMAL_CELLS,stage2,semantic,sex,0.396,chromosomal sex,specimen_type,0.3541,tissue composition,sample_count,0.2934,total samples,cancer_status,0.2817,neoplasm status,cancer_type_details,0.2745,histology details
PERCENT_TUMOR_CELLS,stage2,semantic,cancer_status,0.5739,tumor status,sample_type,0.5739,tumor status,body_site,0.5665,tumor location,cancer_subtype,0.5542,tumor subtype,cancer_type_details,0.5538,tumor description
PERCENT_TUMOR_NUCLEI,stage2,semantic,cancer_status,0.5512,tumor status,sample_type,0.5512,tumor status,body_site,0.5371,tumor location,cancer_type,0.5166,tumor diagnosis,cancer_subtype,0.516,tumor subtype
PORTION_BARCODES,stage2,semantic,sampleId,0.7427,sample barcode,curation_id,0.6552,case barcode,patientId,0.6552,case barcode,country,0.4049,country code,oncotree_code,0.1991,
PRESERVATION,stage2,semantic,vital_status,0.4745,survival status,ancestry,0.4699,heritage,treatment_status,0.3548,adherence,sex,0.2894,,location,0.2572,
PRIM_ER,stage2,semantic,sample_type,0.2795,sample classification,patientId,0.277,pt id,sampleId,0.2716,sample name,age_at_death,0.2711,ageatdeath,treatment_notes,0.2709,miscellaneous
PRIM_ER_PCT,stage2,semantic,patientId,0.2817,pt id,age_at_procurement,0.2664,ageatprocurement,age_at_death,0.259,ageatdeath,sample_type,0.2451,sample classification,location,0.2322,institution
PRIM_HER2,stage3,ontology,cancer_type,1.0,PRIM_HER2,disease,1.0,PRIM_HER2,cancer_type_details,1.0,PRIM_HER2,,,,,,
PRIM_HER2_COPY,stage2,semantic,sampleId,0.2711,sample code,country,0.2633,iso country,specimen_type,0.2592,sample material,patientId,0.2445,pt id,body_site,0.2407,sample site
PRIM_HER2_COPYNUM,stage2,numeric,sample_count,0.3778,sample_number,treatment_number,0.327,line_number,,,,,,,,,
PRIM_HER2_FISH,stage2,semantic,sex,0.2547,gender,treatment_name,0.2519,medication,curation_id,0.2405,uuid,patientId,0.2391,patid,treatment_notes,0.2363,miscellaneous
PRIM_HER2_INTERPRETATION,stage2,semantic,sex,0.2651,gender,cancer_subtype,0.2508,histologic subtype,histological_subtype,0.2408,,cancer_type_details,0.239,histology details,cancer_type,0.2338,histology
PRIM_M,invalid,stage_column,,,,,,,,,,,,,,,
PRIM_N,invalid,stage_column,,,,,,,,,,,,,,,
PRIM_ONCOTYPE,stage2,semantic,oncotree_code,0.4904,oncotree,treatment_type,0.3461,drug class,treatment_notes,0.3403,miscellaneous,target_condition,0.3231,phenotype,age_at_procurement,0.3146,ageatprocurement
PRIM_ONCOTYPE_SOURCE,stage2,semantic,oncotree_code,0.4562,oncotree code,specimen_type,0.3488,specimen source,body_site,0.3223,site,treatment_number,0.3125,dose number,age_at_procurement,0.305,ageatprocurement
PRIM_PR,stage2,semantic,patientId,0.3554,pt id,age_at_procurement,0.3312,ageatprocurement,sampleId,0.3271,sample name,body_site,0.2979,sample site,sample_count,0.2938,
PRIM_PR_PCT,stage2,semantic,patientId,0.3887,pt id,age_at_procurement,0.3446,ageatprocurement,specimen_type,0.3182,sample material,sampleId,0.3072,sample name,sample_count,0.2996,num samples
PRIM_STAGE_DX,invalid,stage_column,,,,,,,,,,,,,,,
PRIM_T,invalid,stage_column,,,,,,,,,,,,,,,
PRIM2,stage2,semantic,patientId,0.3253,pt id,treatment_name,0.2992,pharmaceutical,studyId,0.2699,trial id,sampleId,0.2689,sample name,disease,0.2652,icd10
RADS_LOCAL_YN,stage2,semantic,location,0.3511,region,country,0.2999,geographic region,curation_id,0.2899,uuid,disease,0.2758,icd10,age_group,0.2225,
RADS_METASTATIC_YN,stage2,semantic,sample_type,0.5867,metastatic status,age_at_metastasis,0.519,metastatic age,disease_metastasis,0.4446,,disease_metastasic_site,0.4292,,tumor_staging_ajcc,0.2387,
SLIDE_BARCODE,stage2,semantic,sampleId,0.7775,sample barcode,curation_id,0.6955,case barcode,patientId,0.6955,case barcode,country,0.3708,country code,oncotree_code,0.2106,
SURGPATH,stage3,value_std,treatment_type,1.0,Mastectomy,,,,,,,,,,,,
YPM,invalid,stage_column,,,,,,,,,,,,,,,
YPN,invalid,stage_column,,,,,,,,,,,,,,,
YPRIM2,stage2,semantic,treatment_name,0.3079,drug,body_site,0.3004,site,patientId,0.2824,patid,sampleId,0.2819,sample name,ancestry,0.2801,descent
YPT,invalid,stage_column,,,,,,,,,,,,,,,
YSTAGE_AT_PSTAGING,invalid,stage_column,,,,,,,,,,,,,,,
ICD_10,stage2,semantic,disease,0.968,icd10,patientId,0.3916,case id,curation_id,0.3916,case id,sampleId,0.3663,sample id,treatment_group,0.2676,
PATH_STAGE,invalid,stage_column,,,,,,,,,,,,,,,
PATH_N_STAGE,invalid,stage_column,,,,,,,,,,,,,,,
PATH_T_STAGE,invalid,stage_column,,,,,,,,,,,,,,,
PATH_M_STAGE,invalid,stage_column,,,,,,,,,,,,,,,
AJCC_STAGING_EDITION,invalid,stage_column,,,,,,,,,,,,,,,
SMOKING_PACK_YEARS,stage2,semantic,smoker,0.5118,,age_at_death,0.4884,years to death,age_at_procurement,0.3902,age at sampling,age_group,0.3425,age bin,country,0.2508,
CLIN_M_STAGE,invalid,stage_column,,,,,,,,,,,,,,,
SMOKER_YEARS,stage2,semantic,smoker,0.7255,,age_at_death,0.5151,years to death,age_at_procurement,0.4588,age at sampling,age_at_diagnosis,0.3956,age at cancer diagnosis,age_group,0.3924,age range
CAUSE_OF_DEATH,stage3,value_std,vital_status,1.0,Alive,,,,,,,,,,,,
PFS_MONTHS,stage2,numeric,treatment_duration,0.4929,duration,age_at_procurement,0.3363,collection_age,treatment_number,0.2983,cycle_count,,,,,,
PFS_STATUS,stage2,semantic,treatment_status,0.423,status,cancer_status,0.423,status,vital_status,0.4204,current status,sample_type,0.3366,metastatic status,treatment_number,0.1494,
CLINICAL_STAGE,invalid,stage_column,,,,,,,,,,,,,,,
AGE_AT_DX,stage2,numeric,age_at_diagnosis,0.6661,baseline_age,age_at_metastasis,0.6557,age_at_met,,,,,,,,,
DSS_MONTHS,stage2,numeric,treatment_duration,0.5087,duration,age_at_death,0.3096,years_to_death,age_at_diagnosis,0.2926,days_to_birth_diagnosis,age_at_procurement,0.2883,collection_age,,,
DSS_STATUS,stage2,semantic,treatment_status,0.5146,status,cancer_status,0.5146,status,vital_status,0.4359,current status,sample_type,0.3607,disease status,patientId,0.1987,
ADJUVANT_TREATMENT,stage3,value_std,treatment_type,1.0,Systemic Chemotherapy,treatment_status,0.5,Radiotherapy,,,,,,,,,
AJCC_PATH_STAGE,invalid,stage_column,,,,,,,,,,,,,,,
CLINICAL_M_STAGE,invalid,stage_column,,,,,,,,,,,,,,,
CLINICAL_N_STAGE,invalid,stage_column,,,,,,,,,,,,,,,
CLINICAL_T_STAGE,invalid,stage_column,,,,,,,,,,,,,,,
CMS,stage2,semantic,location,0.3985,medical center,body_site,0.3411,site,curation_id,0.3212,subject id,patientId,0.3212,subject id,study_design,0.2934,
DISTANT_RECURRENCE_STATUS,stage2,semantic,treatment_status,0.3883,sequential,treatment_duration,0.3615,duration,treatment_end,0.3243,treatment end date,treatment_number,0.3209,cycle count,vital_status,0.3176,current status
HISTORY_OF_CANCER,stage2,semantic,cancer_type,0.7067,cancer,cancer_type_details,0.6683,cancer description,cancer_type_detailed,0.6312,,cancer_subtype,0.6312,cancer type detailed,cancer_status,0.5994,cancer status
ICR_HML,stage2,semantic,disease,0.559,icd9,smoker,0.3722,,sampleId,0.2968,bcr sample barcode,treatment_number,0.2954,dose count,patientId,0.2952,bcr patient barcode
ICRSCORE,stage2,semantic,disease,0.5802,icd9,ancestry,0.3034,descent,treatment_notes,0.3001,remarks,treatment_group,0.2963,cohort,smoker,0.2807,
IES,stage2,semantic,body_site,0.3114,site,treatment_notes,0.3079,miscellaneous,treatment_status,0.2758,modified,location,0.2716,,curation_id,0.2532,subject id
LOCAL_RECURRENCE_STATUS,stage2,semantic,treatment_status,0.3855,sequential,treatment_number,0.326,cycle count,vital_status,0.3123,outcome status,cancer_status,0.3015,patient status,treatment_frequency,0.279,
LOCATION_METASTASIS_AT_DX,stage3,ontology,body_site,1.0,LOCATION_METASTASIS_AT_DX,,,,,,,,,,,,
MBR_GROUP,stage2,semantic,treatment_group,0.461,control group,patientId,0.3846,bcr patient barcode,age_group,0.3817,agegroup,sampleId,0.3612,bcr sample barcode,smoker,0.3044,
MBR_SCORE,stage2,semantic,sampleId,0.4318,bcr sample barcode,patientId,0.411,bcr patient barcode,vital_status,0.2915,outcome status,treatment_number,0.2893,course number,studyId,0.2731,study abbreviation
MICROBIOME_COHORT,stage2,semantic,treatment_group,0.4923,cohort,studyId,0.4825,cohort id,age_group,0.4572,age cohort,study_design,0.4493,cohort type,sampleId,0.3399,biosample id
MICROSCORE,stage2,semantic,body_site,0.4185,biopsy site,sampleId,0.3756,tissue id,location,0.3349,medical center,patientId,0.3219,case id,curation_id,0.3219,case id
NEOADJUVANT_TREATED,stage2,semantic,cancer_status,0.5488,neoplasm status,treatment_name,0.488,treatment name,cancer_type,0.4637,neoplasm type,sample_type,0.4637,neoplasm type,treatment_notes,0.4628,treatment details
NEW_PRIMARY_TUMOR_IN_FU,stage2,semantic,cancer_type,0.5872,primary cancer type,cancer_type_details,0.5213,tumor type details,cancer_status,0.5175,tumor status,sample_type,0.5175,tumor status,body_site,0.5017,tumor location
PATH_METASTASIS_STAGE,invalid,stage_column,,,,,,,,,,,,,,,
PATH_NODES_STAGE,invalid,stage_column,,,,,,,,,,,,,,,
PATH_TUMOR_STAGE,invalid,stage_column,,,,,,,,,,,,,,,
REGIONAL_RECURRENCE_STATUS,stage2,semantic,country,0.4123,geographic region,location,0.3959,region,treatment_number,0.3465,cycle count,treatment_end,0.3198,treatment end date,treatment_status,0.3187,sequential
TCR_PRODUCTIVE_CLONALITY,stage2,semantic,tumor_staging_tnm,0.3169,,molecular_subtype,0.2932,,cancer_subtype,0.2932,molecular subtype,target_condition,0.2737,primary phenotype,treatment_group,0.2662,allocation group
TCR_PRODUCTIVE_REARRANGEMENTS,stage2,semantic,treatment_group,0.306,allocation group,treatment_status,0.2855,sequential,molecular_subtype,0.2325,,cancer_subtype,0.2325,molecular subtype,treatment_number,0.2123,cycle number
TCR_PRODUCTIVE_TEMPLATES,stage2,semantic,sampleId,0.2448,bcr sample barcode,patientId,0.2437,bcr patient barcode,specimen_type,0.2395,sample type detailed,tumor_staging_tnm,0.2079,,studyId,0.2,project code
THERAPY_METASTASIS_AT_DX,stage3,value_std,treatment_type,1.0,Systemic Chemotherapy,,,,,,,,,,,,
TUMOR_ANATOMIC_LOCATION,stage3,ontology,body_site,1.0,TUMOR_ANATOMIC_LOCATION,,,,,,,,,,,,
TUMOR_MORPHOLOGY,stage3,ontology,cancer_type,1.0,TUMOR_MORPHOLOGY,disease,1.0,TUMOR_MORPHOLOGY,cancer_type_details,1.0,TUMOR_MORPHOLOGY,,,,,,
STAGE,invalid,stage_column,,,,,,,,,,,,,,,
TUMOR_SITE,stage1,alias_exact,body_site,1.0,tumor_site,,,,,,,,,,,,
FOLLOW_UP,stage2,semantic,treatment_status,0.4243,ongoing,treatment_notes,0.3433,additional information,cancer_status,0.3179,status,treatment_name,0.2889,intervention,vital_status,0.2706,current status
ATOMIC_SITE_DETAIL,stage3,ontology,body_site,1.0,ATOMIC_SITE_DETAIL,,,,,,,,,,,,
CA19_9,stage2,semantic,disease,0.5044,icd9,treatment_number,0.3808,course number,location,0.3569,state,curation_id,0.3561,,country,0.3484,nation
CEA,stage2,semantic,location,0.3446,institution,studyId,0.3419,,patientId,0.3354,patid,curation_id,0.324,curationid,ancestry,0.3131,heritage
DISTANT_LM,stage2,semantic,location,0.3267,,treatment_group,0.261,cohort,country,0.2581,patient country,ancestry,0.2529,descent,treatment_type,0.2523,modality
HISTOPATHOLOGY,stage3,ontology,cancer_type,1.0,HISTOPATHOLOGY,disease,1.0,HISTOPATHOLOGY,cancer_type_details,1.0,HISTOPATHOLOGY,,,,,,
INTRAVASCULAR_TUMOR_THROMBUS,stage2,semantic,cancer_type_details,0.3736,tumor description,body_site,0.3588,tumor location,cancer_status,0.3576,tumor presence,cancer_type,0.3312,tumor type,sample_type,0.3312,tumor type
METASTATIC_NECROSIS,stage2,numeric,age_at_metastasis,0.6012,metastatic_age,,,,,,,,,,,,
METASTATIC_PURITY,stage2,semantic,sample_type,0.693,metastatic status,age_at_metastasis,0.5793,metastatic age,disease_metastasis,0.4119,,disease_metastasic_site,0.3909,,treatment_dose,0.3569,dose level
METASTATIC_STATUS,stage1,alias_exact,sample_type,1.0,metastatic_status,,,,,,,,,,,,
NEUROLOGICAL_INVASION,stage2,semantic,disease,0.4216,disease,target_condition,0.4197,disease of interest,cancer_status,0.3914,disease presence,disease_type,0.2884,,disease_metastasic_site,0.2339,
PAIRED_STATUS,stage2,semantic,treatment_status,0.5599,status,cancer_status,0.5599,status,vital_status,0.4942,outcome status,sex,0.2225,,target_condition,0.2049,
POSTOPERATIVE_THERAPY_WITH_TARGETED_AGENTS,stage3,ontology,treatment_name,1.0,POSTOPERATIVE_THERAPY_WITH_TARGETED_AGENTS,,,,,,,,,,,,
PREOPERATIVE_TREATMENT_EFFECT,stage2,semantic,treatment_status,0.5318,treatment outcome,treatment_name,0.4978,surgery,treatment_start,0.471,treatment initiation,treatment_notes,0.4645,treatment description,treatment_end,0.4632,treatment completion
PRETHERAPY,stage2,semantic,treatment_name,0.6791,therapy,treatment_reason,0.6229,therapy indication,treatment_type,0.6199,therapy approach,treatment_notes,0.6194,therapy description,treatment_status,0.6164,therapy outcome
PRETHERAPY_WITH_TARGETED_AGENTS,stage2,semantic,treatment_name,0.7373,targeted therapy,treatment_start,0.5625,treatment initiation,treatment_reason,0.535,therapy phase,treatment_type,0.5288,treatment approach,treatment_dose,0.4616,
PRIMARY_NECROSIS,stage2,semantic,disease,0.6601,primary disease,cancer_status,0.5419,residual disease,cancer_type,0.5009,primary diagnosis,target_condition,0.4865,primary condition,cancer_type_details,0.4471,detailed pathology
PRIMARY_PURITY,stage2,semantic,target_condition,0.4678,primary indication,treatment_dose,0.3881,dose level,curation_id,0.3547,curationid,treatment_name,0.3488,compound,cancer_type,0.3429,primary cancer type
PROGRESSION,stage2,semantic,treatment_status,0.5044,sequential,ancestry,0.472,descent,treatment_duration,0.4124,duration,treatment_name,0.4004,regimen,treatment_number,0.3975,cycle
PROGRESSION_SITE,stage3,value_std,sample_type,1.0,Relapse,,,,,,,,,,,,
PROGRESSION_TIME,stage2,numeric,treatment_duration,0.6138,duration,,,,,,,,,,,,
TNM,invalid,stage_column,,,,,,,,,,,,,,,
SUBTYPE,stage1,alias_exact,cancer_subtype,1.0,subtype,,,,,,,,,,,,
EXTRACAPSULAR_SPREAD,stage2,semantic,treatment_group,0.3171,allocation group,treatment_notes,0.317,additional information,treatment_dose,0.2649,administered dose,treatment_name,0.2413,pharmaceutical,specimen_type,0.2298,tissue source
GRADE,stage2,semantic,age_group,0.5521,age class,study_design,0.5211,study class,treatment_number,0.4768,course number,treatment_type,0.4523,drug class,treatment_dose,0.4466,dose level
IMMUNO_SUPPRESSIVE_TREATMENT,stage3,ontology,treatment_name,1.0,IMMUNO_SUPPRESSIVE_TREATMENT,,,,,,,,,,,,
NODAL_STAGE,invalid,stage_column,,,,,,,,,,,,,,,
PRIMARY_LOCATION,stage3,ontology,body_site,1.0,PRIMARY_LOCATION,,,,,,,,,,,,
PRIMARY_SITE,stage1,alias_exact,body_site,1.0,primary_site,,,,,,,,,,,,
PATIENT_DISPLAY_NAME,stage2,semantic,patientId,0.7225,patient identifier,curation_id,0.6564,patient id,cancer_status,0.5561,patient status,vital_status,0.5561,patient status,ancestry,0.5294,patient ancestry
3_WEEK_CT_OVERALL_RESPONSE,stage2,semantic,treatment_status,0.4458,treatment response,treatment_duration,0.4436,days to treatment,treatment_start,0.4436,days to treatment,treatment_end,0.3908,therapy completion date,treatment_dose,0.3089,
3_WEEK_CT_RESPONSE,stage2,semantic,treatment_duration,0.4644,days to treatment,treatment_start,0.4644,days to treatment,treatment_status,0.4474,treatment response,treatment_end,0.3967,therapy completion date,treatment_frequency,0.3879,treatment schedule
9_WEEK_MATCHED_CTDNA_RECURRENCE,stage2,semantic,age_at_procurement,0.3461,biopsy age,age_at_diagnosis,0.3177,days to birth diagnosis,sample_count,0.2941,specimen count,oncotree_code,0.2913,tumor type code,treatment_duration,0.2894,days to treatment
