original_value,curated_ontology,curated_ontology_term_id,curated_ontology_term_db
RECURRENT_ENDOMETRIAL_CARCINOMA,Recurrent Endometrial Carcinoma,NCIT:C150094,NCIT
METASTATIC HORMONE-SENSITIVE,Castration-Sensitive Prostate Carcinoma,NCIT:C153336,NCIT
MELANOMA OF UNKNOWN PRIMARY,Melanoma of Unknown Primary,NCIT:C154473,NCIT
MIT FAMILY TRANSLOCATION RENAL CELL CARCINOMA,Renal Cell Carcinoma with MiT Translocations,NCIT:C154494,NCIT
TRANSLOCATION-ASSOCIATED RENAL CELL CARCINOMA,Renal Cell Carcinoma with MiT Translocations,NCIT:C154494,NCIT
METASTATIC_OVARIAN_CANCER,Metastatic Ovarian Carcinoma,NCIT:C156064,NCIT
MCRC METASTASIS,Metastatic Colorectal Carcinoma,NCIT:C156096,NCIT
BASAL CELL CARCINOMA,Basal Cell Carcinoma,NCIT:C156767,NCIT
PROSTATE NEUROENDOCRINE CARCINOMA,Prostate Neuroendocrine Carcinoma,NCIT:C158912,NCIT
MUCOSAL MELANOMA OF THE URETHRA,Urethral Melanoma,NCIT:C159665,NCIT
SINONASAL ADENOCARCINOMA,Sinonasal Adenocarcinoma,NCIT:C160976,NCIT
HEAD AND NECK NEUROENDOCRINE CARCINOMA,Head and Neck Neuroendocrine Carcinoma,NCIT:C160980,NCIT
SEMINAL VESICLE CARCINOMA,Malignant Seminal Vesicle Neoplasm,NCIT:C161644,NCIT
HYPERMUTATED,Hypermutated Colorectal Carcinoma,NCIT:C162256,NCIT
FH-DEFICIENT RENAL CELL CARCINOMA,Fumarate Hydratase-Deficient Renal Cell Carcinoma,NCIT:C164156,NCIT
SPITZOID MELANOMA,Cutaneous Spitz Melanoma,NCIT:C165497,NCIT
MIXED CARCINOMA,Mixed Carcinoma,NCIT:C165723,NCIT
MIXED_CARCINOMA,Mixed Carcinoma,NCIT:C165723,NCIT
MIXED CANCER TYPES,Mixed Carcinoma,NCIT:C165723,NCIT
PANCREATOBILIARY,Pancreatobiliary Carcinoma,NCIT:C166418,NCIT
"GLIOBLASTOMA, IDH-MUTANT","Astrocytoma, IDH-Mutant, Grade 4",NCIT:C167335,NCIT
TC:NEC,Thymus Neuroendocrine Carcinoma,NCIT:C171031,NCIT
UTERINE NEUROENDOCRINE CARCINOMA,Endometrial Neuroendocrine Carcinoma,NCIT:C171033,NCIT
"METASTATIC, VARIANT HISTOLOGY",Aggressive Variant Prostate Carcinoma,NCIT:C171576,NCIT
COLORECTAL MSS,Microsatellite Stable Colorectal Carcinoma,NCIT:C173324,NCIT
CRC MSS,Microsatellite Stable Colorectal Carcinoma,NCIT:C173324,NCIT
COLORECTAL HYPERMUTATED,Microsatellite Stable Colorectal Carcinoma,NCIT:C173324,NCIT
CRC HM,Microsatellite Stable Colorectal Carcinoma,NCIT:C173324,NCIT
ODONTOGENIC CARCINOMA,Odontogenic Carcinoma,NCIT:C173720,NCIT
MLL-ALL,Acute Myeloid Leukemia with KMT2A Rearrangement,NCIT:C174129,NCIT
REGIONAL LYMPH NODE METASTASIS,Metastatic Malignant Neoplasm in the Regional Lymph Nodes,NCIT:C175222,NCIT
REGIONAL NODES,Metastatic Malignant Neoplasm in the Regional Lymph Nodes,NCIT:C175222,NCIT
LIPOFIBROMATOSIS-LIKE NEURAL TUMOR,NTRK-Rearranged Spindle Cell Neoplasm,NCIT:C178426,NCIT
EWING-LIKE SARCOMA,Round Cell Sarcoma with EWSR1-non-ETS Fusion,NCIT:C178459,NCIT
LOW-GRADE NEUROEPITHELIAL TUMOR,Polymorphous Low Grade Neuroepithelial Tumor of the Young,NCIT:C180378,NCIT
POLE ULTRA-MUTATED,POLEm Endometrial Endometrioid Adenocarcinoma,NCIT:C180512,NCIT
INFANTILE MYOFIBROMA,Infantile Myofibroma,NCIT:C180887,NCIT
SQUAMOUS CELL CARCINOMA OF THE VULVA/VAGINA,Vaginal Squamous Cell Carcinoma,NCIT:C180915,NCIT
DIFFUSE MIDLINE GLIOMA,Diffuse Midline Glioma,NCIT:C182151,NCIT
CILIATED MUCONODULAR PAPILLARY TUMOR OF THE LUNG,Bronchiolar Adenoma/Ciliated Muconodular Papillary Tumor,NCIT:C183045,NCIT
ST-YAP,Supratentorial Ependymoma YAP1 Fusion-Positive,NCIT:C186351,NCIT
PFA,"Posterior Fossa Ependymoma, Group A (PFA)",NCIT:C186450,NCIT
PFB,"Posterior Fossa Ependymoma, Group B (PFB)",NCIT:C186451,NCIT
ETMR,Embryonal Tumor with Multilayered Rosettes,NCIT:C186534,NCIT
THYROID PAPILLARY CARCINOMA - CLASSICAL/USUAL,Classic Thyroid Gland Papillary Carcinoma,NCIT:C187644,NCIT
ADRENOCORTICAL CARCINOMA- ONCOCYTIC TYPE,Adrenal Cortical Oncocytic Carcinoma,NCIT:C188181,NCIT
ADRENOCORTICAL CARCINOMA- MYXOID TYPE,Adrenal Cortical Myxoid Carcinoma,NCIT:C188182,NCIT
NEUROENDOCRINE TUMOR,Neuroendocrine Tumor,NCIT:C188218,NCIT
"NEUROENDOCRINE TUMOR, NOS",Neuroendocrine Tumor,NCIT:C188218,NCIT
CERVICAL NEUROENDOCRINE TUMOR,Cervical Neuroendocrine Tumor,NCIT:C188221,NCIT
MUCINOUS CARCINOMA,Mucinous Adenocarcinoma,NCIT:C26712,NCIT
MUCINOUS_CARCINOMA,Mucinous Adenocarcinoma,NCIT:C26712,NCIT
ADENOCARCINOMA WITH FOCAL MUCINOUS FEATURES,Mucinous Adenocarcinoma,NCIT:C26712,NCIT
"ADENOCARCINOMA, MUCINOUS",Mucinous Adenocarcinoma,NCIT:C26712,NCIT
SARCOMATOID,Sarcomatoid Carcinoma,NCIT:C27004,NCIT
RENAL SPINDLE CELL CARCINOMA,Sarcomatoid Carcinoma,NCIT:C27004,NCIT
SPINDLE CELL SARCOMA,Spindle Cell Sarcoma,NCIT:C27005,NCIT
DIFFUSE_HISTIOCYTIC_LYMPHOMA,"Malignant Lymphoma, Histiocytic, Diffuse",NCIT:C27099,NCIT
HAEMATOPOIETIC NEOPLASM,Hematopoietic and Lymphoid Cell Neoplasm,NCIT:C27134,NCIT
MORPHEAN,Skin Sclerosing/Morphoeic Basal Cell Carcinoma,NCIT:C27182,NCIT
SWEAT GLAND ADENOCARCINOMA,Eccrine Carcinoma,NCIT:C27255,NCIT
MDSMPN,Myelodysplastic/Myeloproliferative Neoplasm,NCIT:C27262,NCIT
MYELODYSPLASTIC/MYELOPROLIFERATIVE NEOPLASMS,Myelodysplastic/Myeloproliferative Neoplasm,NCIT:C27262,NCIT
SPINDLE CELL,Spindle Cell Neoplasm,NCIT:C27263,NCIT
EWINGS SARCOMA-PERIPHERAL PRIMITIVE NEUROECTODERMAL TUMOUR,Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor,NCIT:C27291,NCIT
EWING FAMILY TUMOR,Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor,NCIT:C27291,NCIT
HISTIOCYTIC SARCOMA,Histiocytic Sarcoma,NCIT:C27349,NCIT
SMALL CELL CARCINOMA OF THE OVARY,Ovarian Small Cell Carcinoma,NCIT:C27390,NCIT
MUCOSAL MELANOMA OF THE VULVA/VAGINA,Vaginal Melanoma,NCIT:C27394,NCIT
ESOPHAGEAL ADENOSQUAMOUS CARCINOMA,Esophageal Adenosquamous Carcinoma,NCIT:C27421,NCIT
PROXIMAL-TYPE EPITHELIOID SARCOMA,Proximal-Type Epithelioid Sarcoma,NCIT:C27472,NCIT
PROXIMAL-TYPE EPITHELIOID SARCOMA PTES,Proximal-Type Epithelioid Sarcoma,NCIT:C27472,NCIT
MYXOID CHONDROSARCOMA,Extraskeletal Myxoid Chondrosarcoma,NCIT:C27502,NCIT
EXTRASKELETAL MYXOID CHONDROSARCOMA,Extraskeletal Myxoid Chondrosarcoma,NCIT:C27502,NCIT
AGGRESSIVE DIGITAL PAPILLARY ADENOCARCINOMA,Digital Papillary Adenocarcinoma,NCIT:C27534,NCIT
EBV-ASSOCIATED,EBV-Related Lymphoma,NCIT:C27691,NCIT
PANCREATIC NEUROENDOCRINE TUMOR,Pancreatic Neuroendocrine Tumor,NCIT:C27720,NCIT
ISLET CELL TUMOR,Pancreatic Neuroendocrine Tumor,NCIT:C27720,NCIT
PANCREATIC NEUROENDOCRINE,Pancreatic Neuroendocrine Tumor,NCIT:C27720,NCIT
PANET,Pancreatic Neuroendocrine Tumor,NCIT:C27720,NCIT
THERAPY-RELATED MYELODYSPLASTIC SYNDROME,Myelodysplastic Syndrome Post Cytotoxic Therapy,NCIT:C27722,NCIT
RCMD-RS,Myelodysplastic Syndrome with Ring Sideroblasts and Multilineage Dysplasia,NCIT:C27726,NCIT
MDS WITH RING SIDEROBLASTS AND MULTILINEAGE DYSPLASIA,Myelodysplastic Syndrome with Ring Sideroblasts and Multilineage Dysplasia,NCIT:C27726,NCIT
"AML, NOS","Acute Myeloid Leukemia, Not Otherwise Specified",NCIT:C27753,NCIT
"MYELODYSPLASTIC/MYELOPROLIFERATIVE NEOPLASM, UNCLASSIFIABLE","Myelodysplastic/Myeloproliferative Neoplasm, Not Otherwise Specified",NCIT:C27780,NCIT
"MDS/MPN, UNCLASSIFIABLE","Myelodysplastic/Myeloproliferative Neoplasm, Not Otherwise Specified",NCIT:C27780,NCIT
MYXOID LIPOSARCOMA,Myxoid Liposarcoma,NCIT:C27781,NCIT
SEROUS ENDOMETRIAL ADENOCARCINOMA,Endometrial Serous Adenocarcinoma,NCIT:C27838,NCIT
UTERINE SEROUS CARCINOMA,Endometrial Serous Adenocarcinoma,NCIT:C27838,NCIT
UTERINE SEROUS CARCINOMA/UTERINE PAPILLARY SEROUS CARCINOMA,Endometrial Serous Adenocarcinoma,NCIT:C27838,NCIT
MIXED SEROUS AND ENDOMETRIOID,Endometrial Serous Adenocarcinoma,NCIT:C27838,NCIT
COPY-NUMBER HIGH SEROUS-LIKE,Endometrial Serous Adenocarcinoma,NCIT:C27838,NCIT
UTERINE SEROUS,Endometrial Serous Adenocarcinoma,NCIT:C27838,NCIT
UCEC SEROUS,Endometrial Serous Adenocarcinoma,NCIT:C27838,NCIT
"CHROMOPHOBE, CLASSIC",Classic Variant of Chromophobe Renal Cell Carcinoma,NCIT:C27888,NCIT
"CHROMOPHOBE, EOSINOPHILIC",Eosinophilic Variant of Chromophobe Renal Cell Carcinoma,NCIT:C27889,NCIT
"REL ONCOCYTIC NEOPLASM, FAVOR CHROMOPHOBE, EOSINOPHILIC",Eosinophilic Variant of Chromophobe Renal Cell Carcinoma,NCIT:C27889,NCIT
UNCLASSIFIED RENAL CELL CARCINOMA,Unclassified Renal Cell Carcinoma,NCIT:C27892,NCIT
SARCOMATOID RENAL CELL CARCINOMA,Sarcomatoid Renal Cell Carcinoma,NCIT:C27893,NCIT
B-CELL_LYMPHOMA_OTHER,B-Cell Neoplasm,NCIT:C27907,NCIT
MATURE T AND NK NEOPLASMS,Mature T-Cell and NK-Cell Neoplasm,NCIT:C27909,NCIT
MATURE B-CELL NEOPLASMS,Mature B-Cell Neoplasm,NCIT:C27910,NCIT
CHRONIC LYMPHOCYTIC LEUKEMIA/SMALL LYMPHOCYTIC LYMPHOMA,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,NCIT:C27911,NCIT
CHRONIC_LYMPHOCYTIC_LEUKAEMIA-SMALL_LYMPHOCYTIC_LYMPHOMA,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,NCIT:C27911,NCIT
THERAPY-RELATED MYELOID NEOPLASMS,Myeloid Neoplasm Post Cytotoxic Therapy,NCIT:C27912,NCIT
METAPLASTIC CARCINOMA,Metaplastic Carcinoma,NCIT:C27949,NCIT
METAPLASTIC_CARCINOMA,Metaplastic Carcinoma,NCIT:C27949,NCIT
ADENOCARCINOMA,Adenocarcinoma,NCIT:C2852,NCIT
"ADENOCARCINOMA, NOS",Adenocarcinoma,NCIT:C2852,NCIT
ADENOCARCINOMA- NOS,Adenocarcinoma,NCIT:C2852,NCIT
"ADENOCARCINOMA, NOS 81403",Adenocarcinoma,NCIT:C2852,NCIT
ADENOCARINOMA,Adenocarcinoma,NCIT:C2852,NCIT
ADENOCARCINOMA,Adenocarcinoma,NCIT:C2852,NCIT
PAPILLARY_ADENOCARCINOMA,Papillary Adenocarcinoma,NCIT:C2853,NCIT
PAPILLARY ADENOCARCINOMA 82603,Papillary Adenocarcinoma,NCIT:C2853,NCIT
ADRENAL TUMOR,Adrenal Gland Neoplasm,NCIT:C2859,NCIT
PRIMARY MYELOFIBROSIS,Primary Myelofibrosis,NCIT:C2862,NCIT
REFRACTORY ANEMIA,Refractory Anemia,NCIT:C2872,NCIT
RA,Refractory Anemia,NCIT:C2872,NCIT
SERTOLI-LEYDIG CELL TUMOR,Ovarian Sertoli-Leydig Cell Tumor,NCIT:C2880,NCIT
MISCELLANEOUS BRAIN TUMOR,Brain Neoplasm,NCIT:C2907,NCIT
"BREAST NEOPLASM, NOS",Breast Neoplasm,NCIT:C2910,NCIT
BURKITT LYMPHOMA,Burkitt Lymphoma,NCIT:C2912,NCIT
BURKITT_LYMPHOMA,Burkitt Lymphoma,NCIT:C2912,NCIT
LYMPHOMA_BURKITT,Burkitt Lymphoma,NCIT:C2912,NCIT
BURKITTS LYMPHOMA,Burkitt Lymphoma,NCIT:C2912,NCIT
B_CELL_BURKITT,Burkitt Lymphoma,NCIT:C2912,NCIT
CARCINOID TUMOR,Carcinoid Tumor,NCIT:C2915,NCIT
CARCINOID,Carcinoid Tumor,NCIT:C2915,NCIT
CARCINOID-ENDOCRINE TUMOUR,Carcinoid Tumor,NCIT:C2915,NCIT
CARCINOMA,Carcinoma,NCIT:C2916,NCIT
"CANCER OF UNKNOWN PRIMARY, NOS",Carcinoma,NCIT:C2916,NCIT
PROSTATE ADENOCARCINOMA,Prostate Adenocarcinoma,NCIT:C2919,NCIT
PRAD,Prostate Adenocarcinoma,NCIT:C2919,NCIT
"PROSTATE ADENOCARCINOMA, OTHER SUBTYPE",Prostate Adenocarcinoma,NCIT:C2919,NCIT
ADENOCARCINOMA- PROSTATE,Prostate Adenocarcinoma,NCIT:C2919,NCIT
PROSTATE_ADENOCARCINOMA,Prostate Adenocarcinoma,NCIT:C2919,NCIT
SKIN CANCER,Malignant Skin Neoplasm,NCIT:C2920,NCIT
SKIN_CANCER,Malignant Skin Neoplasm,NCIT:C2920,NCIT
BRONCHIOLOALVEOLAR_ADENOCARCINOMA,Minimally Invasive Lung Adenocarcinoma,NCIT:C2923,NCIT
DUCTAL CARCINOMA IN SITU DCIS,Breast Ductal Carcinoma In Situ,NCIT:C2924,NCIT
BREAST DUCTAL CARCINOMA IN SITU,Breast Ductal Carcinoma In Situ,NCIT:C2924,NCIT
NON-SMALL CELL LUNG CANCER,Lung Non-Small Cell Carcinoma,NCIT:C2926,NCIT
NSCLC,Lung Non-Small Cell Carcinoma,NCIT:C2926,NCIT
LUNG_NSC,Lung Non-Small Cell Carcinoma,NCIT:C2926,NCIT
NON SMALL CELL LUNG CANCER OTHER,Lung Non-Small Cell Carcinoma,NCIT:C2926,NCIT
NON-SMALL CELL LUNG,Lung Non-Small Cell Carcinoma,NCIT:C2926,NCIT
"NON-SMALL CELL LUNG CANCER NSCLC, UNSPECIFIED",Lung Non-Small Cell Carcinoma,NCIT:C2926,NCIT
NON-SMALL_CELL LUNG_CANCER,Lung Non-Small Cell Carcinoma,NCIT:C2926,NCIT
NON_SMALL_CELL_LUNG_CANCER,Lung Non-Small Cell Carcinoma,NCIT:C2926,NCIT
NON SMALL CELL LUNG CANCER,Lung Non-Small Cell Carcinoma,NCIT:C2926,NCIT
PAPILLARY CARCINOMA,Papillary Carcinoma,NCIT:C2927,NCIT
PAPILLARY_CARCINOMA,Papillary Carcinoma,NCIT:C2927,NCIT
"CARCINOMA, PAPILLARY",Papillary Carcinoma,NCIT:C2927,NCIT
SQUAMOUS CELL CARCINOMA,Squamous Cell Carcinoma,NCIT:C2929,NCIT
"SQUAMOUS CELL CARCINOMA, NOS",Squamous Cell Carcinoma,NCIT:C2929,NCIT
SQUAMOUS_CELL_CARCINOMA,Squamous Cell Carcinoma,NCIT:C2929,NCIT
TRANSITIONAL CELL CARCINOMA,Transitional Cell Carcinoma,NCIT:C2930,NCIT
TRANSITIONAL_CELL_CARCINOMA,Transitional Cell Carcinoma,NCIT:C2930,NCIT
CHONDROBLASTOMA,Chondroblastoma,NCIT:C2945,NCIT
CHONDROSARCOMA,Chondrosarcoma,NCIT:C2946,NCIT
CHORDOMA,Chordoma,NCIT:C2947,NCIT
CHORIOCARCINOMA,Choriocarcinoma,NCIT:C2948,NCIT
CHORIOCARCINOMA,Choriocarcinoma,NCIT:C2948,NCIT
COLORECTAL CANCER,Colorectal Carcinoma,NCIT:C2955,NCIT
COLORECTAL CARCINOMA,Colorectal Carcinoma,NCIT:C2955,NCIT
COLORECTAL CARCINOMA OTHER,Colorectal Carcinoma,NCIT:C2955,NCIT
COLORECTAL_CANCER,Colorectal Carcinoma,NCIT:C2955,NCIT
CRANIOPHARYNGIOMA,Craniopharyngioma,NCIT:C2964,NCIT
ADENOID CYSTIC CARCINOMA,Adenoid Cystic Carcinoma,NCIT:C2970,NCIT
ACYC,Adenoid Cystic Carcinoma,NCIT:C2970,NCIT
CYSTADENOCARCINOMA,Cystadenocarcinoma,NCIT:C2971,NCIT
PHYLLODES,Phyllodes Tumor,NCIT:C2977,NCIT
YOLK SAC TUMOR,Yolk Sac Tumor,NCIT:C3011,NCIT
YOLK SAC TUMOR,Yolk Sac Tumor,NCIT:C3011,NCIT
EPENDYMOMA,Ependymoma,NCIT:C3017,NCIT
EPM,Ependymoma,NCIT:C3017,NCIT
FIBROMATOSIS,Fibromatosis,NCIT:C3042,NCIT
FIBROSARCOMA,Fibrosarcoma,NCIT:C3043,NCIT
