official_label,clean_code
hyaluronic acid,EFO:CHEBI_16336
3-sulfino-L-alanine,EFO:CHEBI_16345
3-nitropropanoic acid,EFO:CHEBI_16348
cholic acid,EFO:CHEBI_16359
cis-aconitate(3-),EFO:CHEBI_16383
sphingosine,EFO:CHEBI_16393
indole-3-acetic acid,EFO:CHEBI_16411
lipopolysaccharide,EFO:CHEBI_16412
N-acetyl-L-histidine,EFO:CHEBI_16437
alanine,EFO:CHEBI_16449
pantothenate,EFO:CHEBI_16454
L-arginine,EFO:CHEBI_16467
17beta-estradiol,EFO:CHEBI_16469
naphthalene,EFO:CHEBI_16482
trans-zeatin,EFO:CHEBI_16522
D-serine,EFO:CHEBI_16523
carbon dioxide,EFO:CHEBI_16526
"1-O-alpha-D-Glucopyranosyl-1,2-nonadecandiol",EFO:CHEBI_165498
N-formyl-L-methionine,EFO:CHEBI_16552
Margaroyl-EA,EFO:CHEBI_165587
sphinganine,EFO:CHEBI_16566
20-hydroxyecdysone,EFO:CHEBI_16587
trichloroethene,EFO:CHEBI_16602
allyl alcohol,EFO:CHEBI_16605
spermidine,EFO:CHEBI_16610
vanillate,EFO:CHEBI_16632
carbohydrate,EFO:CHEBI_16646
4-hydroxy-3-methylacetophenone,EFO:CHEBI_166495
hypotaurine,EFO:CHEBI_16668
quinolinic acid,EFO:CHEBI_16675
S-adenosyl-L-homocysteine,EFO:CHEBI_16680
N-acetyl-beta-alanine,EFO:CHEBI_16682
ecdysone,EFO:CHEBI_16688
uridine,EFO:CHEBI_16704
adenine,EFO:CHEBI_16708
benzene,EFO:CHEBI_16716
(E)-cinnamaldehyde,EFO:CHEBI_16731
N-acetyl-D-tryptophan,EFO:CHEBI_16734
creatinine,EFO:CHEBI_16737
"2,4-dichlorophenol",EFO:CHEBI_16738
orotic acid,EFO:CHEBI_16742
2-oxobutanoate,EFO:CHEBI_16763
Hydroxyphenylpyruvic acid,EFO:CHEBI_167876
scopolamine,EFO:CHEBI_16794
1-methylnicotinamide,EFO:CHEBI_16797
2-oxoglutarate(2-),EFO:CHEBI_16810
methionine,EFO:CHEBI_16811
dehydroepiandrosterone sulfate,EFO:CHEBI_16814
enol-phenylpyruvate,EFO:CHEBI_16815
3-hydroxy-3-methylglutaric acid,EFO:CHEBI_16831
formaldehyde,EFO:CHEBI_16842
glutathione,EFO:CHEBI_16856
gamma-aminobutyric acid,EFO:CHEBI_16865
choline alfoscerate,EFO:CHEBI_16870
glyoxylic acid,EFO:CHEBI_16891
sphinganine 1-phosphate,EFO:CHEBI_16893
D-mannitol,EFO:CHEBI_16899
salicylic acid,EFO:CHEBI_16914
creatine,EFO:CHEBI_16919
citrate(3-),EFO:CHEBI_16947
N-acetyl-L-aspartate(2-),EFO:CHEBI_16953
N-(3E-hexadecenoyl)-deoxysphing-4-enine-1-sulfonate,EFO:CHEBI_169570
beta-alanine,EFO:CHEBI_16958
cortisone,EFO:CHEBI_16962
"beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl glycopeptide",EFO:CHEBI_16979
bilirubin IXalpha,EFO:CHEBI_16990
deoxyribonucleic acid,EFO:CHEBI_16991
oxalic acid,EFO:CHEBI_16995
cholesteryl ester,EFO:CHEBI_17002
progesterone,EFO:CHEBI_17026
chitin,EFO:CHEBI_17029
biliverdin,EFO:CHEBI_17033
3-phosphoglyceric acid,EFO:CHEBI_17050
2-hydroxyglutaric acid,EFO:CHEBI_17084
glycoprotein,EFO:CHEBI_17089
erythritol,EFO:CHEBI_17113
3alpha-hydroxy-5beta-pregnan-20-one,EFO:CHEBI_1712
hexanoate,EFO:CHEBI_17120
carnitine,EFO:CHEBI_17126
xylitol,EFO:CHEBI_17151
nicotinamide,EFO:CHEBI_17154
methylglyoxal,EFO:CHEBI_17158
17alpha-estradiol,EFO:CHEBI_17160
IMP,EFO:CHEBI_17202
L-proline,EFO:CHEBI_17203
beta-myrcene,EFO:CHEBI_17221
homocysteine,EFO:CHEBI_17230
glucose,EFO:CHEBI_17234
mono(2-ethylhexyl) phthalate,EFO:CHEBI_17243
carbon monoxide,EFO:CHEBI_17245
17alpha-hydroxyprogesterone,EFO:CHEBI_17252
myo-inositol,EFO:CHEBI_17268
3-(indol-3-yl)lactate,EFO:CHEBI_17282
N-phosphocreatine,EFO:CHEBI_17287
morphine,EFO:CHEBI_17303
maltose,EFO:CHEBI_17306
3-hydroxy-3-methylglutarate(2-),EFO:CHEBI_17325
phytol,EFO:CHEBI_17327
testosterone,EFO:CHEBI_17347
linoleic acid,EFO:CHEBI_17351
2-acetamidofluorene,EFO:CHEBI_17356
quinoline,EFO:CHEBI_17362
hypoxanthine,EFO:CHEBI_17368
cystine,EFO:CHEBI_17376
(S)-1-pyrroline-5-carboxylate,EFO:CHEBI_17388
N(5)-ethyl-L-glutamine,EFO:CHEBI_17394
L-homocitrulline,EFO:CHEBI_17443
3-hydroxyphenylacetic acid,EFO:CHEBI_17445
Glutaconylcarnitine,EFO:CHEBI_174593
Gamma-glutamyl-Lysine,EFO:CHEBI_174623
"3',5'-cyclic AMP",EFO:CHEBI_17489
Tryptophyl-Asparagine,EFO:CHEBI_175077
S-6-Hydroxywarfarin,EFO:CHEBI_175127
R-6-Hydroxywarfarin,EFO:CHEBI_175131
N-methyl-L-alanine,EFO:CHEBI_17519
N-acetyl-L-glutamic acid,EFO:CHEBI_17533
L-cysteine,EFO:CHEBI_17561
uracil,EFO:CHEBI_17568
inosine,EFO:CHEBI_17596
nitrate,EFO:CHEBI_17632
sphingomyelin d18:1,EFO:CHEBI_17636
hydroxymalonate(2-),EFO:CHEBI_17649
cortisol,EFO:CHEBI_17650
Valine-d8,EFO:CHEBI_176648
Phenylalanine-d8,EFO:CHEBI_176650
chloramphenicol,EFO:CHEBI_17698
"(4E,8E,10E-d18:3)sphingosine",EFO:CHEBI_177104
"N,N-dimethylglycine",EFO:CHEBI_17724
Isoleucyl-Threonine,EFO:CHEBI_177257
"N,N-dimethylformamide",EFO:CHEBI_17741
bis(2-ethylhexyl) phthalate,EFO:CHEBI_17747
glycine betaine,EFO:CHEBI_17750
N(6)-acetyl-L-lysine,EFO:CHEBI_17752
glycerol,EFO:CHEBI_17754
cystathionine,EFO:CHEBI_17755
ceramide,EFO:CHEBI_17761
N-acetylputrescine,EFO:CHEBI_17768
trans-urocanate,EFO:CHEBI_17771
pimelate(1-),EFO:CHEBI_17774
N-acetyl-L-leucine,EFO:CHEBI_17786
methanol,EFO:CHEBI_17790
pseudouridine,EFO:CHEBI_17802
serine,EFO:CHEBI_17822
calcitriol,EFO:CHEBI_17823
gentamycin,EFO:CHEBI_17833
Diacetylspermine,EFO:CHEBI_178484
triglyceride,EFO:CHEBI_17855
glutaric acid,EFO:CHEBI_17859
taurolithocholic acid sulfate,EFO:CHEBI_17864
4-methyl-2-oxopentanoate,EFO:CHEBI_17865
4-hydroxybenzoate,EFO:CHEBI_17879
hydrogen chloride,EFO:CHEBI_17883
alpha-D-glucose,EFO:CHEBI_17925
N(1)-acetylspermidine,EFO:CHEBI_17927
"N(omega),N(omega)-dimethyl-L-arginine",EFO:CHEBI_17929
puromycin,EFO:CHEBI_17939
Ethyl 2-ethylhexanoate,EFO:CHEBI_179548
butyrate,EFO:CHEBI_17968
sucrose,EFO:CHEBI_17992
chloride,EFO:CHEBI_17996
keto-phenylpyruvate,EFO:CHEBI_18005
fumaric acid,EFO:CHEBI_18012
diglyceride,EFO:CHEBI_18035
L-glutamine,EFO:CHEBI_18050
1-aminocyclopropanecarboxylic acid,EFO:CHEBI_18053
oxamic acid,EFO:CHEBI_18058
lipid,EFO:CHEBI_18059
"PS(O-20:0/22:4(7Z,10Z,13Z,16Z))",EFO:CHEBI_180636
trans-4-hydroxy-L-proline,EFO:CHEBI_18095
O-octanoyl-L-carnitine,EFO:CHEBI_18102
N-methylnicotinate,EFO:CHEBI_18123
"(R,R,R)-alpha-tocopherol",EFO:CHEBI_18145
ethene,EFO:CHEBI_18153
polysaccharide,EFO:CHEBI_18154
gamma-tocopherol,EFO:CHEBI_18185
tyrosine,EFO:CHEBI_18186
benzylpenicillin,EFO:CHEBI_18208
citrulline,EFO:CHEBI_18211
selenite(2-),EFO:CHEBI_18212
isoflavone,EFO:CHEBI_18220
xylose,EFO:CHEBI_18222
dopamine,EFO:CHEBI_18243
iron atom,EFO:CHEBI_18248
ornithine,EFO:CHEBI_18257
"3,3',5-triiodo-L-thyronine",EFO:CHEBI_18258
N-carbamoyl-beta-alanine,EFO:CHEBI_18261
dodecanoate,EFO:CHEBI_18262
jasmonic acid,EFO:CHEBI_18292
"1,4-dithiothreitol",EFO:CHEBI_18320
kynurenic acid,EFO:CHEBI_18344
CE(20:4),EFO:CHEBI_183798
phenylacetate,EFO:CHEBI_18401
AICA ribonucleotide,EFO:CHEBI_18406
"PC(19:3(10Z,13Z,16Z)/0:0)",EFO:CHEBI_184217
sulfur dioxide,EFO:CHEBI_18422
"PS(O-20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",EFO:CHEBI_185095
"5-hydroperoxy-7-[3,5-epidioxy-2-(2-octenyl)-cyclopentyl]-6-heptenoic acid",EFO:CHEBI_185277
Sphingofungin B,EFO:CHEBI_185613
Isoferulic acid 3-O-glucuronide,EFO:CHEBI_185922
N-linolenoyl glutamine,EFO:CHEBI_186604
nicotine,EFO:CHEBI_18723
Ipurolic acid,EFO:CHEBI_187431
Leucyl-Asparagine,EFO:CHEBI_190378
1-methylguanosine,EFO:CHEBI_19062
1-methylinosine,EFO:CHEBI_19065
cholesterol ester 16:0,EFO:CHEBI_191864
tetradecadienylcarnitine,EFO:CHEBI_192093
"N(2),N(2)-dimethylguanosine",EFO:CHEBI_19289
4-(trimethylammonio)butanoic acid,EFO:CHEBI_1941
2-hydroxyisobutyrate,EFO:CHEBI_19641
3-dehydroteasterone,EFO:CHEBI_20000
3-hydroxybutyric acid,EFO:CHEBI_20067
3-hydroxyhexanoate,EFO:CHEBI_20070
5-azacytidine,EFO:CHEBI_2038
5-methyltetrahydrofolate,EFO:CHEBI_20612
3-dehydro-6-deoxoteasterone,EFO:CHEBI_20710
6-deoxocastasterone,EFO:CHEBI_20712
6-deoxycathasterone,EFO:CHEBI_20714
6-deoxotyphasterol,EFO:CHEBI_20717
L-cysteine glutathione disulfide,EFO:CHEBI_21264
L-methionine sulfone,EFO:CHEBI_21363
N-acetyl-L-aspartic acid,EFO:CHEBI_21547
N-acetyl-L-glutamate(1-),EFO:CHEBI_21549
N-acetyl-L-methionine,EFO:CHEBI_21557
N-acetyl-L-valine,EFO:CHEBI_21565
N-acetylphenylalanine,EFO:CHEBI_21626
N-methyl-N'-nitro-N-nitrosoguanidine,EFO:CHEBI_21759
1-methylguanine,EFO:CHEBI_21803
2-cis-abscisic acid,EFO:CHEBI_22152
aconitate(3-),EFO:CHEBI_22210
aconitic acid,EFO:CHEBI_22211
alkylating agent,EFO:CHEBI_22333
alpha-tocopherol,EFO:CHEBI_22470
antioxidant,EFO:CHEBI_22586
antiviral agent,EFO:CHEBI_22587
arabinonate,EFO:CHEBI_22595
arabinitol,EFO:CHEBI_22605
asparagine,EFO:CHEBI_22653
aspartic acid,EFO:CHEBI_22660
auxin,EFO:CHEBI_22676
benzenetriol,EFO:CHEBI_22707
benzodiazepine,EFO:CHEBI_22720
7-methylguanine,EFO:CHEBI_2274
bleomycin,EFO:CHEBI_22907
phytogenic insecticide,EFO:CHEBI_22917
cadmium atom,EFO:CHEBI_22977
cadmium molecular entity,EFO:CHEBI_22978
calcium atom,EFO:CHEBI_22984
calcium ionophore,EFO:CHEBI_22986
castasterone,EFO:CHEBI_23051
cathasterone,EFO:CHEBI_23057
chiro-inositol,EFO:CHEBI_23098
coenzyme,EFO:CHEBI_23354
colchicine,EFO:CHEBI_23359
compatible osmolytes,EFO:CHEBI_23366
AACOCF3,EFO:CHEBI_2341
copper(II) sulfate,EFO:CHEBI_23414
cytochalasin B,EFO:CHEBI_23527
cytokinin,EFO:CHEBI_23530
deoxycholate,EFO:CHEBI_23614
(+)-abscisic acid,EFO:CHEBI_2365
acarbose,EFO:CHEBI_2376
drug,EFO:CHEBI_23888
enzyme inhibitor,EFO:CHEBI_23924
estradiol,EFO:CHEBI_23965
N-ethyl-N-nitrosourea,EFO:CHEBI_23995
flavin adenine dinucleotide,EFO:CHEBI_24040
fungicide,EFO:CHEBI_24127
galactonate,EFO:CHEBI_24148
gluconate,EFO:CHEBI_24265
glucuronate,EFO:CHEBI_24297
chemical entity,EFO:CHEBI_24431
biological role,EFO:CHEBI_24432
gulonic acid,EFO:CHEBI_24462
herbicide,EFO:CHEBI_24527
acyclovir,EFO:CHEBI_2453
organic heterocyclic compound,EFO:CHEBI_24532
homoarginine,EFO:CHEBI_24606
hormone,EFO:CHEBI_24621
hypochlorous acid,EFO:CHEBI_24757
iminodiacetate,EFO:CHEBI_24785
indole-3-carboxylic acid,EFO:CHEBI_24809
insecticide,EFO:CHEBI_24852
monoatomic ion,EFO:CHEBI_24867
isoleucine,EFO:CHEBI_24898
isoprenoid,EFO:CHEBI_24913
jasmonates,EFO:CHEBI_24937
lactate,EFO:CHEBI_24996
lead atom,EFO:CHEBI_25016
leucine,EFO:CHEBI_25017
aflatoxin B1,EFO:CHEBI_2504
linolenic acid,EFO:CHEBI_25048
lysine,EFO:CHEBI_25094
magnesium atom,EFO:CHEBI_25107
agarose,EFO:CHEBI_2511
metabolite,EFO:CHEBI_25212
methyl methanesulfonate,EFO:CHEBI_25255
mevalonate,EFO:CHEBI_25350
mitochondrial respiratory-chain inhibitor,EFO:CHEBI_25355
bis(2-chloroethyl) sulfide,EFO:CHEBI_25434
mutagen,EFO:CHEBI_25435
"7,12-dimethyltetraphene",EFO:CHEBI_254496
myxothiazol,EFO:CHEBI_25461
aldicarb,EFO:CHEBI_2555
nitrogen atom,EFO:CHEBI_25555
octadecanoate,EFO:CHEBI_25629
octanoate,EFO:CHEBI_25646
alendronic acid,EFO:CHEBI_2567
oligomycin,EFO:CHEBI_25675
"N(omega),N'(omega)-dimethyl-L-arginine",EFO:CHEBI_25682
organochlorine insecticide,EFO:CHEBI_25705
orotidine,EFO:CHEBI_25722
ozone,EFO:CHEBI_25812
"1,7-dimethylxanthine",EFO:CHEBI_25858
alliin,EFO:CHEBI_2596
phenylacetylglutamine,EFO:CHEBI_25982
phosphate,EFO:CHEBI_26020
biological pigment,EFO:CHEBI_26130
plant growth regulator,EFO:CHEBI_26155
potassium atom,EFO:CHEBI_26216
amikacin,EFO:CHEBI_2637
pterin,EFO:CHEBI_26374
quinate,EFO:CHEBI_26490
retinoic acid,EFO:CHEBI_26536
amiodarone,EFO:CHEBI_2663
amitriptyline,EFO:CHEBI_2666
sodium atom,EFO:CHEBI_26708
sodium chloride,EFO:CHEBI_26710
sodium cholate,EFO:CHEBI_26711
amoxicillin,EFO:CHEBI_2676
steroid hormone,EFO:CHEBI_26764
amphotericin B,EFO:CHEBI_2682
teasterone,EFO:CHEBI_26863
threonine,EFO:CHEBI_26986
toxin,EFO:CHEBI_27026
micronutrient,EFO:CHEBI_27027
anastrozole,EFO:CHEBI_2704
typhasterol,EFO:CHEBI_27173
uric acid,EFO:CHEBI_27226
valine,EFO:CHEBI_27266
vitamin D,EFO:CHEBI_27300
xylonate,EFO:CHEBI_27345
zinc atom,EFO:CHEBI_27363
tetrachloromethane,EFO:CHEBI_27385
3-aminoisobutyric acid,EFO:CHEBI_27389
kinetin,EFO:CHEBI_27407
N-methyl-6-pyridone-3-carboxamide,EFO:CHEBI_27410
alpha-linolenic acid,EFO:CHEBI_27432
methyltestosterone,EFO:CHEBI_27436
"5,6-dihydrothymine",EFO:CHEBI_27468
folic acid,EFO:CHEBI_27470
3-(imidazol-5-yl)lactic acid,EFO:CHEBI_27487
mitomycin C,EFO:CHEBI_27504
oxirane,EFO:CHEBI_27561
arsenic atom,EFO:CHEBI_27563
selenium atom,EFO:CHEBI_27568
histidine,EFO:CHEBI_27570
silicon atom,EFO:CHEBI_27573
aldosterone,EFO:CHEBI_27584
carbon atom,EFO:CHEBI_27594
monensin A,EFO:CHEBI_27617
antimycin A,EFO:CHEBI_2762
vanillylmandelate,EFO:CHEBI_27622
cycloheximide,EFO:CHEBI_27641
camptothecin,EFO:CHEBI_27656
aphidicolin,EFO:CHEBI_2766
actinomycin D,EFO:CHEBI_27666
decanoate,EFO:CHEBI_27689
acetazolamide,EFO:CHEBI_27690
vanadium atom,EFO:CHEBI_27698
caffeine,EFO:CHEBI_27732
glyphosate,EFO:CHEBI_27744
griseofulvin,EFO:CHEBI_27779
detergent,EFO:CHEBI_27780
(5-hydroxyindol-3-yl)acetic acid,EFO:CHEBI_27823
resveratrol,EFO:CHEBI_27881
S-sulfo-L-cysteine,EFO:CHEBI_27891
tryptophan,EFO:CHEBI_27897
cisplatin,EFO:CHEBI_27899
tetracycline,EFO:CHEBI_27902
phenyl hydrogen sulfate,EFO:CHEBI_27905
cocaine,EFO:CHEBI_27958
2-aminoisobutyric acid,EFO:CHEBI_27971
trans-4-hydroxy-D-proline,EFO:CHEBI_27992
3-methylbenzyl alcohol,EFO:CHEBI_27995
tolbutamide,EFO:CHEBI_27999
vancomycin,EFO:CHEBI_28001
phenylalanine,EFO:CHEBI_28044
chromium atom,EFO:CHEBI_28073
rifampicin,EFO:CHEBI_28077
genistein,EFO:CHEBI_28088
"N(1),N(12)-diacetylspermine",EFO:CHEBI_28101
"2,3,7,8-tetrachlorodibenzodioxine",EFO:CHEBI_28119
"all-cis-docosa-4,7,10,13,16,19-hexaenoic acid",EFO:CHEBI_28125
Arecaidine,EFO:CHEBI_2813
ponasterone A,EFO:CHEBI_28135
theophylline,EFO:CHEBI_28177
rotenone,EFO:CHEBI_28201
methylmercury chloride,EFO:CHEBI_28216
dichloroacetate,EFO:CHEBI_28240
papaverine,EFO:CHEBI_28241
aristolochic acid A,EFO:CHEBI_2825
galactose,EFO:CHEBI_28260
dimethyl sulfoxide,EFO:CHEBI_28262
brassinolide,EFO:CHEBI_28277
oligomycin A,EFO:CHEBI_28285
hydantoin-5-propionic acid,EFO:CHEBI_28297
glutamine,EFO:CHEBI_28300
alloxanthine,EFO:CHEBI_28315
L-2-aminobutyrate,EFO:CHEBI_28340
"all-cis-5,8,11,14,17-icosapentaenoic acid",EFO:CHEBI_28364
novobiocin,EFO:CHEBI_28368
vincristine,EFO:CHEBI_28445
ajmaline,EFO:CHEBI_28462
"1,2-dibromoethane",EFO:CHEBI_28534
piperazine,EFO:CHEBI_28568
quinidine,EFO:CHEBI_28593
1-O-oleoyl-sn-glycero-3-phosphocholine,EFO:CHEBI_28610
"1,4-dichlorobenzene",EFO:CHEBI_28618
acrylamide,EFO:CHEBI_28619
campesterol,EFO:CHEBI_28623
lipoteichoic acid,EFO:CHEBI_28640
3-methyl-2-oxovalerate,EFO:CHEBI_28654
phosphorus atom,EFO:CHEBI_28659
gamma-linolenic acid,EFO:CHEBI_28661
leukotriene D4,EFO:CHEBI_28666
cytarabine,EFO:CHEBI_28680
kynurenine,EFO:CHEBI_28683
dehydroepiandrosterone,EFO:CHEBI_28689
copper atom,EFO:CHEBI_28694
O-decanoyl-L-carnitine,EFO:CHEBI_28717
1-linoleoyl-sn-glycero-3-phosphocholine,EFO:CHEBI_28733
doxorubicin,EFO:CHEBI_28748
fructose,EFO:CHEBI_28757
paraquat dichloride,EFO:CHEBI_28786
serotonin,EFO:CHEBI_28790
erucic acid,EFO:CHEBI_28792
coumarin,EFO:CHEBI_28794
N-acetylgalactosamine,EFO:CHEBI_28800
piperine,EFO:CHEBI_28821
stigmasterol,EFO:CHEBI_28824
gibberellin A3,EFO:CHEBI_28833
5-amino-1-(5-phospho-D-ribosyl)imidazole,EFO:CHEBI_28843
"2,4-D",EFO:CHEBI_28854
tobramycin,EFO:CHEBI_28864
O-propanoylcarnitine,EFO:CHEBI_28867
phosphatidylinositol,EFO:CHEBI_28874
butan-1-ol,EFO:CHEBI_28885
3-aminophenol,EFO:CHEBI_28924
ammonium,EFO:CHEBI_28938
N-acetyl-L-cysteine,EFO:CHEBI_28939
calciol,EFO:CHEBI_28940
theobromine,EFO:CHEBI_28946
ampicillin,EFO:CHEBI_28971
aluminium atom,EFO:CHEBI_28984
ceftriaxone,EFO:CHEBI_29007
N-benzyladenine,EFO:CHEBI_29022
atenolol,EFO:CHEBI_2904
